Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2018, тыс. рублей;Октябрь, 2018, тыс. рублей;Изменение, тыс. рублей;Изменение, %
22;0;Банк Уралсиб;30;Москва и обл.;519 104 621,00;522 998 340,00;-3 893 719,00;-0,74
23;-2;Ситибанк;2557;Москва и обл.;516 590 409,00;538 733 921,00;-22 143 512,00;-4,11
24;0;СМП Банк;3368;Москва и обл.;419 433 888,00;417 477 424,00;1 956 464,00;0,47
25;2;Тинькофф Банк;2673;Москва и обл.;373 661 858,00;353 403 935,00;20 257 923,00;5,73
26;-1;Русский Стандарт;2289;Москва и обл.;363 290 597,00;368 507 628,00;-5 217 031,00;-1,42
27;-1;Банк АВБ;23;Самарская обл.;360 579 476,00;363 025 607,00;-2 446 131,00;-0,67
28;1;Почта Банк;650;Москва и обл.;342 079 310,00;327 117 163,00;14 962 147,00;4,57
29;-1;Новикомбанк;2546;Москва и обл.;328 151 792,00;340 589 546,00;-12 437 754,00;-3,65
30;0;Пересвет;2110;Москва и обл.;316 654 946,00;316 041 239,00;613 707,00;0,19
31;2;Связь-Банк;1470;Москва и обл.;301 764 808,00;284 892 709,00;16 872 099,00;5,92
32;-1;Восточный Банк;1460;Амурская обл.;289 192 004,00;300 594 325,00;-11 402 321,00;-3,79
33;1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;281 287 506,00;281 461 821,00;-174 315,00;-0,06
34;1;Московский Индустриальный Банк;912;Москва и обл.;275 290 846,00;276 227 140,00;-936 294,00;-0,34
35;1;Возрождение;1439;Москва и обл.;267 601 199,00;265 854 033,00;1 747 166,00;0,66
36;2;Хоум Кредит Банк;316;Москва и обл.;264 883 006,00;260 034 463,00;4 848 543,00;1,86
37;-5;Абсолют Банк;2306;Москва и обл.;255 660 595,00;291 605 942,00;-35 945 347,00;-12,33
38;-1;Банк ДОМ.РФ;2312;Москва и обл.;251 103 742,00;265 320 760,00;-14 217 018,00;-5,36
39;0;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;246 067 093,00;257 963 671,00;-11 896 578,00;-4,61
40;0;Банк Зенит;3255;Москва и обл.;238 832 946,00;237 914 792,00;918 154,00;0,39
41;3;ИНГ Банк;2495;Москва и обл.;194 902 553,00;189 569 335,00;5 333 218,00;2,81
42;1;РосЕвроБанк;3137;Москва и обл.;194 672 807,00;192 976 508,00;1 696 299,00;0,88
43;-2;Экспресс-Волга;3085;Костромская обл.;194 242 567,00;194 216 056,00;26 511,00;0,01
44;-2;ДельтаКредит;3338;Москва и обл.;192 137 774,00;193 070 414,00;-932 640,00;-0,48
45;0;Инвестторгбанк;2763;Москва и обл.;177 919 168,00;178 577 116,00;-657 948,00;-0,37
46;1;МТС Банк;2268;Москва и обл.;167 524 277,00;171 382 595,00;-3 858 318,00;-2,25
47;1;Транскапиталбанк;2210;Москва и обл.;162 564 795,00;166 599 596,00;-4 034 801,00;-2,42
48;2;Ренессанс Кредит;3354;Москва и обл.;162 437 351,00;159 129 378,00;3 307 973,00;2,08
49;-3;РНКБ;1354;Симферополь;156 537 875,00;171 661 703,00;-15 123 828,00;-8,81
50;1;ОТП Банк;2766;Москва и обл.;148 909 314,00;155 250 294,00;-6 340 980,00;-4,08
51;2;Кредит Европа Банк;3311;Москва и обл.;138 769 004,00;138 740 118,00;28 886,00;0,02
52;0;Нордеа Банк;3016;Москва и обл.;138 224 931,00;141 496 738,00;-3 271 807,00;-2,31
53;-4;МСП Банк;3340;Москва и обл.;138 015 129,00;161 603 179,00;-23 588 050,00;-14,60
54;0;Сетелем Банк;2168;Москва и обл.;130 876 250,00;134 789 466,00;-3 913 216,00;-2,90
55;6;Росэксимбанк;2790;Москва и обл.;129 730 383,00;116 770 968,00;12 959 415,00;11,10
56;0;Авангард;2879;Москва и обл.;129 676 853,00;130 852 310,00;-1 175 457,00;-0,90
57;0;Русфинанс Банк;1792;Самарская обл.;127 769 246,00;127 817 016,00;-47 770,00;-0,04
58;1;Банк Финсервис;3388;Москва и обл.;125 210 540,00;123 360 465,00;1 850 075,00;1,50
59;-1;Запсибкомбанк;918;Тюменская обл.;123 885 606,00;124 462 452,00;-576 846,00;-0,46
60;0;Таврический Банк;2304;Санкт-Петербург и обл.;119 456 049,00;121 279 725,00;-1 823 676,00;-1,50
61;-6;Национальный Расчетный Депозитарий;3294;Москва и обл.;118 332 024,00;132 534 361,00;-14 202 337,00;-10,72
62;1;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;117 630 166,00;115 832 354,00;1 797 812,00;1,55
63;1;Центр-инвест;2225;Ростовская обл.;115 646 448,00;114 491 983,00;1 154 465,00;1,01
64;-2;Глобэкс;1942;Москва и обл.;113 954 351,00;116 280 303,00;-2 325 952,00;-2,00
65;5;Аверс;415;Татарстан;112 798 449,00;100 420 054,00;12 378 395,00;12,33
66;-1;СКБ-Банк;705;Свердловская обл.;108 084 314,00;107 731 496,00;352 818,00;0,33
67;-1;Роскосмосбанк;2989;Москва и обл.;105 558 496,00;106 103 744,00;-545 248,00;-0,51
68;1;ЦентроКредит;121;Москва и обл.;105 387 768,00;100 904 324,00;4 483 444,00;4,44
69;5;Союз;2307;Москва и обл.;99 806 825,00;93 348 318,00;6 458 507,00;6,92
70;-3;Металлинвестбанк;2440;Москва и обл.;96 712 379,00;103 235 268,00;-6 522 889,00;-6,32
71;0;Кубань Кредит;2518;Краснодарский край;95 789 315,00;98 209 765,00;-2 420 450,00;-2,46
72;-4;ВУЗ-Банк;1557;Свердловская обл.;95 584 521,00;101 614 031,00;-6 029 510,00;-5,93
73;4;РН Банк;170;Москва и обл.;92 518 932,00;86 359 857,00;6 159 075,00;7,13
74;1;РГС Банк;3073;Москва и обл.;90 217 591,00;93 294 132,00;-3 076 541,00;-3,30
75;-3;Балтинвестбанк;3176;Санкт-Петербург и обл.;89 840 072,00;95 748 897,00;-5 908 825,00;-6,17
76;-3;Локо-Банк;2707;Москва и обл.;86 437 294,00;95 414 009,00;-8 976 715,00;-9,41
77;4;Экспобанк;2998;Москва и обл.;79 580 685,00;69 386 760,00;10 193 925,00;14,69
78;37;Мир Бизнес Банк;3396;Москва и обл.;78 850 691,00;40 929 707,00;37 920 984,00;92,65
79;-1;Мидзухо Банк;3337;Москва и обл.;78 693 827,00;85 245 095,00;-6 551 268,00;-7,69
80;-4;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;73 905 708,00;89 654 948,00;-15 749 240,00;-17,57
81;-1;Дойче Банк;3328;Москва и обл.;71 731 857,00;74 441 575,00;-2 709 718,00;-3,64
82;0;Тойота Банк;3470;Москва и обл.;66 204 133,00;68 872 076,00;-2 667 943,00;-3,87
83;-4;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;65 068 501,00;80 322 161,00;-15 253 660,00;-18,99
84;1;Эм-Ю-Эф-Джи Банк (Евразия);3465;Москва и обл.;65 013 110,00;62 831 496,00;2 181 614,00;3,47
85;11;Еврофинанс Моснарбанк;2402;Москва и обл.;64 943 898,00;57 892 760,00;7 051 138,00;12,18
86;1;АйСиБиСи Банк;3475;Москва и обл.;64 859 737,00;62 191 668,00;2 668 069,00;4,29
87;2;Коммерцбанк (Евразия);3333;Москва и обл.;64 465 487,00;60 309 293,00;4 156 194,00;6,89
88;-2;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;63 550 134,00;62 752 859,00;797 275,00;1,27
89;6;Банк Интеза;2216;Москва и обл.;63 053 086,00;58 006 461,00;5 046 625,00;8,70
90;-6;БКС Банк;101;Москва и обл.;61 314 003,00;63 407 516,00;-2 093 513,00;-3,30
91;14;Севергазбанк;2816;Вологодская обл.;61 247 522,00;50 235 751,00;11 011 771,00;21,92
92;-4;Тимер Банк;1581;Татарстан;60 682 248,00;60 546 516,00;135 732,00;0,22
93;-3;СДМ-Банк;1637;Москва и обл.;60 024 698,00;59 865 179,00;159 519,00;0,27
94;-2;Примсоцбанк;2733;Приморский край;60 012 788,00;59 182 365,00;830 423,00;1,40
95;-2;Балтийский Банк;128;Санкт-Петербург и обл.;58 430 934,00;58 244 057,00;186 877,00;0,32
96;-2;Крайинвестбанк;3360;Краснодарский край;57 478 111,00;58 092 092,00;-613 981,00;-1,06
97;0;Левобережный;1343;Новосибирская обл.;55 986 531,00;56 504 615,00;-518 084,00;-0,92
98;9;Социнвестбанк;1132;Башкортостан;55 422 093,00;49 051 162,00;6 370 931,00;12,99
99;2;БНП Париба Банк;3407;Москва и обл.;55 397 758,00;51 796 290,00;3 601 468,00;6,95
100;-2;ББР Банк;2929;Москва и обл.;53 837 908,00;54 612 519,00;-774 611,00;-1,42
101;-1;Челиндбанк;485;Челябинская обл.;52 598 218,00;52 774 571,00;-176 353,00;-0,33
102;-3;Международный Финансовый Клуб;2618;Москва и обл.;52 306 329,00;53 422 996,00;-1 116 667,00;-2,09
103;0;Челябинвестбанк;493;Челябинская обл.;50 763 002,00;51 067 658,00;-304 656,00;-0,60
104;-2;СЭБ Банк;3235;Санкт-Петербург и обл.;50 246 839,00;51 387 380,00;-1 140 541,00;-2,22
105;9;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;49 702 347,00;42 026 189,00;7 676 158,00;18,27
106;0;Генбанк;2490;Симферополь;48 729 167,00;49 181 075,00;-451 908,00;-0,92
107;2;Газэнергобанк;3252;Калужская обл.;47 815 415,00;47 805 675,00;9 740,00;0,02
108;-4;Фора-Банк;1885;Москва и обл.;46 816 970,00;50 407 467,00;-3 590 497,00;-7,12
109;-1;Данске Банк;3307;Санкт-Петербург и обл.;46 706 173,00;48 913 146,00;-2 206 973,00;-4,51
110;0;Энерготрансбанк;1307;Калининградская обл.;46 694 116,00;47 297 868,00;-603 752,00;-1,28
111;0;Саровбизнесбанк;2048;Нижегородская обл.;43 506 023,00;44 422 860,00;-916 837,00;-2,06
112;1;Объединенный Капитал;2611;Санкт-Петербург и обл.;42 397 773,00;42 098 151,00;299 622,00;0,71
113;-22;Банк Кредит Свисс;2494;Москва и обл.;40 871 395,00;59 859 772,00;-18 988 377,00;-31,72
114;4;БыстроБанк;1745;Удмуртия;38 332 162,00;38 565 433,00;-233 271,00;-0,60
115;1;Кольцо Урала;65;Свердловская обл.;38 045 566,00;38 972 229,00;-926 663,00;-2,38
116;6;Национальный Стандарт;3421;Москва и обл.;37 521 276,00;37 079 986,00;441 290,00;1,19
117;6;БМВ Банк;3482;Москва и обл.;37 155 050,00;36 010 434,00;1 144 616,00;3,18
118;9;Киви Банк;2241;Москва и обл.;36 800 363,00;34 039 825,00;2 760 538,00;8,11
119;-7;Интерпрогрессбанк;600;Москва и обл.;36 603 928,00;44 260 351,00;-7 656 423,00;-17,30
120;1;Дальневосточный Банк;843;Приморский край;36 492 581,00;37 673 781,00;-1 181 200,00;-3,14
121;4;Дж. П. Морган Банк;2629;Москва и обл.;36 176 038,00;35 304 051,00;871 987,00;2,47
122;2;Солидарность;554;Самарская обл.;35 363 762,00;35 599 368,00;-235 606,00;-0,66
123;-6;Платежный Центр;3166;Новосибирская обл.;35 119 932,00;38 685 948,00;-3 566 016,00;-9,22
124;20;ЦМРБанк;3531;Москва и обл.;34 879 260,00;24 324 080,00;10 555 180,00;43,39
125;-6;Фольксваген Банк Рус;3500;Москва и обл.;34 024 022,00;38 042 086,00;-4 018 064,00;-10,56
126;2;Квантмобайл Банк;1189;Москва и обл.;33 836 098,00;33 728 017,00;108 081,00;0,32
127;5;Приморье;3001;Приморский край;32 697 337,00;32 020 921,00;676 416,00;2,11
128;1;Ланта-Банк;1920;Москва и обл.;32 542 056,00;33 154 153,00;-612 097,00;-1,85
129;-3;Бэнк оф Чайна;2309;Москва и обл.;31 907 574,00;34 497 583,00;-2 590 009,00;-7,51
130;0;Кредит Урал Банк;2584;Челябинская обл.;31 896 503,00;32 569 235,00;-672 732,00;-2,07
131;0;НС Банк;3124;Москва и обл.;31 271 943,00;32 449 167,00;-1 177 224,00;-3,63
132;-49;Аресбанк;2914;Москва и обл.;30 882 102,00;65 242 549,00;-34 360 447,00;-52,67
133;1;Финанс Бизнес Банк;520;Москва и обл.;30 178 955,00;30 203 817,00;-24 862,00;-0,08
134;-1;Алмазэргиэнбанк;2602;Саха (Якутия);29 438 098,00;30 898 452,00;-1 460 354,00;-4,73
135;1;Интерпромбанк;3266;Москва и обл.;28 948 570,00;28 445 464,00;503 106,00;1,77
136;-1;Девон-Кредит;1972;Татарстан;28 172 090,00;29 011 994,00;-839 904,00;-2,90
137;0;Мерседес-Бенц Банк Рус;3473;Москва и обл.;26 518 147,00;26 173 649,00;344 498,00;1,32
138;33;НК Банк;2755;Москва и обл.;26 125 199,00;16 713 265,00;9 411 934,00;56,31
139;1;Курскпромбанк;735;Курская обл.;25 896 275,00;25 490 448,00;405 827,00;1,59
140;1;Акибанк;2587;Татарстан;24 852 762,00;24 867 063,00;-14 301,00;-0,06
141;-2;Бинбанк Диджитал;2827;Москва и обл.;24 697 799,00;25 609 581,00;-911 782,00;-3,56
142;1;Урал ФД;249;Пермская обл.;24 513 737,00;24 333 702,00;180 035,00;0,74
143;-1;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;24 028 667,00;24 664 336,00;-635 669,00;-2,58
144;4;Энергобанк;67;Татарстан;23 709 562,00;23 563 376,00;146 186,00;0,62
145;0;Чайна Констракшн;3515;Москва и обл.;23 618 316,00;24 229 762,00;-611 446,00;-2,52
146;3;Хлынов;254;Кировская обл.;23 014 363,00;23 381 078,00;-366 715,00;-1,57
147;4;Собинбанк;1317;Москва и обл.;22 798 181,00;22 800 669,00;-2 488,00;-0,01
148;2;Экономбанк;1319;Саратовская обл.;22 763 908,00;23 181 263,00;-417 355,00;-1,80
149;-2;Татсоцбанк;480;Татарстан;22 721 527,00;23 692 411,00;-970 884,00;-4,10
150;3;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;22 376 758,00;21 746 822,00;629 936,00;2,90
151;-5;Москоммерцбанк;3365;Москва и обл.;22 076 819,00;23 984 686,00;-1 907 867,00;-7,95
152;0;Агропромкредит;2880;Москва и обл.;21 601 409,00;22 060 797,00;-459 388,00;-2,08
153;16;Инбанк;1829;Москва и обл.;21 464 952,00;16 971 878,00;4 493 074,00;26,47
154;1;МС Банк Рус;2789;Москва и обл.;21 448 983,00;20 675 110,00;773 873,00;3,74
155;1;НБД-Банк;1966;Нижегородская обл.;20 569 972,00;20 662 122,00;-92 150,00;-0,45
156;1;Тольяттихимбанк;2507;Самарская обл.;20 465 798,00;20 500 424,00;-34 626,00;-0,17
157;11;Ури Банк;3479;Москва и обл.;20 188 030,00;17 173 863,00;3 014 167,00;17,55
158;-4;Денизбанк Москва;3330;Москва и обл.;19 908 568,00;20 828 585,00;-920 017,00;-4,42
159;-1;Банк Акцепт;567;Новосибирская обл.;19 714 526,00;19 726 694,00;-12 168,00;-0,06
160;-1;Александровский;53;Санкт-Петербург и обл.;19 557 547,00;19 718 688,00;-161 141,00;-0,82
161;-1;Липецккомбанк;1242;Липецкая обл.;19 533 262,00;19 704 283,00;-171 021,00;-0,87
162;0;Пойдем!;2534;Москва и обл.;18 794 291,00;18 579 471,00;214 820,00;1,16
163;3;Джей энд Ти Банк;3061;Москва и обл.;18 773 674,00;17 971 179,00;802 495,00;4,47
164;-3;Держава;2738;Москва и обл.;18 637 048,00;19 458 659,00;-821 611,00;-4,22
165;-2;Кошелев-Банк;3300;Самарская обл.;18 401 199,00;18 329 863,00;71 336,00;0,39
166;29;Агросоюз;1459;Москва и обл.;18 046 257,00;11 719 831,00;6 326 426,00;53,98
167;-3;Московское Ипотечное Агентство;3344;Москва и обл.;17 603 275,00;18 223 899,00;-620 624,00;-3,41
168;7;Нацинвестпромбанк;3077;Москва и обл.;17 594 542,00;15 789 861,00;1 804 681,00;11,43
169;-31;Натиксис Банк;3390;Москва и обл.;17 090 264,00;25 839 101,00;-8 748 837,00;-33,86
170;0;Прио-Внешторгбанк;212;Рязанская обл.;16 895 796,00;16 723 840,00;171 956,00;1,03
171;-4;Алеф-Банк;2119;Москва и обл.;16 804 122,00;17 334 376,00;-530 254,00;-3,06
172;4;Форштадт;2208;Оренбургская обл.;16 624 583,00;15 251 478,00;1 373 105,00;9,00
173;-1;Национальная Факторинговая Компания;3437;Москва и обл.;16 311 952,00;16 315 220,00;-3 268,00;-0,02
174;4;РосДорБанк;1573;Москва и обл.;16 193 099,00;15 121 497,00;1 071 602,00;7,09
175;-10;Модульбанк;1927;Костромская обл.;15 852 848,00;18 171 326,00;-2 318 478,00;-12,76
176;-3;Гарант-Инвест;2576;Москва и обл.;15 747 575,00;15 910 353,00;-162 778,00;-1,02
177;0;Норвик Банк;902;Кировская обл.;15 028 850,00;15 210 367,00;-181 517,00;-1,19
178;-4;Развитие-Столица;3013;Москва и обл.;14 900 091,00;15 889 786,00;-989 695,00;-6,23
179;0;Банк Казани;708;Татарстан;14 220 892,00;14 438 772,00;-217 880,00;-1,51
180;3;Консервативный Коммерческий Банк;1087;Астраханская обл.;14 081 155,00;13 899 532,00;181 623,00;1,31
181;3;Ишбанк;2867;Москва и обл.;14 031 516,00;13 590 971,00;440 545,00;3,24
182;3;Морской Банк;77;Москва и обл.;13 850 702,00;13 347 282,00;503 420,00;3,77
183;-3;Национальный Резервный Банк;2170;Москва и обл.;13 776 973,00;14 177 413,00;-400 440,00;-2,82
184;3;Промтрансбанк;2638;Башкортостан;13 684 646,00;12 975 837,00;708 809,00;5,46
185;-4;Ассоциация;732;Нижегородская обл.;13 677 126,00;13 953 349,00;-276 223,00;-1,98
186;2;КС Банк;1752;Мордовия;12 973 612,00;12 850 855,00;122 757,00;0,96
187;2;Русский Ипотечный Банк;1968;Москва и обл.;12 952 289,00;12 732 880,00;219 409,00;1,72
188;2;Нижневолжский Коммерческий Банк;931;Саратовская обл.;12 183 497,00;12 705 046,00;-521 549,00;-4,11
189;2;Реалист Банк;1067;Иркутская обл.;11 880 479,00;12 234 556,00;-354 077,00;-2,89
190;-8;КЭБ ЭйчЭнБи Банк;3525;Москва и обл.;11 703 369,00;13 912 844,00;-2 209 475,00;-15,88
191;3;НИКО-Банк;702;Оренбургская обл.;11 546 141,00;11 780 869,00;-234 728,00;-1,99
192;5;Руснарбанк;3403;Москва и обл.;11 487 481,00;11 367 831,00;119 650,00;1,05
193;3;ТЭМБР-Банк;2764;Москва и обл.;11 445 490,00;11 372 221,00;73 269,00;0,64
194;-2;Банк Оренбург;3269;Оренбургская обл.;11 407 193,00;12 149 708,00;-742 515,00;-6,11
195;3;Солид Банк;1329;Приморский край;11 191 540,00;11 272 446,00;-80 906,00;-0,72
196;4;Датабанк;646;Удмуртия;11 069 722,00;11 170 886,00;-101 164,00;-0,91
197;6;Тройка-Д Банк;3431;Москва и обл.;11 061 776,00;10 856 337,00;205 439,00;1,89
198;1;Юг-Инвестбанк;2772;Краснодарский край;10 969 054,00;11 214 775,00;-245 721,00;-2,19
199;-6;МБА-Москва;3395;Москва и обл.;10 749 334,00;11 816 911,00;-1 067 577,00;-9,03
200;4;Снежинский;1376;Челябинская обл.;10 574 422,00;10 801 695,00;-227 273,00;-2,10
201;6;Банк Раунд;2506;Москва и обл.;10 462 535,00;10 139 350,00;323 185,00;3,19
202;0;Первомайский;518;Краснодарский край;10 368 368,00;10 898 921,00;-530 553,00;-4,87
203;9;Автоторгбанк;2776;Москва и обл.;10 231 415,00;9 220 154,00;1 011 261,00;10,97
204;4;Русьуниверсалбанк;3293;Москва и обл.;10 178 217,00;10 006 440,00;171 777,00;1,72
205;4;Екатеринбург;3161;Свердловская обл.;9 864 086,00;9 959 349,00;-95 263,00;-0,96
206;0;Азия-Инвест Банк;3303;Москва и обл.;9 626 640,00;10 315 114,00;-688 474,00;-6,67
207;3;Банк Жилищного Финансирования;3138;Москва и обл.;9 363 791,00;9 245 958,00;117 833,00;1,27
208;5;РЕСО Кредит;3450;Москва и обл.;9 054 275,00;8 544 090,00;510 185,00;5,97
209;-8;ЮMoney;3510;Россия;8 875 960,00;10 902 351,00;-2 026 391,00;-18,59
210;1;Углеметбанк;2997;Челябинская обл.;8 838 586,00;9 234 253,00;-395 667,00;-4,28
211;6;Морган Стэнли Банк;3456;Москва и обл.;8 751 750,00;8 276 883,00;474 867,00;5,74
212;8;Хакасский Муниципальный Банк;1049;Хакасия;8 463 938,00;8 216 066,00;247 872,00;3,02
213;9;Энергомашбанк;52;Санкт-Петербург и обл.;8 400 028,00;8 110 153,00;289 875,00;3,57
214;5;Кранбанк;2271;Ивановская обл.;8 319 791,00;8 250 452,00;69 339,00;0,84
215;1;Кузнецкбизнесбанк;1158;Кемеровская обл.;8 262 208,00;8 327 602,00;-65 394,00;-0,79
216;8;Эксперт Банк;2949;Омская обл.;8 218 715,00;8 001 267,00;217 448,00;2,72
217;6;Белгородсоцбанк;760;Белгородская обл.;8 201 063,00;8 071 394,00;129 669,00;1,61
218;0;Томскпромстройбанк;1720;Томская обл.;8 177 414,00;8 268 022,00;-90 608,00;-1,10
219;2;Московский Нефтехимический Банк;1411;Москва и обл.;7 911 062,00;8 184 708,00;-273 646,00;-3,34
220;7;Нейва;1293;Свердловская обл.;7 776 413,00;7 674 842,00;101 571,00;1,32
221;5;Ростфинанс;481;Ростовская обл.;7 747 421,00;7 692 912,00;54 509,00;0,71
222;6;Актив Банк;2529;Мордовия;7 740 528,00;7 674 821,00;65 707,00;0,86
223;-8;Эс-Би-Ай Банк;3185;Москва и обл.;7 698 532,00;8 473 839,00;-775 307,00;-9,15
224;10;Банк БКФ;2684;Москва и обл.;7 691 116,00;7 443 778,00;247 338,00;3,32
225;-11;Ю Би Эс Банк;3463;Москва и обл.;7 664 997,00;8 500 620,00;-835 623,00;-9,83
226;33;Голдман Сакс Банк;3490;Москва и обл.;7 629 236,00;5 855 667,00;1 773 569,00;30,29
227;2;Финам Банк;2799;Москва и обл.;7 505 367,00;7 628 129,00;-122 762,00;-1,61
228;3;Ставропольпромстройбанк;1288;Ставропольский край;7 328 733,00;7 519 596,00;-190 863,00;-2,54
229;6;Северный Народный Банк;2721;Коми;7 318 150,00;7 278 409,00;39 741,00;0,55
230;3;СИАБ;3245;Санкт-Петербург и обл.;7 314 029,00;7 444 573,00;-130 544,00;-1,75
231;6;Нефтепромбанк;2156;Москва и обл.;7 309 783,00;7 113 101,00;196 682,00;2,77
232;-7;Трансстройбанк;2807;Москва и обл.;7 309 344,00;7 753 427,00;-444 083,00;-5,73
233;-1;ФорБанк;2063;Москва и обл.;7 210 340,00;7 511 669,00;-301 329,00;-4,01
234;6;Сити Инвест Банк;3194;Санкт-Петербург и обл.;7 181 201,00;6 913 082,00;268 119,00;3,88
235;1;Новобанк;1352;Новгородская обл.;7 141 438,00;7 149 407,00;-7 969,00;-0,11
236;-50;Современный Коммерческий Инновационный Банк;3329;Костромская обл.;7 067 424,00;13 033 517,00;-5 966 093,00;-45,78
237;1;Сибсоцбанк;2015;Алтайский край;6 997 992,00;7 080 629,00;-82 637,00;-1,17
238;-8;Славия;2664;Москва и обл.;6 857 343,00;7 611 270,00;-753 927,00;-9,91
239;2;Чайнасельхозбанк;3529;Москва и обл.;6 739 270,00;6 870 621,00;-131 351,00;-1,91
240;3;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;6 608 096,00;6 476 817,00;131 279,00;2,03
241;4;Проминвестбанк;2433;Москва и обл.;6 497 437,00;6 362 599,00;134 838,00;2,12
242;-3;Зираат Банк;2559;Москва и обл.;6 456 226,00;6 927 410,00;-471 184,00;-6,80
243;5;Агророс;2860;Саратовская обл.;6 331 887,00;6 270 028,00;61 859,00;0,99
244;0;Муниципальный Камчатпрофитбанк;2103;Камчатская обл.;6 295 151,00;6 470 487,00;-175 336,00;-2,71
245;2;Русь;704;Оренбургская обл.;6 247 561,00;6 286 924,00;-39 363,00;-0,63
246;0;Автоградбанк;1455;Татарстан;6 228 434,00;6 297 871,00;-69 437,00;-1,10
247;6;Зенит Сочи;232;Краснодарский край;6 198 665,00;6 137 828,00;60 837,00;0,99
248;3;Земский Банк;2900;Самарская обл.;6 196 168,00;6 209 715,00;-13 547,00;-0,22
249;1;Банк Оранжевый;1659;Санкт-Петербург и обл.;6 124 458,00;6 210 982,00;-86 524,00;-1,39
250;5;Вокбанк;312;Нижегородская обл.;6 122 534,00;6 057 275,00;65 259,00;1,08
251;1;Гута-Банк;256;Москва и обл.;6 108 769,00;6 198 174,00;-89 405,00;-1,44
252;-3;Енисейский Объединенный Банк;2645;Красноярский край;5 983 834,00;6 226 946,00;-243 112,00;-3,90
253;4;Чувашкредитпромбанк;1280;Чувашия;5 922 879,00;5 892 839,00;30 040,00;0,51
254;0;Газтрансбанк;665;Краснодарский край;5 821 998,00;6 071 305,00;-249 307,00;-4,11
255;1;Черноморский банк развития и реконструкции;3527;Симферополь;5 805 341,00;6 020 117,00;-214 776,00;-3,57
256;4;Кузнецкий;609;Пензенская обл.;5 803 080,00;5 756 574,00;46 506,00;0,81
257;5;Славянский Кредит;2960;Москва и обл.;5 621 578,00;5 574 337,00;47 241,00;0,85
