Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Январь, 2017, тыс. рублей;Декабрь, 2016, тыс. рублей;Изменение, тыс. рублей;Изменение, %
71;5;Банк Финсервис;3388;Москва и обл.;84 911 890,00;79 475 666,00;5 436 224,00;6,84
72;1;Союз;2307;Москва и обл.;84 178 851,00;81 483 756,00;2 695 095,00;3,31
73;1;Балтинвестбанк;3176;Санкт-Петербург и обл.;83 253 758,00;80 853 343,00;2 400 415,00;2,97
74;-3;ЦентроКредит;121;Москва и обл.;81 563 756,00;88 302 711,00;-6 738 955,00;-7,63
75;4;Кубань Кредит;2518;Краснодарский край;76 673 654,00;75 386 886,00;1 286 768,00;1,71
76;1;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;74 864 639,00;76 357 924,00;-1 493 285,00;-1,96
77;3;Балтийский Банк;128;Санкт-Петербург и обл.;72 877 564,00;74 898 958,00;-2 021 394,00;-2,70
78;5;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;70 110 506,00;67 749 401,00;2 361 105,00;3,49
79;13;Росэксимбанк;2790;Москва и обл.;70 023 798,00;55 482 085,00;14 541 713,00;26,21
80;8;Металлинвестбанк;2440;Москва и обл.;69 720 796,00;64 380 637,00;5 340 159,00;8,29
81;-3;БНП Париба Банк;3407;Москва и обл.;69 548 291,00;75 664 582,00;-6 116 291,00;-8,08
82;-1;ВУЗ-Банк;1557;Свердловская обл.;68 430 617,00;71 302 665,00;-2 872 048,00;-4,03
83;-1;Экспобанк;2998;Москва и обл.;66 936 350,00;67 997 117,00;-1 060 767,00;-1,56
84;3;Международный Финансовый Клуб;2618;Москва и обл.;65 546 862,00;64 562 480,00;984 382,00;1,52
85;-13;Дойче Банк;3328;Москва и обл.;65 269 950,00;88 188 214,00;-22 918 264,00;-25,99
86;3;БКС Банк;101;Новосибирская обл.;63 221 819,00;62 550 597,00;671 222,00;1,07
87;-3;РН Банк;170;Москва и обл.;62 503 033,00;65 817 884,00;-3 314 851,00;-5,04
88;-3;Банк Интеза;2216;Москва и обл.;60 131 289,00;65 304 076,00;-5 172 787,00;-7,92
89;-3;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;59 719 502,00;64 577 864,00;-4 858 362,00;-7,52
90;1;Росэнергобанк;2211;Москва и обл.;58 799 277,00;57 311 388,00;1 487 889,00;2,60
91;17;ОФК Банк;2270;Москва и обл.;57 276 230,00;46 399 061,00;10 877 169,00;23,44
92;5;Образование;1521;Москва и обл.;55 850 190,00;51 865 153,00;3 985 037,00;7,68
93;3;Крайинвестбанк;3360;Краснодарский край;54 953 577,00;52 508 423,00;2 445 154,00;4,66
94;0;СДМ-Банк;1637;Москва и обл.;54 841 886,00;53 887 051,00;954 835,00;1,77
95;3;Тойота Банк;3470;Москва и обл.;53 447 538,00;51 818 036,00;1 629 502,00;3,14
96;-6;Банк БФА;3038;Санкт-Петербург и обл.;52 701 576,00;62 088 192,00;-9 386 616,00;-15,12
97;3;Социнвестбанк;1132;Башкортостан;52 386 764,00;50 440 052,00;1 946 712,00;3,86
98;5;ББР Банк;2929;Москва и обл.;52 195 565,00;47 824 875,00;4 370 690,00;9,14
99;-6;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;51 892 069,00;54 139 462,00;-2 247 393,00;-4,15
100;7;АйСиБиСи Банк;3475;Москва и обл.;50 166 393,00;46 566 041,00;3 600 352,00;7,73
101;1;Межтопэнергобанк;2956;Москва и обл.;49 090 118,00;49 043 293,00;46 825,00;0,10
102;7;Фора-Банк;1885;Москва и обл.;48 232 367,00;46 077 957,00;2 154 410,00;4,68
103;1;Газэнергобанк;3252;Калужская обл.;48 056 229,00;47 817 967,00;238 262,00;0,50
104;9;Еврофинанс Моснарбанк;2402;Москва и обл.;47 233 246,00;41 748 325,00;5 484 921,00;13,14
105;1;Примсоцбанк;2733;Приморский край;47 022 877,00;46 789 438,00;233 439,00;0,50
106;4;Челябинвестбанк;493;Челябинская обл.;47 012 015,00;45 532 221,00;1 479 794,00;3,25
107;4;Левобережный;1343;Новосибирская обл.;46 931 677,00;45 149 439,00;1 782 238,00;3,95
108;-3;Челиндбанк;485;Челябинская обл.;46 920 625,00;46 982 928,00;-62 303,00;-0,13
109;-8;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;46 832 048,00;49 979 802,00;-3 147 754,00;-6,30
110;4;Интерпрогрессбанк;600;Москва и обл.;43 274 323,00;41 043 181,00;2 231 142,00;5,44
111;4;Саровбизнесбанк;2048;Нижегородская обл.;40 918 261,00;39 682 167,00;1 236 094,00;3,11
112;4;Севергазбанк;2816;Вологодская обл.;39 485 879,00;37 169 010,00;2 316 869,00;6,23
113;-18;Бинбанк Диджитал;2827;Москва и обл.;38 647 082,00;53 801 041,00;-15 153 959,00;-28,17
114;24;Финанс Бизнес Банк;520;Москва и обл.;37 796 149,00;27 923 154,00;9 872 995,00;35,36
115;4;Квантмобайл Банк;1189;Москва и обл.;36 833 507,00;34 550 326,00;2 283 181,00;6,61
116;24;Платежный Центр;3166;Новосибирская обл.;34 785 772,00;27 185 548,00;7 600 224,00;27,96
117;5;НС Банк;3124;Москва и обл.;34 325 756,00;32 672 462,00;1 653 294,00;5,06
118;-6;Коммерцбанк (Евразия);3333;Москва и обл.;34 007 405,00;42 777 700,00;-8 770 295,00;-20,50
119;14;Московское Ипотечное Агентство;3344;Москва и обл.;33 096 312,00;28 902 437,00;4 193 875,00;14,51
120;4;Кольцо Урала;65;Свердловская обл.;32 727 042,00;32 301 054,00;425 988,00;1,32
121;6;Генбанк;2490;Симферополь;31 924 713,00;30 872 930,00;1 051 783,00;3,41
122;13;Интерпромбанк;3266;Москва и обл.;31 394 464,00;28 821 494,00;2 572 970,00;8,93
123;3;БыстроБанк;1745;Удмуртия;31 260 016,00;31 537 206,00;-277 190,00;-0,88
124;13;Алмазэргиэнбанк;2602;Саха (Якутия);30 642 012,00;28 635 479,00;2 006 533,00;7,01
125;4;Русский Международный Банк;3123;Москва и обл.;30 249 216,00;29 669 315,00;579 901,00;1,95
126;-3;Фольксваген Банк Рус;3500;Москва и обл.;30 223 156,00;32 469 433,00;-2 246 277,00;-6,92
127;1;Солидарность;554;Самарская обл.;30 066 618,00;30 235 532,00;-168 914,00;-0,56
128;4;Кредит Урал Банк;2584;Челябинская обл.;29 785 425,00;29 044 533,00;740 892,00;2,55
129;-12;Интехбанк;2705;Татарстан;29 762 660,00;35 199 920,00;-5 437 260,00;-15,45
130;-10;Дальневосточный Банк;843;Приморский край;29 740 346,00;34 183 796,00;-4 443 450,00;-13,00
131;-13;Бэнк оф Чайна;2309;Москва и обл.;29 460 757,00;34 829 182,00;-5 368 425,00;-15,41
132;2;Приморье;3001;Приморский край;29 242 372,00;28 864 010,00;378 362,00;1,31
133;6;АктивКапитал Банк;3006;Самарская обл.;28 836 737,00;27 512 123,00;1 324 614,00;4,81
134;-9;Национальный Стандарт;3421;Москва и обл.;28 745 103,00;31 834 605,00;-3 089 502,00;-9,70
135;-14;Объединенный Капитал;2611;Санкт-Петербург и обл.;28 374 157,00;33 252 517,00;-4 878 360,00;-14,67
136;-6;Аресбанк;2914;Москва и обл.;28 273 188,00;29 638 164,00;-1 364 976,00;-4,61
137;6;Газбанк;2316;Самарская обл.;27 600 152,00;26 390 439,00;1 209 713,00;4,58
138;-7;МБА-Москва;3395;Москва и обл.;27 187 390,00;29 054 513,00;-1 867 123,00;-6,43
139;5;Данске Банк;3307;Санкт-Петербург и обл.;26 706 421,00;25 823 508,00;882 913,00;3,42
140;25;Мир Бизнес Банк;3396;Москва и обл.;26 559 348,00;19 529 503,00;7 029 845,00;36,00
141;0;СЭБ Банк;3235;Санкт-Петербург и обл.;25 809 449,00;26 520 020,00;-710 571,00;-2,68
142;0;Девон-Кредит;1972;Татарстан;25 714 319,00;26 441 664,00;-727 345,00;-2,75
143;11;Татсоцбанк;480;Татарстан;25 421 497,00;22 541 197,00;2 880 300,00;12,78
144;1;Липецккомбанк;1242;Липецкая обл.;25 329 461,00;25 634 451,00;-304 990,00;-1,19
145;1;Ланта-Банк;1920;Москва и обл.;24 973 883,00;25 342 673,00;-368 790,00;-1,46
146;4;Энерготрансбанк;1307;Калининградская обл.;24 656 361,00;23 465 806,00;1 190 555,00;5,07
147;6;БМВ Банк;3482;Москва и обл.;24 633 107,00;23 096 552,00;1 536 555,00;6,65
148;13;Чайна Констракшн;3515;Москва и обл.;24 522 927,00;20 810 115,00;3 712 812,00;17,84
149;-1;Агропромкредит;2880;Москва и обл.;24 383 461,00;24 061 245,00;322 216,00;1,34
150;-3;Акибанк;2587;Татарстан;24 048 424,00;25 264 862,00;-1 216 438,00;-4,81
151;0;Урал ФД;249;Пермская обл.;23 495 845,00;23 193 313,00;302 532,00;1,30
152;17;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;22 581 775,00;18 235 393,00;4 346 382,00;23,83
153;3;Энергобанк;67;Татарстан;22 292 148,00;22 478 623,00;-186 475,00;-0,83
154;1;Спурт Банк;2207;Татарстан;22 240 436,00;22 534 289,00;-293 853,00;-1,30
155;2;Легион;3117;Москва и обл.;21 733 990,00;21 810 867,00;-76 877,00;-0,35
156;-7;Москоммерцбанк;3365;Москва и обл.;21 629 094,00;23 989 449,00;-2 360 355,00;-9,84
157;2;Курскпромбанк;735;Курская обл.;21 221 473,00;21 696 157,00;-474 684,00;-2,19
158;12;Джей энд Ти Банк;3061;Москва и обл.;20 783 533,00;17 933 849,00;2 849 684,00;15,89
159;3;Мерседес-Бенц Банк Рус;3473;Москва и обл.;20 370 668,00;19 912 781,00;457 887,00;2,30
160;4;Хлынов;254;Кировская обл.;20 194 419,00;19 616 376,00;578 043,00;2,95
161;-25;Меткомбанк (Череповец);901;Вологодская обл.;19 899 496,00;28 780 445,00;-8 880 949,00;-30,86
162;4;НБД-Банк;1966;Нижегородская обл.;19 893 118,00;19 409 829,00;483 289,00;2,49
163;-3;Собинбанк;1317;Москва и обл.;19 808 231,00;21 292 107,00;-1 483 876,00;-6,97
164;4;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;19 165 062,00;18 626 619,00;538 443,00;2,89
165;2;Тольяттихимбанк;2507;Самарская обл.;18 880 384,00;19 302 573,00;-422 189,00;-2,19
166;-14;Натиксис Банк;3390;Москва и обл.;18 502 626,00;23 125 076,00;-4 622 450,00;-19,99
167;4;Банк Кредит Свисс;2494;Москва и обл.;17 559 593,00;17 603 078,00;-43 485,00;-0,25
168;15;Инбанк;1829;Москва и обл.;17 417 837,00;15 816 785,00;1 601 052,00;10,12
169;5;Рублев;3098;Москва и обл.;17 206 841,00;17 070 320,00;136 521,00;0,80
170;25;НК Банк;2755;Москва и обл.;16 941 464,00;14 415 645,00;2 525 819,00;17,52
171;9;Кошелев-Банк;3300;Самарская обл.;16 896 009,00;16 057 527,00;838 482,00;5,22
172;0;Держава;2738;Москва и обл.;16 781 513,00;17 502 264,00;-720 751,00;-4,12
173;0;Алеф-Банк;2119;Москва и обл.;16 576 301,00;17 432 101,00;-855 800,00;-4,91
174;8;Пойдем!;2534;Москва и обл.;16 030 561,00;15 913 943,00;116 618,00;0,73
175;9;Банк Акцепт;567;Новосибирская обл.;16 014 449,00;15 535 309,00;479 140,00;3,08
176;1;Развитие-Столица;3013;Москва и обл.;15 800 659,00;16 572 789,00;-772 130,00;-4,66
177;4;Уралтрансбанк;812;Свердловская обл.;15 763 316,00;15 970 670,00;-207 354,00;-1,30
178;7;Нацинвестпромбанк;3077;Москва и обл.;15 656 018,00;15 087 210,00;568 808,00;3,77
179;-3;Темпбанк;55;Москва и обл.;15 572 128,00;16 694 355,00;-1 122 227,00;-6,72
180;6;Объединенный Кредитный Банк;1118;Ярославская обл.;15 475 501,00;14 985 482,00;490 019,00;3,27
181;15;Александровский;53;Санкт-Петербург и обл.;15 467 232,00;14 327 032,00;1 140 200,00;7,96
182;10;Солидарность (Москва);1555;Москва и обл.;15 010 872,00;14 605 607,00;405 265,00;2,77
183;-4;Денизбанк Москва;3330;Москва и обл.;14 954 850,00;16 161 509,00;-1 206 659,00;-7,47
184;9;Норвик Банк;902;Кировская обл.;14 515 636,00;14 507 649,00;7 987,00;0,06
185;5;Гарант-Инвест;2576;Москва и обл.;14 422 689,00;14 669 181,00;-246 492,00;-1,68
186;5;Русский Ипотечный Банк;1968;Москва и обл.;14 397 855,00;14 645 205,00;-247 350,00;-1,69
187;7;Национальный Резервный Банк;2170;Москва и обл.;14 337 105,00;14 445 378,00;-108 273,00;-0,75
188;11;РосДорБанк;1573;Москва и обл.;14 324 165,00;13 970 476,00;353 689,00;2,53
189;-2;Морской Банк;77;Москва и обл.;14 186 183,00;14 981 005,00;-794 822,00;-5,31
190;8;Банк Казани;708;Татарстан;14 108 920,00;13 983 198,00;125 722,00;0,90
191;-2;Форштадт;2208;Оренбургская обл.;14 068 824,00;14 669 257,00;-600 433,00;-4,09
192;-14;Расчетно-Кредитный Банк;103;Москва и обл.;13 958 465,00;16 194 666,00;-2 236 201,00;-13,81
193;-5;Ишбанк;2867;Москва и обл.;13 823 598,00;14 726 463,00;-902 865,00;-6,13
194;3;Прио-Внешторгбанк;212;Рязанская обл.;13 803 861,00;14 067 422,00;-263 561,00;-1,87
195;14;Национальная Факторинговая Компания;3437;Москва и обл.;13 376 682,00;11 820 291,00;1 556 391,00;13,17
196;7;КС Банк;1752;Мордовия;12 930 898,00;12 495 597,00;435 301,00;3,48
197;9;Нижневолжский Коммерческий Банк;931;Саратовская обл.;12 914 641,00;12 107 625,00;807 016,00;6,67
198;3;Гранд Инвест Банк;3053;Москва и обл.;12 792 918,00;13 436 886,00;-643 968,00;-4,79
199;28;Киви Банк;2241;Москва и обл.;12 470 944,00;9 563 905,00;2 907 039,00;30,40
200;2;Агросоюз;1459;Москва и обл.;12 270 515,00;12 853 639,00;-583 124,00;-4,54
201;3;Банк ВВБ;1093;Севастополь;12 247 695,00;12 473 427,00;-225 732,00;-1,81
202;3;Русьуниверсалбанк;3293;Москва и обл.;12 137 567,00;12 299 580,00;-162 013,00;-1,32
203;4;Тройка-Д Банк;3431;Москва и обл.;12 066 677,00;12 046 888,00;19 789,00;0,16
204;-29;Ури Банк;3479;Москва и обл.;11 959 858,00;16 735 609,00;-4 775 751,00;-28,54
205;3;ТЭМБР-Банк;2764;Москва и обл.;11 851 360,00;12 024 023,00;-172 663,00;-1,44
206;7;Солид Банк;1329;Камчатская обл.;11 777 046,00;11 503 380,00;273 666,00;2,38
207;5;НИКО-Банк;702;Оренбургская обл.;11 722 882,00;11 631 951,00;90 931,00;0,78
208;3;Первомайский;518;Краснодарский край;11 493 364,00;11 652 697,00;-159 333,00;-1,37
209;6;Датабанк;646;Удмуртия;11 477 086,00;10 989 657,00;487 429,00;4,44
210;0;Современный Коммерческий Инновационный Банк;3329;Костромская обл.;11 264 014,00;11 660 514,00;-396 500,00;-3,40
211;-53;Российская Финансовая Корпорация;3099;Москва и обл.;11 207 411,00;21 710 952,00;-10 503 541,00;-48,38
212;10;Таатта;1249;Саха (Якутия);11 146 071,00;10 368 030,00;778 041,00;7,50
213;-13;Морган Стэнли Банк;3456;Москва и обл.;10 839 306,00;13 842 135,00;-3 002 829,00;-21,69
214;2;Русский Торговый Банк;2842;Москва и обл.;10 756 427,00;10 896 878,00;-140 451,00;-1,29
215;4;Нефтяной Альянс;2859;Москва и обл.;10 750 675,00;10 587 232,00;163 443,00;1,54
216;2;Новопокровский;467;Краснодарский край;10 693 698,00;10 854 377,00;-160 679,00;-1,48
217;3;Банк Жилищного Финансирования;3138;Москва и обл.;10 680 888,00;10 558 863,00;122 025,00;1,16
218;3;Ассоциация;732;Нижегородская обл.;10 546 838,00;10 435 064,00;111 774,00;1,07
219;-2;Банк Оренбург;3269;Оренбургская обл.;10 479 674,00;10 859 670,00;-379 996,00;-3,50
220;-6;Промтрансбанк;2638;Башкортостан;10 109 765,00;11 157 684,00;-1 047 919,00;-9,39
221;11;Модульбанк;1927;Костромская обл.;10 055 717,00;8 847 968,00;1 207 749,00;13,65
222;1;Юг-Инвестбанк;2772;Краснодарский край;10 048 210,00;10 063 647,00;-15 437,00;-0,15
223;5;Екатеринбург;3161;Свердловская обл.;9 912 465,00;9 218 776,00;693 689,00;7,52
224;0;Торговый Городской Банк;3180;Москва и обл.;9 790 380,00;9 968 857,00;-178 477,00;-1,79
225;1;Снежинский;1376;Челябинская обл.;9 770 196,00;9 671 657,00;98 539,00;1,02
226;8;Энергомашбанк;52;Санкт-Петербург и обл.;9 306 657,00;8 799 266,00;507 391,00;5,77
227;6;Автоторгбанк;2776;Москва и обл.;9 297 154,00;8 812 271,00;484 883,00;5,50
228;-3;СИАБ;3245;Санкт-Петербург и обл.;9 226 721,00;9 775 766,00;-549 045,00;-5,62
229;34;КЭБ ЭйчЭнБи Банк;3525;Москва и обл.;9 173 715,00;7 125 678,00;2 048 037,00;28,74
230;6;Нефтепромбанк;2156;Москва и обл.;9 078 022,00;8 746 867,00;331 155,00;3,79
231;10;Анкор Банк;889;Татарстан;8 856 940,00;8 494 567,00;362 373,00;4,27
232;10;Северо-Восточный Альянс;2768;Москва и обл.;8 816 250,00;8 294 066,00;522 184,00;6,30
233;14;Воронеж;654;Воронежская обл.;8 646 746,00;8 131 106,00;515 640,00;6,34
234;-3;РусЮгбанк;2093;Волгоградская обл.;8 549 819,00;8 906 732,00;-356 913,00;-4,01
235;2;Славия;2664;Москва и обл.;8 513 173,00;8 626 706,00;-113 533,00;-1,32
236;2;Московский Нефтехимический Банк;1411;Москва и обл.;8 461 873,00;8 573 675,00;-111 802,00;-1,30
237;7;Эксперт Банк;2949;Омская обл.;8 432 115,00;8 197 433,00;234 682,00;2,86
238;8;Енисей;474;Красноярский край;8 335 698,00;8 161 943,00;173 755,00;2,13
239;1;Вокбанк;312;Нижегородская обл.;8 307 130,00;8 536 994,00;-229 864,00;-2,69
240;29;МС Банк Рус;2789;Москва и обл.;8 288 668,00;6 798 499,00;1 490 169,00;21,92
241;2;Трансстройбанк;2807;Москва и обл.;8 271 977,00;8 273 241,00;-1 264,00;-0,02
242;3;Ставропольпромстройбанк;1288;Ставропольский край;8 098 596,00;8 195 389,00;-96 793,00;-1,18
243;10;Северный Кредит;2398;Вологодская обл.;8 075 280,00;7 871 895,00;203 385,00;2,58
244;8;Союзный;3236;Москва и обл.;8 046 256,00;7 885 787,00;160 469,00;2,03
245;6;Кранбанк;2271;Ивановская обл.;8 009 035,00;7 913 730,00;95 305,00;1,20
246;3;Томскпромстройбанк;1720;Томская обл.;7 885 708,00;7 994 720,00;-109 012,00;-1,36
247;9;Реалист Банк;1067;Иркутская обл.;7 863 450,00;7 527 057,00;336 393,00;4,47
248;27;Мосуралбанк;2468;Москва и обл.;7 619 706,00;6 620 881,00;998 825,00;15,09
249;36;Голдман Сакс Банк;3490;Москва и обл.;7 618 080,00;6 311 793,00;1 306 287,00;20,70
250;14;Актив Банк;2529;Мордовия;7 617 293,00;7 123 574,00;493 719,00;6,93
251;3;Азия-Инвест Банк;3303;Москва и обл.;7 579 935,00;7 852 710,00;-272 775,00;-3,47
252;-22;Банк на Гончарной (бывш. Япы Креди Банк Москва);2555;Москва и обл.;7 536 900,00;9 073 507,00;-1 536 607,00;-16,94
253;9;НБК-Банк;3283;Москва и обл.;7 487 828,00;7 152 014,00;335 814,00;4,70
254;11;Финам Банк;2799;Москва и обл.;7 280 238,00;6 944 402,00;335 836,00;4,84
255;6;Чувашкредитпромбанк;1280;Чувашия;7 265 235,00;7 239 904,00;25 331,00;0,35
256;3;Белгородсоцбанк;760;Белгородская обл.;7 254 622,00;7 333 492,00;-78 870,00;-1,08
257;24;Проминвестбанк;2433;Москва и обл.;7 250 249,00;6 449 060,00;801 189,00;12,42
258;0;Муниципальный Камчатпрофитбанк;2103;Камчатская обл.;7 248 501,00;7 348 266,00;-99 765,00;-1,36
