Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Декабрь, 2019, тыс. рублей;Ноябрь, 2019, тыс. рублей;Изменение, тыс. рублей;Изменение, %
23;1;СМП Банк;3368;Москва и обл.;476 640 479,00;456 813 140,00;19 827 339,00;4,34
24;1;Новикомбанк;2546;Москва и обл.;457 395 587,00;456 109 757,00;1 285 830,00;0,28
25;1;Московский Индустриальный Банк;912;Москва и обл.;439 484 740,00;429 391 299,00;10 093 441,00;2,35
26;-5;Московский Областной Банк;1751;Москва и обл.;436 595 964,00;538 739 746,00;-102 143 782,00;-18,96
27;1;Русский Стандарт;2289;Москва и обл.;328 897 384,00;336 576 161,00;-7 678 777,00;-2,28
28;-1;Пересвет;2110;Москва и обл.;325 671 854,00;347 959 868,00;-22 288 014,00;-6,41
29;0;Банк ДОМ.РФ;2312;Москва и обл.;299 968 986,00;296 403 901,00;3 565 085,00;1,20
30;1;Связь-Банк;1470;Москва и обл.;291 084 487,00;284 098 417,00;6 986 070,00;2,46
31;-1;Абсолют Банк;2306;Москва и обл.;286 960 736,00;284 977 856,00;1 982 880,00;0,70
32;1;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;282 218 364,00;282 991 477,00;-773 113,00;-0,27
33;1;Хоум Кредит Банк;316;Москва и обл.;280 215 065,00;270 695 219,00;9 519 846,00;3,52
34;-2;Возрождение;1439;Москва и обл.;271 299 917,00;283 886 142,00;-12 586 225,00;-4,43
35;1;Банк Зенит;3255;Москва и обл.;256 365 625,00;244 395 281,00;11 970 344,00;4,90
36;2;ИНГ Банк;2495;Москва и обл.;250 166 793,00;235 520 790,00;14 646 003,00;6,22
37;0;Восточный Банк;1460;Амурская обл.;245 416 970,00;244 027 090,00;1 389 880,00;0,57
38;-3;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;241 727 769,00;244 558 064,00;-2 830 295,00;-1,16
39;1;РНКБ;1354;Симферополь;204 083 804,00;202 047 816,00;2 035 988,00;1,01
40;-1;Национальный Расчетный Депозитарий;3294;Москва и обл.;202 241 887,00;220 272 335,00;-18 030 448,00;-8,19
41;1;МТС Банк;2268;Москва и обл.;198 830 144,00;190 338 910,00;8 491 234,00;4,46
42;-1;Инвестторгбанк;2763;Москва и обл.;198 047 630,00;198 966 409,00;-918 779,00;-0,46
43;0;Ренессанс Кредит;3354;Москва и обл.;176 887 718,00;181 885 321,00;-4 997 603,00;-2,75
44;0;ОТП Банк;2766;Москва и обл.;174 928 613,00;173 441 487,00;1 487 126,00;0,86
45;0;Экспресс-Волга;3085;Костромская обл.;172 703 554,00;170 293 642,00;2 409 912,00;1,42
46;0;Транскапиталбанк;2210;Москва и обл.;165 512 713,00;165 705 798,00;-193 085,00;-0,12
47;0;Русфинанс Банк;1792;Самарская обл.;159 522 301,00;162 386 601,00;-2 864 300,00;-1,76
48;1;Сетелем Банк;2168;Москва и обл.;151 018 421,00;149 002 211,00;2 016 210,00;1,35
49;-1;Кредит Европа Банк;3311;Москва и обл.;148 133 905,00;154 054 660,00;-5 920 755,00;-3,84
50;1;Запсибкомбанк;918;Тюменская обл.;140 757 224,00;137 416 097,00;3 341 127,00;2,43
51;-1;Росэксимбанк;2790;Москва и обл.;137 305 003,00;146 315 869,00;-9 010 866,00;-6,16
52;0;Роскосмосбанк;2989;Москва и обл.;135 277 287,00;132 136 878,00;3 140 409,00;2,38
53;0;Авангард;2879;Москва и обл.;131 980 644,00;131 756 949,00;223 695,00;0,17
54;0;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;130 516 741,00;131 097 882,00;-581 141,00;-0,44
55;0;Центр-инвест;2225;Ростовская обл.;125 419 478,00;123 933 479,00;1 485 999,00;1,20
56;1;ЦентроКредит;121;Москва и обл.;122 237 858,00;120 806 353,00;1 431 505,00;1,18
57;-1;Банк Финсервис;3388;Москва и обл.;122 006 640,00;122 150 648,00;-144 008,00;-0,12
58;2;Таврический Банк;2304;Санкт-Петербург и обл.;119 985 629,00;115 225 704,00;4 759 925,00;4,13
59;3;Аверс;415;Татарстан;113 260 247,00;112 232 013,00;1 028 234,00;0,92
60;-2;Локо-Банк;2707;Москва и обл.;112 865 280,00;119 889 683,00;-7 024 403,00;-5,86
61;2;МСП Банк;3340;Москва и обл.;112 385 787,00;111 885 924,00;499 863,00;0,45
62;2;Кубань Кредит;2518;Краснодарский край;111 015 211,00;110 909 155,00;106 056,00;0,10
63;3;РН Банк;170;Москва и обл.;109 482 176,00;103 498 823,00;5 983 353,00;5,78
64;-3;Союз;2307;Москва и обл.;107 353 063,00;112 712 588,00;-5 359 525,00;-4,76
65;0;Металлинвестбанк;2440;Москва и обл.;99 041 455,00;104 132 389,00;-5 090 934,00;-4,89
66;-7;ВУЗ-Банк;1557;Свердловская обл.;95 335 719,00;118 532 206,00;-23 196 487,00;-19,57
67;1;СКБ-Банк;705;Свердловская обл.;93 609 471,00;93 748 794,00;-139 323,00;-0,15
68;2;Дойче Банк;3328;Москва и обл.;90 643 739,00;87 158 099,00;3 485 640,00;4,00
69;5;Мидзухо Банк;3337;Москва и обл.;83 297 951,00;73 289 648,00;10 008 303,00;13,66
70;5;Нордеа Банк;3016;Москва и обл.;80 726 040,00;72 632 338,00;8 093 702,00;11,14
71;-2;Экспобанк;2998;Москва и обл.;80 192 495,00;93 126 751,00;-12 934 256,00;-13,89
72;1;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;78 363 580,00;74 396 160,00;3 967 420,00;5,33
73;-2;Тойота Банк;3470;Москва и обл.;77 946 654,00;78 956 685,00;-1 010 031,00;-1,28
74;-2;Балтинвестбанк;3176;Санкт-Петербург и обл.;76 046 459,00;77 153 598,00;-1 107 139,00;-1,43
75;1;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;75 067 008,00;71 959 803,00;3 107 205,00;4,32
76;-9;Банк Кредит Свисс;2494;Москва и обл.;74 883 734,00;97 431 661,00;-22 547 927,00;-23,14
77;0;БКС Банк;101;Москва и обл.;70 377 960,00;70 678 335,00;-300 375,00;-0,42
78;3;СДМ-Банк;1637;Москва и обл.;70 274 806,00;64 841 834,00;5 432 972,00;8,38
79;0;Левобережный;1343;Новосибирская обл.;68 472 357,00;67 044 837,00;1 427 520,00;2,13
80;4;Банк Интеза;2216;Москва и обл.;67 403 624,00;61 881 389,00;5 522 235,00;8,92
81;-3;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;66 990 124,00;68 387 728,00;-1 397 604,00;-2,04
82;-2;Примсоцбанк;2733;Приморский край;66 752 701,00;66 199 051,00;553 650,00;0,84
83;-1;Эм-Ю-Эф-Джи Банк (Евразия);3465;Москва и обл.;66 204 938,00;63 645 271,00;2 559 667,00;4,02
84;5;АйСиБиСи Банк;3475;Москва и обл.;66 111 659,00;58 255 256,00;7 856 403,00;13,49
85;0;Коммерцбанк (Евразия);3333;Москва и обл.;61 541 757,00;60 737 503,00;804 254,00;1,32
86;0;Крайинвестбанк;3360;Краснодарский край;59 909 772,00;60 499 696,00;-589 924,00;-0,98
87;1;ББР Банк;2929;Москва и обл.;58 541 229,00;58 540 620,00;609,00;0,00
88;-1;Севергазбанк;2816;Вологодская обл.;58 096 364,00;60 054 440,00;-1 958 076,00;-3,26
89;3;Энерготрансбанк;1307;Калининградская обл.;57 639 145,00;56 775 967,00;863 178,00;1,52
90;3;Фора-Банк;1885;Москва и обл.;57 439 979,00;55 951 826,00;1 488 153,00;2,66
91;0;Челиндбанк;485;Челябинская обл.;57 168 923,00;56 800 594,00;368 329,00;0,65
92;-2;РГС Банк;3073;Москва и обл.;56 526 943,00;57 553 877,00;-1 026 934,00;-1,78
93;1;Челябинвестбанк;493;Челябинская обл.;55 569 599,00;54 338 070,00;1 231 529,00;2,27
94;1;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;52 595 345,00;54 198 420,00;-1 603 075,00;-2,96
95;2;Генбанк;2490;Симферополь;51 882 415,00;51 884 671,00;-2 256,00;-0,00
96;-13;СЭБ Банк;3235;Санкт-Петербург и обл.;49 813 498,00;62 216 333,00;-12 402 835,00;-19,94
97;1;Газэнергобанк;3252;Калужская обл.;49 261 868,00;49 100 414,00;161 454,00;0,33
98;12;Международный Финансовый Клуб;2618;Москва и обл.;48 500 542,00;38 597 633,00;9 902 909,00;25,66
99;0;Киви Банк;2241;Москва и обл.;48 496 906,00;47 481 105,00;1 015 801,00;2,14
100;1;Саровбизнесбанк;2048;Нижегородская обл.;47 592 726,00;46 395 247,00;1 197 479,00;2,58
101;6;Платежный Центр;3166;Новосибирская обл.;46 719 001,00;43 397 286,00;3 321 715,00;7,65
102;1;БМВ Банк;3482;Москва и обл.;46 370 480,00;44 507 793,00;1 862 687,00;4,19
103;-7;Аресбанк;2914;Москва и обл.;44 671 828,00;53 307 895,00;-8 636 067,00;-16,20
104;4;Мир Бизнес Банк;3396;Москва и обл.;44 155 428,00;41 971 535,00;2 183 893,00;5,20
105;-1;Фольксваген Банк Рус;3500;Москва и обл.;43 897 284,00;44 417 928,00;-520 644,00;-1,17
106;-1;Солидарность;554;Самарская обл.;43 557 065,00;43 833 330,00;-276 265,00;-0,63
107;-7;БНП Париба Банк;3407;Москва и обл.;43 101 408,00;47 309 177,00;-4 207 769,00;-8,89
108;-2;Объединенный Капитал;2611;Санкт-Петербург и обл.;41 678 133,00;43 585 594,00;-1 907 461,00;-4,38
109;2;Кольцо Урала;65;Свердловская обл.;41 348 498,00;38 165 795,00;3 182 703,00;8,34
110;3;Дж. П. Морган Банк;2629;Москва и обл.;41 116 183,00;37 127 343,00;3 988 840,00;10,74
111;-9;Бэнк оф Чайна;2309;Москва и обл.;40 634 473,00;44 521 756,00;-3 887 283,00;-8,73
112;-3;БыстроБанк;1745;Удмуртия;39 625 024,00;39 098 430,00;526 594,00;1,35
113;1;Интерпрогрессбанк;600;Москва и обл.;37 958 520,00;36 575 433,00;1 383 087,00;3,78
114;-2;Дальневосточный Банк;843;Приморский край;37 831 835,00;37 672 850,00;158 985,00;0,42
115;0;Приморье;3001;Приморский край;35 310 168,00;35 179 314,00;130 854,00;0,37
116;1;Кредит Урал Банк;2584;Челябинская обл.;34 540 973,00;33 167 400,00;1 373 573,00;4,14
117;19;Держава;2738;Москва и обл.;34 415 616,00;23 566 311,00;10 849 305,00;46,04
118;2;Квантмобайл Банк;1189;Москва и обл.;33 048 876,00;31 171 769,00;1 877 107,00;6,02
119;0;Национальный Стандарт;3421;Москва и обл.;31 458 762,00;31 387 182,00;71 580,00;0,23
120;-2;НС Банк;3124;Москва и обл.;31 014 816,00;31 510 548,00;-495 732,00;-1,57
121;1;Алмазэргиэнбанк;2602;Саха (Якутия);30 724 079,00;30 370 172,00;353 907,00;1,17
122;1;МС Банк Рус;2789;Москва и обл.;30 083 927,00;29 458 502,00;625 425,00;2,12
123;1;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;27 851 717,00;27 363 825,00;487 892,00;1,78
124;8;Натиксис Банк;3390;Москва и обл.;27 292 593,00;25 370 635,00;1 921 958,00;7,58
125;1;Курскпромбанк;735;Курская обл.;26 684 402,00;26 487 764,00;196 638,00;0,74
126;1;Урал ФД;249;Пермская обл.;25 985 520,00;26 142 451,00;-156 931,00;-0,60
127;2;Акибанк;2587;Татарстан;25 746 287,00;25 455 032,00;291 255,00;1,14
128;3;Мерседес-Бенц Банк Рус;3473;Москва и обл.;25 671 000,00;25 386 483,00;284 517,00;1,12
129;1;Интерпромбанк;3266;Москва и обл.;25 530 149,00;25 433 753,00;96 396,00;0,38
130;3;Экономбанк;1319;Саратовская обл.;25 194 505,00;25 014 519,00;179 986,00;0,72
131;3;Хлынов;254;Кировская обл.;25 184 171,00;24 773 979,00;410 192,00;1,66
132;6;Кошелев-Банк;3300;Самарская обл.;24 817 452,00;22 060 211,00;2 757 241,00;12,50
133;-5;Ланта-Банк;1920;Москва и обл.;24 608 623,00;26 059 099,00;-1 450 476,00;-5,57
134;1;Энергобанк;67;Татарстан;23 974 681,00;23 821 165,00;153 516,00;0,64
135;-10;Голдман Сакс Банк;3490;Москва и обл.;23 844 798,00;26 873 307,00;-3 028 509,00;-11,27
136;-15;ЦМРБанк;3531;Москва и обл.;23 666 376,00;30 689 664,00;-7 023 288,00;-22,88
137;6;Москоммерцбанк;3365;Москва и обл.;22 926 790,00;19 874 834,00;3 051 956,00;15,36
138;3;Чайна Констракшн;3515;Москва и обл.;22 148 876,00;20 354 927,00;1 793 949,00;8,81
139;-2;Джей энд Ти Банк;3061;Москва и обл.;21 549 440,00;22 583 869,00;-1 034 429,00;-4,58
140;0;НБД-Банк;1966;Нижегородская обл.;21 110 910,00;20 860 116,00;250 794,00;1,20
141;-2;Банк Акцепт;567;Новосибирская обл.;21 021 278,00;21 646 587,00;-625 309,00;-2,89
142;5;Модульбанк;1927;Костромская обл.;20 483 714,00;19 199 513,00;1 284 201,00;6,69
143;1;Татсоцбанк;480;Татарстан;20 328 897,00;19 871 412,00;457 485,00;2,30
144;11;Ури Банк;3479;Москва и обл.;20 262 281,00;16 857 363,00;3 404 918,00;20,20
145;-3;Пойдем!;2534;Москва и обл.;20 228 154,00;19 921 280,00;306 874,00;1,54
146;-1;Тольяттихимбанк;2507;Самарская обл.;19 519 884,00;19 766 993,00;-247 109,00;-1,25
147;11;Денизбанк Москва;3330;Москва и обл.;19 402 441,00;16 609 028,00;2 793 413,00;16,82
148;-2;Агропромкредит;2880;Москва и обл.;19 176 841,00;19 342 436,00;-165 595,00;-0,86
149;-1;Александровский;53;Санкт-Петербург и обл.;18 726 989,00;18 244 134,00;482 855,00;2,65
150;-1;Инбанк;1829;Москва и обл.;18 616 169,00;18 061 490,00;554 679,00;3,07
151;0;РосДорБанк;1573;Москва и обл.;18 354 683,00;17 529 792,00;824 891,00;4,71
152;2;Московское Ипотечное Агентство;3344;Москва и обл.;18 046 277,00;17 383 571,00;662 706,00;3,81
153;0;Прио-Внешторгбанк;212;Рязанская обл.;17 792 389,00;17 390 159,00;402 230,00;2,31
154;-2;Алеф-Банк;2119;Москва и обл.;17 307 034,00;17 414 833,00;-107 799,00;-0,62
155;-5;Ишбанк;2867;Москва и обл.;17 097 639,00;17 709 278,00;-611 639,00;-3,45
156;3;Морской Банк;77;Москва и обл.;16 530 138,00;16 365 987,00;164 151,00;1,00
157;7;Форштадт;2208;Оренбургская обл.;16 273 390,00;15 680 930,00;592 460,00;3,78
158;4;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;16 177 031,00;16 126 827,00;50 204,00;0,31
159;1;Норвик Банк;902;Кировская обл.;16 116 503,00;16 234 863,00;-118 360,00;-0,73
160;3;Развитие-Столица;3013;Москва и обл.;16 065 702,00;16 018 127,00;47 575,00;0,30
161;22;ЮMoney;3510;Россия;15 584 236,00;12 034 973,00;3 549 263,00;29,49
162;-6;Национальная Факторинговая Компания;3437;Москва и обл.;15 425 072,00;16 804 583,00;-1 379 511,00;-8,21
163;3;НК Банк;2755;Москва и обл.;15 302 566,00;15 095 728,00;206 838,00;1,37
164;23;КЭБ ЭйчЭнБи Банк;3525;Москва и обл.;14 937 263,00;11 545 155,00;3 392 108,00;29,38
165;0;Финанс Бизнес Банк;520;Москва и обл.;14 561 114,00;15 462 274,00;-901 160,00;-5,83
166;2;Чайнасельхозбанк;3529;Москва и обл.;14 395 208,00;14 378 085,00;17 123,00;0,12
167;-6;РЕСО Кредит;3450;Москва и обл.;14 369 846,00;16 156 877,00;-1 787 031,00;-11,06
168;1;Банк Казани;708;Татарстан;14 112 499,00;13 864 370,00;248 129,00;1,79
169;-2;Гарант-Инвест;2576;Москва и обл.;13 678 866,00;14 627 995,00;-949 129,00;-6,49
170;16;Инкахран;3454;Москва и обл.;13 621 917,00;11 591 486,00;2 030 431,00;17,52
171;-1;Руснарбанк;3403;Москва и обл.;13 228 137,00;13 457 384,00;-229 247,00;-1,70
172;3;КС Банк;1752;Мордовия;13 128 959,00;12 985 618,00;143 341,00;1,10
173;-2;Реалист Банк;1067;Москва и обл.;13 083 658,00;13 080 800,00;2 858,00;0,02
174;-2;Собинбанк;1317;Москва и обл.;13 063 371,00;13 062 542,00;829,00;0,01
175;-1;Национальный Резервный Банк;2170;Москва и обл.;12 949 002,00;12 990 934,00;-41 932,00;-0,32
176;1;Эс-Би-Ай Банк;3185;Москва и обл.;12 931 173,00;12 892 730,00;38 443,00;0,30
177;3;Промтрансбанк;2638;Башкортостан;12 871 759,00;12 511 976,00;359 783,00;2,88
178;1;НИКО-Банк;702;Оренбургская обл.;12 755 432,00;12 579 825,00;175 607,00;1,40
179;2;Банк Оренбург;3269;Оренбургская обл.;12 547 901,00;12 385 822,00;162 079,00;1,31
180;-2;Нижневолжский Коммерческий Банк;931;Саратовская обл.;12 507 804,00;12 693 536,00;-185 732,00;-1,46
181;-5;Консервативный Коммерческий Банк;1087;Астраханская обл.;12 470 892,00;12 965 478,00;-494 586,00;-3,81
182;3;Датабанк;646;Удмуртия;12 228 118,00;11 880 900,00;347 218,00;2,92
183;-1;Снежинский;1376;Челябинская обл.;11 997 642,00;12 142 398,00;-144 756,00;-1,19
184;0;Юг-Инвестбанк;2772;Краснодарский край;11 917 210,00;11 956 377,00;-39 167,00;-0,33
185;-12;ТЭМБР-Банк;2764;Москва и обл.;11 879 353,00;13 026 611,00;-1 147 258,00;-8,81
186;3;Нацинвестпромбанк;3077;Москва и обл.;11 715 466,00;11 317 005,00;398 461,00;3,52
187;1;Актив Банк;2529;Мордовия;11 447 808,00;11 480 835,00;-33 027,00;-0,29
188;7;Банк Раунд;2506;Москва и обл.;10 890 141,00;10 324 608,00;565 533,00;5,48
189;1;МБА-Москва;3395;Москва и обл.;10 752 434,00;10 707 755,00;44 679,00;0,42
190;17;Итуруп;2390;Сахалинская обл.;10 751 443,00;8 129 428,00;2 622 015,00;32,25
191;3;Банк БКФ;2684;Москва и обл.;10 650 479,00;10 401 550,00;248 929,00;2,39
192;-1;Русьуниверсалбанк;3293;Москва и обл.;10 628 559,00;10 619 353,00;9 206,00;0,09
193;-1;Банк Жилищного Финансирования;3138;Москва и обл.;10 576 838,00;10 489 635,00;87 203,00;0,83
194;3;Энергомашбанк;52;Санкт-Петербург и обл.;10 430 715,00;9 982 970,00;447 745,00;4,49
195;3;Екатеринбург;3161;Свердловская обл.;10 378 823,00;9 923 180,00;455 643,00;4,59
196;0;Морган Стэнли Банк;3456;Москва и обл.;10 252 235,00;10 154 309,00;97 926,00;0,96
197;2;Солид Банк;1329;Приморский край;9 820 368,00;9 742 716,00;77 652,00;0,80
198;2;Автоторгбанк;2776;Москва и обл.;9 361 238,00;9 354 765,00;6 473,00;0,07
199;-6;Углеметбанк;2997;Челябинская обл.;9 010 319,00;10 412 937,00;-1 402 618,00;-13,47
200;2;Томскпромстройбанк;1720;Томская обл.;8 999 965,00;8 812 166,00;187 799,00;2,13
201;15;Зираат Банк;2559;Москва и обл.;8 795 102,00;7 328 750,00;1 466 352,00;20,01
202;1;Хакасский Муниципальный Банк;1049;Хакасия;8 713 623,00;8 550 020,00;163 603,00;1,91
203;1;Кранбанк;2271;Ивановская обл.;8 432 043,00;8 396 712,00;35 331,00;0,42
204;1;Нейва;1293;Свердловская обл.;8 383 760,00;8 379 056,00;4 704,00;0,06
205;3;Кузнецкбизнесбанк;1158;Кемеровская обл.;8 144 284,00;8 100 019,00;44 265,00;0,55
206;4;Ростфинанс;481;Ростовская обл.;7 986 170,00;7 771 427,00;214 743,00;2,76
207;4;Белгородсоцбанк;760;Белгородская обл.;7 702 468,00;7 771 131,00;-68 663,00;-0,88
208;4;Трансстройбанк;2807;Москва и обл.;7 702 212,00;7 672 144,00;30 068,00;0,39
209;5;Ставропольпромстройбанк;1288;Ставропольский край;7 577 666,00;7 364 311,00;213 355,00;2,90
210;3;Северный Народный Банк;2721;Коми;7 476 150,00;7 430 660,00;45 490,00;0,61
211;4;Новобанк;1352;Новгородская обл.;7 369 476,00;7 340 814,00;28 662,00;0,39
212;6;Сибсоцбанк;2015;Алтайский край;7 237 033,00;7 236 755,00;278,00;0,00
213;4;Сити Инвест Банк;3194;Санкт-Петербург и обл.;7 211 992,00;7 299 050,00;-87 058,00;-1,19
214;7;Ю Би Эс Банк;3463;Москва и обл.;7 033 674,00;6 984 241,00;49 433,00;0,71
215;5;Черноморский банк развития и реконструкции;3527;Симферополь;6 946 457,00;6 984 377,00;-37 920,00;-0,54
216;6;Агророс;2860;Саратовская обл.;6 904 243,00;6 796 456,00;107 787,00;1,59
217;2;Банк Оранжевый;1659;Санкт-Петербург и обл.;6 881 774,00;7 058 746,00;-176 972,00;-2,51
218;8;Нефтепромбанк;2156;Москва и обл.;6 814 162,00;6 499 664,00;314 498,00;4,84
219;9;ФорБанк;2063;Москва и обл.;6 744 088,00;6 488 330,00;255 758,00;3,94
220;4;Кузнецкий;609;Пензенская обл.;6 674 392,00;6 612 057,00;62 335,00;0,94
221;-20;Финам Банк;2799;Москва и обл.;6 651 390,00;9 160 417,00;-2 509 027,00;-27,39
222;1;Гута-Банк;256;Москва и обл.;6 594 058,00;6 778 538,00;-184 480,00;-2,72
223;6;Автоградбанк;1455;Татарстан;6 532 693,00;6 440 929,00;91 764,00;1,42
224;3;Славия;2664;Москва и обл.;6 433 440,00;6 494 057,00;-60 617,00;-0,93
225;5;Земский Банк;2900;Самарская обл.;6 378 283,00;6 367 456,00;10 827,00;0,17
226;8;Енисейский Объединенный Банк;2645;Красноярский край;6 360 696,00;5 991 106,00;369 590,00;6,17
227;5;Венец;524;Ульяновская обл.;6 305 915,00;6 185 648,00;120 267,00;1,94
228;24;Горбанк;2982;Санкт-Петербург и обл.;6 046 095,00;4 412 402,00;1 633 693,00;37,03
229;-4;Проминвестбанк;2433;Москва и обл.;5 840 250,00;6 545 927,00;-705 677,00;-10,78
230;7;Русь;704;Оренбургская обл.;5 777 239,00;5 751 392,00;25 847,00;0,45
231;5;Газтрансбанк;665;Краснодарский край;5 768 706,00;5 797 065,00;-28 359,00;-0,49
232;3;Индустриальный Сберегательный Банк;3175;Москва и обл.;5 741 527,00;5 829 510,00;-87 983,00;-1,51
233;5;Кубаньторгбанк;478;Краснодарский край;5 621 816,00;5 663 049,00;-41 233,00;-0,73
234;6;Зенит Сочи;232;Краснодарский край;5 419 737,00;5 334 649,00;85 088,00;1,60
235;6;Москва-Сити;3247;Москва и обл.;5 359 350,00;5 168 185,00;191 165,00;3,70
236;6;Альба Альянс;2593;Москва и обл.;5 349 548,00;5 165 158,00;184 390,00;3,57
237;8;Азия-Инвест Банк;3303;Москва и обл.;5 299 087,00;4 950 726,00;348 361,00;7,04
238;1;Муниципальный Камчатпрофитбанк;2103;Камчатская обл.;5 267 380,00;5 436 465,00;-169 085,00;-3,11
239;-6;СИАБ;3245;Санкт-Петербург и обл.;5 256 136,00;6 098 546,00;-842 410,00;-13,81
240;3;Роял Кредит Банк;783;Приморский край;5 210 201,00;5 132 667,00;77 534,00;1,51
241;3;Стройлесбанк;2995;Тюменская обл.;5 107 532,00;5 007 031,00;100 501,00;2,01
242;4;Заубер Банк;1614;Санкт-Петербург и обл.;4 927 448,00;4 812 232,00;115 216,00;2,39
243;4;Икано Банк;3519;Москва и обл.;4 868 242,00;4 649 544,00;218 698,00;4,70
244;-13;Московский Нефтехимический Банк;1411;Москва и обл.;4 669 705,00;6 266 388,00;-1 596 683,00;-25,48
245;9;НОКССбанк;3202;Волгоградская обл.;4 555 025,00;4 370 793,00;184 232,00;4,22
246;3;Севастопольский Морской Банк;3528;Севастополь;4 543 786,00;4 559 649,00;-15 863,00;-0,35
247;1;Нэклис-Банк;1671;Москва и обл.;4 525 571,00;4 632 449,00;-106 878,00;-2,31
248;7;Крокус-Банк;2682;Москва и обл.;4 375 669,00;4 275 281,00;100 388,00;2,35
249;2;Камский Коммерческий Банк;438;Татарстан;4 354 386,00;4 463 231,00;-108 845,00;-2,44
250;22;Платина;2347;Москва и обл.;4 348 900,00;3 597 270,00;751 630,00;20,89
251;14;Долинск;857;Сахалинская обл.;4 320 634,00;3 922 902,00;397 732,00;10,14
252;9;Банк Кремлевский;2905;Москва и обл.;4 223 049,00;4 051 721,00;171 328,00;4,23
253;-3;Мегаполис;3265;Чувашия;4 177 299,00;4 491 383,00;-314 084,00;-6,99
254;3;Московский Коммерческий Банк;3172;Москва и обл.;4 153 689,00;4 161 559,00;-7 870,00;-0,19
255;1;Братский АНКБ;1144;Иркутская обл.;4 123 823,00;4 252 100,00;-128 277,00;-3,02
256;2;Бланк Банк;2368;Москва и обл.;4 107 311,00;4 127 843,00;-20 532,00;-0,50
257;2;Донкомбанк;492;Ростовская обл.;4 087 056,00;4 125 071,00;-38 015,00;-0,92
258;4;Банк Фридом Финанс;1143;Москва и обл.;4 076 140,00;3 988 715,00;87 425,00;2,19
259;8;ЮМК Банк;3495;Краснодарский край;4 067 747,00;3 796 768,00;270 979,00;7,14
260;0;Вологжанин;1896;Вологодская обл.;4 017 606,00;4 092 724,00;-75 118,00;-1,84
