Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Январь, 2014, тыс. рублей;Декабрь, 2013, тыс. рублей;Изменение, тыс. рублей;Изменение, %
39;-1;ОТП Банк;2766;Москва и обл.;172 558 034,00;180 248 691,00;-7 690 657,00;-4,27
40;-1;Внешпромбанк;3261;Москва и обл.;163 139 873,00;162 020 851,00;1 119 022,00;0,69
41;1;Кредит Европа Банк;3311;Москва и обл.;161 086 412,00;154 542 370,00;6 544 042,00;4,23
42;-1;СМП Банк;3368;Москва и обл.;155 807 405,00;156 813 809,00;-1 006 404,00;-0,64
43;1;Транскапиталбанк;2210;Москва и обл.;143 726 121,00;145 677 703,00;-1 951 582,00;-1,34
44;-1;Дойче Банк;3328;Москва и обл.;142 772 744,00;151 522 043,00;-8 749 299,00;-5,77
45;0;СКБ-Банк;705;Свердловская обл.;132 220 446,00;136 666 498,00;-4 446 052,00;-3,25
46;1;Совкомбанк;963;Костромская обл.;130 913 145,00;129 351 909,00;1 561 236,00;1,21
47;-1;МСП Банк;3340;Москва и обл.;130 454 519,00;134 547 367,00;-4 092 848,00;-3,04
48;3;РосЕвроБанк;3137;Москва и обл.;129 139 704,00;122 322 536,00;6 817 168,00;5,57
49;0;Татфондбанк;3058;Татарстан;127 244 422,00;124 697 095,00;2 547 327,00;2,04
50;4;РГС Банк;3073;Москва и обл.;126 937 731,00;116 835 525,00;10 102 206,00;8,65
51;1;Инвестторгбанк;2763;Москва и обл.;124 645 642,00;122 153 102,00;2 492 540,00;2,04
52;-2;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;120 286 448,00;123 263 686,00;-2 977 238,00;-2,42
53;5;Абсолют Банк;2306;Москва и обл.;118 471 689,00;111 654 466,00;6 817 223,00;6,11
54;1;Ренессанс Кредит;3354;Москва и обл.;118 263 004,00;115 853 186,00;2 409 818,00;2,08
55;1;Русфинанс Банк;1792;Самарская обл.;117 279 995,00;114 377 714,00;2 902 281,00;2,54
56;3;Банк ДОМ.РФ;2312;Москва и обл.;115 273 070,00;109 922 459,00;5 350 611,00;4,87
57;-4;Тинькофф Банк;2673;Москва и обл.;113 486 909,00;117 062 219,00;-3 575 310,00;-3,05
58;-10;Авангард;2879;Москва и обл.;109 564 368,00;124 962 784,00;-15 398 416,00;-12,32
59;-2;Пробизнесбанк;2412;Москва и обл.;105 030 954,00;113 040 541,00;-8 009 587,00;-7,09
60;1;Пересвет;2110;Москва и обл.;103 225 230,00;98 488 075,00;4 737 155,00;4,81
61;-1;ДельтаКредит;3338;Москва и обл.;99 318 001,00;99 403 998,00;-85 997,00;-0,09
62;3;Запсибкомбанк;918;Тюменская обл.;97 761 659,00;89 264 530,00;8 497 129,00;9,52
63;-1;БНП Париба Банк;3407;Москва и обл.;97 600 228,00;93 579 340,00;4 020 888,00;4,30
64;6;Нота-Банк;2913;Москва и обл.;94 702 599,00;84 897 943,00;9 804 656,00;11,55
65;-2;ЦентроКредит;121;Москва и обл.;91 249 235,00;92 985 422,00;-1 736 187,00;-1,87
66;3;Банк БФА;3038;Санкт-Петербург и обл.;88 460 492,00;85 254 966,00;3 205 526,00;3,76
67;1;Союз;2307;Москва и обл.;88 368 451,00;87 099 539,00;1 268 912,00;1,46
68;-1;Всероссийский Банк Развития Регионов;3287;Москва и обл.;86 824 443,00;87 585 123,00;-760 680,00;-0,87
69;-3;Национальный Расчетный Депозитарий;3294;Москва и обл.;85 680 342,00;88 011 420,00;-2 331 078,00;-2,65
70;3;Локо-Банк;2707;Москва и обл.;81 647 121,00;80 739 693,00;907 428,00;1,12
71;1;Связной Банк;1961;Москва и обл.;81 517 234,00;81 297 978,00;219 256,00;0,27
72;-1;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;80 534 154,00;84 462 618,00;-3 928 464,00;-4,65
73;1;Центр-инвест;2225;Ростовская обл.;78 033 818,00;79 230 032,00;-1 196 214,00;-1,51
74;3;Балтийский Банк;128;Москва и обл.;78 000 020,00;71 760 640,00;6 239 380,00;8,69
75;3;Российский Кредит;324;Москва и обл.;74 993 896,00;71 008 443,00;3 985 453,00;5,61
76;0;Роскосмосбанк;2989;Москва и обл.;72 927 307,00;72 902 567,00;24 740,00;0,03
77;-13;Банк Интеза;2216;Москва и обл.;70 659 500,00;89 728 174,00;-19 068 674,00;-21,25
78;-3;Юниаструм Банк;2771;Москва и обл.;70 012 674,00;73 572 314,00;-3 559 640,00;-4,84
79;0;Рост Банк;2888;Москва и обл.;69 487 949,00;67 634 930,00;1 853 019,00;2,74
80;6;Металлинвестбанк;2440;Москва и обл.;68 536 319,00;63 154 265,00;5 382 054,00;8,52
81;2;Балтинвестбанк;3176;Санкт-Петербург и обл.;66 102 193,00;65 643 657,00;458 536,00;0,70
82;-2;СБ Банк (Судостроительный банк);2999;Москва и обл.;65 831 723,00;67 552 308,00;-1 720 585,00;-2,55
83;4;Международный Финансовый Клуб;2618;Москва и обл.;64 850 799,00;60 861 248,00;3 989 551,00;6,56
84;7;Сетелем Банк;2168;Москва и обл.;62 537 247,00;58 331 652,00;4 205 595,00;7,21
85;0;Сургутнефтегазбанк;588;Тюменская обл.;61 717 562,00;63 538 881,00;-1 821 319,00;-2,87
86;-4;Московский Областной Банк;1751;Москва и обл.;61 691 879,00;66 419 021,00;-4 727 142,00;-7,12
87;1;Первобанк;3461;Самарская обл.;59 159 943,00;60 100 830,00;-940 887,00;-1,57
88;1;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;58 953 818,00;59 920 166,00;-966 348,00;-1,61
89;-5;Собинбанк;1317;Москва и обл.;58 355 817,00;63 928 525,00;-5 572 708,00;-8,72
90;6;Кубань Кредит;2518;Краснодарский край;57 080 788,00;51 660 440,00;5 420 348,00;10,49
91;1;Бинбанк Диджитал;2827;Москва и обл.;55 727 921,00;57 781 515,00;-2 053 594,00;-3,55
92;-2;Югра;880;Тюменская обл.;55 278 093,00;58 677 580,00;-3 399 487,00;-5,79
93;15;Еврофинанс Моснарбанк;2402;Москва и обл.;54 384 932,00;40 106 224,00;14 278 708,00;35,60
94;0;Национальный Стандарт;3421;Москва и обл.;53 366 591,00;53 351 701,00;14 890,00;0,03
95;-2;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;53 351 088,00;54 308 629,00;-957 541,00;-1,76
96;-1;Тойота Банк;3470;Москва и обл.;52 136 213,00;52 542 836,00;-406 623,00;-0,77
97;0;Интеркоммерц Банк;1657;Москва и обл.;49 644 457,00;51 294 791,00;-1 650 334,00;-3,22
98;7;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;49 211 746,00;43 875 662,00;5 336 084,00;12,16
99;4;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;49 084 397,00;44 580 413,00;4 503 984,00;10,10
100;4;Экспобанк;2998;Москва и обл.;48 085 710,00;44 330 974,00;3 754 736,00;8,47
101;-3;Таврический Банк;2304;Санкт-Петербург и обл.;47 660 293,00;49 648 441,00;-1 988 148,00;-4,00
102;-1;Межтопэнергобанк;2956;Москва и обл.;46 937 513,00;45 490 576,00;1 446 937,00;3,18
103;3;Народный Кредит;2401;Москва и обл.;45 072 082,00;41 753 282,00;3 318 800,00;7,95
104;-2;Экспресс-Волга;3085;Саратовская обл.;43 566 075,00;45 405 190,00;-1 839 115,00;-4,05
105;10;Меткомбанк (Череповец);901;Вологодская обл.;43 266 319,00;37 403 093,00;5 863 226,00;15,68
106;3;РосинтерБанк;226;Москва и обл.;43 044 973,00;39 997 277,00;3 047 696,00;7,62
107;3;НС Банк;3124;Москва и обл.;42 607 300,00;38 995 005,00;3 612 295,00;9,26
108;-8;Коммерцбанк (Евразия);3333;Москва и обл.;42 323 804,00;47 664 660,00;-5 340 856,00;-11,21
109;-10;Экспо Финанс;2594;Москва и обл.;41 988 811,00;48 622 754,00;-6 633 943,00;-13,64
110;-3;Примсоцбанк;2733;Приморский край;39 706 426,00;40 555 421,00;-848 995,00;-2,09
111;0;Первый Республиканский Банк;1730;Москва и обл.;39 625 936,00;38 464 071,00;1 161 865,00;3,02
112;4;Фора-Банк;1885;Москва и обл.;38 899 721,00;37 305 002,00;1 594 719,00;4,27
113;6;СДМ-Банк;1637;Москва и обл.;38 112 600,00;36 433 522,00;1 679 078,00;4,61
114;3;Аверс;415;Татарстан;38 043 727,00;36 664 861,00;1 378 866,00;3,76
115;-3;Крайинвестбанк;3360;Краснодарский край;37 589 424,00;37 979 189,00;-389 765,00;-1,03
116;-3;Челябинвестбанк;493;Челябинская обл.;37 563 209,00;37 951 942,00;-388 733,00;-1,02
117;5;Кольцо Урала;65;Свердловская обл.;37 273 559,00;35 323 538,00;1 950 021,00;5,52
118;-4;Челиндбанк;485;Челябинская обл.;36 895 817,00;37 497 941,00;-602 124,00;-1,61
119;14;БыстроБанк;1745;Удмуртия;36 807 600,00;31 647 511,00;5 160 089,00;16,30
120;-2;Русский Международный Банк;3123;Москва и обл.;36 654 256,00;36 659 033,00;-4 777,00;-0,01
121;2;БФГ-Кредит;3068;Москва и обл.;36 616 463,00;35 207 758,00;1 408 705,00;4,00
122;2;Саровбизнесбанк;2048;Нижегородская обл.;36 410 267,00;35 177 850,00;1 232 417,00;3,50
123;2;Банк «Советский»;558;Санкт-Петербург и обл.;36 122 767,00;34 780 199,00;1 342 568,00;3,86
124;4;Банк РСБ 24 (Русславбанк);1073;Москва и обл.;35 687 851,00;33 049 132,00;2 638 719,00;7,98
125;4;Интерпрогрессбанк;600;Москва и обл.;35 314 676,00;32 230 302,00;3 084 374,00;9,57
126;-6;Банк Кредит Свисс;2494;Москва и обл.;33 773 415,00;36 374 406,00;-2 600 991,00;-7,15
127;-6;Левобережный;1343;Новосибирская обл.;33 640 562,00;35 797 058,00;-2 156 496,00;-6,02
128;6;Росэнергобанк;2211;Москва и обл.;33 451 735,00;31 406 533,00;2 045 202,00;6,51
129;-2;Интерпромбанк;3266;Москва и обл.;33 233 088,00;34 248 976,00;-1 015 888,00;-2,97
130;2;Газбанк;2316;Самарская обл.;32 679 412,00;31 747 540,00;931 872,00;2,94
131;10;Агропромкредит;2880;Москва и обл.;32 448 394,00;30 248 298,00;2 200 096,00;7,27
132;-1;Образование;1521;Москва и обл.;32 375 064,00;31 792 856,00;582 208,00;1,83
133;-3;Современный Коммерческий Банк (бывш. ДжиИ Мани Банк);3316;Москва и обл.;31 883 907,00;32 067 892,00;-183 985,00;-0,57
134;2;Финпромбанк (ФПБ Банк);2157;Москва и обл.;31 286 946,00;31 191 647,00;95 299,00;0,31
135;18;Почта Банк;650;Москва и обл.;31 141 656,00;25 950 019,00;5 191 637,00;20,01
136;7;Севергазбанк;2816;Вологодская обл.;31 014 929,00;28 818 306,00;2 196 623,00;7,62
137;-2;МБА-Москва;3395;Москва и обл.;30 918 643,00;31 278 606,00;-359 963,00;-1,15
138;2;Фольксваген Банк Рус;3500;Москва и обл.;30 871 664,00;30 265 745,00;605 919,00;2,00
139;30;Банк Финсервис;3388;Москва и обл.;30 577 498,00;22 577 302,00;8 000 196,00;35,43
140;-1;Банк АВБ;23;Самарская обл.;30 222 600,00;30 507 993,00;-285 393,00;-0,94
141;-3;Кедр;1574;Красноярский край;29 907 622,00;30 798 956,00;-891 334,00;-2,89
142;3;Западный;2598;Москва и обл.;29 821 074,00;28 658 238,00;1 162 836,00;4,06
143;-1;Дальневосточный Банк;843;Приморский край;29 451 731,00;30 140 721,00;-688 990,00;-2,29
144;0;ББР Банк;2929;Москва и обл.;29 272 931,00;28 714 379,00;558 552,00;1,95
145;11;Военно-Промышленный Банк;3065;Москва и обл.;28 794 109,00;25 006 411,00;3 787 698,00;15,15
146;6;Русстройбанк;3205;Москва и обл.;28 491 175,00;26 103 590,00;2 387 585,00;9,15
147;-10;АМБ Банк;3036;Москва и обл.;28 457 789,00;31 063 753,00;-2 605 964,00;-8,39
148;9;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;28 317 697,00;24 302 419,00;4 015 278,00;16,52
149;0;Мосстройэкономбанк (М Банк);948;Москва и обл.;27 369 001,00;26 614 801,00;754 200,00;2,83
150;-3;Липецккомбанк;1242;Липецкая обл.;27 126 231,00;27 516 241,00;-390 010,00;-1,42
151;-3;Модульбанк;1927;Костромская обл.;26 782 998,00;26 659 867,00;123 131,00;0,46
152;-2;Национальный Резервный Банк;2170;Москва и обл.;26 069 436,00;26 589 118,00;-519 682,00;-1,95
153;-2;Акибанк;2587;Татарстан;25 893 014,00;26 489 887,00;-596 873,00;-2,25
154;4;Урал ФД;249;Пермская обл.;25 770 969,00;24 206 661,00;1 564 308,00;6,46
155;0;ПЧРБ Банк;3291;Москва и обл.;25 207 455,00;25 047 136,00;160 319,00;0,64
156;4;Приморье;3001;Приморский край;25 177 868,00;23 836 631,00;1 341 237,00;5,63
157;40;Платежный Центр;3166;Новосибирская обл.;24 955 071,00;17 995 165,00;6 959 906,00;38,68
158;-12;Девон-Кредит;1972;Татарстан;24 945 270,00;28 065 451,00;-3 120 181,00;-11,12
159;3;Альта-Банк;2269;Москва и обл.;24 311 157,00;23 709 959,00;601 198,00;2,54
160;-6;М2М Прайвет Банк;1414;Москва и обл.;24 245 448,00;25 088 051,00;-842 603,00;-3,36
161;0;Кредит Урал Банк;2584;Челябинская обл.;24 130 284,00;23 819 980,00;310 304,00;1,30
162;33;АйСиБиСи Банк;3475;Москва и обл.;23 966 681,00;18 103 025,00;5 863 656,00;32,39
163;2;Стройкредит;18;Москва и обл.;23 713 386,00;23 451 074,00;262 312,00;1,12
164;7;Транспортный;3174;Москва и обл.;23 617 700,00;22 374 155,00;1 243 545,00;5,56
165;-2;БМВ Банк;3482;Москва и обл.;23 394 432,00;23 595 726,00;-201 294,00;-0,85
166;4;Москоммерцбанк;3365;Москва и обл.;22 500 717,00;22 550 248,00;-49 531,00;-0,22
167;78;Аресбанк;2914;Москва и обл.;22 291 468,00;12 454 084,00;9 837 384,00;78,99
168;11;БКС Банк;101;Новосибирская обл.;22 228 832,00;20 713 116,00;1 515 716,00;7,32
169;3;Мерседес-Бенц Банк Рус;3473;Москва и обл.;21 981 503,00;21 458 325,00;523 178,00;2,44
170;-2;Балтика;967;Санкт-Петербург и обл.;21 946 051,00;23 023 435,00;-1 077 384,00;-4,68
171;14;Гута-Банк;256;Москва и обл.;21 687 038,00;19 207 030,00;2 480 008,00;12,91
172;21;Эллипс Банк;1950;Нижегородская обл.;21 377 515,00;18 565 798,00;2 811 717,00;15,14
173;21;Алмазэргиэнбанк;2602;Саха (Якутия);21 294 395,00;18 534 576,00;2 759 819,00;14,89
174;1;Алеф-Банк;2119;Москва и обл.;21 165 497,00;21 081 348,00;84 149,00;0,40
175;-1;Интехбанк;2705;Татарстан;21 105 485,00;21 188 830,00;-83 345,00;-0,39
176;1;Огни Москвы;2328;Москва и обл.;21 045 800,00;20 880 666,00;165 134,00;0,79
177;-4;Спурт Банк;2207;Татарстан;20 934 923,00;21 414 354,00;-479 431,00;-2,24
178;20;Солидарность;554;Самарская обл.;20 785 681,00;17 959 410,00;2 826 271,00;15,74
179;-1;Тимер Банк;1581;Татарстан;20 748 937,00;20 738 434,00;10 503,00;0,05
180;-14;Мой Банк;2939;Москва и обл.;20 591 670,00;23 427 218,00;-2 835 548,00;-12,10
181;5;АйМаниБанк;1975;Москва и обл.;20 533 051,00;19 170 401,00;1 362 650,00;7,11
182;14;Держава;2738;Москва и обл.;20 319 897,00;18 092 837,00;2 227 060,00;12,31
183;-24;С банк;2581;Москва и обл.;20 249 743,00;24 057 620,00;-3 807 877,00;-15,83
184;4;Морской Банк;77;Москва и обл.;20 214 905,00;19 112 394,00;1 102 511,00;5,77
185;-9;Легион;3117;Москва и обл.;20 162 700,00;20 975 421,00;-812 721,00;-3,87
186;-22;Натиксис Банк;3390;Москва и обл.;20 048 872,00;23 512 002,00;-3 463 130,00;-14,73
187;2;АктивКапитал Банк;3006;Самарская обл.;20 020 678,00;19 075 837,00;944 841,00;4,95
188;-8;ФИА-Банк;2542;Самарская обл.;20 000 432,00;20 531 826,00;-531 394,00;-2,59
189;-2;Ланта-Банк;1920;Москва и обл.;19 912 870,00;19 121 179,00;791 691,00;4,14
190;0;Фининвест;671;Санкт-Петербург и обл.;19 847 415,00;18 974 389,00;873 026,00;4,60
191;-10;ГПБ-Ипотека;2403;Москва и обл.;19 790 666,00;19 979 033,00;-188 367,00;-0,94
192;0;Энерготрансбанк;1307;Калининградская обл.;18 838 271,00;18 622 090,00;216 181,00;1,16
193;-2;Энергобанк;67;Татарстан;18 497 772,00;18 648 817,00;-151 045,00;-0,81
194;-11;Пойдем!;2534;Москва и обл.;18 372 966,00;19 409 673,00;-1 036 707,00;-5,34
195;4;Норвик Банк;902;Кировская обл.;18 188 948,00;17 818 047,00;370 901,00;2,08
196;-12;Уралтрансбанк;812;Свердловская обл.;18 059 366,00;19 308 229,00;-1 248 863,00;-6,47
197;9;Развитие-Столица;3013;Москва и обл.;17 660 500,00;17 038 364,00;622 136,00;3,65
198;-16;Европейский Трастовый Банк;2968;Москва и обл.;17 561 126,00;19 937 820,00;-2 376 694,00;-11,92
199;13;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;17 494 915,00;15 989 992,00;1 504 923,00;9,41
200;5;Курскпромбанк;735;Курская обл.;17 363 945,00;17 050 505,00;313 440,00;1,84
201;3;Форштадт;2208;Оренбургская обл.;17 304 353,00;17 243 308,00;61 045,00;0,35
202;1;Инвесткапиталбанк;2377;Башкортостан;17 271 388,00;17 294 981,00;-23 593,00;-0,14
203;-3;Транснациональный Банк;2108;Москва и обл.;17 270 630,00;17 759 620,00;-488 990,00;-2,75
204;7;Тольяттихимбанк;2507;Самарская обл.;17 214 144,00;16 279 499,00;934 645,00;5,74
205;5;Московское Ипотечное Агентство;3344;Москва и обл.;17 129 877,00;16 389 433,00;740 444,00;4,52
206;-4;НБД-Банк;1966;Нижегородская обл.;17 035 473,00;17 365 477,00;-330 004,00;-1,90
207;-6;Первомайский;518;Краснодарский край;16 991 507,00;17 503 471,00;-511 964,00;-2,92
208;0;Газэнергобанк;3252;Калужская обл.;16 256 188,00;16 735 431,00;-479 243,00;-2,86
209;10;Александровский;53;Санкт-Петербург и обл.;15 977 953,00;15 108 925,00;869 028,00;5,75
210;-1;Гаранти Банк — Москва;3275;Москва и обл.;15 934 723,00;16 531 573,00;-596 850,00;-3,61
211;26;РусЮгбанк;2093;Волгоградская обл.;15 895 336,00;13 068 442,00;2 826 894,00;21,63
212;18;Банк Город;2644;Москва и обл.;15 482 085,00;13 862 951,00;1 619 134,00;11,68
213;12;Хлынов;254;Кировская обл.;15 473 819,00;14 602 887,00;870 932,00;5,96
214;6;РосДорБанк;1573;Москва и обл.;15 425 491,00;14 984 766,00;440 725,00;2,94
215;1;Новокузнецкий Муниципальный Банк;2865;Кемеровская обл.;15 284 484,00;15 284 484,00;0,00;0
216;8;Интрастбанк;3144;Москва и обл.;15 246 440,00;14 802 350,00;444 090,00;3,00
217;4;Гранд Инвест Банк;3053;Москва и обл.;15 158 472,00;14 912 696,00;245 776,00;1,65
218;5;Национальная Факторинговая Компания;3437;Москва и обл.;15 145 851,00;14 836 306,00;309 545,00;2,09
219;-2;МАСТ-Банк;3267;Москва и обл.;15 096 998,00;15 235 557,00;-138 559,00;-0,91
220;-2;Национальный Банк Развития Бизнеса;2795;Москва и обл.;15 074 510,00;15 161 854,00;-87 344,00;-0,58
221;-6;Квантмобайл Банк;1189;Омская обл.;14 763 602,00;15 321 448,00;-557 846,00;-3,64
222;10;Расчетно-Кредитный Банк;103;Москва и обл.;14 726 248,00;13 634 688,00;1 091 560,00;8,01
223;-16;СтарБанк;548;Москва и обл.;14 723 627,00;16 867 834,00;-2 144 207,00;-12,71
224;-10;Рублев;3098;Москва и обл.;14 569 410,00;15 449 882,00;-880 472,00;-5,70
225;1;Нацинвестпромбанк;3077;Москва и обл.;14 438 455,00;14 596 325,00;-157 870,00;-1,08
226;30;Объединенный Капитал;2611;Санкт-Петербург и обл.;14 207 586,00;11 622 261,00;2 585 325,00;22,24
227;7;БайкалБанк;2632;Бурятия;14 182 497,00;13 498 424,00;684 073,00;5,07
228;23;ОФК Банк;2270;Москва и обл.;14 037 442,00;11 996 258,00;2 041 184,00;17,02
229;14;Клиентский;2324;Москва и обл.;13 871 084,00;12 546 241,00;1 324 843,00;10,56
230;-1;Монолит;1967;Москва и обл.;13 826 690,00;14 348 171,00;-521 481,00;-3,63
231;4;ТЭМБР-Банк;2764;Москва и обл.;13 635 263,00;13 477 949,00;157 314,00;1,17
232;-4;СИАБ;3245;Санкт-Петербург и обл.;13 540 623,00;14 356 208,00;-815 585,00;-5,68
233;64;Бэнк оф Чайна;2309;Москва и обл.;13 471 520,00;8 722 283,00;4 749 237,00;54,45
234;-7;ВУЗ-Банк;1557;Свердловская обл.;13 348 626,00;14 506 329,00;-1 157 703,00;-7,98
235;7;Банк Акцепт;567;Новосибирская обл.;13 291 190,00;12 651 546,00;639 644,00;5,06
236;0;Социнвестбанк;1132;Башкортостан;13 199 706,00;13 094 309,00;105 397,00;0,80
237;-15;Русский Земельный Банк;2810;Москва и обл.;13 199 515,00;14 851 950,00;-1 652 435,00;-11,13
238;0;Центркомбанк;2983;Москва и обл.;13 059 818,00;12 991 430,00;68 388,00;0,53
239;2;НК Банк;2755;Москва и обл.;13 036 430,00;12 689 145,00;347 285,00;2,74
240;-1;Банк ПСА Финанс Рус;3481;Москва и обл.;12 911 469,00;12 784 422,00;127 047,00;0,99
241;12;Анталбанк;3115;Москва и обл.;12 891 173,00;11 674 444,00;1 216 729,00;10,42
242;10;Денизбанк Москва;3330;Москва и обл.;12 763 699,00;11 990 711,00;772 988,00;6,45
243;6;Росэксимбанк;2790;Москва и обл.;12 483 097,00;12 149 136,00;333 961,00;2,75
244;4;Русский Ипотечный Банк;1968;Москва и обл.;12 481 974,00;12 250 066,00;231 908,00;1,89
245;1;Метробанк;2548;Москва и обл.;12 330 408,00;12 397 232,00;-66 824,00;-0,54
246;141;Объединенная Расчетная Система;3342;Москва и обл.;12 251 415,00;5 529 855,00;6 721 560,00;121,55
247;-3;Солидарность (Москва);1555;Москва и обл.;12 226 419,00;12 520 199,00;-293 780,00;-2,35
248;-1;Росавтобанк;2767;Москва и обл.;12 198 485,00;12 271 121,00;-72 636,00;-0,59
249;52;Киви Банк;2241;Москва и обл.;12 150 037,00;8 562 852,00;3 587 185,00;41,89
250;7;Экономбанк;1319;Саратовская обл.;12 088 206,00;11 558 722,00;529 484,00;4,58
251;-38;Данске Банк;3307;Санкт-Петербург и обл.;11 904 964,00;15 463 422,00;-3 558 458,00;-23,01
252;-19;Банк24.ру;2227;Свердловская обл.;11 735 471,00;13 571 888,00;-1 836 417,00;-13,53
253;8;Екатеринбург;3161;Свердловская обл.;11 707 107,00;10 960 091,00;747 016,00;6,82
254;-4;Тусар;2712;Москва и обл.;11 610 799,00;12 082 930,00;-472 131,00;-3,91
255;8;Экопромбанк;2011;Пермская обл.;11 592 151,00;10 886 255,00;705 896,00;6,48
256;6;Банк Оренбург;3269;Оренбургская обл.;11 432 505,00;10 955 522,00;476 983,00;4,35
257;9;Хованский;2145;Москва и обл.;11 248 314,00;10 657 465,00;590 849,00;5,54
258;2;Автоторгбанк;2776;Москва и обл.;11 219 850,00;11 212 797,00;7 053,00;0,06
