Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Август, 2014, тыс. рублей;Июль, 2014, тыс. рублей;Изменение, тыс. рублей;Изменение, %
57;1;Инвестторгбанк;2763;Москва и обл.;121 456 124,00;120 170 386,00;1 285 738,00;1,07
58;2;Российский Кредит;324;Москва и обл.;119 492 814,00;116 388 100,00;3 104 714,00;2,67
59;2;Тинькофф Банк;2673;Москва и обл.;118 196 777,00;115 503 147,00;2 693 630,00;2,33
60;-7;РГС Банк;3073;Москва и обл.;116 731 801,00;125 617 597,00;-8 885 796,00;-7,07
61;-2;Русфинанс Банк;1792;Самарская обл.;115 471 732,00;117 387 476,00;-1 915 744,00;-1,63
62;0;Авангард;2879;Москва и обл.;114 418 528,00;114 428 757,00;-10 229,00;-0,01
63;1;Пересвет;2110;Москва и обл.;106 827 982,00;102 485 095,00;4 342 887,00;4,24
64;-1;Пробизнесбанк;2412;Москва и обл.;105 897 075,00;103 102 717,00;2 794 358,00;2,71
65;0;Запсибкомбанк;918;Тюменская обл.;99 180 283,00;98 167 755,00;1 012 528,00;1,03
66;2;Рост Банк;2888;Москва и обл.;93 685 109,00;89 927 719,00;3 757 390,00;4,18
67;0;Банк БФА;3038;Санкт-Петербург и обл.;91 801 837,00;90 810 661,00;991 176,00;1,09
68;-2;Всероссийский Банк Развития Регионов;3287;Москва и обл.;90 524 228,00;96 986 360,00;-6 462 132,00;-6,66
69;6;ЦентроКредит;121;Москва и обл.;90 239 472,00;77 919 394,00;12 320 078,00;15,81
70;2;Сетелем Банк;2168;Москва и обл.;86 953 575,00;81 741 591,00;5 211 984,00;6,38
71;5;БНП Париба Банк;3407;Москва и обл.;84 635 114,00;77 760 604,00;6 874 510,00;8,84
72;-1;Центр-инвест;2225;Ростовская обл.;84 103 555,00;82 648 798,00;1 454 757,00;1,76
73;-4;Союз;2307;Москва и обл.;83 789 666,00;83 765 562,00;24 104,00;0,03
74;-1;Локо-Банк;2707;Москва и обл.;83 442 029,00;81 710 749,00;1 731 280,00;2,12
75;-5;Нота-Банк;2913;Москва и обл.;83 189 241,00;83 210 206,00;-20 965,00;-0,03
76;4;Югра;880;Тюменская обл.;77 916 603,00;71 414 695,00;6 501 908,00;9,10
77;0;Банк Интеза;2216;Москва и обл.;76 503 480,00;76 189 463,00;314 017,00;0,41
78;0;Роскосмосбанк;2989;Москва и обл.;75 345 006,00;75 135 152,00;209 854,00;0,28
79;-5;Сургутнефтегазбанк;588;Тюменская обл.;74 150 418,00;78 458 155,00;-4 307 737,00;-5,49
80;1;СБ Банк (Судостроительный банк);2999;Москва и обл.;72 928 931,00;71 328 408,00;1 600 523,00;2,24
81;-2;Связной Банк;1961;Москва и обл.;72 829 675,00;73 083 385,00;-253 710,00;-0,35
82;0;Балтинвестбанк;3176;Санкт-Петербург и обл.;71 918 391,00;69 937 721,00;1 980 670,00;2,83
83;0;Металлинвестбанк;2440;Москва и обл.;70 281 009,00;68 483 193,00;1 797 816,00;2,63
84;1;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;69 678 976,00;65 666 954,00;4 012 022,00;6,11
85;-1;Юниаструм Банк;2771;Москва и обл.;67 462 359,00;67 657 505,00;-195 146,00;-0,29
86;1;Международный Финансовый Клуб;2618;Москва и обл.;67 175 829,00;64 969 942,00;2 205 887,00;3,40
87;-1;Балтийский Банк;128;Москва и обл.;63 700 433,00;65 454 341,00;-1 753 908,00;-2,68
88;1;Интеркоммерц Банк;1657;Москва и обл.;62 922 236,00;60 071 785,00;2 850 451,00;4,75
89;-1;Первобанк;3461;Самарская обл.;62 797 092,00;63 492 380,00;-695 288,00;-1,10
90;2;РосинтерБанк;226;Москва и обл.;56 911 995,00;54 361 870,00;2 550 125,00;4,69
91;-1;Тойота Банк;3470;Москва и обл.;56 418 321,00;56 009 271,00;409 050,00;0,73
92;1;Таврический Банк;2304;Санкт-Петербург и обл.;52 917 153,00;53 132 219,00;-215 066,00;-0,40
93;1;Кубань Кредит;2518;Краснодарский край;52 887 378,00;52 333 393,00;553 985,00;1,06
94;-3;Собинбанк;1317;Москва и обл.;52 870 897,00;54 423 165,00;-1 552 268,00;-2,85
95;15;Финпромбанк (ФПБ Банк);2157;Москва и обл.;50 260 479,00;39 958 397,00;10 302 082,00;25,78
96;2;Бинбанк Диджитал;2827;Москва и обл.;49 340 490,00;48 081 759,00;1 258 731,00;2,62
97;2;Национальный Стандарт;3421;Москва и обл.;48 263 755,00;46 166 315,00;2 097 440,00;4,54
98;-2;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;47 989 987,00;50 080 257,00;-2 090 270,00;-4,17
99;-2;Экспобанк;2998;Москва и обл.;47 758 639,00;48 763 182,00;-1 004 543,00;-2,06
100;12;Банк Финсервис;3388;Москва и обл.;44 044 423,00;39 854 762,00;4 189 661,00;10,51
101;6;Почта Банк;650;Москва и обл.;43 644 242,00;40 423 077,00;3 221 165,00;7,97
102;0;Межтопэнергобанк;2956;Москва и обл.;43 499 092,00;43 554 988,00;-55 896,00;-0,13
103;-2;Еврофинанс Моснарбанк;2402;Москва и обл.;42 939 390,00;43 712 076,00;-772 686,00;-1,77
104;1;Экспресс-Волга;3085;Саратовская обл.;42 654 263,00;41 742 613,00;911 650,00;2,18
105;-10;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;42 601 955,00;50 541 885,00;-7 939 930,00;-15,71
106;0;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;42 601 174,00;41 411 586,00;1 189 588,00;2,87
107;1;Фора-Банк;1885;Москва и обл.;41 320 885,00;40 291 683,00;1 029 202,00;2,55
108;-5;БФГ-Кредит;3068;Москва и обл.;41 231 076,00;43 409 832,00;-2 178 756,00;-5,02
109;5;Народный Кредит;2401;Москва и обл.;40 825 938,00;38 984 059,00;1 841 879,00;4,72
110;1;Коммерцбанк (Евразия);3333;Москва и обл.;39 652 196,00;39 866 388,00;-214 192,00;-0,54
111;-2;Меткомбанк (Череповец);901;Вологодская обл.;39 598 593,00;40 212 619,00;-614 026,00;-1,53
112;6;Интерпромбанк;3266;Москва и обл.;39 037 859,00;38 781 521,00;256 338,00;0,66
113;-9;Аверс;415;Татарстан;38 841 654,00;41 911 715,00;-3 070 061,00;-7,33
114;5;Крайинвестбанк;3360;Краснодарский край;38 808 739,00;37 991 109,00;817 630,00;2,15
115;0;Русский Международный Банк;3123;Москва и обл.;37 993 130,00;38 938 360,00;-945 230,00;-2,43
116;4;Мосстройэкономбанк (М Банк);948;Москва и обл.;37 838 040,00;37 119 128,00;718 912,00;1,94
117;-1;Челябинвестбанк;493;Челябинская обл.;37 836 786,00;38 887 898,00;-1 051 112,00;-2,70
118;-1;Военно-Промышленный Банк;3065;Москва и обл.;37 794 065,00;38 860 099,00;-1 066 034,00;-2,74
119;2;Примсоцбанк;2733;Приморский край;37 651 804,00;37 050 472,00;601 332,00;1,62
120;-20;АйСиБиСи Банк;3475;Москва и обл.;37 302 510,00;43 972 422,00;-6 669 912,00;-15,17
121;1;Челиндбанк;485;Челябинская обл.;37 264 916,00;36 884 612,00;380 304,00;1,03
122;13;МБА-Москва;3395;Москва и обл.;37 038 983,00;32 272 676,00;4 766 307,00;14,77
123;4;Кольцо Урала;65;Свердловская обл.;36 685 174,00;35 340 796,00;1 344 378,00;3,80
124;1;Саровбизнесбанк;2048;Нижегородская обл.;36 634 212,00;36 123 721,00;510 491,00;1,41
125;-12;Фольксваген Банк Рус;3500;Москва и обл.;36 430 637,00;39 709 423,00;-3 278 786,00;-8,26
126;-3;СДМ-Банк;1637;Москва и обл.;36 206 786,00;36 879 891,00;-673 105,00;-1,83
127;10;Банк РСБ 24 (Русславбанк);1073;Москва и обл.;35 817 135,00;31 978 823,00;3 838 312,00;12,00
128;1;Севергазбанк;2816;Вологодская обл.;35 632 343,00;34 268 883,00;1 363 460,00;3,98
129;-1;БыстроБанк;1745;Удмуртия;35 581 492,00;34 365 518,00;1 215 974,00;3,54
130;-4;Банк «Советский»;558;Санкт-Петербург и обл.;35 171 266,00;35 759 976,00;-588 710,00;-1,65
131;3;Интерпрогрессбанк;600;Москва и обл.;34 936 488,00;32 282 934,00;2 653 554,00;8,22
132;-2;Левобережный;1343;Новосибирская обл.;34 618 419,00;34 197 561,00;420 858,00;1,23
133;-2;Образование;1521;Москва и обл.;34 166 328,00;33 498 182,00;668 146,00;1,99
134;-2;Росэнергобанк;2211;Москва и обл.;33 891 223,00;32 754 351,00;1 136 872,00;3,47
135;-11;НС Банк;3124;Москва и обл.;33 008 984,00;36 165 141,00;-3 156 157,00;-8,73
136;2;Газбанк;2316;Самарская обл.;32 412 908,00;31 904 085,00;508 823,00;1,59
137;-1;ББР Банк;2929;Москва и обл.;31 940 847,00;32 082 134,00;-141 287,00;-0,44
138;3;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;30 897 454,00;29 494 921,00;1 402 533,00;4,76
139;1;Банк АВБ;23;Самарская обл.;30 452 851,00;30 635 248,00;-182 397,00;-0,60
140;-1;Агропромкредит;2880;Москва и обл.;30 387 494,00;30 882 470,00;-494 976,00;-1,60
141;-8;АМБ Банк;3036;Москва и обл.;29 570 345,00;32 642 090,00;-3 071 745,00;-9,41
142;0;Русстройбанк;3205;Москва и обл.;29 569 233,00;28 820 935,00;748 298,00;2,60
143;11;М2М Прайвет Банк;1414;Москва и обл.;28 608 933,00;25 415 999,00;3 192 934,00;12,56
144;19;Бэнк оф Чайна;2309;Москва и обл.;28 374 197,00;21 897 027,00;6 477 170,00;29,58
145;4;Транспортный;3174;Москва и обл.;28 151 424,00;26 383 264,00;1 768 160,00;6,70
146;0;Кедр;1574;Красноярский край;27 613 392,00;27 341 536,00;271 856,00;0,99
147;-2;Экспо Финанс;2594;Москва и обл.;26 772 138,00;27 473 740,00;-701 602,00;-2,55
148;2;Кредит Урал Банк;2584;Челябинская обл.;26 430 620,00;26 160 744,00;269 876,00;1,03
149;-5;Дальневосточный Банк;843;Приморский край;26 421 666,00;27 750 563,00;-1 328 897,00;-4,79
150;-2;Приморье;3001;Приморский край;26 074 834,00;26 439 321,00;-364 487,00;-1,38
151;6;ПЧРБ Банк;3291;Москва и обл.;25 619 293,00;24 823 922,00;795 371,00;3,20
152;-5;Липецккомбанк;1242;Липецкая обл.;25 613 214,00;27 276 211,00;-1 662 997,00;-6,10
153;-2;Эллипс Банк;1950;Нижегородская обл.;25 547 617,00;25 714 290,00;-166 673,00;-0,65
154;1;Мерседес-Бенц Банк Рус;3473;Москва и обл.;25 509 645,00;25 123 910,00;385 735,00;1,54
155;-12;Девон-Кредит;1972;Татарстан;25 270 831,00;28 138 262,00;-2 867 431,00;-10,19
156;-3;Акибанк;2587;Татарстан;25 073 278,00;25 472 067,00;-398 789,00;-1,57
157;-1;Модульбанк;1927;Костромская обл.;24 940 614,00;25 031 940,00;-91 326,00;-0,36
158;-6;БКС Банк;101;Новосибирская обл.;24 673 289,00;25 637 269,00;-963 980,00;-3,76
159;-1;Урал ФД;249;Пермская обл.;24 267 665,00;24 538 143,00;-270 478,00;-1,10
160;0;Интехбанк;2705;Татарстан;23 959 071,00;23 153 684,00;805 387,00;3,48
161;-2;Тимер Банк;1581;Татарстан;22 707 924,00;23 470 490,00;-762 566,00;-3,25
162;21;РНКБ;1354;Москва и обл.;22 536 120,00;18 350 644,00;4 185 476,00;22,81
163;-2;Альта-Банк;2269;Москва и обл.;22 285 111,00;22 591 940,00;-306 829,00;-1,36
164;1;Банк Кредит Свисс;2494;Москва и обл.;22 111 857,00;21 761 491,00;350 366,00;1,61
165;-3;Балтика;967;Санкт-Петербург и обл.;22 024 461,00;22 215 315,00;-190 854,00;-0,86
166;1;АктивКапитал Банк;3006;Самарская обл.;21 999 037,00;21 120 178,00;878 859,00;4,16
167;-3;БМВ Банк;3482;Москва и обл.;21 981 824,00;21 894 748,00;87 076,00;0,40
168;0;Москоммерцбанк;3365;Москва и обл.;21 781 778,00;21 114 896,00;666 882,00;3,16
169;-3;Легион;3117;Москва и обл.;21 608 821,00;21 338 250,00;270 571,00;1,27
170;-1;Солидарность;554;Самарская обл.;21 140 776,00;21 033 297,00;107 479,00;0,51
171;5;Морской Банк;77;Москва и обл.;20 824 758,00;19 650 394,00;1 174 364,00;5,98
172;18;Морган Стэнли Банк;3456;Москва и обл.;20 713 256,00;17 338 606,00;3 374 650,00;19,46
173;-1;АйМаниБанк;1975;Москва и обл.;20 617 243,00;20 367 378,00;249 865,00;1,23
174;-3;Спурт Банк;2207;Татарстан;20 448 963,00;20 479 409,00;-30 446,00;-0,15
175;-1;ФИА-Банк;2542;Самарская обл.;20 308 884,00;20 222 898,00;85 986,00;0,43
176;-6;Энергобанк;67;Татарстан;20 065 226,00;20 535 935,00;-470 709,00;-2,29
177;5;Тольяттихимбанк;2507;Самарская обл.;19 939 280,00;18 871 524,00;1 067 756,00;5,66
178;-5;Алеф-Банк;2119;Москва и обл.;19 907 192,00;20 298 680,00;-391 488,00;-1,93
179;35;Натиксис Банк;3390;Москва и обл.;19 742 495,00;14 736 160,00;5 006 335,00;33,97
180;18;Объединенный Капитал;2611;Санкт-Петербург и обл.;19 272 354,00;16 592 267,00;2 680 087,00;16,15
181;-4;Алмазэргиэнбанк;2602;Саха (Якутия);19 248 965,00;19 590 149,00;-341 184,00;-1,74
182;-4;Московское Ипотечное Агентство;3344;Москва и обл.;19 212 548,00;19 094 928,00;117 620,00;0,62
183;3;Ланта-Банк;1920;Москва и обл.;18 739 213,00;18 018 601,00;720 612,00;4,00
184;4;Транснациональный Банк;2108;Москва и обл.;18 096 427,00;17 734 184,00;362 243,00;2,04
185;0;Норвик Банк;902;Кировская обл.;17 753 912,00;18 136 827,00;-382 915,00;-2,11
186;-6;Платежный Центр;3166;Новосибирская обл.;17 731 315,00;18 949 175,00;-1 217 860,00;-6,43
187;-3;Энерготрансбанк;1307;Калининградская обл.;17 685 825,00;18 346 274,00;-660 449,00;-3,60
188;-7;Держава;2738;Москва и обл.;17 653 665,00;18 904 941,00;-1 251 276,00;-6,62
189;2;Курскпромбанк;735;Курская обл.;17 598 034,00;17 337 980,00;260 054,00;1,50
190;12;Газэнергобанк;3252;Калужская обл.;17 563 098,00;15 855 942,00;1 707 156,00;10,77
191;-2;НБД-Банк;1966;Нижегородская обл.;17 541 629,00;17 511 929,00;29 700,00;0,17
192;-5;Уралтрансбанк;812;Свердловская обл.;17 466 678,00;17 997 588,00;-530 910,00;-2,95
193;6;ОФК Банк;2270;Москва и обл.;17 047 698,00;16 430 163,00;617 535,00;3,76
194;1;Форштадт;2208;Оренбургская обл.;17 021 352,00;16 792 308,00;229 044,00;1,36
195;-1;ГПБ-Ипотека;2403;Москва и обл.;16 779 402,00;17 125 307,00;-345 905,00;-2,02
196;-4;Национальный Резервный Банк;2170;Москва и обл.;16 707 250,00;17 288 610,00;-581 360,00;-3,36
197;-4;МАСТ-Банк;3267;Москва и обл.;16 688 025,00;17 162 101,00;-474 076,00;-2,76
198;-19;Гаранти Банк — Москва;3275;Москва и обл.;16 580 786,00;19 018 011,00;-2 437 225,00;-12,82
199;2;Нацинвестпромбанк;3077;Москва и обл.;16 419 763,00;16 002 692,00;417 071,00;2,61
200;-3;Инвесткапиталбанк;2377;Башкортостан;16 317 231,00;16 679 090,00;-361 859,00;-2,17
201;2;Банк Город;2644;Москва и обл.;16 083 231,00;15 698 711,00;384 520,00;2,45
202;-2;Современный Коммерческий Банк (бывш. ДжиИ Мани Банк);3316;Костромская обл.;15 918 252,00;16 402 900,00;-484 648,00;-2,95
203;3;Квантмобайл Банк;1189;Москва и обл.;15 843 451,00;15 610 748,00;232 703,00;1,49
204;1;Пойдем!;2534;Москва и обл.;15 704 062,00;15 660 060,00;44 002,00;0,28
205;12;Анталбанк;3115;Москва и обл.;15 620 715,00;14 442 176,00;1 178 539,00;8,16
206;2;Рублев;3098;Москва и обл.;15 430 318,00;15 360 456,00;69 862,00;0,45
207;-3;Гранд Инвест Банк;3053;Москва и обл.;15 327 966,00;15 685 518,00;-357 552,00;-2,28
208;19;Национальная Факторинговая Компания;3437;Москва и обл.;15 285 412,00;13 376 291,00;1 909 121,00;14,27
209;26;РН Банк;170;Москва и обл.;15 239 069,00;12 577 061,00;2 662 008,00;21,17
210;1;Хлынов;254;Кировская обл.;15 184 789,00;15 039 237,00;145 552,00;0,97
211;-2;Развитие-Столица;3013;Москва и обл.;14 928 045,00;15 271 860,00;-343 815,00;-2,25
212;-5;Расчетно-Кредитный Банк;103;Москва и обл.;14 896 076,00;15 447 720,00;-551 644,00;-3,57
213;0;СтарБанк;548;Москва и обл.;14 869 322,00;14 780 246,00;89 076,00;0,60
214;-2;Интрастбанк;3144;Москва и обл.;14 834 179,00;14 838 408,00;-4 229,00;-0,03
215;4;Данске Банк;3307;Санкт-Петербург и обл.;14 678 082,00;14 246 411,00;431 671,00;3,03
216;0;РосДорБанк;1573;Москва и обл.;14 664 069,00;14 579 034,00;85 035,00;0,58
217;8;БайкалБанк;2632;Бурятия;14 663 941,00;13 579 083,00;1 084 858,00;7,99
218;2;Тусар;2712;Москва и обл.;14 365 560,00;14 226 155,00;139 405,00;0,98
219;-4;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;14 282 833,00;14 628 846,00;-346 013,00;-2,37
220;4;Денизбанк Москва;3330;Москва и обл.;14 139 981,00;13 608 746,00;531 235,00;3,90
221;-25;Тройка-Д Банк;3431;Москва и обл.;13 865 313,00;16 766 043,00;-2 900 730,00;-17,30
222;8;Клиентский;2324;Москва и обл.;13 769 962,00;13 045 051,00;724 911,00;5,56
223;-5;Автоторгбанк;2776;Москва и обл.;13 721 643,00;14 414 634,00;-692 991,00;-4,81
224;2;Социнвестбанк;1132;Башкортостан;13 628 709,00;13 452 966,00;175 743,00;1,31
225;-3;СЭБ Банк;3235;Санкт-Петербург и обл.;13 467 969,00;13 978 427,00;-510 458,00;-3,65
226;8;Метробанк;2548;Москва и обл.;13 348 411,00;12 592 181,00;756 230,00;6,01
227;-17;Аресбанк;2914;Москва и обл.;13 340 666,00;15 161 329,00;-1 820 663,00;-12,01
228;8;НК Банк;2755;Москва и обл.;13 274 594,00;12 568 349,00;706 245,00;5,62
229;2;Первомайский;518;Краснодарский край;12 888 850,00;12 945 828,00;-56 978,00;-0,44
230;7;Росавтобанк;2767;Москва и обл.;12 822 293,00;12 416 544,00;405 749,00;3,27
231;-2;Центркомбанк;2983;Москва и обл.;12 768 224,00;13 172 838,00;-404 614,00;-3,07
232;0;ВУЗ-Банк;1557;Свердловская обл.;12 674 904,00;12 711 839,00;-36 935,00;-0,29
233;0;Банк Акцепт;567;Новосибирская обл.;12 671 604,00;12 631 743,00;39 861,00;0,32
234;5;Росэксимбанк;2790;Москва и обл.;12 531 830,00;12 091 028,00;440 802,00;3,65
235;3;ТЭМБР-Банк;2764;Москва и обл.;12 460 198,00;12 273 097,00;187 101,00;1,52
236;9;Экономбанк;1319;Саратовская обл.;12 407 990,00;11 474 991,00;932 999,00;8,13
237;4;Чайна Констракшн;3515;Москва и обл.;12 326 364,00;11 930 321,00;396 043,00;3,32
238;-15;Гута-Банк;256;Москва и обл.;12 314 946,00;13 975 084,00;-1 660 138,00;-11,88
239;7;Гарант-Инвест;2576;Москва и обл.;12 295 191,00;11 335 962,00;959 229,00;8,46
240;9;Стратегия;2801;Москва и обл.;11 935 130,00;11 164 188,00;770 942,00;6,91
241;6;Русский Ипотечный Банк;1968;Москва и обл.;11 830 914,00;11 266 676,00;564 238,00;5,01
242;18;Солид Банк;1329;Камчатская обл.;11 514 812,00;10 733 898,00;780 914,00;7,28
243;0;Солидарность (Москва);1555;Москва и обл.;11 324 710,00;11 641 919,00;-317 209,00;-2,72
244;-2;Александровский;53;Санкт-Петербург и обл.;11 285 801,00;11 689 527,00;-403 726,00;-3,45
245;9;ЕвроситиБанк;1869;Москва и обл.;11 181 596,00;10 955 966,00;225 630,00;2,06
246;10;Унифин;2654;Москва и обл.;11 164 900,00;10 880 087,00;284 813,00;2,62
247;5;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;11 033 476,00;11 000 849,00;32 627,00;0,30
248;10;Дил-Банк;3384;Москва и обл.;11 018 351,00;10 807 378,00;210 973,00;1,95
249;18;Киви Банк;2241;Москва и обл.;10 991 797,00;10 027 698,00;964 099,00;9,61
250;19;Генбанк;2490;Москва и обл.;10 966 565,00;9 919 529,00;1 047 036,00;10,56
251;-7;Банк ПСА Финанс Рус;3481;Москва и обл.;10 878 836,00;11 536 644,00;-657 808,00;-5,70
252;19;Ишбанк;2867;Москва и обл.;10 833 581,00;9 745 823,00;1 087 758,00;11,16
253;8;Прио-Внешторгбанк;212;Рязанская обл.;10 754 235,00;10 705 889,00;48 346,00;0,45
254;-3;Кредит-Москва;5;Москва и обл.;10 745 483,00;11 082 304,00;-336 821,00;-3,04
255;-5;Банк24.ру;2227;Москва и обл.;10 628 397,00;11 156 618,00;-528 221,00;-4,73
256;-16;Инвестиционный Республиканский Банк;2571;Москва и обл.;10 608 674,00;11 996 915,00;-1 388 241,00;-11,57
257;6;ОПМ-Банк;2734;Москва и обл.;10 573 466,00;10 613 841,00;-40 375,00;-0,38
258;4;Банк Оренбург;3269;Оренбургская обл.;10 522 454,00;10 665 573,00;-143 119,00;-1,34
259;5;Русьуниверсалбанк;3293;Москва и обл.;10 486 848,00;10 488 129,00;-1 281,00;-0,01
