Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Январь, 2016, тыс. рублей;Декабрь, 2015, тыс. рублей;Изменение, тыс. рублей;Изменение, %
53;1;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;156 649 846,00;149 712 338,00;6 937 508,00;4,63
54;-7;ОТП Банк;2766;Москва и обл.;154 781 484,00;170 545 308,00;-15 763 824,00;-9,24
55;-2;МСП Банк;3340;Москва и обл.;151 164 609,00;151 174 289,00;-9 680,00;-0,01
56;1;РГС Банк;3073;Москва и обл.;145 610 131,00;139 433 405,00;6 176 726,00;4,43
57;1;Авангард;2879;Москва и обл.;144 807 442,00;138 309 498,00;6 497 944,00;4,70
58;4;СКБ-Банк;705;Свердловская обл.;138 177 548,00;123 055 317,00;15 122 231,00;12,29
59;-3;Ренессанс Кредит;3354;Москва и обл.;133 430 817,00;146 452 707,00;-13 021 890,00;-8,89
60;-8;Национальный Расчетный Депозитарий;3294;Москва и обл.;131 687 814,00;152 226 739,00;-20 538 925,00;-13,49
61;0;Инвестторгбанк;2763;Москва и обл.;123 690 074,00;124 351 866,00;-661 792,00;-0,53
62;3;ЦентроКредит;121;Москва и обл.;116 244 770,00;105 749 132,00;10 495 638,00;9,93
63;-3;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;110 147 090,00;124 621 375,00;-14 474 285,00;-11,61
64;4;Интеркоммерц Банк;1657;Москва и обл.;109 177 887,00;101 183 817,00;7 994 070,00;7,90
65;2;Запсибкомбанк;918;Тюменская обл.;107 308 241,00;101 284 015,00;6 024 226,00;5,95
66;-3;Международный Финансовый Клуб;2618;Москва и обл.;105 820 405,00;109 054 367,00;-3 233 962,00;-2,97
67;-1;Сетелем Банк;2168;Москва и обл.;103 515 117,00;102 941 708,00;573 409,00;0,56
68;5;Локо-Банк;2707;Москва и обл.;103 271 875,00;92 227 894,00;11 043 981,00;11,97
69;8;Дойче Банк;3328;Москва и обл.;102 724 079,00;86 758 352,00;15 965 727,00;18,40
70;-6;Русфинанс Банк;1792;Самарская обл.;101 262 270,00;107 382 590,00;-6 120 320,00;-5,70
71;-2;БНП Париба Банк;3407;Москва и обл.;101 051 054,00;101 157 539,00;-106 485,00;-0,11
72;-1;Балтийский Банк;128;Санкт-Петербург и обл.;98 347 985,00;97 386 906,00;961 079,00;0,99
73;1;Банк БФА;3038;Санкт-Петербург и обл.;96 319 424,00;89 467 395,00;6 852 029,00;7,66
74;1;Центр-инвест;2225;Ростовская обл.;92 455 415,00;89 213 336,00;3 242 079,00;3,63
75;3;Бинбанк Диджитал;2827;Москва и обл.;91 349 649,00;81 251 914,00;10 097 735,00;12,43
76;0;РосинтерБанк;226;Москва и обл.;90 372 666,00;88 805 929,00;1 566 737,00;1,76
77;-5;Союз;2307;Москва и обл.;88 066 795,00;92 553 232,00;-4 486 437,00;-4,85
78;1;Таврический Банк;2304;Санкт-Петербург и обл.;87 980 769,00;79 711 638,00;8 269 131,00;10,37
79;9;Юниаструм Банк;2771;Москва и обл.;84 608 499,00;64 389 462,00;20 219 037,00;31,40
80;14;Балтинвестбанк;3176;Санкт-Петербург и обл.;83 254 809,00;55 956 172,00;27 298 637,00;48,79
81;3;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;81 454 084,00;71 604 307,00;9 849 777,00;13,76
82;-12;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;80 014 573,00;99 069 353,00;-19 054 780,00;-19,23
83;4;Металлинвестбанк;2440;Москва и обл.;78 317 550,00;65 108 438,00;13 209 112,00;20,29
84;-3;Военно-Промышленный Банк;3065;Москва и обл.;78 031 245,00;73 672 261,00;4 358 984,00;5,92
85;-2;Почта Банк;650;Москва и обл.;76 099 077,00;72 211 281,00;3 887 796,00;5,38
86;-4;Банк Интеза;2216;Москва и обл.;75 558 172,00;73 568 451,00;1 989 721,00;2,70
87;-7;Банк Финсервис;3388;Москва и обл.;72 702 410,00;75 121 926,00;-2 419 516,00;-3,22
88;1;Экспобанк;2998;Москва и обл.;72 118 637,00;64 225 502,00;7 893 135,00;12,29
89;3;РНКБ;1354;Симферополь;71 278 588,00;59 657 999,00;11 620 589,00;19,48
90;-5;АйСиБиСи Банк;3475;Москва и обл.;69 771 782,00;67 242 735,00;2 529 047,00;3,76
91;-5;БФГ-Кредит;3068;Москва и обл.;67 581 614,00;65 593 923,00;1 987 691,00;3,03
92;-2;Кубань Кредит;2518;Краснодарский край;67 260 188,00;63 121 464,00;4 138 724,00;6,56
93;0;Образование;1521;Москва и обл.;63 070 165,00;59 496 856,00;3 573 309,00;6,01
94;1;Росэнергобанк;2211;Москва и обл.;62 048 142,00;55 509 246,00;6 538 896,00;11,78
95;-4;Аверс;415;Татарстан;61 552 285,00;61 242 389,00;309 896,00;0,51
96;12;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;60 156 026,00;46 001 656,00;14 154 370,00;30,77
97;0;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;58 578 026,00;53 566 090,00;5 011 936,00;9,36
98;0;Финпромбанк (ФПБ Банк);2157;Москва и обл.;56 506 669,00;51 505 239,00;5 001 430,00;9,71
99;3;РН Банк;170;Москва и обл.;53 323 510,00;48 401 349,00;4 922 161,00;10,17
100;;Крайинвестбанк;3360;Краснодарский край;53 253 634,00;-;-;
101;85;Банк Кредит Свисс;2494;Москва и обл.;52 835 597,00;18 382 752,00;34 452 845,00;187,42
102;-3;Национальный Стандарт;3421;Москва и обл.;51 717 848,00;50 892 858,00;824 990,00;1,62
103;2;Коммерцбанк (Евразия);3333;Москва и обл.;51 085 859,00;47 678 680,00;3 407 179,00;7,15
104;3;БКС Банк;101;Новосибирская обл.;50 858 237,00;46 704 165,00;4 154 072,00;8,89
105;9;Росэксимбанк;2790;Москва и обл.;50 753 413,00;43 347 831,00;7 405 582,00;17,08
106;0;СДМ-Банк;1637;Москва и обл.;50 398 407,00;47 658 112,00;2 740 295,00;5,75
107;-6;Тойота Банк;3470;Москва и обл.;49 925 448,00;49 878 296,00;47 152,00;0,09
108;-8;Межтопэнергобанк;2956;Москва и обл.;49 676 993,00;49 962 227,00;-285 234,00;-0,57
109;3;ББР Банк;2929;Москва и обл.;49 579 614,00;44 244 585,00;5 335 029,00;12,06
110;-6;Фора-Банк;1885;Москва и обл.;47 813 202,00;47 724 048,00;89 154,00;0,19
111;-8;Первобанк;3461;Самарская обл.;47 695 952,00;48 267 827,00;-571 875,00;-1,18
112;-2;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;46 122 286,00;45 383 679,00;738 607,00;1,63
113;-4;Газэнергобанк;3252;Калужская обл.;45 444 918,00;45 422 607,00;22 311,00;0,05
114;-1;Интерпрогрессбанк;600;Москва и обл.;44 919 238,00;43 524 275,00;1 394 963,00;3,21
115;-4;МБА-Москва;3395;Москва и обл.;44 500 720,00;45 259 943,00;-759 223,00;-1,68
116;65;Социнвестбанк;1132;Башкортостан;43 550 501,00;19 551 838,00;23 998 663,00;122,74
117;0;Челябинвестбанк;493;Челябинская обл.;43 399 612,00;41 523 327,00;1 876 285,00;4,52
118;-2;Челиндбанк;485;Челябинская обл.;43 251 304,00;42 296 224,00;955 080,00;2,26
119;-4;Примсоцбанк;2733;Приморский край;43 243 508,00;42 378 648,00;864 860,00;2,04
120;0;Левобережный;1343;Новосибирская обл.;42 203 486,00;39 463 214,00;2 740 272,00;6,94
121;-2;ПЧРБ Банк;3291;Москва и обл.;41 755 127,00;39 671 737,00;2 083 390,00;5,25
122;3;Интерпромбанк;3266;Москва и обл.;40 742 844,00;36 169 587,00;4 573 257,00;12,64
123;3;Фольксваген Банк Рус;3500;Москва и обл.;38 503 604,00;36 107 718,00;2 395 886,00;6,64
124;-28;Бэнк оф Чайна;2309;Москва и обл.;38 130 576,00;55 508 094,00;-17 377 518,00;-31,31
125;-2;НС Банк;3124;Москва и обл.;37 274 113,00;37 195 488,00;78 625,00;0,21
126;-8;Еврофинанс Моснарбанк;2402;Москва и обл.;36 997 750,00;40 506 119,00;-3 508 369,00;-8,66
127;3;Натиксис Банк;3390;Москва и обл.;36 922 402,00;32 853 934,00;4 068 468,00;12,38
128;0;Банк «Советский»;558;Санкт-Петербург и обл.;36 660 027,00;35 250 592,00;1 409 435,00;4,00
129;-2;Русский Международный Банк;3123;Москва и обл.;36 601 241,00;35 266 316,00;1 334 925,00;3,79
130;19;Инвестиционный Республиканский Банк;2571;Москва и обл.;36 543 939,00;27 502 928,00;9 041 011,00;32,87
131;-7;Саровбизнесбанк;2048;Нижегородская обл.;36 350 529,00;36 251 912,00;98 617,00;0,27
132;-10;Кольцо Урала;65;Свердловская обл.;35 689 251,00;38 152 691,00;-2 463 440,00;-6,46
133;13;Московское Ипотечное Агентство;3344;Москва и обл.;35 672 317,00;28 376 576,00;7 295 741,00;25,71
134;4;Тольяттихимбанк;2507;Самарская обл.;35 141 231,00;30 315 516,00;4 825 715,00;15,92
135;-3;М2М Прайвет Банк;1414;Москва и обл.;33 863 400,00;31 904 419,00;1 958 981,00;6,14
136;-5;Держава;2738;Москва и обл.;33 515 779,00;32 075 114,00;1 440 665,00;4,49
137;-4;Кедр;1574;Красноярский край;33 245 398,00;31 547 376,00;1 698 022,00;5,38
138;5;ОФК Банк;2270;Москва и обл.;33 214 635,00;29 048 175,00;4 166 460,00;14,34
139;-3;Приморье;3001;Приморский край;32 803 889,00;30 705 340,00;2 098 549,00;6,83
140;43;ВУЗ-Банк;1557;Свердловская обл.;32 675 743,00;19 393 559,00;13 282 184,00;68,49
141;-20;Меткомбанк (Череповец);901;Вологодская обл.;32 618 140,00;38 586 489,00;-5 968 349,00;-15,47
142;-3;Мерседес-Бенц Банк Рус;3473;Москва и обл.;32 042 482,00;29 727 447,00;2 315 035,00;7,79
143;-3;БыстроБанк;1745;Удмуртия;31 635 456,00;29 712 502,00;1 922 954,00;6,47
144;23;Платежный Центр;3166;Новосибирская обл.;31 569 006,00;22 595 297,00;8 973 709,00;39,71
145;-10;Собинбанк;1317;Москва и обл.;31 527 183,00;31 244 778,00;282 405,00;0,90
146;-5;Интехбанк;2705;Татарстан;31 227 700,00;29 346 043,00;1 881 657,00;6,41
147;-13;Севергазбанк;2816;Вологодская обл.;30 794 340,00;31 312 164,00;-517 824,00;-1,65
148;-6;Дальневосточный Банк;843;Приморский край;30 533 800,00;29 323 206,00;1 210 594,00;4,13
149;-12;Кредит Урал Банк;2584;Челябинская обл.;30 030 258,00;30 445 313,00;-415 055,00;-1,36
150;-3;Газбанк;2316;Самарская обл.;29 268 044,00;28 091 508,00;1 176 536,00;4,19
151;-6;АйМаниБанк;1975;Москва и обл.;28 941 311,00;28 490 801,00;450 510,00;1,58
152;-8;Солидарность;554;Самарская обл.;28 875 838,00;28 750 476,00;125 362,00;0,44
153;-5;Объединенный Капитал;2611;Санкт-Петербург и обл.;28 768 126,00;27 721 751,00;1 046 375,00;3,77
154;0;Москоммерцбанк;3365;Москва и обл.;27 728 129,00;26 260 376,00;1 467 753,00;5,59
155;0;АктивКапитал Банк;3006;Самарская обл.;27 540 644,00;25 967 510,00;1 573 134,00;6,06
156;4;Агропромкредит;2880;Москва и обл.;26 795 768,00;24 977 236,00;1 818 532,00;7,28
157;-1;Липецккомбанк;1242;Липецкая обл.;26 444 457,00;25 605 653,00;838 804,00;3,28
158;-6;Квантмобайл Банк;1189;Москва и обл.;26 238 365,00;26 650 277,00;-411 912,00;-1,55
159;0;Легион;3117;Москва и обл.;26 087 077,00;25 019 364,00;1 067 713,00;4,27
160;-7;Акибанк;2587;Татарстан;25 924 420,00;26 607 584,00;-683 164,00;-2,57
161;-3;Тимер Банк;1581;Татарстан;25 908 649,00;25 215 968,00;692 681,00;2,75
162;3;Алмазэргиэнбанк;2602;Саха (Якутия);25 783 627,00;23 722 139,00;2 061 488,00;8,69
163;1;Генбанк;2490;Симферополь;25 133 879,00;24 047 811,00;1 086 068,00;4,52
164;2;Морской Банк;77;Москва и обл.;25 128 300,00;23 470 795,00;1 657 505,00;7,06
165;-15;Девон-Кредит;1972;Татарстан;24 897 998,00;27 387 771,00;-2 489 773,00;-9,09
166;-5;Урал ФД;249;Пермская обл.;24 485 311,00;24 643 264,00;-157 953,00;-0,64
167;1;СтарБанк;548;Москва и обл.;23 971 392,00;22 542 033,00;1 429 359,00;6,34
168;4;СЭБ Банк;3235;Санкт-Петербург и обл.;23 553 395,00;21 844 262,00;1 709 133,00;7,82
169;5;Аресбанк;2914;Москва и обл.;23 339 329,00;21 250 792,00;2 088 537,00;9,83
170;3;Спурт Банк;2207;Татарстан;22 796 277,00;21 729 708,00;1 066 569,00;4,91
171;-14;Экспо Финанс;2594;Москва и обл.;22 761 807,00;25 218 457,00;-2 456 650,00;-9,74
172;-2;Ланта-Банк;1920;Москва и обл.;22 581 771,00;22 210 505,00;371 266,00;1,67
173;4;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;21 562 481,00;20 586 166,00;976 315,00;4,74
174;4;Энергобанк;67;Татарстан;21 329 257,00;20 537 611,00;791 646,00;3,85
175;0;ФИА-Банк;2542;Самарская обл.;20 992 214,00;20 923 758,00;68 456,00;0,33
176;0;НБД-Банк;1966;Нижегородская обл.;20 873 835,00;20 707 831,00;166 004,00;0,80
177;7;БМВ Банк;3482;Москва и обл.;20 200 932,00;18 849 048,00;1 351 884,00;7,17
178;-16;Чайна Констракшн;3515;Москва и обл.;20 108 992,00;24 386 473,00;-4 277 481,00;-17,54
179;8;Денизбанк Москва;3330;Москва и обл.;19 798 656,00;18 122 511,00;1 676 145,00;9,25
180;2;Курскпромбанк;735;Курская обл.;19 398 298,00;19 453 119,00;-54 821,00;-0,28
181;-10;Альта-Банк;2269;Москва и обл.;19 279 989,00;22 109 373,00;-2 829 384,00;-12,80
182;3;Рублев;3098;Москва и обл.;19 254 524,00;18 438 727,00;815 797,00;4,42
183;6;Алеф-Банк;2119;Москва и обл.;19 229 552,00;17 602 440,00;1 627 112,00;9,24
184;15;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;19 117 871,00;15 965 475,00;3 152 396,00;19,75
185;-6;Нацинвестпромбанк;3077;Москва и обл.;18 803 326,00;20 187 058,00;-1 383 732,00;-6,85
186;-17;Энерготрансбанк;1307;Калининградская обл.;18 145 096,00;22 457 903,00;-4 312 807,00;-19,20
187;4;Расчетно-Кредитный Банк;103;Москва и обл.;18 025 333,00;17 326 725,00;698 608,00;4,03
188;5;Хлынов;254;Кировская обл.;17 771 318,00;17 115 331,00;655 987,00;3,83
189;3;НК Банк;2755;Москва и обл.;17 515 455,00;17 293 046,00;222 409,00;1,29
190;-27;Модульбанк;1927;Костромская обл.;17 469 217,00;24 119 063,00;-6 649 846,00;-27,57
191;-3;Развитие-Столица;3013;Москва и обл.;17 115 530,00;18 114 870,00;-999 340,00;-5,52
192;4;Джей энд Ти Банк;3061;Москва и обл.;16 864 461,00;16 386 128,00;478 333,00;2,92
193;5;Уралтрансбанк;812;Свердловская обл.;16 750 099,00;16 268 903,00;481 196,00;2,96
194;0;Данске Банк;3307;Санкт-Петербург и обл.;16 689 075,00;17 016 420,00;-327 345,00;-1,92
195;9;Гранд Инвест Банк;3053;Москва и обл.;16 549 902,00;15 255 556,00;1 294 346,00;8,48
196;4;Гарант-Инвест;2576;Москва и обл.;16 503 828,00;15 846 151,00;657 677,00;4,15
197;-7;Тройка-Д Банк;3431;Москва и обл.;16 409 725,00;17 445 124,00;-1 035 399,00;-5,94
198;-3;Ури Банк;3479;Москва и обл.;16 286 241,00;16 495 687,00;-209 446,00;-1,27
199;3;Русский Ипотечный Банк;1968;Москва и обл.;16 155 880,00;15 367 377,00;788 503,00;5,13
200;-3;Центркомбанк;2983;Москва и обл.;16 033 474,00;16 315 400,00;-281 926,00;-1,73
201;10;Татсоцбанк;480;Татарстан;15 638 339,00;14 567 837,00;1 070 502,00;7,35
202;5;Темпбанк;55;Москва и обл.;15 588 417,00;15 047 169,00;541 248,00;3,60
203;-2;Форштадт;2208;Оренбургская обл.;15 527 687,00;15 437 483,00;90 204,00;0,58
204;-1;Норвик Банк;902;Кировская обл.;15 501 927,00;15 312 834,00;189 093,00;1,23
205;4;Банк Акцепт;567;Новосибирская обл.;15 168 858,00;14 932 481,00;236 377,00;1,58
206;4;ТЭМБР-Банк;2764;Москва и обл.;15 089 679,00;14 597 257,00;492 422,00;3,37
207;-1;Национальный Резервный Банк;2170;Москва и обл.;15 071 021,00;15 069 713,00;1 308,00;0,01
208;6;ГПБ-Ипотека;2403;Москва и обл.;14 789 866,00;13 827 458,00;962 408,00;6,96
209;-58;Ишбанк;2867;Москва и обл.;14 751 237,00;27 148 006,00;-12 396 769,00;-45,66
210;-30;Морган Стэнли Банк;3456;Москва и обл.;14 730 210,00;19 892 165,00;-5 161 955,00;-25,95
211;-3;РосДорБанк;1573;Москва и обл.;14 485 023,00;14 985 395,00;-500 372,00;-3,34
212;0;БайкалБанк;2632;Бурятия;14 459 993,00;14 106 854,00;353 139,00;2,50
213;7;Нефтяной Альянс;2859;Москва и обл.;14 064 018,00;12 900 760,00;1 163 258,00;9,02
214;1;Пойдем!;2534;Москва и обл.;14 013 065,00;13 779 409,00;233 656,00;1,70
215;2;Финансовый Стандарт;1053;Москва и обл.;13 892 123,00;13 456 822,00;435 301,00;3,23
216;-11;Росавтобанк;2767;Москва и обл.;13 790 156,00;15 164 035,00;-1 373 879,00;-9,06
217;6;Инбанк;1829;Москва и обл.;13 743 143,00;12 490 582,00;1 252 561,00;10,03
218;4;Солидарность (Москва);1555;Москва и обл.;13 648 869,00;12 514 847,00;1 134 022,00;9,06
219;28;Киви Банк;2241;Москва и обл.;13 451 976,00;10 227 569,00;3 224 407,00;31,53
220;-2;Прио-Внешторгбанк;212;Рязанская обл.;13 224 553,00;13 008 951,00;215 602,00;1,66
221;22;Кошелев-Банк;3300;Самарская обл.;13 134 310,00;10 656 937,00;2 477 373,00;23,25
222;-1;Международный Акционерный Банк;1987;Москва и обл.;12 967 253,00;12 713 317,00;253 936,00;2,00
223;1;Объединенный Кредитный Банк;1118;Ярославская обл.;12 780 895,00;12 365 067,00;415 828,00;3,36
224;-5;Агросоюз;1459;Москва и обл.;12 644 636,00;12 992 660,00;-348 024,00;-2,68
225;-12;Российская Финансовая Корпорация;3099;Москва и обл.;12 571 499,00;14 035 227,00;-1 463 728,00;-10,43
226;4;Стратегия;2801;Москва и обл.;12 353 724,00;11 425 221,00;928 503,00;8,13
227;9;Развитие;2729;Карачаево-Черкесия;12 050 786,00;10 973 888,00;1 076 898,00;9,81
228;9;ЕвроситиБанк;1869;Москва и обл.;11 999 198,00;10 908 772,00;1 090 426,00;10,00
229;-3;Солид Банк;1329;Камчатская обл.;11 996 224,00;12 127 937,00;-131 713,00;-1,09
230;-5;Русьуниверсалбанк;3293;Москва и обл.;11 994 052,00;12 348 433,00;-354 381,00;-2,87
231;0;Русский Торговый Банк;2842;Москва и обл.;11 815 938,00;11 406 349,00;409 589,00;3,59
232;-5;КС Банк;1752;Мордовия;11 705 868,00;11 599 914,00;105 954,00;0,91
233;8;Гаранти Банк — Москва;3275;Москва и обл.;11 680 276,00;10 726 813,00;953 463,00;8,89
234;6;Промтрансбанк;2638;Башкортостан;11 517 938,00;10 783 605,00;734 333,00;6,81
235;-1;Автоторгбанк;2776;Москва и обл.;11 406 013,00;11 234 709,00;171 304,00;1,52
236;-8;Первомайский;518;Краснодарский край;11 332 215,00;11 507 303,00;-175 088,00;-1,52
237;11;Славия;2664;Москва и обл.;11 229 480,00;10 141 643,00;1 087 837,00;10,73
238;-3;Арксбанк;1868;Москва и обл.;11 212 566,00;11 134 937,00;77 629,00;0,70
239;7;НИКО-Банк;702;Оренбургская обл.;11 114 411,00;10 363 527,00;750 884,00;7,25
240;2;Банк Жилищного Финансирования;3138;Москва и обл.;11 025 064,00;10 684 064,00;341 000,00;3,19
241;26;Гута-Банк;256;Москва и обл.;10 846 311,00;8 652 984,00;2 193 327,00;25,35
242;3;Унифин;2654;Москва и обл.;10 840 132,00;10 412 097,00;428 035,00;4,11
243;-14;Нижневолжский Коммерческий Банк;931;Саратовская обл.;10 834 763,00;11 430 471,00;-595 708,00;-5,21
244;0;Александровский;53;Санкт-Петербург и обл.;10 697 483,00;10 559 753,00;137 730,00;1,30
245;-7;СИАБ;3245;Санкт-Петербург и обл.;10 622 772,00;10 807 780,00;-185 008,00;-1,71
246;-13;Национальная Факторинговая Компания;3437;Москва и обл.;10 478 237,00;11 261 621,00;-783 384,00;-6,96
247;3;Ассоциация;732;Нижегородская обл.;10 354 967,00;9 878 213,00;476 754,00;4,83
248;-9;Банк Оренбург;3269;Оренбургская обл.;10 257 573,00;10 805 390,00;-547 817,00;-5,07
249;14;Таатта;1249;Саха (Якутия);10 222 255,00;8 845 172,00;1 377 083,00;15,57
250;19;Нефтепромбанк;2156;Москва и обл.;10 101 095,00;8 584 044,00;1 517 051,00;17,67
251;6;Банк на Гончарной (бывш. Япы Креди Банк Москва);2555;Москва и обл.;10 026 167,00;9 220 459,00;805 708,00;8,74
252;70;Енисей;474;Красноярский край;9 967 704,00;6 163 263,00;3 804 441,00;61,73
253;-4;Энергомашбанк;52;Санкт-Петербург и обл.;9 948 862,00;9 882 559,00;66 303,00;0,67
254;-2;Ставропольпромстройбанк;1288;Ставропольский край;9 904 202,00;9 580 120,00;324 082,00;3,38
255;-1;Банк Казани;708;Татарстан;9 861 683,00;9 363 286,00;498 397,00;5,32
256;-5;Хованский;2145;Москва и обл.;9 729 700,00;9 729 713,00;-13,00;-0,00
257;3;Датабанк;646;Удмуртия;9 655 447,00;8 894 474,00;760 973,00;8,56
258;-5;Новопокровский;467;Краснодарский край;9 634 875,00;9 392 165,00;242 710,00;2,58
259;6;Екатеринбург;3161;Свердловская обл.;9 482 962,00;8 796 759,00;686 203,00;7,80
