Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Апрель, 2016, тыс. рублей;Март, 2016, тыс. рублей;Изменение, тыс. рублей;Изменение, %
49;3;ДельтаКредит;3338;Москва и обл.;162 397 506,00;159 291 420,00;3 106 086,00;1,95
50;-1;Экспресс-Волга;3085;Костромская обл.;161 213 746,00;168 335 352,00;-7 121 606,00;-4,23
51;-1;Всероссийский Банк Развития Регионов;3287;Москва и обл.;158 793 491,00;167 688 506,00;-8 895 015,00;-5,30
52;4;МСП Банк;3340;Москва и обл.;151 635 943,00;150 061 175,00;1 574 768,00;1,05
53;4;РГС Банк;3073;Москва и обл.;147 111 838,00;147 965 745,00;-853 907,00;-0,58
54;0;ОТП Банк;2766;Москва и обл.;147 003 395,00;153 210 977,00;-6 207 582,00;-4,05
55;0;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;144 646 123,00;150 367 153,00;-5 721 030,00;-3,80
56;-3;Кредит Европа Банк;3311;Москва и обл.;139 689 008,00;155 511 932,00;-15 822 924,00;-10,17
57;-12;Национальный Расчетный Депозитарий;3294;Москва и обл.;134 332 605,00;186 497 328,00;-52 164 723,00;-27,97
58;0;Авангард;2879;Москва и обл.;134 208 138,00;137 247 567,00;-3 039 429,00;-2,21
59;0;СКБ-Банк;705;Свердловская обл.;129 410 972,00;125 316 744,00;4 094 228,00;3,27
60;0;Инвестторгбанк;2763;Москва и обл.;123 186 956,00;124 043 965,00;-857 009,00;-0,69
61;0;Ренессанс Кредит;3354;Москва и обл.;116 467 307,00;122 727 558,00;-6 260 251,00;-5,10
62;3;Запсибкомбанк;918;Тюменская обл.;105 982 095,00;106 101 928,00;-119 833,00;-0,11
63;;Роскосмосбанк;2989;Москва и обл.;105 211 776,00;-;-;
64;4;Сетелем Банк;2168;Москва и обл.;101 687 473,00;102 270 399,00;-582 926,00;-0,57
65;-2;Русфинанс Банк;1792;Самарская обл.;101 413 604,00;106 396 017,00;-4 982 413,00;-4,68
66;1;Локо-Банк;2707;Москва и обл.;99 381 379,00;103 173 914,00;-3 792 535,00;-3,68
67;11;Аверс;415;Татарстан;98 108 822,00;86 682 873,00;11 425 949,00;13,18
68;1;Банк БФА;3038;Санкт-Петербург и обл.;97 177 913,00;98 493 057,00;-1 315 144,00;-1,34
69;-7;ЦентроКредит;121;Москва и обл.;96 598 231,00;110 151 493,00;-13 553 262,00;-12,30
70;1;Центр-инвест;2225;Ростовская обл.;94 507 918,00;94 717 479,00;-209 561,00;-0,22
71;2;РосинтерБанк;226;Москва и обл.;93 837 331,00;91 566 413,00;2 270 918,00;2,48
72;-8;Международный Финансовый Клуб;2618;Москва и обл.;93 038 134,00;106 306 550,00;-13 268 416,00;-12,48
73;-3;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;91 529 479,00;96 662 294,00;-5 132 815,00;-5,31
74;-2;Балтийский Банк;128;Санкт-Петербург и обл.;90 352 114,00;93 099 445,00;-2 747 331,00;-2,95
75;-1;Таврический Банк;2304;Санкт-Петербург и обл.;87 915 313,00;90 492 339,00;-2 577 026,00;-2,85
76;4;Юниаструм Банк;2771;Москва и обл.;84 276 481,00;83 954 705,00;321 776,00;0,38
77;-2;Бинбанк Диджитал;2827;Москва и обл.;84 064 684,00;90 420 404,00;-6 355 720,00;-7,03
78;1;Союз;2307;Москва и обл.;83 874 539,00;85 292 963,00;-1 418 424,00;-1,66
79;-13;БНП Париба Банк;3407;Москва и обл.;81 997 854,00;104 132 149,00;-22 134 295,00;-21,26
80;-3;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;81 917 307,00;87 136 768,00;-5 219 461,00;-5,99
81;1;Почта Банк;650;Москва и обл.;78 811 611,00;77 746 978,00;1 064 633,00;1,37
82;1;Банк Финсервис;3388;Москва и обл.;75 381 688,00;77 459 662,00;-2 077 974,00;-2,68
83;3;Балтинвестбанк;3176;Санкт-Петербург и обл.;74 833 991,00;74 771 594,00;62 397,00;0,08
84;1;Военно-Промышленный Банк;3065;Москва и обл.;74 766 148,00;75 859 818,00;-1 093 670,00;-1,44
85;-4;Дойче Банк;3328;Москва и обл.;73 789 124,00;81 991 650,00;-8 202 526,00;-10,00
86;-2;Банк Интеза;2216;Москва и обл.;73 080 501,00;76 926 812,00;-3 846 311,00;-5,00
87;1;Кубань Кредит;2518;Краснодарский край;68 097 890,00;66 933 964,00;1 163 926,00;1,74
88;2;Металлинвестбанк;2440;Москва и обл.;66 783 579,00;66 078 646,00;704 933,00;1,07
89;-13;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;66 298 719,00;87 989 622,00;-21 690 903,00;-24,65
90;-3;РНКБ;1354;Симферополь;64 020 393,00;67 482 583,00;-3 462 190,00;-5,13
91;-2;Экспобанк;2998;Москва и обл.;63 568 034,00;66 677 129,00;-3 109 095,00;-4,66
92;7;БКС Банк;101;Новосибирская обл.;63 479 485,00;54 907 964,00;8 571 521,00;15,61
93;-1;БФГ-Кредит;3068;Москва и обл.;62 755 013,00;64 007 348,00;-1 252 335,00;-1,96
94;-1;Образование;1521;Москва и обл.;62 077 229,00;62 539 650,00;-462 421,00;-0,74
95;-4;АйСиБиСи Банк;3475;Москва и обл.;59 974 026,00;64 766 246,00;-4 792 220,00;-7,40
96;2;РН Банк;170;Москва и обл.;59 847 017,00;56 480 324,00;3 366 693,00;5,96
97;-1;Росэнергобанк;2211;Москва и обл.;59 006 195,00;57 963 793,00;1 042 402,00;1,80
98;-3;Финпромбанк (ФПБ Банк);2157;Москва и обл.;58 773 569,00;58 058 150,00;715 419,00;1,23
99;7;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;57 491 428,00;47 959 907,00;9 531 521,00;19,87
100;-6;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;55 918 975,00;59 382 029,00;-3 463 054,00;-5,83
101;-4;Росэксимбанк;2790;Москва и обл.;54 571 240,00;57 097 887,00;-2 526 647,00;-4,43
102;-2;Крайинвестбанк;3360;Краснодарский край;50 838 471,00;51 958 695,00;-1 120 224,00;-2,16
103;-1;Межтопэнергобанк;2956;Москва и обл.;49 591 364,00;50 299 817,00;-708 453,00;-1,41
104;3;Первобанк;3461;Самарская обл.;48 486 735,00;46 448 345,00;2 038 390,00;4,39
105;-2;ББР Банк;2929;Москва и обл.;48 228 454,00;50 018 348,00;-1 789 894,00;-3,58
106;-2;Тойота Банк;3470;Москва и обл.;47 725 677,00;48 668 059,00;-942 382,00;-1,94
107;1;Бэнк оф Чайна;2309;Москва и обл.;46 777 088,00;46 327 860,00;449 228,00;0,97
108;-7;СДМ-Банк;1637;Москва и обл.;46 536 417,00;50 555 118,00;-4 018 701,00;-7,95
109;13;Банк «Советский»;558;Санкт-Петербург и обл.;46 207 484,00;38 438 871,00;7 768 613,00;20,21
110;0;Газэнергобанк;3252;Калужская обл.;45 929 965,00;45 840 621,00;89 344,00;0,19
111;4;Социнвестбанк;1132;Башкортостан;44 740 164,00;43 865 780,00;874 384,00;1,99
112;1;Челябинвестбанк;493;Челябинская обл.;43 760 409,00;43 886 250,00;-125 841,00;-0,29
113;3;Левобережный;1343;Новосибирская обл.;43 671 145,00;43 757 623,00;-86 478,00;-0,20
114;-3;МБА-Москва;3395;Москва и обл.;43 543 438,00;45 266 582,00;-1 723 144,00;-3,81
115;3;Челиндбанк;485;Челябинская обл.;43 351 362,00;43 291 468,00;59 894,00;0,14
116;-4;Фора-Банк;1885;Москва и обл.;43 138 280,00;44 864 716,00;-1 726 436,00;-3,85
117;2;Примсоцбанк;2733;Приморский край;42 518 201,00;42 960 696,00;-442 495,00;-1,03
118;-13;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;42 166 046,00;47 961 172,00;-5 795 126,00;-12,08
119;-10;Коммерцбанк (Евразия);3333;Москва и обл.;41 522 728,00;46 276 198,00;-4 753 470,00;-10,27
120;-6;Интерпрогрессбанк;600;Москва и обл.;41 055 080,00;43 878 830,00;-2 823 750,00;-6,44
121;-4;Национальный Стандарт;3421;Москва и обл.;38 713 011,00;43 445 163,00;-4 732 152,00;-10,89
122;1;Саровбизнесбанк;2048;Нижегородская обл.;37 523 148,00;37 883 141,00;-359 993,00;-0,95
123;2;ОФК Банк;2270;Москва и обл.;36 511 573,00;37 046 891,00;-535 318,00;-1,44
124;7;ВУЗ-Банк;1557;Свердловская обл.;36 017 184,00;34 627 378,00;1 389 806,00;4,01
125;-1;Еврофинанс Моснарбанк;2402;Москва и обл.;35 593 635,00;37 413 892,00;-1 820 257,00;-4,87
126;0;Инвестиционный Республиканский Банк;2571;Москва и обл.;35 536 848,00;36 978 421,00;-1 441 573,00;-3,90
127;0;Меткомбанк (Череповец);901;Вологодская обл.;34 739 551,00;36 031 999,00;-1 292 448,00;-3,59
128;-8;ПЧРБ Банк;3291;Москва и обл.;34 504 780,00;41 296 673,00;-6 791 893,00;-16,45
129;0;Кольцо Урала;65;Свердловская обл.;33 792 503,00;35 237 889,00;-1 445 386,00;-4,10
130;2;Фольксваген Банк Рус;3500;Москва и обл.;33 525 115,00;34 186 909,00;-661 794,00;-1,94
131;4;Кедр;1574;Красноярский край;32 383 003,00;32 904 653,00;-521 650,00;-1,59
132;-4;НС Банк;3124;Москва и обл.;32 238 945,00;35 536 220,00;-3 297 275,00;-9,28
133;1;Русский Международный Банк;3123;Москва и обл.;32 107 064,00;33 808 253,00;-1 701 189,00;-5,03
134;5;Кредит Урал Банк;2584;Челябинская обл.;31 306 859,00;29 670 179,00;1 636 680,00;5,52
135;-14;Интерпромбанк;3266;Москва и обл.;31 063 012,00;38 686 435,00;-7 623 423,00;-19,71
136;0;Дальневосточный Банк;843;Приморский край;30 374 159,00;30 806 821,00;-432 662,00;-1,40
137;4;Солидарность;554;Самарская обл.;30 113 118,00;29 541 130,00;571 988,00;1,94
138;-5;Московское Ипотечное Агентство;3344;Москва и обл.;29 634 849,00;33 933 107,00;-4 298 258,00;-12,67
139;3;БыстроБанк;1745;Удмуртия;29 362 172,00;29 492 387,00;-130 215,00;-0,44
140;-3;Интехбанк;2705;Татарстан;29 224 857,00;30 240 776,00;-1 015 919,00;-3,36
141;3;Севергазбанк;2816;Вологодская обл.;28 312 042,00;29 151 385,00;-839 343,00;-2,88
142;4;Собинбанк;1317;Москва и обл.;28 277 452,00;28 342 401,00;-64 949,00;-0,23
143;4;Газбанк;2316;Самарская обл.;27 974 278,00;28 247 370,00;-273 092,00;-0,97
144;-1;Приморье;3001;Приморский край;27 849 304,00;29 299 317,00;-1 450 013,00;-4,95
145;0;АйМаниБанк;1975;Москва и обл.;27 673 591,00;28 559 705,00;-886 114,00;-3,10
146;4;Акибанк;2587;Татарстан;26 829 300,00;27 073 437,00;-244 137,00;-0,90
147;4;АктивКапитал Банк;3006;Самарская обл.;26 600 922,00;27 019 604,00;-418 682,00;-1,55
148;9;Алмазэргиэнбанк;2602;Саха (Якутия);26 149 673,00;25 091 981,00;1 057 692,00;4,22
149;-11;Объединенный Капитал;2611;Санкт-Петербург и обл.;25 989 556,00;29 940 899,00;-3 951 343,00;-13,20
150;-10;М2М Прайвет Банк;1414;Москва и обл.;25 844 186,00;29 590 328,00;-3 746 142,00;-12,66
151;1;Квантмобайл Банк;1189;Москва и обл.;25 841 516,00;26 150 815,00;-309 299,00;-1,18
152;1;Агропромкредит;2880;Москва и обл.;25 640 113,00;26 045 379,00;-405 266,00;-1,56
153;-4;Москоммерцбанк;3365;Москва и обл.;25 548 059,00;27 493 996,00;-1 945 937,00;-7,08
154;5;Легион;3117;Москва и обл.;25 407 199,00;24 884 115,00;523 084,00;2,10
155;-1;Натиксис Банк;3390;Москва и обл.;25 081 941,00;25 922 022,00;-840 081,00;-3,24
156;0;Генбанк;2490;Симферополь;24 784 376,00;25 192 312,00;-407 936,00;-1,62
157;1;Липецккомбанк;1242;Липецкая обл.;24 458 581,00;24 888 337,00;-429 756,00;-1,73
158;-28;Тольяттихимбанк;2507;Самарская обл.;24 237 341,00;34 961 671,00;-10 724 330,00;-30,67
159;-4;Девон-Кредит;1972;Татарстан;24 113 359,00;25 470 155,00;-1 356 796,00;-5,33
160;13;СЭБ Банк;3235;Санкт-Петербург и обл.;23 975 450,00;20 712 070,00;3 263 380,00;15,76
161;-1;Урал ФД;249;Пермская обл.;23 946 691,00;24 549 050,00;-602 359,00;-2,45
162;5;Спурт Банк;2207;Татарстан;22 503 868,00;22 452 196,00;51 672,00;0,23
163;0;Ланта-Банк;1920;Москва и обл.;22 153 268,00;23 325 888,00;-1 172 620,00;-5,03
164;1;Платежный Центр;3166;Новосибирская обл.;22 043 322,00;22 914 241,00;-870 919,00;-3,80
165;5;Энергобанк;67;Татарстан;21 672 692,00;21 618 189,00;54 503,00;0,25
166;-4;Мерседес-Бенц Банк Рус;3473;Москва и обл.;21 158 807,00;23 751 663,00;-2 592 856,00;-10,92
167;4;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;20 918 139,00;20 973 118,00;-54 979,00;-0,26
168;4;БМВ Банк;3482;Москва и обл.;20 506 947,00;20 768 901,00;-261 954,00;-1,26
169;8;Курскпромбанк;735;Курская обл.;20 282 139,00;20 015 338,00;266 801,00;1,33
170;21;Татсоцбанк;480;Татарстан;20 266 079,00;16 924 340,00;3 341 739,00;19,75
171;5;НБД-Банк;1966;Нижегородская обл.;20 125 373,00;20 228 748,00;-103 375,00;-0,51
172;3;ФИА-Банк;2542;Самарская обл.;19 716 431,00;20 250 362,00;-533 931,00;-2,64
173;6;Рублев;3098;Москва и обл.;19 666 585,00;19 633 997,00;32 588,00;0,17
174;-5;Энерготрансбанк;1307;Калининградская обл.;19 662 717,00;21 655 671,00;-1 992 954,00;-9,20
175;-27;Держава;2738;Москва и обл.;18 435 559,00;27 722 448,00;-9 286 889,00;-33,50
176;-10;Морган Стэнли Банк;3456;Москва и обл.;18 204 851,00;22 557 518,00;-4 352 667,00;-19,30
177;-3;Банк Кредит Свисс;2494;Москва и обл.;17 941 455,00;20 535 753,00;-2 594 298,00;-12,63
178;2;Денизбанк Москва;3330;Москва и обл.;17 778 898,00;19 118 802,00;-1 339 904,00;-7,01
179;-1;Морской Банк;77;Москва и обл.;17 756 429,00;19 951 680,00;-2 195 251,00;-11,00
180;1;Джей энд Ти Банк;3061;Москва и обл.;17 696 775,00;18 905 319,00;-1 208 544,00;-6,39
181;2;Хлынов;254;Кировская обл.;17 583 330,00;17 848 516,00;-265 186,00;-1,49
182;10;НК Банк;2755;Москва и обл.;17 544 398,00;16 581 120,00;963 278,00;5,81
183;-1;Данске Банк;3307;Санкт-Петербург и обл.;17 313 733,00;18 626 720,00;-1 312 987,00;-7,05
184;0;Нацинвестпромбанк;3077;Москва и обл.;17 125 774,00;17 758 274,00;-632 500,00;-3,56
185;0;Алеф-Банк;2119;Москва и обл.;17 098 254,00;17 537 441,00;-439 187,00;-2,50
186;2;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;16 980 080,00;17 401 393,00;-421 313,00;-2,42
187;-1;Развитие-Столица;3013;Москва и обл.;16 974 948,00;17 500 418,00;-525 470,00;-3,00
188;1;Уралтрансбанк;812;Свердловская обл.;16 943 940,00;17 055 305,00;-111 365,00;-0,65
189;5;Расчетно-Кредитный Банк;103;Москва и обл.;16 695 147,00;16 154 316,00;540 831,00;3,35
190;-22;Аресбанк;2914;Москва и обл.;16 670 339,00;21 766 753,00;-5 096 414,00;-23,41
191;10;Форштадт;2208;Оренбургская обл.;15 784 008,00;15 226 846,00;557 162,00;3,66
192;5;Гарант-Инвест;2576;Москва и обл.;15 608 382,00;15 624 355,00;-15 973,00;-0,10
193;2;Гранд Инвест Банк;3053;Москва и обл.;15 370 331,00;15 831 671,00;-461 340,00;-2,91
194;4;Национальный Резервный Банк;2170;Москва и обл.;15 338 374,00;15 606 203,00;-267 829,00;-1,72
195;-8;Чайна Констракшн;3515;Москва и обл.;15 234 559,00;17 473 058,00;-2 238 499,00;-12,81
196;-3;Русский Ипотечный Банк;1968;Москва и обл.;15 185 108,00;16 482 400,00;-1 297 292,00;-7,87
197;3;Банк Акцепт;567;Новосибирская обл.;15 091 275,00;15 272 064,00;-180 789,00;-1,18
198;1;Инбанк;1829;Москва и обл.;15 024 084,00;15 575 125,00;-551 041,00;-3,54
199;3;Норвик Банк;902;Кировская обл.;14 965 585,00;15 002 332,00;-36 747,00;-0,24
200;-4;Тройка-Д Банк;3431;Москва и обл.;14 950 905,00;15 639 812,00;-688 907,00;-4,40
201;4;Пойдем!;2534;Москва и обл.;14 864 623,00;14 501 941,00;362 682,00;2,50
202;-38;Экспо Финанс;2594;Москва и обл.;14 484 938,00;22 983 563,00;-8 498 625,00;-36,98
203;3;Темпбанк;55;Москва и обл.;14 341 932,00;14 304 511,00;37 421,00;0,26
204;0;ТЭМБР-Банк;2764;Москва и обл.;14 216 039,00;14 808 400,00;-592 361,00;-4,00
205;5;Финансовый Стандарт;1053;Москва и обл.;13 803 291,00;13 752 488,00;50 803,00;0,37
206;-16;Ури Банк;3479;Москва и обл.;13 716 128,00;17 046 922,00;-3 330 794,00;-19,54
207;0;ГПБ-Ипотека;2403;Москва и обл.;13 706 908,00;13 986 413,00;-279 505,00;-2,00
208;3;Солидарность (Москва);1555;Москва и обл.;13 657 901,00;13 593 212,00;64 689,00;0,48
209;4;Кошелев-Банк;3300;Самарская обл.;13 656 368,00;13 528 360,00;128 008,00;0,95
210;-1;РосДорБанк;1573;Москва и обл.;13 646 746,00;13 770 788,00;-124 042,00;-0,90
211;4;Агросоюз;1459;Москва и обл.;13 444 673,00;13 130 095,00;314 578,00;2,40
212;6;Стратегия;2801;Москва и обл.;13 012 738,00;12 744 085,00;268 653,00;2,11
213;1;БайкалБанк;2632;Бурятия;12 999 044,00;13 264 934,00;-265 890,00;-2,00
214;3;Объединенный Кредитный Банк;1118;Ярославская обл.;12 996 351,00;12 916 827,00;79 524,00;0,62
215;-3;Нефтяной Альянс;2859;Москва и обл.;12 750 968,00;13 556 093,00;-805 125,00;-5,94
216;0;Прио-Внешторгбанк;212;Рязанская обл.;12 631 936,00;12 943 334,00;-311 398,00;-2,41
217;2;Центркомбанк;2983;Москва и обл.;11 745 655,00;12 724 636,00;-978 981,00;-7,69
218;-10;Ишбанк;2867;Москва и обл.;11 709 466,00;13 948 638,00;-2 239 172,00;-16,05
219;3;Промтрансбанк;2638;Башкортостан;11 708 312,00;11 810 989,00;-102 677,00;-0,87
220;4;КС Банк;1752;Мордовия;11 622 531,00;11 575 078,00;47 453,00;0,41
221;-18;Автоторгбанк;2776;Москва и обл.;11 574 320,00;14 944 850,00;-3 370 530,00;-22,55
222;15;Киви Банк;2241;Москва и обл.;11 336 239,00;10 261 026,00;1 075 213,00;10,48
223;5;Банк Жилищного Финансирования;3138;Москва и обл.;11 283 638,00;11 054 959,00;228 679,00;2,07
224;6;Русьуниверсалбанк;3293;Москва и обл.;11 221 497,00;11 001 730,00;219 767,00;2,00
225;2;Первомайский;518;Краснодарский край;11 182 331,00;11 173 318,00;9 013,00;0,08
226;-5;Русский Торговый Банк;2842;Москва и обл.;11 174 786,00;11 845 056,00;-670 270,00;-5,66
227;-2;Солид Банк;1329;Камчатская обл.;11 144 513,00;11 456 804,00;-312 291,00;-2,73
228;5;Нижневолжский Коммерческий Банк;931;Саратовская обл.;10 825 087,00;10 683 366,00;141 721,00;1,33
229;-3;Российская Финансовая Корпорация;3099;Москва и обл.;10 822 166,00;11 347 175,00;-525 009,00;-4,63
230;-7;Развитие;2729;Карачаево-Черкесия;10 715 705,00;11 722 617,00;-1 006 912,00;-8,59
231;0;НИКО-Банк;702;Оренбургская обл.;10 656 845,00;10 856 970,00;-200 125,00;-1,84
232;-3;Новопокровский;467;Краснодарский край;10 534 473,00;11 007 922,00;-473 449,00;-4,30
233;2;Банк Оренбург;3269;Оренбургская обл.;10 376 100,00;10 326 354,00;49 746,00;0,48
234;0;Датабанк;646;Удмуртия;10 335 237,00;10 351 845,00;-16 608,00;-0,16
235;-3;ЕвроситиБанк;1869;Москва и обл.;10 329 590,00;10 777 853,00;-448 263,00;-4,16
236;3;Банк на Гончарной (бывш. Япы Креди Банк Москва);2555;Москва и обл.;10 276 785,00;9 956 875,00;319 910,00;3,21
237;1;Банк Казани;708;Татарстан;10 185 432,00;10 157 361,00;28 071,00;0,28
238;7;Таатта;1249;Саха (Якутия);10 107 753,00;9 614 951,00;492 802,00;5,13
239;10;Вокбанк;312;Нижегородская обл.;9 928 285,00;9 181 268,00;747 017,00;8,14
240;-20;Модульбанк;1927;Костромская обл.;9 893 153,00;12 048 750,00;-2 155 597,00;-17,89
241;3;Ассоциация;732;Нижегородская обл.;9 745 566,00;9 650 758,00;94 808,00;0,98
242;-6;Арксбанк;1868;Москва и обл.;9 676 192,00;10 319 956,00;-643 764,00;-6,24
243;9;Александровский;53;Санкт-Петербург и обл.;9 542 788,00;9 076 201,00;466 587,00;5,14
244;-2;Энергомашбанк;52;Санкт-Петербург и обл.;9 505 268,00;9 688 644,00;-183 376,00;-1,89
245;-2;Снежинский;1376;Челябинская обл.;9 442 424,00;9 674 706,00;-232 282,00;-2,40
246;0;СИАБ;3245;Санкт-Петербург и обл.;9 412 216,00;9 568 541,00;-156 325,00;-1,63
247;0;Финанс Бизнес Банк;520;Москва и обл.;9 259 527,00;9 345 640,00;-86 113,00;-0,92
248;5;Национальная Факторинговая Компания;3437;Москва и обл.;9 252 766,00;9 068 110,00;184 656,00;2,04
249;12;Нефтепромбанк;2156;Москва и обл.;9 202 929,00;8 748 562,00;454 367,00;5,19
250;0;Екатеринбург;3161;Свердловская обл.;9 194 457,00;9 158 744,00;35 713,00;0,39
251;-10;Енисей;474;Красноярский край;8 923 954,00;9 783 099,00;-859 145,00;-8,78
252;5;Верхневолжский;1084;Ярославская обл.;8 923 676,00;8 887 898,00;35 778,00;0,40
253;3;РусЮгбанк;2093;Волгоградская обл.;8 829 177,00;8 997 576,00;-168 399,00;-1,87
254;31;Современный Коммерческий Инновационный Банк;3329;Костромская обл.;8 739 297,00;7 639 467,00;1 099 830,00;14,40
255;-7;Славия;2664;Москва и обл.;8 734 131,00;9 341 072,00;-606 941,00;-6,50
256;7;Юг-Инвестбанк;2772;Краснодарский край;8 577 221,00;8 557 137,00;20 084,00;0,23
