Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Февраль, 2020, тыс. рублей;Январь, 2020, тыс. рублей;Изменение, тыс. рублей;Изменение, %
19;0;Ситибанк;2557;Москва и обл.;562 730 685,00;558 503 716,00;4 226 969,00;0,76
20;0;Почта Банк;650;Москва и обл.;520 479 344,00;516 748 693,00;3 730 651,00;0,72
21;0;Банк Уралсиб;30;Москва и обл.;520 302 342,00;504 469 430,00;15 832 912,00;3,14
22;0;БМ-Банк;2748;Москва и обл.;508 787 818,00;503 146 800,00;5 641 018,00;1,12
23;0;Новикомбанк;2546;Москва и обл.;496 468 759,00;502 557 298,00;-6 088 539,00;-1,21
24;0;СМП Банк;3368;Москва и обл.;467 426 948,00;480 428 093,00;-13 001 145,00;-2,71
25;0;Московский Индустриальный Банк;912;Москва и обл.;426 143 308,00;428 890 890,00;-2 747 582,00;-0,64
26;0;Московский Областной Банк;1751;Москва и обл.;408 793 411,00;385 110 748,00;23 682 663,00;6,15
27;0;Банк ДОМ.РФ;2312;Москва и обл.;347 957 469,00;344 502 066,00;3 455 403,00;1,00
28;0;Русский Стандарт;2289;Москва и обл.;342 321 342,00;338 476 154,00;3 845 188,00;1,14
29;0;Пересвет;2110;Москва и обл.;338 338 703,00;325 025 614,00;13 313 089,00;4,10
30;1;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;299 621 361,00;300 457 346,00;-835 985,00;-0,28
31;1;Хоум Кредит Банк;316;Москва и обл.;284 721 354,00;281 852 600,00;2 868 754,00;1,02
32;-2;Связь-Банк;1470;Москва и обл.;282 009 254,00;302 205 136,00;-20 195 882,00;-6,68
33;0;Возрождение;1439;Москва и обл.;279 392 201,00;279 574 947,00;-182 746,00;-0,07
34;0;Абсолют Банк;2306;Москва и обл.;276 373 794,00;264 500 328,00;11 873 466,00;4,49
35;3;РНКБ;1354;Симферополь;260 354 826,00;219 039 190,00;41 315 636,00;18,86
36;0;Банк Зенит;3255;Москва и обл.;247 099 040,00;243 212 828,00;3 886 212,00;1,60
37;-2;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;246 599 906,00;247 883 838,00;-1 283 932,00;-0,52
38;4;ИНГ Банк;2495;Москва и обл.;238 022 451,00;181 762 937,00;56 259 514,00;30,95
39;-2;Восточный Банк;1460;Амурская обл.;234 885 791,00;238 605 271,00;-3 719 480,00;-1,56
40;-1;Инвестторгбанк;2763;Москва и обл.;196 724 849,00;200 169 430,00;-3 444 581,00;-1,72
41;-1;МТС Банк;2268;Москва и обл.;196 690 485,00;191 358 226,00;5 332 259,00;2,79
42;2;ОТП Банк;2766;Москва и обл.;178 251 227,00;169 086 310,00;9 164 917,00;5,42
43;0;Ренессанс Кредит;3354;Москва и обл.;176 708 007,00;177 910 509,00;-1 202 502,00;-0,68
44;-3;Национальный Расчетный Депозитарий;3294;Москва и обл.;172 059 563,00;184 140 081,00;-12 080 518,00;-6,56
45;1;Транскапиталбанк;2210;Москва и обл.;165 988 074,00;164 768 930,00;1 219 144,00;0,74
46;-1;Экспресс-Волга;3085;Костромская обл.;164 418 627,00;167 342 682,00;-2 924 055,00;-1,75
47;0;Русфинанс Банк;1792;Самарская обл.;163 686 681,00;160 428 656,00;3 258 025,00;2,03
48;0;Сетелем Банк;2168;Москва и обл.;153 692 713,00;155 756 741,00;-2 064 028,00;-1,33
49;2;Кредит Европа Банк;3311;Москва и обл.;148 844 116,00;141 938 092,00;6 906 024,00;4,87
50;0;Росэксимбанк;2790;Москва и обл.;148 151 218,00;145 642 488,00;2 508 730,00;1,72
51;-2;Запсибкомбанк;918;Тюменская обл.;145 761 550,00;148 624 075,00;-2 862 525,00;-1,93
52;0;Роскосмосбанк;2989;Москва и обл.;136 058 208,00;135 515 283,00;542 925,00;0,40
53;1;Авангард;2879;Москва и обл.;130 771 482,00;131 817 553,00;-1 046 071,00;-0,79
54;1;Таврический Банк;2304;Санкт-Петербург и обл.;125 622 225,00;124 580 439,00;1 041 786,00;0,84
55;-2;МСП Банк;3340;Москва и обл.;125 269 603,00;132 325 382,00;-7 055 779,00;-5,33
56;1;ЦентроКредит;121;Москва и обл.;123 626 170,00;123 307 299,00;318 871,00;0,26
57;-1;Центр-инвест;2225;Ростовская обл.;122 058 085,00;124 047 613,00;-1 989 528,00;-1,60
58;0;Банк Финсервис;3388;Москва и обл.;121 364 608,00;121 141 523,00;223 085,00;0,18
59;1;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;116 998 197,00;117 374 156,00;-375 959,00;-0,32
60;2;Локо-Банк;2707;Москва и обл.;116 265 720,00;116 231 240,00;34 480,00;0,03
61;2;Кубань Кредит;2518;Краснодарский край;113 295 860,00;113 094 105,00;201 755,00;0,18
62;2;РН Банк;170;Москва и обл.;112 651 068,00;112 333 458,00;317 610,00;0,28
63;5;ВУЗ-Банк;1557;Свердловская обл.;105 016 141,00;100 375 848,00;4 640 293,00;4,62
64;1;Аверс;415;Татарстан;104 684 719,00;107 902 719,00;-3 218 000,00;-2,98
65;2;Металлинвестбанк;2440;Москва и обл.;101 501 774,00;100 942 923,00;558 851,00;0,55
66;0;Союз;2307;Москва и обл.;100 909 428,00;105 626 156,00;-4 716 728,00;-4,47
67;2;СКБ-Банк;705;Свердловская обл.;92 868 380,00;90 417 580,00;2 450 800,00;2,71
68;-9;Дойче Банк;3328;Москва и обл.;86 687 067,00;117 581 806,00;-30 894 739,00;-26,28
69;2;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;83 138 957,00;82 148 370,00;990 587,00;1,21
70;2;Экспобанк;2998;Москва и обл.;80 646 051,00;79 033 982,00;1 612 069,00;2,04
71;9;Эм-Ю-Эф-Джи Банк (Евразия);3465;Москва и обл.;78 382 075,00;71 318 022,00;7 064 053,00;9,91
72;-2;Мидзухо Банк;3337;Москва и обл.;78 122 326,00;85 247 073,00;-7 124 747,00;-8,36
73;-12;Нордеа Банк;3016;Москва и обл.;75 953 446,00;116 624 554,00;-40 671 108,00;-34,87
74;-1;Тойота Банк;3470;Москва и обл.;75 904 621,00;77 526 203,00;-1 621 582,00;-2,09
75;1;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;75 455 863,00;74 070 180,00;1 385 683,00;1,87
76;-2;Балтинвестбанк;3176;Санкт-Петербург и обл.;75 259 702,00;74 886 876,00;372 826,00;0,50
77;0;СДМ-Банк;1637;Москва и обл.;74 382 499,00;73 237 798,00;1 144 701,00;1,56
78;-3;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;74 325 662,00;74 769 473,00;-443 811,00;-0,59
79;-1;Левобережный;1343;Новосибирская обл.;71 073 997,00;71 874 567,00;-800 570,00;-1,11
80;-1;БКС Банк;101;Москва и обл.;69 581 722,00;71 436 009,00;-1 854 287,00;-2,60
81;1;Банк Интеза;2216;Москва и обл.;68 812 344,00;67 846 588,00;965 756,00;1,42
82;1;Примсоцбанк;2733;Приморский край;66 714 535,00;66 195 164,00;519 371,00;0,78
83;5;Коммерцбанк (Евразия);3333;Москва и обл.;61 119 773,00;58 642 198,00;2 477 575,00;4,22
84;2;Севергазбанк;2816;Вологодская обл.;60 546 002,00;59 705 740,00;840 262,00;1,41
85;5;Фора-Банк;1885;Москва и обл.;59 563 773,00;57 193 501,00;2 370 272,00;4,14
86;-1;АйСиБиСи Банк;3475;Москва и обл.;59 271 275,00;59 828 774,00;-557 499,00;-0,93
87;-6;ББР Банк;2929;Москва и обл.;57 521 387,00;69 100 654,00;-11 579 267,00;-16,76
88;1;Челиндбанк;485;Челябинская обл.;57 246 689,00;57 704 774,00;-458 085,00;-0,79
89;54;Банк Кредит Свисс;2494;Москва и обл.;56 585 965,00;21 189 422,00;35 396 543,00;167,05
90;2;Челябинвестбанк;493;Челябинская обл.;56 327 310,00;56 211 618,00;115 692,00;0,21
91;13;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;55 443 509,00;45 196 531,00;10 246 978,00;22,67
92;9;Международный Финансовый Клуб;2618;Москва и обл.;54 749 440,00;46 842 838,00;7 906 602,00;16,88
93;2;Энерготрансбанк;1307;Калининградская обл.;54 497 187,00;49 995 441,00;4 501 746,00;9,00
94;4;СЭБ Банк;3235;Санкт-Петербург и обл.;53 698 381,00;48 341 663,00;5 356 718,00;11,08
95;-4;Киви Банк;2241;Москва и обл.;53 142 800,00;56 772 938,00;-3 630 138,00;-6,39
96;-3;РГС Банк;3073;Москва и обл.;51 691 282,00;53 887 179,00;-2 195 897,00;-4,07
97;-3;Генбанк;2490;Симферополь;51 602 123,00;52 827 633,00;-1 225 510,00;-2,32
98;-2;Газэнергобанк;3252;Калужская обл.;50 155 892,00;49 676 651,00;479 241,00;0,96
99;3;БМВ Банк;3482;Москва и обл.;49 724 417,00;45 712 230,00;4 012 187,00;8,78
100;-16;Платежный Центр;3166;Новосибирская обл.;48 222 705,00;63 623 170,00;-15 400 465,00;-24,21
101;-4;Саровбизнесбанк;2048;Нижегородская обл.;47 955 909,00;48 491 970,00;-536 061,00;-1,11
102;-3;Аресбанк;2914;Москва и обл.;47 657 081,00;47 601 684,00;55 397,00;0,12
103;4;БНП Париба Банк;3407;Москва и обл.;46 628 197,00;42 715 509,00;3 912 688,00;9,16
104;-1;Мир Бизнес Банк;3396;Москва и обл.;46 578 809,00;45 211 592,00;1 367 217,00;3,02
105;3;Объединенный Капитал;2611;Санкт-Петербург и обл.;45 507 430,00;42 005 276,00;3 502 154,00;8,34
106;-1;Солидарность;554;Самарская обл.;45 216 515,00;44 380 745,00;835 770,00;1,88
107;-1;Бэнк оф Чайна;2309;Москва и обл.;45 122 694,00;43 046 903,00;2 075 791,00;4,82
108;-8;Фольксваген Банк Рус;3500;Москва и обл.;43 225 013,00;47 192 867,00;-3 967 854,00;-8,41
109;17;Голдман Сакс Банк;3490;Москва и обл.;41 916 540,00;28 034 183,00;13 882 357,00;49,52
110;-1;Кольцо Урала;65;Свердловская обл.;39 975 891,00;40 308 880,00;-332 989,00;-0,83
111;-1;БыстроБанк;1745;Удмуртия;39 369 113,00;39 750 537,00;-381 424,00;-0,96
112;0;Дж. П. Морган Банк;2629;Москва и обл.;39 081 730,00;36 878 973,00;2 202 757,00;5,97
113;0;Интерпрогрессбанк;600;Москва и обл.;38 459 136,00;36 818 402,00;1 640 734,00;4,46
114;-3;Дальневосточный Банк;843;Приморский край;38 019 049,00;38 858 773,00;-839 724,00;-2,16
115;-1;Приморье;3001;Приморский край;37 069 174,00;35 809 450,00;1 259 724,00;3,52
116;-1;Держава;2738;Москва и обл.;36 680 736,00;35 211 010,00;1 469 726,00;4,17
117;-1;Кредит Урал Банк;2584;Челябинская обл.;34 904 281,00;34 417 757,00;486 524,00;1,41
118;-1;Квантмобайл Банк;1189;Москва и обл.;34 641 137,00;34 216 691,00;424 446,00;1,24
119;2;Национальный Стандарт;3421;Москва и обл.;33 041 879,00;32 282 369,00;759 510,00;2,35
120;0;Алмазэргиэнбанк;2602;Саха (Якутия);32 288 448,00;32 736 363,00;-447 915,00;-1,37
121;-2;НС Банк;3124;Москва и обл.;30 712 140,00;32 751 728,00;-2 039 588,00;-6,23
122;-4;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;30 552 437,00;32 896 783,00;-2 344 346,00;-7,13
123;0;МС Банк Рус;2789;Москва и обл.;30 046 229,00;29 914 352,00;131 877,00;0,44
124;4;Урал ФД;249;Пермская обл.;27 491 334,00;27 430 543,00;60 791,00;0,22
125;4;Интерпромбанк;3266;Москва и обл.;27 465 017,00;27 340 522,00;124 495,00;0,46
126;4;Курскпромбанк;735;Курская обл.;27 121 802,00;27 321 001,00;-199 199,00;-0,73
127;0;Мерседес-Бенц Банк Рус;3473;Москва и обл.;26 322 538,00;27 632 139,00;-1 309 601,00;-4,74
128;4;Экономбанк;1319;Саратовская обл.;25 972 097,00;25 773 970,00;198 127,00;0,77
129;2;Акибанк;2587;Татарстан;25 936 044,00;25 785 362,00;150 682,00;0,58
130;3;Хлынов;254;Кировская обл.;25 871 532,00;25 612 584,00;258 948,00;1,01
131;11;Московское Ипотечное Агентство;3344;Москва и обл.;25 363 484,00;21 554 113,00;3 809 371,00;17,67
132;2;Энергобанк;67;Татарстан;24 484 985,00;24 144 422,00;340 563,00;1,41
133;2;Ланта-Банк;1920;Москва и обл.;24 371 296,00;23 927 746,00;443 550,00;1,85
134;3;Москоммерцбанк;3365;Москва и обл.;23 075 269,00;23 033 098,00;42 171,00;0,18
135;-10;Чайна Констракшн;3515;Москва и обл.;22 872 183,00;28 222 479,00;-5 350 296,00;-18,96
136;4;Джей энд Ти Банк;3061;Москва и обл.;22 635 055,00;22 154 695,00;480 360,00;2,17
137;4;НБД-Банк;1966;Нижегородская обл.;22 265 472,00;22 084 391,00;181 081,00;0,82
138;-14;Натиксис Банк;3390;Москва и обл.;22 156 798,00;29 522 019,00;-7 365 221,00;-24,95
139;-1;Модульбанк;1927;Костромская обл.;21 676 861,00;22 564 981,00;-888 120,00;-3,94
140;-1;Банк Акцепт;567;Новосибирская обл.;21 377 443,00;22 502 424,00;-1 124 981,00;-5,00
141;-5;Тольяттихимбанк;2507;Самарская обл.;21 152 284,00;23 832 493,00;-2 680 209,00;-11,25
142;8;Агропромкредит;2880;Москва и обл.;20 934 211,00;19 659 100,00;1 275 111,00;6,49
143;4;Пойдем!;2534;Москва и обл.;20 685 744,00;20 218 239,00;467 505,00;2,31
144;2;Инбанк;1829;Москва и обл.;20 610 096,00;20 364 204,00;245 892,00;1,21
145;-1;Татсоцбанк;480;Татарстан;20 398 044,00;20 951 006,00;-552 962,00;-2,64
146;-1;Ури Банк;3479;Москва и обл.;20 106 679,00;20 715 342,00;-608 663,00;-2,94
147;4;КЭБ ЭйчЭнБи Банк;3525;Москва и обл.;19 768 068,00;19 452 565,00;315 503,00;1,62
148;0;Кошелев-Банк;3300;Самарская обл.;19 661 309,00;19 768 650,00;-107 341,00;-0,54
149;0;РосДорБанк;1573;Москва и обл.;19 097 835,00;19 739 697,00;-641 862,00;-3,25
150;6;Ишбанк;2867;Москва и обл.;18 612 998,00;17 283 841,00;1 329 157,00;7,69
151;3;Прио-Внешторгбанк;212;Рязанская обл.;18 584 788,00;17 848 491,00;736 297,00;4,13
152;0;Александровский;53;Санкт-Петербург и обл.;18 369 971,00;19 393 557,00;-1 023 586,00;-5,28
153;16;Банк Оренбург;3269;Оренбургская обл.;17 752 458,00;13 714 830,00;4 037 628,00;29,44
154;-1;Денизбанк Москва;3330;Москва и обл.;17 689 412,00;18 694 406,00;-1 004 994,00;-5,38
155;0;Алеф-Банк;2119;Москва и обл.;17 446 864,00;17 409 770,00;37 094,00;0,21
156;2;Морской Банк;77;Москва и обл.;17 371 434,00;16 786 135,00;585 299,00;3,49
157;5;Форштадт;2208;Оренбургская обл.;16 654 945,00;16 029 000,00;625 945,00;3,91
158;5;Развитие-Столица;3013;Москва и обл.;16 420 264,00;15 937 556,00;482 708,00;3,03
159;2;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;16 150 918,00;16 130 500,00;20 418,00;0,13
160;0;Норвик Банк;902;Кировская обл.;16 104 275,00;16 218 534,00;-114 259,00;-0,70
161;-2;Эс-Би-Ай Банк;3185;Москва и обл.;15 798 195,00;16 546 845,00;-748 650,00;-4,52
162;-5;РЕСО Кредит;3450;Москва и обл.;15 236 896,00;16 808 269,00;-1 571 373,00;-9,35
163;2;Финанс Бизнес Банк;520;Москва и обл.;14 943 825,00;14 598 936,00;344 889,00;2,36
164;0;НК Банк;2755;Москва и обл.;14 545 538,00;14 953 685,00;-408 147,00;-2,73
165;1;Чайнасельхозбанк;3529;Москва и обл.;14 280 888,00;14 072 946,00;207 942,00;1,48
166;2;Банк Казани;708;Татарстан;14 228 643,00;13 881 443,00;347 200,00;2,50
167;0;Гарант-Инвест;2576;Москва и обл.;13 457 961,00;13 884 652,00;-426 691,00;-3,07
168;3;Реалист Банк;1067;Москва и обл.;13 205 921,00;13 161 506,00;44 415,00;0,34
169;1;КС Банк;1752;Мордовия;13 193 220,00;13 340 926,00;-147 706,00;-1,11
170;7;ЮMoney;3510;Россия;13 107 328,00;12 604 179,00;503 149,00;3,99
171;3;Промтрансбанк;2638;Башкортостан;12 905 622,00;12 874 734,00;30 888,00;0,24
172;1;НИКО-Банк;702;Оренбургская обл.;12 881 325,00;12 977 982,00;-96 657,00;-0,74
173;3;Национальный Резервный Банк;2170;Москва и обл.;12 681 137,00;12 672 883,00;8 254,00;0,07
174;8;Консервативный Коммерческий Банк;1087;Астраханская обл.;12 573 213,00;12 210 517,00;362 696,00;2,97
175;0;Датабанк;646;Удмуртия;12 549 331,00;12 842 503,00;-293 172,00;-2,28
176;9;Нацинвестпромбанк;3077;Москва и обл.;12 260 858,00;12 042 474,00;218 384,00;1,81
177;3;Собинбанк;1317;Москва и обл.;12 250 591,00;12 302 569,00;-51 978,00;-0,42
178;5;Юг-Инвестбанк;2772;Краснодарский край;12 134 780,00;12 108 645,00;26 135,00;0,22
179;5;Снежинский;1376;Челябинская обл.;12 074 305,00;12 046 249,00;28 056,00;0,23
180;10;Банк Раунд;2506;Москва и обл.;11 920 779,00;10 996 055,00;924 724,00;8,41
181;7;Энергомашбанк;52;Санкт-Петербург и обл.;11 812 031,00;11 359 553,00;452 478,00;3,98
182;5;Актив Банк;2529;Мордовия;11 643 640,00;11 454 526,00;189 114,00;1,65
183;-2;ТЭМБР-Банк;2764;Москва и обл.;11 407 474,00;12 249 861,00;-842 387,00;-6,88
184;-12;Руснарбанк;3403;Москва и обл.;11 295 042,00;13 130 908,00;-1 835 866,00;-13,98
185;9;Банк БКФ;2684;Москва и обл.;11 041 319,00;10 463 082,00;578 237,00;5,53
186;6;Банк Жилищного Финансирования;3138;Москва и обл.;10 974 196,00;10 768 894,00;205 302,00;1,91
187;8;Солид Банк;1329;Приморский край;10 566 029,00;10 300 348,00;265 681,00;2,58
188;8;МБА-Москва;3395;Москва и обл.;10 456 417,00;10 291 334,00;165 083,00;1,60
189;0;Екатеринбург;3161;Свердловская обл.;10 151 418,00;11 048 203,00;-896 785,00;-8,12
190;8;Автоторгбанк;2776;Москва и обл.;9 953 124,00;9 243 386,00;709 738,00;7,68
191;-13;Национальная Факторинговая Компания;3437;Москва и обл.;9 825 850,00;12 439 637,00;-2 613 787,00;-21,01
192;-1;Итуруп;2390;Сахалинская обл.;9 757 188,00;10 943 244,00;-1 186 056,00;-10,84
193;0;Русьуниверсалбанк;3293;Москва и обл.;9 696 393,00;10 593 888,00;-897 495,00;-8,47
194;3;Углеметбанк;2997;Челябинская обл.;9 660 621,00;9 434 841,00;225 780,00;2,39
195;4;Томскпромстройбанк;1720;Томская обл.;9 137 912,00;9 080 149,00;57 763,00;0,64
196;18;Финам Банк;2799;Москва и обл.;9 134 065,00;7 170 582,00;1 963 483,00;27,38
197;14;Морган Стэнли Банк;3456;Москва и обл.;8 805 336,00;7 376 641,00;1 428 695,00;19,37
198;5;Нейва;1293;Свердловская обл.;8 772 487,00;8 517 405,00;255 082,00;2,99
199;2;Хакасский Муниципальный Банк;1049;Хакасия;8 737 121,00;8 645 034,00;92 087,00;1,07
200;0;Зираат Банк;2559;Москва и обл.;8 619 688,00;9 023 230,00;-403 542,00;-4,47
201;-15;Инкахран;3454;Москва и обл.;8 497 670,00;11 774 400,00;-3 276 730,00;-27,83
202;2;Белгородсоцбанк;760;Белгородская обл.;8 349 252,00;8 218 859,00;130 393,00;1,59
203;2;Кузнецкбизнесбанк;1158;Кемеровская обл.;8 224 482,00;8 108 432,00;116 050,00;1,43
204;-2;Ставропольпромстройбанк;1288;Ставропольский край;8 162 169,00;8 587 809,00;-425 640,00;-4,96
205;8;Гута-Банк;256;Москва и обл.;8 100 162,00;7 201 101,00;899 061,00;12,49
206;4;Новобанк;1352;Новгородская обл.;8 059 522,00;7 691 201,00;368 321,00;4,79
207;-1;Трансстройбанк;2807;Москва и обл.;7 885 432,00;7 977 312,00;-91 880,00;-1,15
208;-1;Северный Народный Банк;2721;Коми;7 859 976,00;7 957 783,00;-97 807,00;-1,23
209;-1;Сибсоцбанк;2015;Алтайский край;7 659 254,00;7 895 343,00;-236 089,00;-2,99
210;-1;Сити Инвест Банк;3194;Санкт-Петербург и обл.;7 642 971,00;7 893 869,00;-250 898,00;-3,18
211;8;Банк Оранжевый;1659;Санкт-Петербург и обл.;7 386 940,00;7 006 406,00;380 534,00;5,43
212;6;Ростфинанс;481;Ростовская обл.;7 299 823,00;7 017 955,00;281 868,00;4,02
213;4;Агророс;2860;Саратовская обл.;7 127 719,00;7 022 137,00;105 582,00;1,50
214;2;Славия;2664;Москва и обл.;7 019 837,00;7 040 433,00;-20 596,00;-0,29
215;16;Ю Би Эс Банк;3463;Москва и обл.;6 924 701,00;5 899 049,00;1 025 652,00;17,39
216;-4;Нефтепромбанк;2156;Москва и обл.;6 876 802,00;7 337 365,00;-460 563,00;-6,28
217;5;Черноморский банк развития и реконструкции;3527;Симферополь;6 833 789,00;6 934 691,00;-100 902,00;-1,46
218;2;Кузнецкий;609;Пензенская обл.;6 796 295,00;6 989 559,00;-193 264,00;-2,77
219;-4;Горбанк;2982;Санкт-Петербург и обл.;6 727 256,00;7 156 318,00;-429 062,00;-6,00
220;5;ФорБанк;2063;Москва и обл.;6 709 843,00;6 752 257,00;-42 414,00;-0,63
221;3;Автоградбанк;1455;Татарстан;6 702 928,00;6 817 594,00;-114 666,00;-1,68
222;5;Венец;524;Ульяновская обл.;6 675 954,00;6 202 310,00;473 644,00;7,64
223;-2;Енисейский Объединенный Банк;2645;Красноярский край;6 632 195,00;6 982 764,00;-350 569,00;-5,02
224;2;Земский Банк;2900;Самарская обл.;6 575 729,00;6 507 657,00;68 072,00;1,05
225;-2;Азия-Инвест Банк;3303;Москва и обл.;6 553 512,00;6 920 843,00;-367 331,00;-5,31
226;4;Москва-Сити;3247;Москва и обл.;6 056 482,00;6 013 712,00;42 770,00;0,71
227;1;Газтрансбанк;665;Краснодарский край;6 046 403,00;6 100 686,00;-54 283,00;-0,89
228;6;Кубаньторгбанк;478;Краснодарский край;5 792 180,00;5 584 495,00;207 685,00;3,72
229;4;Индустриальный Сберегательный Банк;3175;Москва и обл.;5 595 278,00;5 658 164,00;-62 886,00;-1,11
230;11;Банк Фридом Финанс;1143;Москва и обл.;5 554 217,00;5 142 962,00;411 255,00;8,00
231;-2;Альба Альянс;2593;Москва и обл.;5 476 950,00;6 027 079,00;-550 129,00;-9,13
232;7;Роял Кредит Банк;783;Приморский край;5 464 153,00;5 381 572,00;82 581,00;1,53
233;2;Стройлесбанк;2995;Тюменская обл.;5 409 617,00;5 580 521,00;-170 904,00;-3,06
234;4;Проминвестбанк;2433;Москва и обл.;5 170 047,00;5 426 988,00;-256 941,00;-4,73
235;7;Муниципальный Камчатпрофитбанк;2103;Камчатская обл.;5 078 034,00;5 106 249,00;-28 215,00;-0,55
236;7;СИАБ;3245;Санкт-Петербург и обл.;5 059 491,00;5 043 984,00;15 507,00;0,31
237;3;Бест Эффортс Банк;435;Москва и обл.;5 045 365,00;5 258 056,00;-212 691,00;-4,05
238;-2;Зенит Сочи;232;Краснодарский край;4 991 322,00;5 497 204,00;-505 882,00;-9,20
239;6;Заубер Банк;1614;Санкт-Петербург и обл.;4 818 318,00;4 875 536,00;-57 218,00;-1,17
240;6;НОКССбанк;3202;Волгоградская обл.;4 772 808,00;4 841 260,00;-68 452,00;-1,41
241;6;Крокус-Банк;2682;Москва и обл.;4 727 506,00;4 797 645,00;-70 139,00;-1,46
242;2;Долинск;857;Сахалинская обл.;4 711 676,00;4 963 231,00;-251 555,00;-5,07
243;6;ФинТех;3499;Москва и обл.;4 698 419,00;4 473 552,00;224 867,00;5,03
244;10;Камский Коммерческий Банк;438;Татарстан;4 447 769,00;4 320 875,00;126 894,00;2,94
245;6;Московский Коммерческий Банк;3172;Москва и обл.;4 433 701,00;4 450 458,00;-16 757,00;-0,38
246;7;Братский АНКБ;1144;Иркутская обл.;4 415 146,00;4 341 391,00;73 755,00;1,70
247;8;Банк Кремлевский;2905;Москва и обл.;4 385 109,00;4 316 351,00;68 758,00;1,59
248;2;Мегаполис;3265;Чувашия;4 369 930,00;4 452 898,00;-82 968,00;-1,86
249;18;Народный Банк;2249;Москва и обл.;4 316 794,00;3 819 229,00;497 565,00;13,03
250;-18;Платина;2347;Москва и обл.;4 274 661,00;5 861 889,00;-1 587 228,00;-27,08
251;9;Славянский Кредит;2960;Москва и обл.;4 254 320,00;4 131 541,00;122 779,00;2,97
252;5;Донкомбанк;492;Ростовская обл.;4 220 272,00;4 246 692,00;-26 420,00;-0,62
253;6;Икано Банк;3519;Москва и обл.;4 211 579,00;4 195 355,00;16 224,00;0,39
254;-2;Бланк Банк;2368;Москва и обл.;4 166 343,00;4 383 297,00;-216 954,00;-4,95
255;3;Алтайкапиталбанк;2659;Алтайский край;4 078 598,00;4 196 027,00;-117 429,00;-2,80
256;7;ЮМК Банк;3495;Краснодарский край;4 023 197,00;3 992 617,00;30 580,00;0,77
257;8;Объединенный Резервный Банк;937;Москва и обл.;3 998 246,00;3 972 378,00;25 868,00;0,65
258;6;ПэйПал Ру;3517;Москва и обл.;3 988 777,00;3 988 777,00;0,00;0
259;17;Новый Век;3417;Москва и обл.;3 956 652,00;3 277 038,00;679 614,00;20,74
260;1;Вологжанин;1896;Вологодская обл.;3 888 395,00;4 047 777,00;-159 382,00;-3,94
