Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Декабрь, 2017, тыс. рублей;Ноябрь, 2017, тыс. рублей;Изменение, тыс. рублей;Изменение, %
36;-1;Возрождение;1439;Москва и обл.;266 528 968,00;253 730 190,00;12 798 778,00;5,04
37;-1;Хоум Кредит Банк;316;Москва и обл.;254 284 357,00;253 497 672,00;786 685,00;0,31
38;2;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;247 416 177,00;225 048 976,00;22 367 201,00;9,94
39;0;Банк Зенит;3255;Москва и обл.;241 550 607,00;235 493 175,00;6 057 432,00;2,57
40;-2;Пересвет;2110;Москва и обл.;235 033 101,00;236 936 561,00;-1 903 460,00;-0,80
41;2;Почта Банк;650;Москва и обл.;234 319 922,00;217 866 854,00;16 453 068,00;7,55
42;0;Транскапиталбанк;2210;Москва и обл.;218 653 215,00;220 652 003,00;-1 998 788,00;-0,91
43;1;Экспресс-Волга;3085;Костромская обл.;214 369 570,00;209 949 352,00;4 420 218,00;2,11
44;-3;ИНГ Банк;2495;Москва и обл.;212 560 259,00;224 997 374,00;-12 437 115,00;-5,53
45;0;РосЕвроБанк;3137;Москва и обл.;196 026 649,00;193 196 829,00;2 829 820,00;1,46
46;2;ДельтаКредит;3338;Москва и обл.;180 930 824,00;176 808 290,00;4 122 534,00;2,33
47;0;Нордеа Банк;3016;Москва и обл.;177 624 745,00;181 813 663,00;-4 188 918,00;-2,30
48;1;МТС Банк;2268;Москва и обл.;159 429 294,00;163 217 625,00;-3 788 331,00;-2,32
49;1;РГС Банк;3073;Москва и обл.;145 082 304,00;152 064 156,00;-6 981 852,00;-4,59
50;-4;Банк АВБ;23;Самарская обл.;140 546 693,00;187 372 802,00;-46 826 109,00;-24,99
51;3;Авангард;2879;Москва и обл.;139 997 678,00;136 089 937,00;3 907 741,00;2,87
52;1;ОТП Банк;2766;Москва и обл.;138 670 117,00;136 553 207,00;2 116 910,00;1,55
53;-1;Инвестторгбанк;2763;Москва и обл.;138 409 368,00;138 030 072,00;379 296,00;0,27
54;1;Аверс;415;Татарстан;137 645 187,00;133 537 352,00;4 107 835,00;3,08
55;-4;Глобэкс;1942;Москва и обл.;132 941 114,00;138 250 389,00;-5 309 275,00;-3,84
56;0;Кредит Европа Банк;3311;Москва и обл.;128 522 480,00;126 985 762,00;1 536 718,00;1,21
57;2;Ренессанс Кредит;3354;Москва и обл.;127 020 583,00;123 722 157,00;3 298 426,00;2,67
58;-1;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;126 505 542,00;125 331 862,00;1 173 680,00;0,94
59;-1;Сетелем Банк;2168;Москва и обл.;124 734 446,00;124 396 304,00;338 142,00;0,27
60;0;СКБ-Банк;705;Свердловская обл.;121 420 039,00;119 617 858,00;1 802 181,00;1,51
61;0;Русфинанс Банк;1792;Самарская обл.;118 530 658,00;116 598 444,00;1 932 214,00;1,66
62;0;Запсибкомбанк;918;Тюменская обл.;117 639 934,00;115 063 337,00;2 576 597,00;2,24
63;0;РНКБ;1354;Симферополь;114 300 945,00;113 629 308,00;671 637,00;0,59
64;3;Национальный Расчетный Депозитарий;3294;Москва и обл.;113 333 687,00;107 155 118,00;6 178 569,00;5,77
65;-1;Роскосмосбанк;2989;Москва и обл.;112 306 596,00;113 155 912,00;-849 316,00;-0,75
66;-1;МСП Банк;3340;Москва и обл.;112 230 907,00;110 370 515,00;1 860 392,00;1,69
67;-1;Банк Финсервис;3388;Москва и обл.;108 061 522,00;110 068 678,00;-2 007 156,00;-1,82
68;0;Центр-инвест;2225;Ростовская обл.;104 092 021,00;103 587 008,00;505 013,00;0,49
69;0;Таврический Банк;2304;Санкт-Петербург и обл.;100 397 165,00;99 959 086,00;438 079,00;0,44
70;0;Балтинвестбанк;3176;Санкт-Петербург и обл.;94 609 473,00;90 911 185,00;3 698 288,00;4,07
71;0;ЦентроКредит;121;Москва и обл.;87 854 311,00;88 746 640,00;-892 329,00;-1,01
72;0;Кубань Кредит;2518;Краснодарский край;87 662 926,00;86 265 894,00;1 397 032,00;1,62
73;4;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;87 307 057,00;73 548 475,00;13 758 582,00;18,71
74;-1;Локо-Банк;2707;Москва и обл.;87 146 384,00;83 142 714,00;4 003 670,00;4,82
75;1;РН Банк;170;Москва и обл.;84 444 686,00;78 462 792,00;5 981 894,00;7,62
76;29;Банк Кредит Свисс;2494;Москва и обл.;80 622 930,00;47 667 084,00;32 955 846,00;69,14
77;-2;Союз;2307;Москва и обл.;80 088 264,00;79 289 177,00;799 087,00;1,01
78;-4;Росэксимбанк;2790;Москва и обл.;79 551 049,00;81 200 997,00;-1 649 948,00;-2,03
79;0;ВУЗ-Банк;1557;Свердловская обл.;73 207 102,00;69 319 909,00;3 887 193,00;5,61
80;-2;Металлинвестбанк;2440;Москва и обл.;71 407 750,00;72 100 138,00;-692 388,00;-0,96
81;4;Экспобанк;2998;Москва и обл.;63 794 906,00;62 747 168,00;1 047 738,00;1,67
82;0;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;63 369 565,00;65 678 326,00;-2 308 761,00;-3,52
83;0;ОФК Банк;2270;Москва и обл.;61 492 404,00;65 608 396,00;-4 115 992,00;-6,27
84;10;Тойота Банк;3470;Москва и обл.;60 138 757,00;53 862 021,00;6 276 736,00;11,65
85;-4;БКС Банк;101;Новосибирская обл.;59 909 901,00;66 097 030,00;-6 187 129,00;-9,36
86;1;БНП Париба Банк;3407;Москва и обл.;59 771 331,00;58 844 556,00;926 775,00;1,57
87;-3;Дойче Банк;3328;Москва и обл.;59 655 098,00;62 862 455,00;-3 207 357,00;-5,10
88;0;Крайинвестбанк;3360;Краснодарский край;58 039 356,00;58 128 035,00;-88 679,00;-0,15
89;-9;Банк Интеза;2216;Москва и обл.;57 599 922,00;66 730 944,00;-9 131 022,00;-13,68
90;1;Международный Финансовый Клуб;2618;Москва и обл.;57 002 576,00;54 963 484,00;2 039 092,00;3,71
91;-2;Балтийский Банк;128;Санкт-Петербург и обл.;56 850 160,00;57 016 024,00;-165 864,00;-0,29
92;-2;СДМ-Банк;1637;Москва и обл.;56 112 226,00;56 445 421,00;-333 195,00;-0,59
93;-1;Социнвестбанк;1132;Башкортостан;54 550 707,00;54 417 404,00;133 303,00;0,24
94;-1;ББР Банк;2929;Москва и обл.;54 458 775,00;54 401 195,00;57 580,00;0,11
95;0;Примсоцбанк;2733;Приморский край;53 941 807,00;53 210 184,00;731 623,00;1,37
96;8;Мидзухо Банк;3337;Москва и обл.;53 015 003,00;48 308 953,00;4 706 050,00;9,74
97;0;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;52 429 940,00;49 742 146,00;2 687 794,00;5,40
98;1;АйСиБиСи Банк;3475;Москва и обл.;51 463 200,00;49 377 478,00;2 085 722,00;4,22
99;14;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;51 059 720,00;42 254 724,00;8 804 996,00;20,84
100;6;Севергазбанк;2816;Вологодская обл.;50 715 833,00;46 239 138,00;4 476 695,00;9,68
101;0;Левобережный;1343;Новосибирская обл.;49 908 399,00;49 182 665,00;725 734,00;1,48
102;0;Челиндбанк;485;Челябинская обл.;49 906 931,00;48 477 477,00;1 429 454,00;2,95
103;-3;Челябинвестбанк;493;Челябинская обл.;49 838 602,00;49 222 248,00;616 354,00;1,25
104;-1;Газэнергобанк;3252;Калужская обл.;48 807 043,00;48 431 032,00;376 011,00;0,78
105;2;Эм-Ю-Эф-Джи Банк (Евразия);3465;Москва и обл.;47 974 131,00;46 177 593,00;1 796 538,00;3,89
106;3;Банк «Советский»;558;Санкт-Петербург и обл.;45 970 789,00;46 022 272,00;-51 483,00;-0,11
107;3;Фора-Банк;1885;Москва и обл.;45 479 389,00;44 626 766,00;852 623,00;1,91
108;-22;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;44 759 394,00;61 608 724,00;-16 849 330,00;-27,35
109;7;Финанс Бизнес Банк;520;Москва и обл.;44 665 063,00;36 884 221,00;7 780 842,00;21,10
110;-2;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;44 328 935,00;46 166 240,00;-1 837 305,00;-3,98
111;-13;Интерпрогрессбанк;600;Москва и обл.;43 851 591,00;49 664 350,00;-5 812 759,00;-11,70
112;-16;Еврофинанс Моснарбанк;2402;Москва и обл.;43 545 328,00;50 733 707,00;-7 188 379,00;-14,17
113;-2;Коммерцбанк (Евразия);3333;Москва и обл.;42 884 552,00;44 425 613,00;-1 541 061,00;-3,47
114;-2;Саровбизнесбанк;2048;Нижегородская обл.;42 555 939,00;42 287 142,00;268 797,00;0,64
115;0;БыстроБанк;1745;Удмуртия;37 615 473,00;36 953 337,00;662 136,00;1,79
116;-2;Объединенный Капитал;2611;Санкт-Петербург и обл.;37 038 064,00;38 660 033,00;-1 621 969,00;-4,20
117;0;Квантмобайл Банк;1189;Москва и обл.;34 918 938,00;35 928 389,00;-1 009 451,00;-2,81
118;2;Кольцо Урала;65;Свердловская обл.;34 179 321,00;33 429 901,00;749 420,00;2,24
119;8;Чайна Констракшн;3515;Москва и обл.;33 210 600,00;32 188 293,00;1 022 307,00;3,18
120;2;Дальневосточный Банк;843;Приморский край;32 994 831,00;33 125 282,00;-130 451,00;-0,39
121;5;АктивКапитал Банк;3006;Самарская обл.;32 609 165,00;32 214 901,00;394 264,00;1,22
122;11;СЭБ Банк;3235;Санкт-Петербург и обл.;32 500 285,00;30 387 932,00;2 112 353,00;6,95
123;0;Платежный Центр;3166;Новосибирская обл.;32 392 982,00;32 555 439,00;-162 457,00;-0,50
124;-5;Бэнк оф Чайна;2309;Москва и обл.;32 292 473,00;34 345 547,00;-2 053 074,00;-5,98
125;0;Фольксваген Банк Рус;3500;Москва и обл.;31 987 435,00;32 359 139,00;-371 704,00;-1,15
126;6;Энерготрансбанк;1307;Калининградская обл.;31 607 227,00;30 390 039,00;1 217 188,00;4,01
127;-3;НС Банк;3124;Москва и обл.;31 579 525,00;32 373 297,00;-793 772,00;-2,45
128;2;Солидарность;554;Самарская обл.;31 478 095,00;31 814 330,00;-336 235,00;-1,06
129;5;БМВ Банк;3482;Москва и обл.;31 250 215,00;30 237 183,00;1 013 032,00;3,35
130;-2;Приморье;3001;Приморский край;31 087 308,00;31 879 694,00;-792 386,00;-2,49
131;-2;Кредит Урал Банк;2584;Челябинская обл.;30 414 621,00;31 833 386,00;-1 418 765,00;-4,46
132;-1;Бинбанк Диджитал;2827;Москва и обл.;29 974 399,00;30 436 224,00;-461 825,00;-1,52
133;-15;ЦМРБанк;3531;Москва и обл.;29 888 697,00;35 438 828,00;-5 550 131,00;-15,66
134;4;Данске Банк;3307;Санкт-Петербург и обл.;29 823 800,00;28 351 482,00;1 472 318,00;5,19
135;0;Тимер Банк;1581;Татарстан;29 402 574,00;29 463 642,00;-61 068,00;-0,21
136;1;Алмазэргиэнбанк;2602;Саха (Якутия);28 585 074,00;29 185 052,00;-599 978,00;-2,06
137;4;Девон-Кредит;1972;Татарстан;28 212 789,00;27 094 788,00;1 118 001,00;4,13
138;1;Генбанк;2490;Симферополь;28 043 230,00;27 800 531,00;242 699,00;0,87
139;29;Морган Стэнли Банк;3456;Москва и обл.;27 749 575,00;18 163 305,00;9 586 270,00;52,78
140;3;Ланта-Банк;1920;Москва и обл.;27 421 593,00;26 300 834,00;1 120 759,00;4,26
141;-1;Газбанк;2316;Самарская обл.;27 282 367,00;27 146 018,00;136 349,00;0,50
142;0;Интерпромбанк;3266;Москва и обл.;26 843 732,00;26 704 597,00;139 135,00;0,52
143;-7;Мир Бизнес Банк;3396;Москва и обл.;26 526 784,00;29 459 541,00;-2 932 757,00;-9,96
144;0;Акибанк;2587;Татарстан;25 911 929,00;25 360 090,00;551 839,00;2,18
145;2;Мерседес-Бенц Банк Рус;3473;Москва и обл.;24 680 205,00;23 576 363,00;1 103 842,00;4,68
146;10;Москоммерцбанк;3365;Москва и обл.;24 575 016,00;20 929 619,00;3 645 397,00;17,42
147;-1;Курскпромбанк;735;Курская обл.;24 081 836,00;23 984 038,00;97 798,00;0,41
148;1;Липецккомбанк;1242;Липецкая обл.;24 061 490,00;23 291 360,00;770 130,00;3,31
149;-4;Национальный Стандарт;3421;Москва и обл.;23 792 679,00;24 375 940,00;-583 261,00;-2,39
150;0;Урал ФД;249;Пермская обл.;23 509 847,00;23 095 432,00;414 415,00;1,79
151;-3;Татсоцбанк;480;Татарстан;22 820 875,00;23 361 731,00;-540 856,00;-2,32
152;-1;Энергобанк;67;Татарстан;22 780 297,00;22 676 377,00;103 920,00;0,46
153;-1;Экономбанк;1319;Саратовская обл.;22 471 666,00;22 505 491,00;-33 825,00;-0,15
154;-1;Хлынов;254;Кировская обл.;22 235 594,00;22 043 752,00;191 842,00;0,87
155;-34;Аресбанк;2914;Москва и обл.;21 786 033,00;33 144 119,00;-11 358 086,00;-34,27
156;-2;Кошелев-Банк;3300;Самарская обл.;21 262 222,00;21 644 001,00;-381 779,00;-1,76
157;0;Дж. П. Морган Банк;2629;Москва и обл.;20 851 739,00;20 641 408,00;210 331,00;1,02
158;4;Агропромкредит;2880;Москва и обл.;20 663 614,00;19 834 578,00;829 036,00;4,18
159;4;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;20 473 846,00;19 769 443,00;704 403,00;3,56
160;-5;Московское Ипотечное Агентство;3344;Москва и обл.;20 368 730,00;21 354 343,00;-985 613,00;-4,62
161;-3;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;20 310 862,00;20 389 000,00;-78 138,00;-0,38
162;-3;МБА-Москва;3395;Москва и обл.;20 273 620,00;20 156 657,00;116 963,00;0,58
163;3;Александровский;53;Санкт-Петербург и обл.;20 149 881,00;19 581 039,00;568 842,00;2,91
164;-3;Собинбанк;1317;Москва и обл.;19 973 395,00;19 941 664,00;31 731,00;0,16
165;-5;НБД-Банк;1966;Нижегородская обл.;19 939 224,00;19 945 415,00;-6 191,00;-0,03
166;-1;Натиксис Банк;3390;Москва и обл.;19 753 846,00;19 595 633,00;158 213,00;0,81
167;-3;Джей энд Ти Банк;3061;Москва и обл.;19 636 980,00;19 694 461,00;-57 481,00;-0,29
168;-1;Алеф-Банк;2119;Москва и обл.;17 919 704,00;19 525 854,00;-1 606 150,00;-8,23
169;1;Рублев;3098;Москва и обл.;17 878 926,00;17 593 568,00;285 358,00;1,62
170;-1;Пойдем!;2534;Москва и обл.;17 831 748,00;17 604 255,00;227 493,00;1,29
171;7;Денизбанк Москва;3330;Москва и обл.;17 431 944,00;16 285 448,00;1 146 496,00;7,04
172;1;Тольяттихимбанк;2507;Самарская обл.;17 360 196,00;17 276 561,00;83 635,00;0,48
173;-1;Банк Акцепт;567;Новосибирская обл.;17 353 361,00;17 409 498,00;-56 137,00;-0,32
174;1;Киви Банк;2241;Москва и обл.;16 978 592,00;16 666 230,00;312 362,00;1,87
175;1;Объединенный Кредитный Банк;1118;Ярославская обл.;16 366 171,00;16 501 611,00;-135 440,00;-0,82
176;4;Держава;2738;Москва и обл.;16 329 069,00;16 069 977,00;259 092,00;1,61
177;2;Банк ВВБ;1093;Севастополь;16 017 358,00;16 237 454,00;-220 096,00;-1,36
178;-1;Развитие-Столица;3013;Москва и обл.;15 956 199,00;16 455 035,00;-498 836,00;-3,03
179;2;Прио-Внешторгбанк;212;Рязанская обл.;15 928 993,00;15 598 996,00;329 997,00;2,12
180;2;Нацинвестпромбанк;3077;Москва и обл.;15 601 494,00;15 262 141,00;339 353,00;2,22
181;7;Морской Банк;77;Москва и обл.;15 540 646,00;14 486 572,00;1 054 074,00;7,28
182;1;Норвик Банк;902;Кировская обл.;15 141 148,00;15 210 299,00;-69 151,00;-0,45
183;7;Руснарбанк;3403;Москва и обл.;15 116 023,00;14 373 444,00;742 579,00;5,17
184;8;Национальная Факторинговая Компания;3437;Москва и обл.;15 005 478,00;13 842 769,00;1 162 709,00;8,40
185;-11;НК Банк;2755;Москва и обл.;14 999 840,00;16 955 422,00;-1 955 582,00;-11,53
186;-15;Инбанк;1829;Москва и обл.;14 873 653,00;17 454 613,00;-2 580 960,00;-14,79
187;-1;Форштадт;2208;Оренбургская обл.;14 856 065,00;14 676 370,00;179 695,00;1,22
188;-3;Солидарность (Москва);1555;Москва и обл.;14 720 139,00;14 840 952,00;-120 813,00;-0,81
189;-5;Расчетно-Кредитный Банк;103;Москва и обл.;14 603 067,00;15 041 146,00;-438 079,00;-2,91
190;1;Гарант-Инвест;2576;Москва и обл.;14 554 200,00;14 265 221,00;288 979,00;2,03
191;-4;Национальный Резервный Банк;2170;Москва и обл.;14 543 840,00;14 526 852,00;16 988,00;0,12
192;3;Ишбанк;2867;Москва и обл.;14 329 819,00;13 327 690,00;1 002 129,00;7,52
193;-4;РосДорБанк;1573;Москва и обл.;14 164 064,00;14 392 502,00;-228 438,00;-1,59
194;-1;Банк Казани;708;Татарстан;13 916 152,00;13 636 559,00;279 593,00;2,05
195;1;КС Банк;1752;Мордовия;13 486 519,00;13 308 484,00;178 035,00;1,34
196;-2;Уралтрансбанк;812;Свердловская обл.;13 220 743,00;13 385 460,00;-164 717,00;-1,23
197;0;Нижневолжский Коммерческий Банк;931;Саратовская обл.;13 176 105,00;13 167 793,00;8 312,00;0,06
198;0;Русский Ипотечный Банк;1968;Москва и обл.;12 780 151,00;12 858 931,00;-78 780,00;-0,61
199;2;Агросоюз;1459;Москва и обл.;12 624 680,00;12 219 829,00;404 851,00;3,31
200;2;НИКО-Банк;702;Оренбургская обл.;12 398 232,00;12 154 316,00;243 916,00;2,01
201;-2;Тройка-Д Банк;3431;Москва и обл.;12 279 430,00;12 332 257,00;-52 827,00;-0,43
202;-2;ТЭМБР-Банк;2764;Москва и обл.;12 248 909,00;12 297 981,00;-49 072,00;-0,40
203;56;Ю Би Эс Банк;3463;Москва и обл.;12 138 016,00;6 940 887,00;5 197 129,00;74,88
204;10;Модульбанк;1927;Костромская обл.;12 090 541,00;10 773 154,00;1 317 387,00;12,23
205;-2;Ассоциация;732;Нижегородская обл.;11 916 190,00;11 846 274,00;69 916,00;0,59
206;-2;Первомайский;518;Краснодарский край;11 501 512,00;11 507 559,00;-6 047,00;-0,05
207;5;КЭБ ЭйчЭнБи Банк;3525;Москва и обл.;11 495 353,00;10 821 512,00;673 841,00;6,23
208;0;Современный Коммерческий Инновационный Банк;3329;Костромская обл.;11 470 684,00;11 140 338,00;330 346,00;2,97
209;-3;Юг-Инвестбанк;2772;Краснодарский край;11 304 251,00;11 264 320,00;39 931,00;0,35
210;-3;Банк Оренбург;3269;Оренбургская обл.;11 214 167,00;11 187 438,00;26 729,00;0,24
211;2;Русский Торговый Банк;2842;Москва и обл.;11 159 051,00;10 788 657,00;370 394,00;3,43
212;3;Солид Банк;1329;Приморский край;11 100 650,00;10 690 483,00;410 167,00;3,84
213;-3;Датабанк;646;Удмуртия;11 059 520,00;11 085 508,00;-25 988,00;-0,23
214;9;МС Банк Рус;2789;Москва и обл.;10 484 960,00;9 683 319,00;801 641,00;8,28
215;3;Консервативный Коммерческий Банк;1087;Астраханская обл.;10 442 455,00;9 862 711,00;579 744,00;5,88
216;4;Воронеж;654;Воронежская обл.;10 368 179,00;9 760 276,00;607 903,00;6,23
217;0;Снежинский;1376;Челябинская обл.;10 343 110,00;10 192 925,00;150 185,00;1,47
218;-13;Ури Банк;3479;Москва и обл.;10 324 208,00;11 403 563,00;-1 079 355,00;-9,47
219;-3;Таатта;1249;Саха (Якутия);10 105 307,00;10 311 420,00;-206 113,00;-2,00
220;4;РусЮгбанк;2093;Волгоградская обл.;10 044 720,00;9 646 591,00;398 129,00;4,13
221;1;Реалист Банк;1067;Иркутская обл.;9 909 046,00;9 749 966,00;159 080,00;1,63
222;-1;Русьуниверсалбанк;3293;Москва и обл.;9 831 330,00;9 752 943,00;78 387,00;0,80
223;-14;Новопокровский;467;Краснодарский край;9 707 269,00;11 092 755,00;-1 385 486,00;-12,49
224;-13;Автоторгбанк;2776;Москва и обл.;9 695 425,00;10 889 718,00;-1 194 293,00;-10,97
225;29;Азия-Инвест Банк;3303;Москва и обл.;9 682 652,00;7 105 066,00;2 577 586,00;36,28
226;-7;Банк Жилищного Финансирования;3138;Москва и обл.;9 448 456,00;9 771 645,00;-323 189,00;-3,31
227;-1;Екатеринбург;3161;Свердловская обл.;9 437 624,00;9 376 804,00;60 820,00;0,65
228;-3;Гранд Инвест Банк;3053;Москва и обл.;8 973 738,00;9 513 034,00;-539 296,00;-5,67
229;-1;Томскпромстройбанк;1720;Томская обл.;8 398 005,00;8 509 951,00;-111 946,00;-1,32
230;-3;Трансстройбанк;2807;Москва и обл.;8 331 531,00;8 573 486,00;-241 955,00;-2,82
231;0;Энергомашбанк;52;Санкт-Петербург и обл.;8 266 503,00;8 356 516,00;-90 013,00;-1,08
232;2;Московский Нефтехимический Банк;1411;Москва и обл.;8 257 444,00;8 173 856,00;83 588,00;1,02
233;2;Кранбанк;2271;Ивановская обл.;8 178 658,00;8 108 117,00;70 541,00;0,87
234;3;Банк Раунд;2506;Москва и обл.;8 113 302,00;8 049 647,00;63 655,00;0,79
235;6;Уралкапиталбанк;2519;Башкортостан;7 992 379,00;7 831 088,00;161 291,00;2,06
236;-4;Углеметбанк;2997;Челябинская обл.;7 966 840,00;8 265 664,00;-298 824,00;-3,62
237;3;Кузнецкбизнесбанк;1158;Кемеровская обл.;7 888 240,00;7 834 440,00;53 800,00;0,69
238;-8;Славия;2664;Москва и обл.;7 868 382,00;8 381 377,00;-512 995,00;-6,12
239;-3;Белгородсоцбанк;760;Белгородская обл.;7 819 512,00;8 061 231,00;-241 719,00;-3,00
240;2;СИАБ;3245;Санкт-Петербург и обл.;7 818 851,00;7 825 616,00;-6 765,00;-0,09
241;3;Ставропольпромстройбанк;1288;Ставропольский край;7 755 203,00;7 448 853,00;306 350,00;4,11
242;1;Эксперт Банк;2949;Омская обл.;7 734 979,00;7 728 340,00;6 639,00;0,09
243;9;ФорБанк;2063;Москва и обл.;7 680 763,00;7 202 962,00;477 801,00;6,63
244;-11;Банк на Гончарной (бывш. Япы Креди Банк Москва);2555;Москва и обл.;7 589 562,00;8 233 581,00;-644 019,00;-7,82
245;-6;Северный Кредит;2398;Вологодская обл.;7 585 648,00;7 862 308,00;-276 660,00;-3,52
246;0;Актив Банк;2529;Мордовия;7 580 618,00;7 421 322,00;159 296,00;2,15
247;-2;Хакасский Муниципальный Банк;1049;Хакасия;7 557 843,00;7 424 934,00;132 909,00;1,79
248;1;Вокбанк;312;Нижегородская обл.;7 381 351,00;7 339 526,00;41 825,00;0,57
249;1;РЕСО Кредит;3450;Москва и обл.;7 351 095,00;7 334 306,00;16 789,00;0,23
250;1;Нейва;1293;Свердловская обл.;7 306 998,00;7 291 846,00;15 152,00;0,21
251;-3;Муниципальный Камчатпрофитбанк;2103;Камчатская обл.;7 299 086,00;7 355 961,00;-56 875,00;-0,77
252;3;Коммерческий Индо Банк;3446;Москва и обл.;7 181 994,00;7 097 864,00;84 130,00;1,19
253;10;Итуруп;2390;Сахалинская обл.;7 156 788,00;6 818 808,00;337 980,00;4,96
254;-1;Промтрансбанк;2638;Башкортостан;7 122 083,00;7 194 361,00;-72 278,00;-1,00
255;5;Северный Народный Банк;2721;Коми;7 112 549,00;6 930 330,00;182 219,00;2,63
256;14;Проминвестбанк;2433;Москва и обл.;7 056 398,00;6 538 476,00;517 922,00;7,92
257;18;Союзный;3236;Москва и обл.;6 985 890,00;6 235 375,00;750 515,00;12,04
258;3;Газтрансбанк;665;Краснодарский край;6 979 835,00;6 894 875,00;84 960,00;1,23
