Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Май, 2020, тыс. рублей;Апрель, 2020, тыс. рублей;Изменение, тыс. рублей;Изменение, %
132;-2;Урал ФД;249;Пермская обл.;25 368 033,00;26 550 175,00;-1 182 142,00;-4,45
133;-8;Москоммерцбанк;3365;Москва и обл.;25 203 929,00;28 979 524,00;-3 775 595,00;-13,03
134;0;Акибанк;2587;Татарстан;24 618 958,00;25 283 781,00;-664 823,00;-2,63
135;1;Энергобанк;67;Татарстан;24 328 246,00;24 977 655,00;-649 409,00;-2,60
136;-1;КЭБ ЭйчЭнБи Банк;3525;Москва и обл.;24 110 760,00;25 203 975,00;-1 093 215,00;-4,34
137;1;Ури Банк;3479;Москва и обл.;22 773 107,00;23 329 710,00;-556 603,00;-2,39
138;-5;Джей энд Ти Банк;3061;Москва и обл.;22 240 351,00;25 443 271,00;-3 202 920,00;-12,59
139;0;НБД-Банк;1966;Нижегородская обл.;21 838 485,00;21 852 964,00;-14 479,00;-0,07
140;0;Агропромкредит;2880;Москва и обл.;21 120 399,00;21 559 317,00;-438 918,00;-2,04
141;0;Тольяттихимбанк;2507;Самарская обл.;20 981 270,00;21 502 228,00;-520 958,00;-2,42
142;-5;Модульбанк;1927;Костромская обл.;20 505 526,00;24 854 196,00;-4 348 670,00;-17,50
143;2;Татсоцбанк;480;Татарстан;20 464 377,00;20 449 421,00;14 956,00;0,07
144;2;Пойдем!;2534;Москва и обл.;20 298 212,00;20 220 227,00;77 985,00;0,39
145;3;Денизбанк Москва;3330;Москва и обл.;20 149 241,00;19 079 891,00;1 069 350,00;5,60
146;-4;Банк Акцепт;567;Новосибирская обл.;19 948 834,00;21 348 527,00;-1 399 693,00;-6,56
147;0;РосДорБанк;1573;Москва и обл.;19 720 742,00;19 269 425,00;451 317,00;2,34
148;-5;Кошелев-Банк;3300;Самарская обл.;19 622 025,00;20 532 624,00;-910 599,00;-4,43
149;-5;Инбанк;1829;Москва и обл.;19 419 633,00;20 458 702,00;-1 039 069,00;-5,08
150;5;РЕСО Кредит;3450;Москва и обл.;18 927 559,00;17 490 021,00;1 437 538,00;8,22
151;-2;Алеф-Банк;2119;Москва и обл.;18 584 025,00;18 739 071,00;-155 046,00;-0,83
152;-1;Развитие-Столица;3013;Москва и обл.;18 146 067,00;18 041 190,00;104 877,00;0,58
153;-3;Прио-Внешторгбанк;212;Рязанская обл.;18 118 647,00;18 568 576,00;-449 929,00;-2,42
154;-1;Морской Банк;77;Москва и обл.;18 002 854,00;17 672 946,00;329 908,00;1,87
155;-3;Александровский;53;Санкт-Петербург и обл.;17 581 194,00;17 783 641,00;-202 447,00;-1,14
156;-2;Ишбанк;2867;Москва и обл.;17 344 289,00;17 653 108,00;-308 819,00;-1,75
157;0;Банк Оренбург;3269;Оренбургская обл.;17 289 558,00;17 258 589,00;30 969,00;0,18
158;0;Эс-Би-Ай Банк;3185;Москва и обл.;16 585 593,00;16 857 466,00;-271 873,00;-1,61
159;4;НК Банк;2755;Москва и обл.;16 502 799,00;16 047 711,00;455 088,00;2,84
160;2;Консервативный Коммерческий Банк;1087;Астраханская обл.;16 433 875,00;16 063 248,00;370 627,00;2,31
161;-2;Форштадт;2208;Оренбургская обл.;16 230 854,00;16 786 964,00;-556 110,00;-3,31
162;-1;Норвик Банк;902;Кировская обл.;15 994 172,00;16 094 778,00;-100 606,00;-0,63
163;-3;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;15 917 710,00;16 374 929,00;-457 219,00;-2,79
164;10;Автоторгбанк;2776;Москва и обл.;15 206 344,00;13 271 209,00;1 935 135,00;14,58
165;-1;Финанс Бизнес Банк;520;Москва и обл.;15 096 912,00;15 681 148,00;-584 236,00;-3,73
166;1;Банк Раунд;2506;Москва и обл.;14 889 330,00;14 082 044,00;807 286,00;5,73
167;8;Энергомашбанк;52;Санкт-Петербург и обл.;14 871 553,00;13 205 870,00;1 665 683,00;12,61
168;2;ЮMoney;3510;Россия;14 598 371,00;13 884 457,00;713 914,00;5,14
169;-4;Национальный Резервный Банк;2170;Москва и обл.;14 481 222,00;14 872 563,00;-391 341,00;-2,63
170;-1;Гарант-Инвест;2576;Москва и обл.;14 191 858,00;13 895 163,00;296 695,00;2,14
171;0;Реалист Банк;1067;Москва и обл.;14 134 431,00;13 805 297,00;329 134,00;2,38
172;-4;Промтрансбанк;2638;Башкортостан;14 022 406,00;14 028 830,00;-6 424,00;-0,05
173;-7;Нацинвестпромбанк;3077;Москва и обл.;13 483 959,00;14 125 551,00;-641 592,00;-4,54
174;-2;Чайнасельхозбанк;3529;Москва и обл.;13 414 249,00;13 719 133,00;-304 884,00;-2,22
175;-2;Банк Казани;708;Татарстан;13 171 398,00;13 358 904,00;-187 506,00;-1,40
176;1;КС Банк;1752;Мордовия;13 020 387,00;12 943 788,00;76 599,00;0,59
177;1;НИКО-Банк;702;Оренбургская обл.;12 750 470,00;12 838 480,00;-88 010,00;-0,69
178;2;Собинбанк;1317;Москва и обл.;12 367 532,00;12 493 974,00;-126 442,00;-1,01
179;2;Датабанк;646;Удмуртия;12 318 134,00;12 344 597,00;-26 463,00;-0,21
180;2;Юг-Инвестбанк;2772;Краснодарский край;11 879 966,00;12 251 860,00;-371 894,00;-3,04
181;3;Снежинский;1376;Челябинская обл.;11 477 761,00;12 005 566,00;-527 805,00;-4,40
182;3;МБА-Москва;3395;Москва и обл.;11 274 846,00;11 601 867,00;-327 021,00;-2,82
183;-4;Руснарбанк;3403;Москва и обл.;11 199 321,00;12 768 619,00;-1 569 298,00;-12,29
184;2;Русьуниверсалбанк;3293;Москва и обл.;11 144 361,00;11 325 484,00;-181 123,00;-1,60
185;-9;ТЭМБР-Банк;2764;Москва и обл.;11 125 497,00;13 147 274,00;-2 021 777,00;-15,38
186;7;Екатеринбург;3161;Свердловская обл.;11 029 743,00;10 104 053,00;925 690,00;9,16
187;2;Актив Банк;2529;Мордовия;10 917 749,00;11 109 911,00;-192 162,00;-1,73
188;3;Банк Жилищного Финансирования;3138;Москва и обл.;10 610 272,00;10 740 458,00;-130 186,00;-1,21
189;3;Солид Банк;1329;Приморский край;10 342 884,00;10 324 791,00;18 093,00;0,18
190;0;Банк БКФ;2684;Москва и обл.;10 305 523,00;10 930 778,00;-625 255,00;-5,72
191;-8;Инкахран;3454;Москва и обл.;10 265 429,00;12 241 828,00;-1 976 399,00;-16,14
192;-4;Национальная Факторинговая Компания;3437;Москва и обл.;9 860 578,00;11 113 387,00;-1 252 809,00;-11,27
193;1;Нефтепромбанк;2156;Москва и обл.;9 782 018,00;9 511 343,00;270 675,00;2,85
194;20;Ростфинанс;481;Ростовская обл.;9 435 164,00;6 973 660,00;2 461 504,00;35,30
195;1;Финам Банк;2799;Москва и обл.;9 378 191,00;9 117 436,00;260 755,00;2,86
196;-9;Углеметбанк;2997;Челябинская обл.;9 369 896,00;11 131 877,00;-1 761 981,00;-15,83
197;-2;Итуруп;2390;Сахалинская обл.;8 963 561,00;9 437 024,00;-473 463,00;-5,02
198;3;Хакасский Муниципальный Банк;1049;Хакасия;8 959 662,00;8 714 299,00;245 363,00;2,82
199;-2;Томскпромстройбанк;1720;Томская обл.;8 919 062,00;9 079 047,00;-159 985,00;-1,76
200;-2;Сити Инвест Банк;3194;Санкт-Петербург и обл.;8 468 679,00;8 873 944,00;-405 265,00;-4,57
201;-2;Нейва;1293;Свердловская обл.;8 442 774,00;8 851 378,00;-408 604,00;-4,62
202;-2;Зираат Банк;2559;Москва и обл.;8 436 810,00;8 825 325,00;-388 515,00;-4,40
203;4;Новобанк;1352;Новгородская обл.;8 196 350,00;8 069 782,00;126 568,00;1,57
204;-1;Кузнецкбизнесбанк;1158;Кемеровская обл.;8 142 018,00;8 238 533,00;-96 515,00;-1,17
205;-1;Ю Би Эс Банк;3463;Москва и обл.;8 072 679,00;8 154 224,00;-81 545,00;-1,00
206;0;Трансстройбанк;2807;Москва и обл.;8 006 194,00;8 083 371,00;-77 177,00;-0,95
207;-5;Гута-Банк;256;Москва и обл.;7 930 874,00;8 575 358,00;-644 484,00;-7,52
208;-3;Белгородсоцбанк;760;Белгородская обл.;7 905 497,00;8 097 364,00;-191 867,00;-2,37
209;2;Славия;2664;Москва и обл.;7 446 509,00;7 525 767,00;-79 258,00;-1,05
210;-1;Северный Народный Банк;2721;Коми;7 360 813,00;7 729 794,00;-368 981,00;-4,77
211;-3;Банк Оранжевый;1659;Санкт-Петербург и обл.;7 279 098,00;7 771 794,00;-492 696,00;-6,34
212;20;Банк Фридом Финанс;1143;Москва и обл.;7 222 875,00;5 373 737,00;1 849 138,00;34,41
213;-1;Сибсоцбанк;2015;Алтайский край;7 211 751,00;7 381 025,00;-169 274,00;-2,29
214;4;Венец;524;Ульяновская обл.;7 076 663,00;6 630 102,00;446 561,00;6,74
215;-2;Ставропольпромстройбанк;1288;Ставропольский край;6 900 527,00;7 325 487,00;-424 960,00;-5,80
216;-1;Агророс;2860;Саратовская обл.;6 806 011,00;6 919 228,00;-113 217,00;-1,64
217;-7;Азия-Инвест Банк;3303;Москва и обл.;6 698 249,00;7 722 746,00;-1 024 497,00;-13,27
218;-1;Горбанк;2982;Санкт-Петербург и обл.;6 618 899,00;6 639 105,00;-20 206,00;-0,30
219;-3;Черноморский банк развития и реконструкции;3527;Симферополь;6 567 037,00;6 773 953,00;-206 916,00;-3,05
220;-1;Кузнецкий;609;Пензенская обл.;6 420 238,00;6 547 200,00;-126 962,00;-1,94
221;-1;Земский Банк;2900;Самарская обл.;6 409 421,00;6 540 575,00;-131 154,00;-2,01
222;0;Енисейский Объединенный Банк;2645;Красноярский край;6 378 030,00;6 340 256,00;37 774,00;0,60
223;0;Автоградбанк;1455;Татарстан;6 164 937,00;6 257 545,00;-92 608,00;-1,48
224;-3;ФорБанк;2063;Москва и обл.;6 052 265,00;6 509 659,00;-457 394,00;-7,03
225;-1;Москва-Сити;3247;Москва и обл.;5 925 023,00;6 235 636,00;-310 613,00;-4,98
226;0;Газтрансбанк;665;Краснодарский край;5 870 778,00;5 989 686,00;-118 908,00;-1,99
227;2;Бланк Банк;2368;Москва и обл.;5 808 671,00;5 648 997,00;159 674,00;2,83
228;-3;Индустриальный Сберегательный Банк;3175;Москва и обл.;5 658 808,00;6 003 395,00;-344 587,00;-5,74
229;-1;Кубаньторгбанк;478;Краснодарский край;5 490 950,00;5 766 365,00;-275 415,00;-4,78
230;0;Альба Альянс;2593;Москва и обл.;5 477 128,00;5 645 306,00;-168 178,00;-2,98
231;0;Стройлесбанк;2995;Тюменская обл.;5 434 082,00;5 536 288,00;-102 206,00;-1,85
232;-5;Роял Кредит Банк;783;Приморский край;5 258 437,00;5 868 254,00;-609 817,00;-10,39
233;13;ЮМК Банк;3495;Краснодарский край;5 257 036,00;4 517 633,00;739 403,00;16,37
234;1;Проминвестбанк;2433;Москва и обл.;5 020 288,00;5 099 931,00;-79 643,00;-1,56
235;6;НОКССбанк;3202;Волгоградская обл.;5 007 754,00;4 747 404,00;260 350,00;5,48
236;18;Платина;2347;Москва и обл.;4 878 841,00;4 143 232,00;735 609,00;17,75
237;2;ПэйПал Ру;3517;Москва и обл.;4 836 564,00;4 836 564,00;0,00;0
238;0;СИАБ;3245;Санкт-Петербург и обл.;4 812 760,00;4 838 092,00;-25 332,00;-0,52
239;-6;Бест Эффортс Банк;435;Москва и обл.;4 745 855,00;5 273 066,00;-527 211,00;-10,00
240;-3;Икано Банк;3519;Москва и обл.;4 701 121,00;4 849 690,00;-148 569,00;-3,06
241;-7;Муниципальный Камчатпрофитбанк;2103;Камчатская обл.;4 644 410,00;5 125 886,00;-481 476,00;-9,39
242;0;Крокус-Банк;2682;Москва и обл.;4 633 754,00;4 659 156,00;-25 402,00;-0,55
243;0;Братский АНКБ;1144;Иркутская обл.;4 530 961,00;4 634 229,00;-103 268,00;-2,23
244;-4;Заубер Банк;1614;Санкт-Петербург и обл.;4 439 017,00;4 803 844,00;-364 827,00;-7,59
245;0;Банк Кремлевский;2905;Москва и обл.;4 419 972,00;4 518 045,00;-98 073,00;-2,17
246;3;Мегаполис;3265;Чувашия;4 289 575,00;4 391 169,00;-101 594,00;-2,31
247;4;Славянский Кредит;2960;Москва и обл.;4 265 157,00;4 276 029,00;-10 872,00;-0,25
248;0;Долинск;857;Сахалинская обл.;4 261 766,00;4 443 519,00;-181 753,00;-4,09
249;3;Камский Коммерческий Банк;438;Татарстан;4 232 160,00;4 273 782,00;-41 622,00;-0,97
250;3;Новый Век;3417;Москва и обл.;4 206 242,00;4 185 655,00;20 587,00;0,49
251;4;Санкт-Петербургский Банк Инвестиций;3468;Санкт-Петербург и обл.;4 110 095,00;3 985 779,00;124 316,00;3,12
252;-5;Московский Коммерческий Банк;3172;Москва и обл.;4 062 476,00;4 489 931,00;-427 455,00;-9,52
253;-9;Зенит Сочи;232;Краснодарский край;3 999 977,00;4 525 477,00;-525 500,00;-11,61
254;6;Объединенный Резервный Банк;937;Москва и обл.;3 997 749,00;3 814 397,00;183 352,00;4,81
255;2;Алтайкапиталбанк;2659;Алтайский край;3 886 346,00;3 964 411,00;-78 065,00;-1,97
