Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июнь, 2017, тыс. рублей;Май, 2017, тыс. рублей;Изменение, тыс. рублей;Изменение, %
162;8;Алеф-Банк;2119;Москва и обл.;17 366 200,00;15 719 951,00;1 646 249,00;10,47
163;-3;Собинбанк;1317;Москва и обл.;17 325 707,00;17 446 804,00;-121 097,00;-0,69
164;4;Банк Акцепт;567;Новосибирская обл.;16 655 897,00;15 971 299,00;684 598,00;4,29
165;0;Александровский;53;Санкт-Петербург и обл.;16 576 414,00;16 542 807,00;33 607,00;0,20
166;3;Развитие-Столица;3013;Москва и обл.;16 417 324,00;15 950 579,00;466 745,00;2,93
167;0;Пойдем!;2534;Москва и обл.;16 390 933,00;16 074 701,00;316 232,00;1,97
168;-2;Темпбанк;55;Москва и обл.;16 180 117,00;16 080 584,00;99 533,00;0,62
169;7;Денизбанк Москва;3330;Москва и обл.;16 157 065,00;15 274 754,00;882 311,00;5,78
170;2;Расчетно-Кредитный Банк;103;Москва и обл.;15 987 227,00;15 646 607,00;340 620,00;2,18
171;2;Объединенный Кредитный Банк;1118;Ярославская обл.;15 515 535,00;15 491 586,00;23 949,00;0,15
172;3;Норвик Банк;902;Кировская обл.;15 452 908,00;15 300 987,00;151 921,00;0,99
173;4;Инбанк;1829;Москва и обл.;15 428 139,00;15 245 619,00;182 520,00;1,20
174;0;Гарант-Инвест;2576;Москва и обл.;15 376 081,00;15 315 572,00;60 509,00;0,40
175;-11;Натиксис Банк;3390;Москва и обл.;15 353 431,00;17 028 406,00;-1 674 975,00;-9,84
176;2;Уралтрансбанк;812;Свердловская обл.;14 855 446,00;14 953 706,00;-98 260,00;-0,66
177;-6;Киви Банк;2241;Москва и обл.;14 842 843,00;15 647 518,00;-804 675,00;-5,14
178;2;Нацинвестпромбанк;3077;Москва и обл.;14 749 826,00;14 420 498,00;329 328,00;2,28
179;2;Прио-Внешторгбанк;212;Рязанская обл.;14 735 651,00;14 344 568,00;391 083,00;2,73
180;-1;Солидарность (Москва);1555;Москва и обл.;14 664 346,00;14 931 567,00;-267 221,00;-1,79
181;9;Морской Банк;77;Москва и обл.;14 651 053,00;13 439 534,00;1 211 519,00;9,01
182;4;НК Банк;2755;Москва и обл.;14 414 348,00;13 855 814,00;558 534,00;4,03
183;1;Банк ВВБ;1093;Севастополь;14 310 778,00;13 917 120,00;393 658,00;2,83
184;1;Банк Казани;708;Татарстан;14 138 291,00;13 916 857,00;221 434,00;1,59
185;4;Русский Ипотечный Банк;1968;Москва и обл.;13 928 081,00;13 452 928,00;475 153,00;3,53
186;-4;РосДорБанк;1573;Москва и обл.;13 869 894,00;14 306 472,00;-436 578,00;-3,05
187;-4;Национальный Резервный Банк;2170;Москва и обл.;13 846 107,00;14 047 476,00;-201 369,00;-1,43
188;-1;Форштадт;2208;Оренбургская обл.;13 593 348,00;13 762 918,00;-169 570,00;-1,23
189;2;Национальная Факторинговая Компания;3437;Москва и обл.;13 230 399,00;13 272 515,00;-42 116,00;-0,32
190;3;Нижневолжский Коммерческий Банк;931;Саратовская обл.;12 998 332,00;12 863 024,00;135 308,00;1,05
191;1;КС Банк;1752;Мордовия;12 835 994,00;13 057 534,00;-221 540,00;-1,70
192;-4;Ишбанк;2867;Москва и обл.;12 833 048,00;13 734 436,00;-901 388,00;-6,56
193;34;Модульбанк;1927;Костромская обл.;12 517 421,00;8 523 567,00;3 993 854,00;46,86
194;2;ТЭМБР-Банк;2764;Москва и обл.;12 169 350,00;11 875 442,00;293 908,00;2,47
195;4;Гранд Инвест Банк;3053;Москва и обл.;12 006 106,00;11 639 937,00;366 169,00;3,15
196;-2;Русьуниверсалбанк;3293;Москва и обл.;11 982 602,00;12 287 591,00;-304 989,00;-2,48
197;-2;Датабанк;646;Удмуртия;11 956 863,00;11 914 119,00;42 744,00;0,36
198;-1;Агросоюз;1459;Москва и обл.;11 755 828,00;11 801 122,00;-45 294,00;-0,38
199;-1;НИКО-Банк;702;Оренбургская обл.;11 505 088,00;11 788 862,00;-283 774,00;-2,41
200;2;Первомайский;518;Краснодарский край;11 380 595,00;11 343 342,00;37 253,00;0,33
201;0;Банк Оренбург;3269;Оренбургская обл.;11 343 607,00;11 347 373,00;-3 766,00;-0,03
202;4;Ассоциация;732;Нижегородская обл.;11 220 994,00;10 888 627,00;332 367,00;3,05
203;4;Солид Банк;1329;Приморский край;11 185 781,00;10 652 801,00;532 980,00;5,00
204;0;Ури Банк;3479;Москва и обл.;11 130 114,00;10 938 889,00;191 225,00;1,75
205;4;Новопокровский;467;Краснодарский край;11 124 826,00;10 424 277,00;700 549,00;6,72
206;-3;Русский Торговый Банк;2842;Москва и обл.;11 006 807,00;11 021 661,00;-14 854,00;-0,13
207;1;Таатта;1249;Саха (Якутия);10 757 818,00;10 522 716,00;235 102,00;2,23
208;-3;Тройка-Д Банк;3431;Москва и обл.;10 630 353,00;10 902 278,00;-271 925,00;-2,49
209;2;Юг-Инвестбанк;2772;Краснодарский край;10 403 318,00;10 300 074,00;103 244,00;1,00
210;3;КЭБ ЭйчЭнБи Банк;3525;Москва и обл.;10 215 618,00;9 764 114,00;451 504,00;4,62
211;42;Ю Би Эс Банк;3463;Москва и обл.;9 863 178,00;6 897 587,00;2 965 591,00;42,99
212;2;Банк Жилищного Финансирования;3138;Москва и обл.;9 651 782,00;9 688 658,00;-36 876,00;-0,38
213;2;Снежинский;1376;Челябинская обл.;9 619 444,00;9 604 536,00;14 908,00;0,16
214;2;Екатеринбург;3161;Свердловская обл.;9 395 645,00;9 334 388,00;61 257,00;0,66
215;2;Эксперт Банк;2949;Омская обл.;9 381 089,00;9 298 175,00;82 914,00;0,89
216;3;Реалист Банк;1067;Иркутская обл.;9 072 046,00;9 045 098,00;26 948,00;0,30
217;4;РусЮгбанк;2093;Волгоградская обл.;9 062 975,00;8 915 100,00;147 875,00;1,66
218;2;СИАБ;3245;Санкт-Петербург и обл.;8 935 286,00;9 000 580,00;-65 294,00;-0,73
219;-1;МС Банк Рус;2789;Москва и обл.;8 894 140,00;9 217 301,00;-323 161,00;-3,51
220;3;Нефтепромбанк;2156;Москва и обл.;8 784 553,00;8 710 798,00;73 755,00;0,85
221;-11;Автоторгбанк;2776;Москва и обл.;8 715 359,00;10 413 734,00;-1 698 375,00;-16,31
222;0;Углеметбанк;2997;Челябинская обл.;8 574 369,00;8 846 528,00;-272 159,00;-3,08
223;-11;Российская Финансовая Корпорация;3099;Москва и обл.;8 556 037,00;10 215 986,00;-1 659 949,00;-16,25
224;1;Воронеж;654;Воронежская обл.;8 468 674,00;8 567 514,00;-98 840,00;-1,15
225;5;Томскпромстройбанк;1720;Томская обл.;8 369 345,00;8 067 013,00;302 332,00;3,75
226;2;Мосуралбанк;2468;Москва и обл.;8 362 310,00;8 156 565,00;205 745,00;2,52
227;8;Современный Коммерческий Инновационный Банк;3329;Костромская обл.;8 315 772,00;7 823 772,00;492 000,00;6,29
228;4;Консервативный Коммерческий Банк;1087;Астраханская обл.;8 158 136,00;7 929 456,00;228 680,00;2,88
229;5;Вокбанк;312;Нижегородская обл.;8 111 934,00;7 880 861,00;231 073,00;2,93
230;12;Банк на Гончарной (бывш. Япы Креди Банк Москва);2555;Москва и обл.;8 094 986,00;7 412 806,00;682 180,00;9,20
231;-5;Энергомашбанк;52;Санкт-Петербург и обл.;7 968 093,00;8 533 492,00;-565 399,00;-6,63
232;-1;Славия;2664;Москва и обл.;7 965 611,00;7 976 855,00;-11 244,00;-0,14
233;0;Трансстройбанк;2807;Москва и обл.;7 955 870,00;7 906 325,00;49 545,00;0,63
234;5;Морган Стэнли Банк;3456;Москва и обл.;7 948 803,00;7 522 195,00;426 608,00;5,67
235;-6;Московский Нефтехимический Банк;1411;Москва и обл.;7 839 428,00;8 080 968,00;-241 540,00;-2,99
236;4;Белгородсоцбанк;760;Белгородская обл.;7 801 132,00;7 477 904,00;323 228,00;4,32
237;1;Северный Кредит;2398;Вологодская обл.;7 732 060,00;7 733 949,00;-1 889,00;-0,02
238;-1;Кранбанк;2271;Ивановская обл.;7 722 987,00;7 755 984,00;-32 997,00;-0,43
239;-15;Промтрансбанк;2638;Башкортостан;7 531 810,00;8 706 469,00;-1 174 659,00;-13,49
240;20;Коммерческий Индо Банк;3446;Москва и обл.;7 496 505,00;6 653 767,00;842 738,00;12,67
241;3;Муниципальный Камчатпрофитбанк;2103;Камчатская обл.;7 473 277,00;7 312 436,00;160 841,00;2,20
242;-1;Кузнецкбизнесбанк;1158;Кемеровская обл.;7 452 129,00;7 413 338,00;38 791,00;0,52
243;0;Ставропольпромстройбанк;1288;Ставропольский край;7 391 521,00;7 359 715,00;31 806,00;0,43
244;7;Азия-Инвест Банк;3303;Москва и обл.;7 321 348,00;7 041 904,00;279 444,00;3,97
245;2;Северо-Восточный Альянс;2768;Москва и обл.;7 309 351,00;7 258 307,00;51 044,00;0,70
246;0;Актив Банк;2529;Мордовия;7 306 145,00;7 273 770,00;32 375,00;0,45
247;-2;Итуруп;2390;Сахалинская обл.;7 286 226,00;7 311 231,00;-25 005,00;-0,34
248;-12;Союзный;3236;Москва и обл.;7 284 033,00;7 818 698,00;-534 665,00;-6,84
249;7;Нейва;1293;Свердловская обл.;7 232 860,00;6 823 836,00;409 024,00;5,99
250;2;Хакасский Муниципальный Банк;1049;Хакасия;7 057 915,00;6 971 509,00;86 406,00;1,24
251;3;Уралкапиталбанк;2519;Башкортостан;7 051 019,00;6 894 007,00;157 012,00;2,28
252;-3;Проминвестбанк;2433;Москва и обл.;6 993 927,00;7 163 019,00;-169 092,00;-2,36
253;9;Банк БКФ;2684;Москва и обл.;6 960 442,00;6 596 540,00;363 902,00;5,52
254;-6;Банк Раунд;2506;Москва и обл.;6 911 265,00;7 227 051,00;-315 786,00;-4,37
255;0;Русь;704;Оренбургская обл.;6 908 571,00;6 892 026,00;16 545,00;0,24
256;5;Финам Банк;2799;Москва и обл.;6 899 921,00;6 620 765,00;279 156,00;4,22
257;-7;Альба Альянс;2593;Москва и обл.;6 803 871,00;7 076 777,00;-272 906,00;-3,86
258;1;Газтрансбанк;665;Адыгея;6 797 657,00;6 671 465,00;126 192,00;1,89
259;-2;Чувашкредитпромбанк;1280;Чувашия;6 736 086,00;6 772 282,00;-36 196,00;-0,53
260;3;Северный Народный Банк;2721;Коми;6 534 134,00;6 447 352,00;86 782,00;1,35
