Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Февраль, 2011, тыс. рублей;Январь, 2011, тыс. рублей;Изменение, тыс. рублей;Изменение, %
74;1;Локо-Банк;2707;Москва и обл.;50 111 697,00;51 306 437,00;-1 194 740,00;-2,33
75;3;Балтинвестбанк;3176;Санкт-Петербург и обл.;50 018 024,00;50 442 205,00;-424 181,00;-0,84
76;-2;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;49 874 723,00;51 367 609,00;-1 492 886,00;-2,91
77;-5;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;49 375 835,00;52 805 630,00;-3 429 795,00;-6,50
78;-1;Центр-инвест;2225;Ростовская обл.;49 349 841,00;50 680 942,00;-1 331 101,00;-2,63
79;-6;Металлинвестбанк;2440;Москва и обл.;48 960 852,00;52 570 785,00;-3 609 933,00;-6,87
80;-1;Ренессанс Кредит;3354;Москва и обл.;48 839 003,00;47 814 743,00;1 024 260,00;2,14
81;1;АМТ Банк;2820;Москва и обл.;47 534 694,00;46 545 336,00;989 358,00;2,13
82;-1;Пересвет;2110;Москва и обл.;45 120 916,00;46 845 437,00;-1 724 521,00;-3,68
83;0;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;44 602 510,00;43 856 432,00;746 078,00;1,70
84;-4;Совкомбанк;963;Костромская обл.;44 339 626,00;47 286 358,00;-2 946 732,00;-6,23
85;3;Инвестбанк;107;Калининградская обл.;41 002 595,00;40 095 628,00;906 967,00;2,26
86;-1;СБ Банк (Судостроительный банк);2999;Москва и обл.;39 814 047,00;41 028 660,00;-1 214 613,00;-2,96
87;0;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;39 535 401,00;40 415 249,00;-879 848,00;-2,18
88;2;Банк ДОМ.РФ;2312;Москва и обл.;37 459 100,00;37 877 083,00;-417 983,00;-1,10
89;4;Еврофинанс Моснарбанк;2402;Москва и обл.;36 517 963,00;36 560 721,00;-42 758,00;-0,12
90;2;Национальный Стандарт;3421;Москва и обл.;36 104 868,00;36 860 804,00;-755 936,00;-2,05
91;0;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;35 584 238,00;37 023 451,00;-1 439 213,00;-3,89
92;2;Первобанк;3461;Самарская обл.;34 454 210,00;34 178 629,00;275 581,00;0,81
93;-7;Коммерцбанк (Евразия);3333;Москва и обл.;33 231 329,00;40 706 309,00;-7 474 980,00;-18,36
94;-5;Сведбанк;3064;Москва и обл.;33 012 870,00;39 397 158,00;-6 384 288,00;-16,20
95;0;Национальный Торговый Банк;3087;Самарская обл.;32 580 534,00;32 810 446,00;-229 912,00;-0,70
96;1;Международный Финансовый Клуб;2618;Москва и обл.;32 405 305,00;32 349 045,00;56 260,00;0,17
97;1;Бинбанк Диджитал;2827;Москва и обл.;32 032 091,00;31 954 003,00;78 088,00;0,24
98;2;Таврический Банк;2304;Санкт-Петербург и обл.;32 017 746,00;30 434 874,00;1 582 872,00;5,20
99;3;Расчетная Палата РТС;3335;Москва и обл.;30 817 310,00;29 067 133,00;1 750 177,00;6,02
100;-1;Нота-Банк;2913;Москва и обл.;30 200 876,00;31 866 656,00;-1 665 780,00;-5,23
101;-5;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;29 895 243,00;32 778 474,00;-2 883 231,00;-8,80
102;-1;Челиндбанк;485;Челябинская обл.;29 273 701,00;29 712 566,00;-438 865,00;-1,48
103;1;Экспобанк;2998;Москва и обл.;28 731 460,00;28 362 230,00;369 230,00;1,30
104;5;Челябинвестбанк;493;Челябинская обл.;28 086 954,00;27 407 673,00;679 281,00;2,48
105;-2;Дальневосточный Банк;843;Приморский край;28 015 411,00;28 421 150,00;-405 739,00;-1,43
106;2;Современный Коммерческий Банк (бывш. ДжиИ Мани Банк);3316;Москва и обл.;27 976 457,00;27 672 430,00;304 027,00;1,10
107;-2;Кубань Кредит;2518;Краснодарский край;27 330 392,00;28 252 870,00;-922 478,00;-3,27
108;17;Межтопэнергобанк;2956;Москва и обл.;26 634 666,00;21 187 801,00;5 446 865,00;25,71
109;-3;Москоммерцбанк;3365;Москва и обл.;26 506 162,00;27 754 341,00;-1 248 179,00;-4,50
110;23;Меткомбанк (Череповец);901;Вологодская обл.;26 114 172,00;20 048 608,00;6 065 564,00;30,25
111;-4;НС Банк;3124;Москва и обл.;25 969 677,00;27 724 156,00;-1 754 479,00;-6,33
112;-2;Кедр;1574;Москва и обл.;25 491 863,00;26 134 110,00;-642 247,00;-2,46
113;-1;Далькомбанк;84;Хабаровский край;25 371 045,00;25 508 982,00;-137 937,00;-0,54
114;0;Севергазбанк;2816;Вологодская обл.;24 920 797,00;25 045 288,00;-124 491,00;-0,50
115;2;Первый Республиканский Банк;1730;Москва и обл.;24 680 691,00;23 774 734,00;905 957,00;3,81
116;-5;СДМ-Банк;1637;Москва и обл.;24 610 875,00;25 726 845,00;-1 115 970,00;-4,34
117;-2;Акибанк;2587;Татарстан;24 584 175,00;24 397 845,00;186 330,00;0,76
118;8;Кредит Урал Банк;2584;Челябинская обл.;24 363 185,00;21 133 137,00;3 230 048,00;15,28
119;-6;Интерпромбанк;3266;Москва и обл.;24 078 602,00;25 453 872,00;-1 375 270,00;-5,40
120;-2;Экспресс-Волга;3085;Саратовская обл.;23 919 545,00;23 627 043,00;292 502,00;1,24
121;-2;Газбанк;2316;Самарская обл.;23 405 621,00;23 296 848,00;108 773,00;0,47
122;18;БФГ-Кредит;3068;Москва и обл.;22 861 369,00;18 481 522,00;4 379 847,00;23,70
123;-7;Крайинвестбанк;3360;Краснодарский край;22 449 162,00;24 335 850,00;-1 886 688,00;-7,75
124;8;Интеркоммерц Банк;1657;Москва и обл.;21 871 784,00;20 339 284,00;1 532 500,00;7,53
125;-3;Приморье;3001;Приморский край;21 841 836,00;22 176 932,00;-335 096,00;-1,51
126;-6;Русский Международный Банк;3123;Москва и обл.;21 783 356,00;23 011 805,00;-1 228 449,00;-5,34
127;1;М2М Прайвет Банк;1414;Москва и обл.;21 293 775,00;21 050 425,00;243 350,00;1,16
128;-5;АМБ Банк;3036;Москва и обл.;21 206 140,00;21 906 686,00;-700 546,00;-3,20
129;-2;Банк Кредит Свисс;2494;Москва и обл.;20 723 514,00;21 065 035,00;-341 521,00;-1,62
130;6;Фора-Банк;1885;Москва и обл.;20 672 845,00;19 103 638,00;1 569 207,00;8,21
131;-7;Липецккомбанк;1242;Липецкая обл.;20 623 415,00;21 354 128,00;-730 713,00;-3,42
132;3;Саровбизнесбанк;2048;Нижегородская обл.;20 616 107,00;19 306 420,00;1 309 687,00;6,78
133;-3;Банк АВБ;23;Самарская обл.;20 601 849,00;20 769 200,00;-167 351,00;-0,81
134;-5;Девон-Кредит;1972;Татарстан;20 153 877,00;20 787 871,00;-633 994,00;-3,05
135;-4;Агропромкредит;2880;Москва и обл.;19 864 335,00;20 555 662,00;-691 327,00;-3,36
136;-15;Тройка-Д Банк;3431;Москва и обл.;19 648 551,00;22 695 149,00;-3 046 598,00;-13,42
137;0;ГПБ-Ипотека;2403;Москва и обл.;19 260 642,00;18 876 251,00;384 391,00;2,04
138;6;Кольцо Урала;65;Свердловская обл.;19 206 297,00;18 220 804,00;985 493,00;5,41
139;0;Мой Банк;2939;Москва и обл.;19 048 963,00;18 560 710,00;488 253,00;2,63
140;1;Альта-Банк;2269;Москва и обл.;18 851 546,00;18 395 987,00;455 559,00;2,48
141;-3;Примсоцбанк;2733;Приморский край;18 656 441,00;18 685 932,00;-29 491,00;-0,16
142;5;Солидарность;554;Самарская обл.;18 474 630,00;18 089 516,00;385 114,00;2,13
143;-1;Московский Областной Банк;1751;Москва и обл.;18 414 225,00;18 301 494,00;112 731,00;0,62
144;2;Уралтрансбанк;812;Свердловская обл.;18 360 572,00;18 123 553,00;237 019,00;1,31
145;3;Урал ФД;249;Пермская обл.;18 250 098,00;17 790 223,00;459 875,00;2,58
146;-3;МБА-Москва;3395;Москва и обл.;18 000 596,00;18 242 020,00;-241 424,00;-1,32
147;2;Народный Кредит;2401;Москва и обл.;17 675 504,00;17 349 229,00;326 275,00;1,88
148;2;ФИА-Банк;2542;Самарская обл.;17 466 863,00;17 004 436,00;462 427,00;2,72
149;-15;Стройкредит;18;Москва и обл.;17 084 785,00;19 331 673,00;-2 246 888,00;-11,62
150;2;Натиксис Банк;3390;Москва и обл.;16 721 289,00;16 486 584,00;234 705,00;1,42
151;10;Сетелем Банк;2168;Москва и обл.;16 619 007,00;14 770 811,00;1 848 196,00;12,51
152;-7;Росэнергобанк;2211;Москва и обл.;16 505 889,00;18 141 779,00;-1 635 890,00;-9,02
153;-2;ПЧРБ Банк;3291;Москва и обл.;16 411 166,00;16 786 514,00;-375 348,00;-2,24
154;3;Столичный Торговый Банк;2797;Москва и обл.;15 996 348,00;15 913 675,00;82 673,00;0,52
155;-1;НОМОС-Региобанк;539;Хабаровский край;15 761 712,00;16 290 711,00;-528 999,00;-3,25
156;-1;Банк БФА;3038;Санкт-Петербург и обл.;15 559 458,00;16 053 157,00;-493 699,00;-3,08
157;-1;Морской Банк;77;Москва и обл.;15 409 403,00;15 945 223,00;-535 820,00;-3,36
158;2;Интерпрогрессбанк;600;Москва и обл.;15 368 725,00;15 362 459,00;6 266,00;0,04
159;0;Модульбанк;1927;Костромская обл.;15 326 444,00;15 691 016,00;-364 572,00;-2,32
160;-7;Банк Проектного Финансирования;1677;Москва и обл.;15 317 337,00;16 421 164,00;-1 103 827,00;-6,72
161;-3;Банк РСБ 24 (Русславбанк);1073;Москва и обл.;14 836 453,00;15 800 716,00;-964 263,00;-6,10
162;1;Мосстройэкономбанк (М Банк);948;Москва и обл.;14 744 256,00;14 687 680,00;56 576,00;0,39
163;1;Смоленский Банк;2029;Смоленская обл.;14 704 800,00;14 476 483,00;228 317,00;1,58
164;-2;Соцгорбанк;1827;Москва и обл.;14 667 567,00;14 746 865,00;-79 298,00;-0,54
165;1;Спурт Банк;2207;Татарстан;14 460 451,00;14 383 829,00;76 622,00;0,53
166;1;Энергобанк;67;Татарстан;14 442 240,00;14 320 136,00;122 104,00;0,85
167;3;Тинькофф Банк;2673;Москва и обл.;14 340 373,00;14 036 326,00;304 047,00;2,17
168;0;Тимер Банк;1581;Татарстан;14 307 187,00;14 204 207,00;102 980,00;0,72
169;5;Тойота Банк;3470;Москва и обл.;14 091 689,00;13 323 793,00;767 896,00;5,76
170;5;Связной Банк;1961;Москва и обл.;13 914 365,00;13 219 557,00;694 808,00;5,26
171;-2;Российский Кредит;324;Москва и обл.;13 906 447,00;14 118 701,00;-212 254,00;-1,50
172;4;Ланта-Банк;1920;Москва и обл.;13 839 687,00;13 188 388,00;651 299,00;4,94
173;-8;Левобережный;1343;Новосибирская обл.;13 692 398,00;14 452 373,00;-759 975,00;-5,26
174;-3;НБД-Банк;1966;Нижегородская обл.;13 677 788,00;13 790 564,00;-112 776,00;-0,82
175;-2;Инвесткапиталбанк;2377;Башкортостан;13 421 677,00;13 488 192,00;-66 515,00;-0,49
176;8;Углеметбанк;2997;Челябинская обл.;13 373 073,00;12 359 055,00;1 014 018,00;8,20
177;-5;Центркомбанк;2983;Москва и обл.;13 114 793,00;13 624 793,00;-510 000,00;-3,74
178;2;Рост Банк;2888;Татарстан;13 048 541,00;12 504 972,00;543 569,00;4,35
179;6;Норвик Банк;902;Кировская обл.;12 967 709,00;12 140 232,00;827 477,00;6,82
180;-3;Новокузнецкий Муниципальный Банк;2865;Кемеровская обл.;12 898 483,00;12 961 393,00;-62 910,00;-0,49
181;16;Европейский Трастовый Банк;2968;Москва и обл.;12 747 370,00;11 038 598,00;1 708 772,00;15,48
182;1;Русстройбанк;3205;Москва и обл.;12 446 817,00;12 372 980,00;73 837,00;0,60
183;-5;Курскпромбанк;735;Курская обл.;12 418 826,00;12 611 861,00;-193 035,00;-1,53
184;66;Ю Би Эс Банк;3463;Москва и обл.;12 381 103,00;7 641 253,00;4 739 850,00;62,03
185;-6;Держава;2738;Москва и обл.;12 118 360,00;12 577 394,00;-459 034,00;-3,65
186;4;Развитие-Столица;3013;Москва и обл.;11 715 695,00;11 506 330,00;209 365,00;1,82
187;8;Алмазэргиэнбанк;2602;Саха (Якутия);11 582 436,00;11 231 834,00;350 602,00;3,12
188;4;Эллипс Банк;1950;Нижегородская обл.;11 581 772,00;11 318 501,00;263 271,00;2,33
189;4;Интехбанк;2705;Татарстан;11 423 583,00;11 294 788,00;128 795,00;1,14
190;-9;БыстроБанк;1745;Удмуртия;11 420 192,00;12 436 282,00;-1 016 090,00;-8,17
191;-3;АБ Финанс;514;Москва и обл.;11 332 724,00;11 700 728,00;-368 004,00;-3,15
192;14;Фининвест;671;Москва и обл.;11 205 206,00;10 224 667,00;980 539,00;9,59
193;3;Московское Ипотечное Агентство;3344;Москва и обл.;11 153 193,00;11 149 730,00;3 463,00;0,03
194;-12;Образование;1521;Москва и обл.;11 150 770,00;12 380 872,00;-1 230 102,00;-9,94
195;-4;РосДорБанк;1573;Москва и обл.;10 912 164,00;11 372 850,00;-460 686,00;-4,05
196;-10;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;10 765 714,00;12 031 081,00;-1 265 367,00;-10,52
197;2;БМВ Банк;3482;Москва и обл.;10 710 696,00;10 777 167,00;-66 471,00;-0,62
198;4;Александровский;53;Санкт-Петербург и обл.;10 665 524,00;10 578 832,00;86 692,00;0,82
199;-12;Банк Финсервис;3388;Москва и обл.;10 633 094,00;11 784 569,00;-1 151 475,00;-9,77
200;-2;Форштадт;2208;Оренбургская обл.;10 467 207,00;10 903 662,00;-436 455,00;-4,00
201;0;Эс-Би-Ай Банк;3185;Москва и обл.;10 460 903,00;10 666 536,00;-205 633,00;-1,93
202;6;Гаранти Банк — Москва;3275;Москва и обл.;10 447 544,00;10 148 711,00;298 833,00;2,94
203;2;ТЭМБР-Банк;2764;Москва и обл.;10 156 588,00;10 234 314,00;-77 726,00;-0,76
204;-4;Нижегородпромстройбанк;1851;Нижегородская обл.;10 146 701,00;10 705 742,00;-559 041,00;-5,22
205;7;Первомайский;518;Краснодарский край;10 098 921,00;9 951 364,00;147 557,00;1,48
206;1;Роспромбанк;3204;Москва и обл.;10 034 139,00;10 199 570,00;-165 431,00;-1,62
207;4;Солидарность (Москва);1555;Москва и обл.;9 982 522,00;10 005 741,00;-23 219,00;-0,23
208;8;АйМаниБанк;1975;Республика Алтай;9 771 654,00;9 458 995,00;312 659,00;3,31
209;5;Тольяттихимбанк;2507;Самарская обл.;9 706 782,00;9 684 657,00;22 125,00;0,23
210;-7;Хлынов;254;Кировская обл.;9 629 736,00;10 433 537,00;-803 801,00;-7,70
211;4;Легион;3117;Москва и обл.;9 586 174,00;9 682 238,00;-96 064,00;-0,99
212;26;Росэксимбанк;2790;Москва и обл.;9 515 598,00;8 148 750,00;1 366 848,00;16,77
213;-3;Энерготрансбанк;1307;Калининградская обл.;9 498 098,00;10 016 833,00;-518 735,00;-5,18
214;-25;Аресбанк;2914;Москва и обл.;9 483 915,00;11 677 985,00;-2 194 070,00;-18,79
215;-11;Нацинвестпромбанк;3077;Москва и обл.;9 463 659,00;10 251 978,00;-788 319,00;-7,69
216;36;БКС Банк;101;Новосибирская обл.;9 412 211,00;7 506 782,00;1 905 429,00;25,38
217;14;Интрастбанк;3144;Москва и обл.;9 358 794,00;8 687 811,00;670 983,00;7,72
218;-24;Современный Коммерческий Инновационный Банк;3329;Калужская обл.;9 348 879,00;11 256 714,00;-1 907 835,00;-16,95
219;-6;Гута-Банк;256;Москва и обл.;9 342 704,00;9 837 645,00;-494 941,00;-5,03
220;4;Банк «Советский»;558;Санкт-Петербург и обл.;9 328 405,00;9 090 463,00;237 942,00;2,62
221;-2;Северо-Восточный Альянс;2768;Москва и обл.;9 197 025,00;9 401 758,00;-204 733,00;-2,18
222;-2;Банк24.ру;2227;Свердловская обл.;9 050 504,00;9 366 791,00;-316 287,00;-3,38
223;2;Прио-Внешторгбанк;212;Рязанская обл.;8 985 013,00;9 064 268,00;-79 255,00;-0,87
224;-1;НК Банк;2755;Москва и обл.;8 969 242,00;9 151 422,00;-182 180,00;-1,99
225;1;ВУЗ-Банк;1557;Свердловская обл.;8 938 657,00;9 050 646,00;-111 989,00;-1,24
226;-5;Гранд Инвест Банк;3053;Москва и обл.;8 900 346,00;9 325 565,00;-425 219,00;-4,56
227;0;Банк Оренбург;3269;Оренбургская обл.;8 837 534,00;8 878 421,00;-40 887,00;-0,46
228;13;Алеф-Банк;2119;Москва и обл.;8 823 149,00;8 012 010,00;811 139,00;10,12
229;-7;Юникорбанк;2586;Москва и обл.;8 822 630,00;9 240 064,00;-417 434,00;-4,52
230;0;Банк Жилищного Финансирования;3138;Москва и обл.;8 798 919,00;8 690 855,00;108 064,00;1,24
231;1;Экономбанк;1319;Саратовская обл.;8 610 971,00;8 505 434,00;105 537,00;1,24
232;8;Энергомашбанк;52;Санкт-Петербург и обл.;8 441 025,00;8 043 405,00;397 620,00;4,94
233;-5;Свенска Хандельсбанкен;3455;Москва и обл.;8 402 833,00;8 760 507,00;-357 674,00;-4,08
234;1;Газэнергобанк;3252;Калужская обл.;8 355 687,00;8 259 139,00;96 548,00;1,17
235;-2;Промсбербанк;1043;Москва и обл.;8 354 766,00;8 449 557,00;-94 791,00;-1,12
236;-7;ББР Банк;2929;Москва и обл.;8 314 736,00;8 723 874,00;-409 138,00;-4,69
237;39;МАК-Банк;1088;Москва и обл.;8 312 120,00;6 604 522,00;1 707 598,00;25,85
238;-29;Экопромбанк;2011;Пермская обл.;8 264 967,00;10 027 743,00;-1 762 776,00;-17,58
239;-3;Мерседес-Бенц Банк Рус;3473;Москва и обл.;8 188 710,00;8 230 807,00;-42 097,00;-0,51
240;122;Мир Бизнес Банк;3396;Москва и обл.;8 069 701,00;4 103 664,00;3 966 037,00;96,65
241;-23;Снежинский;1376;Челябинская обл.;8 056 307,00;9 410 704,00;-1 354 397,00;-14,39
242;20;Бэнк оф Чайна;2309;Москва и обл.;8 054 410,00;7 161 046,00;893 364,00;12,48
243;0;Тарханы;459;Пензенская обл.;8 015 991,00;7 941 111,00;74 880,00;0,94
244;-10;Екатеринбург;3161;Свердловская обл.;7 783 941,00;8 274 710,00;-490 769,00;-5,93
245;-28;Руснарбанк;3403;Москва и обл.;7 767 029,00;9 423 138,00;-1 656 109,00;-17,57
246;5;Социнвестбанк;1132;Башкортостан;7 753 425,00;7 561 032,00;192 393,00;2,54
247;1;Гарант-Инвест;2576;Москва и обл.;7 668 369,00;7 779 485,00;-111 116,00;-1,43
248;8;Квантмобайл Банк;1189;Омская обл.;7 621 434,00;7 386 816,00;234 618,00;3,18
249;-10;Международный Акционерный Банк;1987;Москва и обл.;7 502 812,00;8 053 988,00;-551 176,00;-6,84
250;4;Северная Казна;2083;Свердловская обл.;7 408 572,00;7 494 049,00;-85 477,00;-1,14
251;6;Банк Премьер Кредит;1663;Коми;7 376 814,00;7 335 366,00;41 448,00;0,57
252;-6;Европейский;1616;Калининградская обл.;7 344 785,00;7 812 558,00;-467 773,00;-5,99
253;-4;Новосибирский Муниципальный Банк;2786;Новосибирская обл.;7 310 373,00;7 720 438,00;-410 065,00;-5,31
254;-12;Национальная Факторинговая Компания;3437;Москва и обл.;7 265 533,00;8 007 687,00;-742 154,00;-9,27
255;11;СтарБанк;548;Тюменская обл.;7 258 576,00;6 961 542,00;297 034,00;4,27
256;7;Темпбанк;55;Москва и обл.;7 237 065,00;7 068 298,00;168 767,00;2,39
