Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Май, 2010, тыс. рублей;Апрель, 2010, тыс. рублей;Изменение, тыс. рублей;Изменение, %
116;-3;Кубань Кредит;2518;Краснодарский край;20 648 256,00;20 689 706,00;-41 450,00;-0,20
117;0;Севергазбанк;2816;Вологодская обл.;20 320 060,00;20 204 334,00;115 726,00;0,57
118;-4;Девон-Кредит;1972;Татарстан;20 003 057,00;20 431 559,00;-428 502,00;-2,10
119;1;Кредит Урал Банк;2584;Челябинская обл.;19 998 154,00;18 673 020,00;1 325 134,00;7,10
120;-1;СДМ-Банк;1637;Москва и обл.;19 458 298,00;19 129 263,00;329 035,00;1,72
121;10;НС Банк;3124;Москва и обл.;18 984 473,00;17 157 920,00;1 826 553,00;10,65
122;2;Нота-Банк;2913;Москва и обл.;18 976 142,00;17 986 087,00;990 055,00;5,50
123;5;Крайинвестбанк;3360;Краснодарский край;18 436 541,00;17 706 682,00;729 859,00;4,12
124;8;Солидарность;554;Самарская обл.;18 322 661,00;17 039 580,00;1 283 081,00;7,53
125;4;ГПБ-Ипотека;2403;Москва и обл.;18 158 743,00;17 532 180,00;626 563,00;3,57
126;-8;Агропромкредит;2880;Москва и обл.;18 132 934,00;20 111 952,00;-1 979 018,00;-9,84
127;-5;Экспресс-Волга;3085;Саратовская обл.;17 963 256,00;18 391 199,00;-427 943,00;-2,33
128;6;М2М Прайвет Банк;1414;Москва и обл.;17 939 335,00;16 528 441,00;1 410 894,00;8,54
129;28;Международный Финансовый Клуб;2618;Москва и обл.;17 926 781,00;13 046 614,00;4 880 167,00;37,41
130;-4;Русский Международный Банк;3123;Москва и обл.;17 804 009,00;17 807 330,00;-3 321,00;-0,02
131;2;Первый Республиканский Банк;1730;Москва и обл.;17 669 490,00;16 596 646,00;1 072 844,00;6,46
132;-2;Фора-Банк;1885;Москва и обл.;17 496 485,00;17 361 483,00;135 002,00;0,78
133;-8;Мой Банк;2939;Москва и обл.;17 358 845,00;17 872 219,00;-513 374,00;-2,87
134;-7;Банк АВБ;23;Самарская обл.;16 987 014,00;17 803 699,00;-816 685,00;-4,59
135;-23;Банк Кредит Свисс;2494;Москва и обл.;16 924 363,00;20 888 708,00;-3 964 345,00;-18,98
136;-13;Липецккомбанк;1242;Липецкая обл.;16 603 832,00;18 217 311,00;-1 613 479,00;-8,86
137;-1;Уралтрансбанк;812;Свердловская обл.;16 453 285,00;16 440 092,00;13 193,00;0,08
138;0;ПЧРБ Банк;3291;Москва и обл.;15 868 188,00;16 040 098,00;-171 910,00;-1,07
139;9;БФГ-Кредит;3068;Москва и обл.;15 780 618,00;14 386 416,00;1 394 202,00;9,69
140;-3;МБА-Москва;3395;Москва и обл.;15 584 195,00;16 106 350,00;-522 155,00;-3,24
141;-2;Столичный Торговый Банк;2797;Москва и обл.;15 385 964,00;15 949 300,00;-563 336,00;-3,53
142;2;Соцгорбанк;1827;Москва и обл.;15 381 131,00;14 917 530,00;463 601,00;3,11
143;-2;Урал ФД;249;Пермская обл.;15 246 481,00;15 573 128,00;-326 647,00;-2,10
144;-2;Российский Кредит;324;Москва и обл.;15 218 631,00;15 343 470,00;-124 839,00;-0,81
145;6;Открытие / Инвестиционный банк;2901;Москва и обл.;15 126 668,00;14 025 190,00;1 101 478,00;7,85
146;1;Банк РСБ 24 (Русславбанк);1073;Москва и обл.;15 024 805,00;14 664 152,00;360 653,00;2,46
147;-4;Модульбанк;1927;Костромская обл.;14 891 136,00;15 067 590,00;-176 454,00;-1,17
148;11;Приморье;3001;Приморский край;14 751 747,00;12 822 503,00;1 929 244,00;15,05
149;-14;Натиксис Банк;3390;Москва и обл.;14 731 591,00;16 479 633,00;-1 748 042,00;-10,61
150;-10;Межтопэнергобанк;2956;Москва и обл.;14 650 576,00;15 680 092,00;-1 029 516,00;-6,57
151;-6;Сетелем Банк;2168;Москва и обл.;14 592 848,00;14 870 858,00;-278 010,00;-1,87
152;-3;Примсоцбанк;2733;Приморский край;14 580 807,00;14 353 625,00;227 182,00;1,58
153;-3;ФИА-Банк;2542;Самарская обл.;14 550 081,00;14 301 811,00;248 270,00;1,74
154;0;Московский Областной Банк;1751;Москва и обл.;14 357 427,00;13 152 098,00;1 205 329,00;9,16
155;-9;Народный Кредит;2401;Москва и обл.;14 124 184,00;14 742 257,00;-618 073,00;-4,19
156;-3;Центркомбанк;2983;Москва и обл.;13 889 491,00;13 281 526,00;607 965,00;4,58
157;1;Ланта-Банк;1920;Москва и обл.;13 469 790,00;12 890 519,00;579 271,00;4,49
158;-3;Альта-Банк;2269;Москва и обл.;13 337 153,00;13 133 367,00;203 786,00;1,55
159;-3;Банк Проектного Финансирования;1677;Москва и обл.;13 183 147,00;13 087 328,00;95 819,00;0,73
160;3;Энергобанк;67;Татарстан;13 117 647,00;12 542 969,00;574 678,00;4,58
161;-9;Стройкредит;18;Москва и обл.;12 982 750,00;13 696 944,00;-714 194,00;-5,21
162;2;НБД-Банк;1966;Нижегородская обл.;12 766 495,00;12 406 461,00;360 034,00;2,90
163;-2;Петрофф-Банк;2466;Москва и обл.;12 725 700,00;12 643 846,00;81 854,00;0,65
164;-2;Кольцо Урала;65;Свердловская обл.;12 667 171,00;12 596 217,00;70 954,00;0,56
165;-5;НОМОС-Региобанк;539;Хабаровский край;12 646 476,00;12 725 826,00;-79 350,00;-0,62
166;2;Спурт Банк;2207;Татарстан;12 544 801,00;11 840 559,00;704 242,00;5,95
167;3;Мосстройэкономбанк (М Банк);948;Москва и обл.;12 269 027,00;11 229 058,00;1 039 969,00;9,26
168;-2;Рост Банк;2888;Татарстан;12 144 811,00;12 037 331,00;107 480,00;0,89
169;6;Эс-Би-Ай Банк;3185;Москва и обл.;12 032 534,00;10 821 853,00;1 210 681,00;11,19
170;26;Тройка-Д Банк;3431;Москва и обл.;12 020 699,00;9 296 348,00;2 724 351,00;29,31
171;-6;Северная Казна;2083;Свердловская обл.;11 716 895,00;12 304 194,00;-587 299,00;-4,77
172;7;Банк БФА;3038;Санкт-Петербург и обл.;11 397 409,00;10 656 315,00;741 094,00;6,95
173;-4;Городской Ипотечный Банк;1627;Москва и обл.;11 347 029,00;11 286 401,00;60 628,00;0,54
174;-2;Новокузнецкий Муниципальный Банк;2865;Кемеровская обл.;11 282 727,00;11 208 358,00;74 369,00;0,66
175;2;Тимер Банк;1581;Татарстан;11 203 842,00;10 789 516,00;414 326,00;3,84
176;-5;Московское Ипотечное Агентство;3344;Москва и обл.;11 184 904,00;11 212 954,00;-28 050,00;-0,25
177;-4;Левобережный;1343;Новосибирская обл.;11 164 813,00;11 154 157,00;10 656,00;0,10
178;4;Инвесткапиталбанк;2377;Башкортостан;10 935 727,00;10 204 877,00;730 850,00;7,16
179;-1;Европейский Трастовый Банк;2968;Москва и обл.;10 887 560,00;10 718 098,00;169 462,00;1,58
180;23;АМБ Банк;3036;Москва и обл.;10 831 327,00;9 112 613,00;1 718 714,00;18,86
181;-5;Курскпромбанк;735;Курская обл.;10 796 595,00;10 801 789,00;-5 194,00;-0,05
182;12;Славянский Банк;383;Москва и обл.;10 659 657,00;9 471 313,00;1 188 344,00;12,55
183;3;Свенска Хандельсбанкен;3455;Москва и обл.;10 550 138,00;9 915 006,00;635 132,00;6,41
184;-10;Связной Банк;1961;Москва и обл.;10 491 342,00;10 937 288,00;-445 946,00;-4,08
185;6;Интерпрогрессбанк;600;Москва и обл.;10 473 751,00;9 559 018,00;914 733,00;9,57
186;-6;Смоленский Банк;2029;Смоленская обл.;10 451 913,00;10 576 534,00;-124 621,00;-1,18
187;26;Нацинвестпромбанк;3077;Москва и обл.;10 426 966,00;8 429 988,00;1 996 978,00;23,69
188;-7;Форштадт;2208;Оренбургская обл.;10 344 699,00;10 464 610,00;-119 911,00;-1,15
189;-2;Банк24.ру;2227;Свердловская обл.;10 035 748,00;9 825 856,00;209 892,00;2,14
190;-6;Алемар;2384;Новосибирская обл.;9 988 323,00;10 005 329,00;-17 006,00;-0,17
191;13;Росэнергобанк;2211;Москва и обл.;9 884 499,00;9 050 899,00;833 600,00;9,21
192;-9;БыстроБанк;1745;Удмуртия;9 874 981,00;10 008 109,00;-133 128,00;-1,33
193;-5;Морской Банк;77;Москва и обл.;9 842 078,00;9 737 356,00;104 722,00;1,08
194;6;Углеметбанк;2997;Челябинская обл.;9 747 520,00;9 154 503,00;593 017,00;6,48
195;-2;Росэксимбанк;2790;Москва и обл.;9 625 911,00;9 530 181,00;95 730,00;1,00
196;2;Нижегородпромстройбанк;1851;Нижегородская обл.;9 414 263,00;9 253 529,00;160 734,00;1,74
197;13;Развитие-Столица;3013;Москва и обл.;9 413 383,00;8 662 697,00;750 686,00;8,67
198;-13;Держава;2738;Москва и обл.;9 350 855,00;9 961 813,00;-610 958,00;-6,13
199;-32;Современный Коммерческий Инновационный Банк;3329;Калужская обл.;9 304 813,00;11 999 735,00;-2 694 922,00;-22,46
200;5;Алмазэргиэнбанк;2602;Саха (Якутия);9 276 800,00;9 002 284,00;274 516,00;3,05
201;7;Эллипс Банк;1950;Нижегородская обл.;9 188 307,00;8 864 634,00;323 673,00;3,65
202;-12;Тольяттихимбанк;2507;Самарская обл.;9 153 445,00;9 647 140,00;-493 695,00;-5,12
203;-2;Норвик Банк;902;Кировская обл.;9 115 744,00;9 131 527,00;-15 783,00;-0,17
204;-2;Интехбанк;2705;Татарстан;9 058 441,00;9 118 524,00;-60 083,00;-0,66
205;-8;ВУЗ-Банк;1557;Свердловская обл.;9 008 604,00;9 285 602,00;-276 998,00;-2,98
206;1;Банк Жилищного Финансирования;3138;Москва и обл.;8 985 554,00;8 921 534,00;64 020,00;0,72
207;-18;Гаранти Банк — Москва;3275;Москва и обл.;8 954 751,00;9 707 623,00;-752 872,00;-7,76
208;10;Гранд Инвест Банк;3053;Москва и обл.;8 945 311,00;7 788 862,00;1 156 449,00;14,85
209;2;Банк Оренбург;3269;Оренбургская обл.;8 681 212,00;8 560 287,00;120 925,00;1,41
210;2;Снежинский;1376;Челябинская обл.;8 647 341,00;8 501 190,00;146 151,00;1,72
211;-5;Энерготрансбанк;1307;Калининградская обл.;8 615 642,00;8 964 411,00;-348 769,00;-3,89
212;-13;НК Банк;2755;Москва и обл.;8 516 399,00;9 184 290,00;-667 891,00;-7,27
213;-4;Северо-Восточный Альянс;2768;Москва и обл.;8 382 509,00;8 779 065,00;-396 556,00;-4,52
214;29;Экопромбанк;2011;Пермская обл.;8 297 003,00;6 775 848,00;1 521 155,00;22,45
215;0;Первомайский;518;Краснодарский край;8 229 487,00;8 052 135,00;177 352,00;2,20
216;0;Хлынов;254;Кировская обл.;8 091 159,00;8 005 425,00;85 734,00;1,07
217;-25;Роспромбанк;3204;Москва и обл.;8 078 696,00;9 555 044,00;-1 476 348,00;-15,45
218;-23;МАК-Банк;1088;Москва и обл.;8 042 136,00;9 301 171,00;-1 259 035,00;-13,54
219;6;Солидарность (Москва);1555;Москва и обл.;8 004 142,00;7 539 152,00;464 990,00;6,17
220;-1;Дрезднер Банк;2455;Санкт-Петербург и обл.;7 990 166,00;7 780 887,00;209 279,00;2,69
221;-1;Александровский;53;Санкт-Петербург и обл.;7 940 278,00;7 740 994,00;199 284,00;2,57
222;0;ТЭМБР-Банк;2764;Москва и обл.;7 870 556,00;7 662 164,00;208 392,00;2,72
223;-2;РосДорБанк;1573;Москва и обл.;7 846 376,00;7 708 895,00;137 481,00;1,78
224;-7;Банк Премьер Кредит;1663;Коми;7 721 950,00;7 821 471,00;-99 521,00;-1,27
225;14;Тинькофф Банк;2673;Москва и обл.;7 689 108,00;6 833 413,00;855 695,00;12,52
226;-12;Аресбанк;2914;Москва и обл.;7 624 447,00;8 282 590,00;-658 143,00;-7,95
227;2;Русстройбанк;3205;Москва и обл.;7 553 304,00;7 403 445,00;149 859,00;2,02
228;0;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;7 541 696,00;7 431 900,00;109 796,00;1,48
229;-6;Интеркоммерц Банк;1657;Москва и обл.;7 508 175,00;7 576 122,00;-67 947,00;-0,90
230;0;Монетный Дом;419;Челябинская обл.;7 424 213,00;7 155 948,00;268 265,00;3,75
231;20;Тарханы;459;Пензенская обл.;7 376 487,00;6 597 648,00;778 839,00;11,80
232;-5;Экономбанк;1319;Саратовская обл.;7 340 736,00;7 484 626,00;-143 890,00;-1,92
233;5;СтарБанк;548;Тюменская обл.;7 240 712,00;6 858 085,00;382 627,00;5,58
234;0;Прио-Внешторгбанк;212;Рязанская обл.;7 219 252,00;7 063 244,00;156 008,00;2,21
235;-4;Международный Акционерный Банк;1987;Москва и обл.;7 184 831,00;7 152 222,00;32 609,00;0,46
236;20;Гута-Банк;256;Москва и обл.;7 181 300,00;6 387 190,00;794 110,00;12,43
237;-4;Юникорбанк;2586;Москва и обл.;7 142 409,00;7 103 481,00;38 928,00;0,55
238;8;Нефтяной Альянс;2859;Москва и обл.;7 093 574,00;6 675 137,00;418 437,00;6,27
239;35;Образование;1521;Москва и обл.;7 009 740,00;5 873 029,00;1 136 711,00;19,35
240;-3;Екатеринбург;3161;Свердловская обл.;6 994 644,00;6 870 211,00;124 433,00;1,81
241;3;Газэнергобанк;3252;Калужская обл.;6 926 880,00;6 766 229,00;160 651,00;2,37
242;-16;Русьуниверсалбанк;3293;Москва и обл.;6 909 461,00;7 491 031,00;-581 570,00;-7,76
243;2;Промсбербанк;1043;Москва и обл.;6 901 411,00;6 741 862,00;159 549,00;2,37
244;20;АйМаниБанк;1975;Республика Алтай;6 867 358,00;6 182 983,00;684 375,00;11,07
245;-5;Легион;3117;Москва и обл.;6 846 821,00;6 812 399,00;34 422,00;0,51
246;3;Тойота Банк;3470;Москва и обл.;6 814 108,00;6 604 750,00;209 358,00;3,17
247;-5;Темпбанк;55;Москва и обл.;6 797 893,00;6 787 834,00;10 059,00;0,15
248;-13;Лада-Кредит;2668;Самарская обл.;6 763 649,00;6 995 057,00;-231 408,00;-3,31
249;-8;Национальная Факторинговая Компания;3437;Москва и обл.;6 745 928,00;6 812 050,00;-66 122,00;-0,97
250;-3;НОМОС-Банк-Сибирь;410;Новосибирская обл.;6 673 813,00;6 629 392,00;44 421,00;0,67
251;-27;Руснарбанк;3403;Москва и обл.;6 653 493,00;7 575 177,00;-921 684,00;-12,17
252;-2;Социнвестбанк;1132;Башкортостан;6 609 923,00;6 600 436,00;9 487,00;0,14
253;16;Волго-Камский Банк;282;Самарская обл.;6 545 080,00;5 970 078,00;575 002,00;9,63
254;3;Ставропольпромстройбанк;1288;Ставропольский край;6 534 721,00;6 344 854,00;189 867,00;2,99
255;11;Гарант-Инвест;2576;Москва и обл.;6 528 123,00;6 083 002,00;445 121,00;7,32
256;2;Интрастбанк;3144;Москва и обл.;6 525 613,00;6 331 335,00;194 278,00;3,07
257;-4;Новосибирский Муниципальный Банк;2786;Новосибирская обл.;6 509 097,00;6 523 327,00;-14 230,00;-0,22
258;14;ББР Банк;2929;Москва и обл.;6 496 172,00;5 936 437,00;559 735,00;9,43
259;43;Банк Финсервис;3388;Москва и обл.;6 493 838,00;4 684 981,00;1 808 857,00;38,61
