Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Сентябрь, 2019, тыс. рублей;Август, 2019, тыс. рублей;Изменение, тыс. рублей;Изменение, %
16;1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;663 553 332,00;675 834 037,00;-12 280 705,00;-1,82
17;3;Московский Областной Банк;1751;Москва и обл.;585 817 851,00;538 323 342,00;47 494 509,00;8,82
18;0;Ситибанк;2557;Москва и обл.;574 661 225,00;576 509 094,00;-1 847 869,00;-0,32
19;0;Ак Барс;2590;Татарстан;568 426 347,00;554 424 069,00;14 002 278,00;2,53
20;1;Банк Уралсиб;30;Москва и обл.;516 434 942,00;517 721 384,00;-1 286 442,00;-0,25
21;2;Тинькофф Банк;2673;Москва и обл.;514 585 496,00;492 809 860,00;21 775 636,00;4,42
22;0;БМ-Банк;2748;Москва и обл.;511 353 531,00;512 262 351,00;-908 820,00;-0,18
23;2;СМП Банк;3368;Москва и обл.;503 692 456,00;450 812 025,00;52 880 431,00;11,73
24;0;Почта Банк;650;Москва и обл.;482 648 061,00;462 283 556,00;20 364 505,00;4,41
25;1;Новикомбанк;2546;Москва и обл.;469 412 281,00;445 100 868,00;24 311 413,00;5,46
26;1;Московский Индустриальный Банк;912;Москва и обл.;428 840 921,00;421 822 644,00;7 018 277,00;1,66
27;1;Русский Стандарт;2289;Москва и обл.;343 316 154,00;338 167 385,00;5 148 769,00;1,52
28;1;Пересвет;2110;Москва и обл.;335 112 603,00;330 520 127,00;4 592 476,00;1,39
29;2;Банк ДОМ.РФ;2312;Москва и обл.;331 235 396,00;306 673 851,00;24 561 545,00;8,01
30;2;Возрождение;1439;Москва и обл.;290 190 785,00;285 141 546,00;5 049 239,00;1,77
31;-1;Связь-Банк;1470;Москва и обл.;289 050 877,00;313 119 523,00;-24 068 646,00;-7,69
32;4;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;288 911 774,00;260 461 861,00;28 449 913,00;10,92
33;5;ИНГ Банк;2495;Москва и обл.;274 727 159,00;233 957 662,00;40 769 497,00;17,43
34;0;Хоум Кредит Банк;316;Москва и обл.;269 705 941,00;264 689 843,00;5 016 098,00;1,90
35;-2;Восточный Банк;1460;Амурская обл.;268 957 553,00;266 737 463,00;2 220 090,00;0,83
36;-1;Абсолют Банк;2306;Москва и обл.;267 299 562,00;263 068 303,00;4 231 259,00;1,61
37;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;233 756 924,00;244 631 783,00;-10 874 859,00;-4,45
38;1;Банк Зенит;3255;Москва и обл.;226 904 979,00;220 545 259,00;6 359 720,00;2,88
39;3;РНКБ;1354;Симферополь;200 593 836,00;196 263 469,00;4 330 367,00;2,21
40;1;Инвестторгбанк;2763;Москва и обл.;198 700 644,00;201 925 142,00;-3 224 498,00;-1,60
41;2;МТС Банк;2268;Москва и обл.;191 137 921,00;186 696 813,00;4 441 108,00;2,38
42;-2;Национальный Расчетный Депозитарий;3294;Москва и обл.;182 482 400,00;204 593 347,00;-22 110 947,00;-10,81
43;1;Ренессанс Кредит;3354;Москва и обл.;181 204 132,00;181 400 213,00;-196 081,00;-0,11
44;1;Экспресс-Волга;3085;Костромская обл.;175 070 599,00;174 590 960,00;479 639,00;0,27
45;1;ОТП Банк;2766;Москва и обл.;174 772 812,00;170 074 664,00;4 698 148,00;2,76
46;2;Росэксимбанк;2790;Москва и обл.;162 244 339,00;153 137 140,00;9 107 199,00;5,95
47;2;Транскапиталбанк;2210;Москва и обл.;157 528 005,00;151 548 010,00;5 979 995,00;3,95
48;-1;Кредит Европа Банк;3311;Москва и обл.;157 496 727,00;156 993 730,00;502 997,00;0,32
49;1;Русфинанс Банк;1792;Самарская обл.;154 603 768,00;150 842 544,00;3 761 224,00;2,49
50;1;Сетелем Банк;2168;Москва и обл.;145 869 350,00;146 882 826,00;-1 013 476,00;-0,69
51;1;Запсибкомбанк;918;Тюменская обл.;135 850 498,00;135 994 442,00;-143 944,00;-0,11
52;2;Авангард;2879;Москва и обл.;131 554 585,00;128 874 072,00;2 680 513,00;2,08
53;2;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;130 096 589,00;128 171 489,00;1 925 100,00;1,50
54;2;Роскосмосбанк;2989;Москва и обл.;126 145 275,00;127 454 596,00;-1 309 321,00;-1,03
55;2;Банк Финсервис;3388;Москва и обл.;122 268 931,00;123 372 132,00;-1 103 201,00;-0,89
56;3;Центр-инвест;2225;Ростовская обл.;121 139 728,00;120 201 907,00;937 821,00;0,78
57;-4;МСП Банк;3340;Москва и обл.;116 567 957,00;129 184 863,00;-12 616 906,00;-9,77
58;2;ВУЗ-Банк;1557;Свердловская обл.;114 903 330,00;110 064 022,00;4 839 308,00;4,40
59;-1;ЦентроКредит;121;Москва и обл.;112 845 562,00;121 410 601,00;-8 565 039,00;-7,05
60;7;Аверс;415;Татарстан;111 991 585,00;101 751 490,00;10 240 095,00;10,06
61;2;Таврический Банк;2304;Санкт-Петербург и обл.;109 070 417,00;105 515 228,00;3 555 189,00;3,37
62;3;Кубань Кредит;2518;Краснодарский край;106 895 814,00;104 966 448,00;1 929 366,00;1,84
63;-2;Нордеа Банк;3016;Москва и обл.;105 522 244,00;107 056 743,00;-1 534 499,00;-1,43
64;2;Союз;2307;Москва и обл.;104 797 081,00;104 330 208,00;466 873,00;0,45
65;4;СКБ-Банк;705;Свердловская обл.;103 536 606,00;94 386 534,00;9 150 072,00;9,69
66;-4;РН Банк;170;Москва и обл.;103 466 016,00;105 631 323,00;-2 165 307,00;-2,05
67;1;Металлинвестбанк;2440;Москва и обл.;95 079 747,00;97 555 985,00;-2 476 238,00;-2,54
68;-4;Локо-Банк;2707;Москва и обл.;92 371 228,00;105 196 491,00;-12 825 263,00;-12,19
69;3;Экспобанк;2998;Москва и обл.;82 716 912,00;82 046 010,00;670 902,00;0,82
70;4;Тойота Банк;3470;Москва и обл.;80 597 839,00;77 404 923,00;3 192 916,00;4,12
71;-1;Дойче Банк;3328;Москва и обл.;79 803 078,00;91 509 917,00;-11 706 839,00;-12,79
72;-1;Балтинвестбанк;3176;Санкт-Петербург и обл.;79 336 907,00;84 255 216,00;-4 918 309,00;-5,84
73;3;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;77 209 984,00;74 740 165,00;2 469 819,00;3,30
74;1;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;73 845 875,00;75 828 157,00;-1 982 282,00;-2,61
75;-2;Мидзухо Банк;3337;Москва и обл.;73 439 771,00;79 275 527,00;-5 835 756,00;-7,36
76;2;Эм-Ю-Эф-Джи Банк (Евразия);3465;Москва и обл.;72 544 601,00;69 967 821,00;2 576 780,00;3,68
77;0;БКС Банк;101;Москва и обл.;69 114 984,00;70 891 653,00;-1 776 669,00;-2,51
78;2;Примсоцбанк;2733;Приморский край;66 357 667,00;64 760 737,00;1 596 930,00;2,47
79;5;Левобережный;1343;Новосибирская обл.;64 943 979,00;62 814 300,00;2 129 679,00;3,39
80;3;Банк Интеза;2216;Москва и обл.;64 152 863,00;63 543 958,00;608 905,00;0,96
81;4;СДМ-Банк;1637;Москва и обл.;63 789 160,00;62 577 409,00;1 211 751,00;1,94
82;0;Тимер Банк;1581;Москва и обл.;63 579 753,00;63 707 333,00;-127 580,00;-0,20
83;8;ББР Банк;2929;Москва и обл.;62 339 107,00;55 359 443,00;6 979 664,00;12,61
84;2;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;61 072 942,00;61 855 300,00;-782 358,00;-1,26
85;2;Крайинвестбанк;3360;Краснодарский край;60 781 682,00;60 402 085,00;379 597,00;0,63
86;10;СЭБ Банк;3235;Санкт-Петербург и обл.;60 513 758,00;53 289 500,00;7 224 258,00;13,56
87;-6;АйСиБиСи Банк;3475;Москва и обл.;59 718 777,00;64 684 809,00;-4 966 032,00;-7,68
88;0;Севергазбанк;2816;Вологодская обл.;59 407 838,00;57 594 246,00;1 813 592,00;3,15
89;-10;РГС Банк;3073;Москва и обл.;58 094 075,00;64 902 689,00;-6 808 614,00;-10,49
90;0;БНП Париба Банк;3407;Москва и обл.;57 403 694,00;55 478 716,00;1 924 978,00;3,47
91;1;Челиндбанк;485;Челябинская обл.;55 582 380,00;54 642 698,00;939 682,00;1,72
92;1;Челябинвестбанк;493;Челябинская обл.;55 546 726,00;54 565 950,00;980 776,00;1,80
93;-4;Энерготрансбанк;1307;Калининградская обл.;53 986 475,00;57 340 541,00;-3 354 066,00;-5,85
94;4;Фора-Банк;1885;Москва и обл.;52 381 504,00;50 171 073,00;2 210 431,00;4,41
95;5;Коммерцбанк (Евразия);3333;Москва и обл.;51 293 406,00;48 505 087,00;2 788 319,00;5,75
96;1;Генбанк;2490;Симферополь;51 172 642,00;50 566 883,00;605 759,00;1,20
97;-2;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;50 866 432,00;54 249 849,00;-3 383 417,00;-6,24
98;3;Аресбанк;2914;Москва и обл.;49 441 526,00;48 291 358,00;1 150 168,00;2,38
99;0;Газэнергобанк;3252;Калужская обл.;48 960 665,00;48 834 846,00;125 819,00;0,26
100;2;Киви Банк;2241;Москва и обл.;48 621 008,00;46 541 929,00;2 079 079,00;4,47
101;-7;Мир Бизнес Банк;3396;Москва и обл.;46 073 250,00;54 533 908,00;-8 460 658,00;-15,51
102;1;Саровбизнесбанк;2048;Нижегородская обл.;45 968 230,00;45 665 647,00;302 583,00;0,66
103;7;Платежный Центр;3166;Новосибирская обл.;45 573 266,00;39 632 312,00;5 940 954,00;14,99
104;2;Фольксваген Банк Рус;3500;Москва и обл.;44 373 355,00;40 612 335,00;3 761 020,00;9,26
105;-1;Объединенный Капитал;2611;Санкт-Петербург и обл.;44 303 381,00;42 710 035,00;1 593 346,00;3,73
106;-1;Солидарность;554;Самарская обл.;42 394 585,00;41 866 691,00;527 894,00;1,26
107;2;БМВ Банк;3482;Москва и обл.;40 772 553,00;39 641 776,00;1 130 777,00;2,85
108;7;Бэнк оф Чайна;2309;Москва и обл.;39 530 304,00;34 165 046,00;5 365 258,00;15,70
109;-2;Дж. П. Морган Банк;2629;Москва и обл.;39 330 598,00;40 245 928,00;-915 330,00;-2,27
110;-2;БыстроБанк;1745;Удмуртия;38 514 842,00;39 734 111,00;-1 219 269,00;-3,07
111;2;Кольцо Урала;65;Свердловская обл.;37 446 650,00;37 087 882,00;358 768,00;0,97
112;-1;Интерпрогрессбанк;600;Москва и обл.;36 883 701,00;37 175 199,00;-291 498,00;-0,78
113;1;Дальневосточный Банк;843;Приморский край;36 098 267,00;36 716 810,00;-618 543,00;-1,68
114;-2;Международный Финансовый Клуб;2618;Москва и обл.;35 630 161,00;37 144 784,00;-1 514 623,00;-4,08
115;2;Приморье;3001;Приморский край;34 839 212,00;33 393 786,00;1 445 426,00;4,33
116;2;Кредит Урал Банк;2584;Челябинская обл.;33 897 258,00;32 773 401,00;1 123 857,00;3,43
117;2;Девон-Кредит;1972;Татарстан;33 718 650,00;31 784 257,00;1 934 393,00;6,09
118;3;НС Банк;3124;Москва и обл.;31 910 595,00;31 346 392,00;564 203,00;1,80
119;3;Алмазэргиэнбанк;2602;Саха (Якутия);29 885 630,00;30 322 826,00;-437 196,00;-1,44
120;0;Национальный Стандарт;3421;Москва и обл.;29 871 618,00;31 669 801,00;-1 798 183,00;-5,68
121;2;Квантмобайл Банк;1189;Москва и обл.;29 810 863,00;29 972 000,00;-161 137,00;-0,54
122;3;МС Банк Рус;2789;Москва и обл.;28 429 146,00;27 519 354,00;909 792,00;3,31
123;9;Чайна Констракшн;3515;Москва и обл.;28 241 813,00;24 631 655,00;3 610 158,00;14,66
124;3;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;27 085 102,00;26 852 189,00;232 913,00;0,87
125;-1;Интерпромбанк;3266;Москва и обл.;26 617 589,00;29 695 036,00;-3 077 447,00;-10,36
126;-10;ЦМРБанк;3531;Москва и обл.;26 010 645,00;34 075 391,00;-8 064 746,00;-23,67
127;2;Урал ФД;249;Пермская обл.;25 964 809,00;25 859 460,00;105 349,00;0,41
128;2;Курскпромбанк;735;Курская обл.;25 738 656,00;25 849 358,00;-110 702,00;-0,43
129;6;Акибанк;2587;Татарстан;25 079 735,00;24 336 458,00;743 277,00;3,05
130;7;Хлынов;254;Кировская обл.;24 753 485,00;24 188 725,00;564 760,00;2,33
131;0;Ланта-Банк;1920;Москва и обл.;24 637 967,00;24 923 290,00;-285 323,00;-1,14
132;4;Экономбанк;1319;Саратовская обл.;24 178 922,00;24 295 603,00;-116 681,00;-0,48
133;1;Мерседес-Бенц Банк Рус;3473;Москва и обл.;24 173 892,00;24 468 986,00;-295 094,00;-1,21
134;5;Энергобанк;67;Татарстан;23 854 045,00;23 838 646,00;15 399,00;0,06
135;3;Голдман Сакс Банк;3490;Москва и обл.;23 171 722,00;23 930 863,00;-759 141,00;-3,17
136;-10;Держава;2738;Москва и обл.;23 106 123,00;27 516 008,00;-4 409 885,00;-16,03
137;5;Ури Банк;3479;Москва и обл.;21 382 710,00;20 321 526,00;1 061 184,00;5,22
138;-10;Натиксис Банк;3390;Москва и обл.;21 320 475,00;25 985 270,00;-4 664 795,00;-17,95
139;2;Банк Акцепт;567;Новосибирская обл.;21 017 861,00;20 611 109,00;406 752,00;1,97
140;3;Москоммерцбанк;3365;Москва и обл.;20 822 530,00;20 305 210,00;517 320,00;2,55
141;-1;НБД-Банк;1966;Нижегородская обл.;20 700 454,00;21 237 722,00;-537 268,00;-2,53
142;3;Джей энд Ти Банк;3061;Москва и обл.;20 311 379,00;19 924 056,00;387 323,00;1,94
143;4;Пойдем!;2534;Москва и обл.;20 270 304,00;19 839 065,00;431 239,00;2,17
144;0;Тольяттихимбанк;2507;Самарская обл.;19 530 685,00;20 003 786,00;-473 101,00;-2,37
145;4;Татсоцбанк;480;Татарстан;19 254 629,00;19 049 336,00;205 293,00;1,08
146;0;Агропромкредит;2880;Москва и обл.;19 028 468,00;19 868 964,00;-840 496,00;-4,23
147;5;Кошелев-Банк;3300;Самарская обл.;18 595 885,00;17 994 329,00;601 556,00;3,34
148;16;Ишбанк;2867;Москва и обл.;18 291 201,00;15 205 882,00;3 085 319,00;20,29
149;-1;Денизбанк Москва;3330;Москва и обл.;18 273 305,00;19 508 310,00;-1 235 005,00;-6,33
150;0;Александровский;53;Санкт-Петербург и обл.;17 924 807,00;18 408 735,00;-483 928,00;-2,63
151;0;Липецккомбанк;1242;Липецкая обл.;17 722 410,00;18 172 906,00;-450 496,00;-2,48
152;2;Инбанк;1829;Москва и обл.;17 638 849,00;17 140 810,00;498 039,00;2,91
153;0;Московское Ипотечное Агентство;3344;Москва и обл.;17 461 056,00;17 455 000,00;6 056,00;0,03
154;2;Модульбанк;1927;Костромская обл.;17 386 214,00;16 591 552,00;794 662,00;4,79
155;3;Прио-Внешторгбанк;212;Рязанская обл.;17 254 979,00;16 374 645,00;880 334,00;5,38
156;-1;Алеф-Банк;2119;Москва и обл.;17 239 981,00;17 098 607,00;141 374,00;0,83
157;6;Морской Банк;77;Москва и обл.;17 195 367,00;15 445 353,00;1 750 014,00;11,33
158;40;Инкахран;3454;Москва и обл.;16 951 963,00;9 650 092,00;7 301 871,00;75,67
159;-26;Банк Кредит Свисс;2494;Москва и обл.;16 528 846,00;24 523 757,00;-7 994 911,00;-32,60
160;0;Национальная Факторинговая Компания;3437;Москва и обл.;16 332 623,00;15 807 197,00;525 426,00;3,32
161;1;РосДорБанк;1573;Москва и обл.;16 029 109,00;15 552 781,00;476 328,00;3,06
162;3;Форштадт;2208;Оренбургская обл.;15 994 659,00;15 033 862,00;960 797,00;6,39
163;-4;Развитие-Столица;3013;Москва и обл.;15 977 479,00;16 026 798,00;-49 319,00;-0,31
164;-3;Норвик Банк;902;Кировская обл.;15 944 246,00;15 591 619,00;352 627,00;2,26
165;8;НК Банк;2755;Москва и обл.;14 588 737,00;12 821 261,00;1 767 476,00;13,79
166;1;Собинбанк;1317;Москва и обл.;14 461 325,00;14 425 011,00;36 314,00;0,25
167;2;Финанс Бизнес Банк;520;Москва и обл.;14 187 177,00;14 050 620,00;136 557,00;0,97
168;3;Банк Казани;708;Татарстан;14 021 987,00;13 661 441,00;360 546,00;2,64
169;-3;Гарант-Инвест;2576;Москва и обл.;13 992 340,00;14 534 722,00;-542 382,00;-3,73
170;-2;Национальный Резервный Банк;2170;Москва и обл.;13 931 897,00;14 206 942,00;-275 045,00;-1,94
171;-1;Консервативный Коммерческий Банк;1087;Астраханская обл.;13 773 332,00;13 723 576,00;49 756,00;0,36
172;6;Реалист Банк;1067;Москва и обл.;13 069 990,00;12 266 667,00;803 323,00;6,55
173;13;ЮMoney;3510;Россия;12 919 379,00;11 435 759,00;1 483 620,00;12,97
174;0;КС Банк;1752;Мордовия;12 836 949,00;12 706 037,00;130 912,00;1,03
175;2;НИКО-Банк;702;Оренбургская обл.;12 670 599,00;12 474 799,00;195 800,00;1,57
176;-1;Нижневолжский Коммерческий Банк;931;Саратовская обл.;12 598 573,00;12 518 027,00;80 546,00;0,64
177;4;Банк БКФ;2684;Москва и обл.;12 471 672,00;11 831 106,00;640 566,00;5,41
178;-6;Руснарбанк;3403;Москва и обл.;12 378 057,00;13 171 856,00;-793 799,00;-6,03
179;-3;Промтрансбанк;2638;Башкортостан;12 340 442,00;12 517 459,00;-177 017,00;-1,41
180;3;ТЭМБР-Банк;2764;Москва и обл.;12 135 783,00;11 673 571,00;462 212,00;3,96
181;-2;Чайнасельхозбанк;3529;Москва и обл.;12 121 674,00;11 953 124,00;168 550,00;1,41
182;-2;Банк Оренбург;3269;Оренбургская обл.;12 036 448,00;11 859 458,00;176 990,00;1,49
183;4;КЭБ ЭйчЭнБи Банк;3525;Москва и обл.;12 026 762,00;11 418 265,00;608 497,00;5,33
184;4;Снежинский;1376;Челябинская обл.;11 654 493,00;11 303 531,00;350 962,00;3,10
185;0;Датабанк;646;Удмуртия;11 653 925,00;11 534 039,00;119 886,00;1,04
186;3;Юг-Инвестбанк;2772;Краснодарский край;11 514 251,00;11 254 971,00;259 280,00;2,30
187;-5;Нацинвестпромбанк;3077;Москва и обл.;11 251 252,00;11 808 954,00;-557 702,00;-4,72
188;7;Эс-Би-Ай Банк;3185;Москва и обл.;11 188 087,00;10 079 790,00;1 108 297,00;11,00
189;1;Актив Банк;2529;Мордовия;11 167 027,00;11 254 950,00;-87 923,00;-0,78
190;-6;МБА-Москва;3395;Москва и обл.;11 147 435,00;11 537 912,00;-390 477,00;-3,38
191;10;Морган Стэнли Банк;3456;Москва и обл.;11 140 890,00;8 803 732,00;2 337 158,00;26,55
192;4;РЕСО Кредит;3450;Москва и обл.;10 782 005,00;10 074 770,00;707 235,00;7,02
193;-1;Русьуниверсалбанк;3293;Москва и обл.;10 694 426,00;10 540 809,00;153 617,00;1,46
194;-3;Углеметбанк;2997;Челябинская обл.;10 500 522,00;11 144 090,00;-643 568,00;-5,77
195;2;Банк Жилищного Финансирования;3138;Москва и обл.;10 261 884,00;10 028 746,00;233 138,00;2,32
196;7;Автоторгбанк;2776;Москва и обл.;10 252 791,00;8 410 454,00;1 842 337,00;21,91
197;-3;Солид Банк;1329;Приморский край;10 244 763,00;10 169 243,00;75 520,00;0,74
198;-5;Екатеринбург;3161;Свердловская обл.;10 232 471,00;10 322 242,00;-89 771,00;-0,87
199;1;Энергомашбанк;52;Санкт-Петербург и обл.;9 449 174,00;8 871 604,00;577 570,00;6,51
200;-1;Банк Раунд;2506;Москва и обл.;9 362 737,00;9 357 206,00;5 531,00;0,06
201;1;Томскпромстройбанк;1720;Томская обл.;8 672 606,00;8 657 404,00;15 202,00;0,18
202;2;Нейва;1293;Свердловская обл.;8 523 315,00;8 336 379,00;186 936,00;2,24
203;-46;Данске Банк;3307;Санкт-Петербург и обл.;8 302 240,00;16 550 850,00;-8 248 610,00;-49,84
204;2;Хакасский Муниципальный Банк;1049;Хакасия;8 292 598,00;8 159 818,00;132 780,00;1,63
205;11;Вокбанк;312;Нижегородская обл.;8 207 114,00;7 076 530,00;1 130 584,00;15,98
206;1;Кузнецкбизнесбанк;1158;Кемеровская обл.;8 092 608,00;7 962 935,00;129 673,00;1,63
207;-2;Эксперт Банк;2949;Омская обл.;8 055 140,00;8 210 988,00;-155 848,00;-1,90
208;0;Кранбанк;2271;Ивановская обл.;8 009 578,00;7 867 908,00;141 670,00;1,80
209;4;Ростфинанс;481;Ростовская обл.;7 766 020,00;7 420 732,00;345 288,00;4,65
210;5;Сити Инвест Банк;3194;Санкт-Петербург и обл.;7 724 879,00;7 139 375,00;585 504,00;8,20
211;-1;Московский Нефтехимический Банк;1411;Москва и обл.;7 700 747,00;7 519 401,00;181 346,00;2,41
212;-3;Трансстройбанк;2807;Москва и обл.;7 658 512,00;7 624 232,00;34 280,00;0,45
213;-2;Белгородсоцбанк;760;Белгородская обл.;7 655 798,00;7 507 547,00;148 251,00;1,97
214;0;Зираат Банк;2559;Москва и обл.;7 383 649,00;7 341 346,00;42 303,00;0,58
215;-3;Ю Би Эс Банк;3463;Москва и обл.;7 236 720,00;7 431 068,00;-194 348,00;-2,62
216;1;Северный Народный Банк;2721;Коми;7 113 922,00;7 010 075,00;103 847,00;1,48
217;3;Ставропольпромстройбанк;1288;Ставропольский край;7 090 004,00;6 897 031,00;192 973,00;2,80
218;0;Банк Оранжевый;1659;Санкт-Петербург и обл.;7 082 111,00;7 004 823,00;77 288,00;1,10
219;2;Сибсоцбанк;2015;Алтайский край;7 014 676,00;6 896 722,00;117 954,00;1,71
220;15;Индустриальный Сберегательный Банк;3175;Москва и обл.;6 971 770,00;6 161 696,00;810 074,00;13,15
221;-2;Нефтепромбанк;2156;Москва и обл.;6 885 806,00;6 978 197,00;-92 391,00;-1,32
222;3;Черноморский банк развития и реконструкции;3527;Симферополь;6 815 628,00;6 622 259,00;193 369,00;2,92
223;9;Проминвестбанк;2433;Москва и обл.;6 797 843,00;6 401 192,00;396 651,00;6,20
224;6;Агророс;2860;Саратовская обл.;6 762 791,00;6 425 761,00;337 030,00;5,24
225;-1;Новобанк;1352;Новгородская обл.;6 749 560,00;6 663 865,00;85 695,00;1,29
226;-4;Гута-Банк;256;Москва и обл.;6 725 294,00;6 896 613,00;-171 319,00;-2,48
227;4;Славия;2664;Москва и обл.;6 621 889,00;6 415 713,00;206 176,00;3,21
228;-2;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;6 611 777,00;6 586 182,00;25 595,00;0,39
229;-1;СИАБ;3245;Санкт-Петербург и обл.;6 507 720,00;6 496 498,00;11 222,00;0,17
230;3;Венец;524;Ульяновская обл.;6 500 643,00;6 321 962,00;178 681,00;2,83
231;-4;Земский Банк;2900;Самарская обл.;6 492 163,00;6 517 735,00;-25 572,00;-0,39
232;-3;Кузнецкий;609;Пензенская обл.;6 478 511,00;6 444 286,00;34 225,00;0,53
233;4;Автоградбанк;1455;Татарстан;6 384 743,00;6 140 877,00;243 866,00;3,97
234;0;ФорБанк;2063;Москва и обл.;6 337 773,00;6 225 251,00;112 522,00;1,81
235;1;Финам Банк;2799;Москва и обл.;6 314 088,00;6 155 652,00;158 436,00;2,57
236;2;Енисейский Объединенный Банк;2645;Красноярский край;5 870 354,00;6 035 436,00;-165 082,00;-2,74
237;4;Альба Альянс;2593;Москва и обл.;5 851 094,00;5 797 851,00;53 243,00;0,92
238;5;Кубаньторгбанк;478;Краснодарский край;5 838 365,00;5 775 602,00;62 763,00;1,09
239;3;Русь;704;Оренбургская обл.;5 823 931,00;5 779 396,00;44 535,00;0,77
240;0;Газтрансбанк;665;Краснодарский край;5 802 138,00;5 841 510,00;-39 372,00;-0,67
241;3;Муниципальный Камчатпрофитбанк;2103;Камчатская обл.;5 663 897,00;5 663 704,00;193,00;0,00
242;3;Зенит Сочи;232;Краснодарский край;5 570 003,00;5 417 992,00;152 011,00;2,81
243;3;Итуруп;2390;Сахалинская обл.;5 514 214,00;5 399 535,00;114 679,00;2,12
244;-5;Азия-Инвест Банк;3303;Москва и обл.;5 359 630,00;5 945 731,00;-586 101,00;-9,86
245;2;Москва-Сити;3247;Москва и обл.;5 174 902,00;5 349 657,00;-174 755,00;-3,27
246;2;Нэклис-Банк;1671;Москва и обл.;4 995 851,00;5 050 158,00;-54 307,00;-1,08
247;2;Стройлесбанк;2995;Тюменская обл.;4 986 896,00;4 900 483,00;86 413,00;1,76
248;7;Платина;2347;Москва и обл.;4 915 131,00;4 549 443,00;365 688,00;8,04
249;2;Икано Банк;3519;Москва и обл.;4 830 979,00;4 809 940,00;21 039,00;0,44
250;3;Роял Кредит Банк;783;Приморский край;4 767 653,00;4 681 078,00;86 575,00;1,85
251;6;Крокус-Банк;2682;Москва и обл.;4 715 683,00;4 469 002,00;246 681,00;5,52
252;10;Заубер Банк;1614;Санкт-Петербург и обл.;4 593 583,00;4 159 377,00;434 206,00;10,44
253;3;Чувашкредитпромбанк;1280;Чувашия;4 584 082,00;4 543 292,00;40 790,00;0,90
254;4;НОКССбанк;3202;Волгоградская обл.;4 573 037,00;4 362 048,00;210 989,00;4,84
255;-3;Севастопольский Морской Банк;3528;Севастополь;4 545 771,00;4 718 344,00;-172 573,00;-3,66
256;-2;Горбанк;2982;Санкт-Петербург и обл.;4 514 206,00;4 575 686,00;-61 480,00;-1,34
257;-7;Банк ПСА Финанс Рус;3481;Москва и обл.;4 465 006,00;4 893 637,00;-428 631,00;-8,76
258;1;Мегаполис;3265;Чувашия;4 443 123,00;4 335 706,00;107 417,00;2,48
259;1;Камский Коммерческий Банк;438;Татарстан;4 379 678,00;4 321 311,00;58 367,00;1,35
260;1;Донкомбанк;492;Ростовская обл.;4 125 648,00;4 223 804,00;-98 156,00;-2,32
