Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2015, тыс. рублей;Октябрь, 2015, тыс. рублей;Изменение, тыс. рублей;Изменение, %
31;-3;МДМ Банк;2562;Москва и обл.;340 662 169,00;352 106 395,00;-11 444 226,00;-3,25
32;0;Югра;880;Ханты-Мансийский АО — Югра;326 189 742,00;315 241 600,00;10 948 142,00;3,47
33;2;СМП Банк;3368;Москва и обл.;325 119 047,00;299 363 805,00;25 755 242,00;8,60
34;2;Банк Зенит;3255;Москва и обл.;298 778 147,00;285 838 355,00;12 939 792,00;4,53
35;-2;Глобэкс;1942;Москва и обл.;291 083 783,00;300 077 075,00;-8 993 292,00;-3,00
36;-2;Новикомбанк;2546;Москва и обл.;278 008 383,00;299 843 698,00;-21 835 315,00;-7,28
37;1;Хоум Кредит Банк;316;Москва и обл.;268 960 106,00;272 363 459,00;-3 403 353,00;-1,25
38;-1;Внешпромбанк;3261;Москва и обл.;267 786 859,00;276 070 291,00;-8 283 432,00;-3,00
39;0;Абсолют Банк;2306;Москва и обл.;260 339 919,00;259 524 105,00;815 814,00;0,31
40;0;Банк ДОМ.РФ;2312;Москва и обл.;229 566 907,00;257 143 127,00;-27 576 220,00;-10,72
41;0;Восточный Банк;1460;Амурская обл.;222 474 019,00;227 193 003,00;-4 718 984,00;-2,08
42;3;Транскапиталбанк;2210;Москва и обл.;219 191 130,00;184 168 848,00;35 022 282,00;19,02
43;0;Московский Индустриальный Банк;912;Москва и обл.;217 611 831,00;213 442 224,00;4 169 607,00;1,95
44;-2;Возрождение;1439;Москва и обл.;216 864 085,00;217 672 944,00;-808 859,00;-0,37
45;-1;Татфондбанк;3058;Татарстан;199 265 512,00;190 138 092,00;9 127 420,00;4,80
46;0;МТС Банк;2268;Москва и обл.;171 600 807,00;173 346 829,00;-1 746 022,00;-1,01
47;1;Пересвет;2110;Москва и обл.;170 117 185,00;166 868 652,00;3 248 533,00;1,95
48;-1;ОТП Банк;2766;Москва и обл.;168 333 602,00;169 405 081,00;-1 071 479,00;-0,63
49;0;РосЕвроБанк;3137;Москва и обл.;155 629 455,00;157 652 395,00;-2 022 940,00;-1,28
50;3;ДельтаКредит;3338;Москва и обл.;153 243 671,00;144 138 051,00;9 105 620,00;6,32
51;-1;Кредит Европа Банк;3311;Москва и обл.;151 448 658,00;153 491 263,00;-2 042 605,00;-1,33
52;-1;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;150 064 089,00;149 073 327,00;990 762,00;0,66
53;-1;МСП Банк;3340;Москва и обл.;143 475 054,00;145 433 507,00;-1 958 453,00;-1,35
54;0;Ренессанс Кредит;3354;Москва и обл.;142 763 290,00;143 079 111,00;-315 821,00;-0,22
55;0;Тинькофф Банк;2673;Москва и обл.;142 355 306,00;139 406 292,00;2 949 014,00;2,12
56;4;РГС Банк;3073;Москва и обл.;138 603 781,00;125 510 751,00;13 093 030,00;10,43
57;1;Авангард;2879;Москва и обл.;136 486 539,00;134 246 706,00;2 239 833,00;1,67
58;-1;Национальный Расчетный Депозитарий;3294;Москва и обл.;132 887 294,00;138 514 802,00;-5 627 508,00;-4,06
59;3;Инвестторгбанк;2763;Москва и обл.;128 295 851,00;118 620 712,00;9 675 139,00;8,16
60;-4;СКБ-Банк;705;Свердловская обл.;126 876 657,00;138 597 953,00;-11 721 296,00;-8,46
61;3;Экспресс-Волга;3085;Саратовская обл.;123 270 497,00;114 655 388,00;8 615 109,00;7,51
62;-1;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;121 769 732,00;125 424 859,00;-3 655 127,00;-2,91
63;-4;Международный Финансовый Клуб;2618;Москва и обл.;116 143 295,00;129 556 863,00;-13 413 568,00;-10,35
64;1;Русфинанс Банк;1792;Самарская обл.;108 913 766,00;108 870 647,00;43 119,00;0,04
65;1;Сетелем Банк;2168;Москва и обл.;105 375 986,00;107 236 193,00;-1 860 207,00;-1,73
66;-3;БНП Париба Банк;3407;Москва и обл.;102 853 062,00;115 868 864,00;-13 015 802,00;-11,23
67;4;ЦентроКредит;121;Москва и обл.;101 285 019,00;97 488 822,00;3 796 197,00;3,89
68;0;Запсибкомбанк;918;Тюменская обл.;99 697 588,00;100 264 605,00;-567 017,00;-0,57
69;-2;Локо-Банк;2707;Москва и обл.;98 893 537,00;101 359 542,00;-2 466 005,00;-2,43
70;-1;Интеркоммерц Банк;1657;Москва и обл.;98 355 159,00;99 025 510,00;-670 351,00;-0,68
71;-1;Балтийский Банк;128;Санкт-Петербург и обл.;97 497 645,00;97 881 106,00;-383 461,00;-0,39
72;0;Союз;2307;Москва и обл.;93 403 820,00;94 540 417,00;-1 136 597,00;-1,20
73;2;Центр-инвест;2225;Ростовская обл.;91 094 813,00;91 210 038,00;-115 225,00;-0,13
74;-1;Банк БФА;3038;Санкт-Петербург и обл.;89 998 257,00;93 656 498,00;-3 658 241,00;-3,91
75;2;РосинтерБанк;226;Москва и обл.;88 127 846,00;87 048 729,00;1 079 117,00;1,24
76;-2;Дойче Банк;3328;Москва и обл.;86 714 970,00;91 293 292,00;-4 578 322,00;-5,01
77;-1;Всероссийский Банк Развития Регионов;3287;Москва и обл.;82 682 742,00;89 640 999,00;-6 958 257,00;-7,76
78;4;Таврический Банк;2304;Санкт-Петербург и обл.;80 777 447,00;78 620 527,00;2 156 920,00;2,74
79;1;Бинбанк Диджитал;2827;Москва и обл.;80 262 653,00;79 047 935,00;1 214 718,00;1,54
80;1;Банк Интеза;2216;Москва и обл.;78 208 086,00;78 699 214,00;-491 128,00;-0,62
81;-2;Балтинвестбанк;3176;Санкт-Петербург и обл.;76 663 031,00;80 212 470,00;-3 549 439,00;-4,43
82;4;Военно-Промышленный Банк;3065;Москва и обл.;72 917 448,00;71 627 277,00;1 290 171,00;1,80
83;-5;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;71 290 911,00;83 636 336,00;-12 345 425,00;-14,76
84;3;Банк Финсервис;3388;Москва и обл.;71 041 835,00;69 701 200,00;1 340 635,00;1,92
85;17;Бэнк оф Чайна;2309;Москва и обл.;70 151 286,00;52 130 705,00;18 020 581,00;34,57
86;2;Почта Банк;650;Москва и обл.;70 116 483,00;68 398 724,00;1 717 759,00;2,51
87;-2;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;67 484 379,00;71 805 828,00;-4 321 449,00;-6,02
88;-4;Металлинвестбанк;2440;Москва и обл.;67 357 298,00;74 805 012,00;-7 447 714,00;-9,96
89;8;АйСиБиСи Банк;3475;Москва и обл.;65 284 268,00;55 028 481,00;10 255 787,00;18,64
90;0;Кубань Кредит;2518;Краснодарский край;63 595 266,00;61 702 320,00;1 892 946,00;3,07
91;4;РНКБ;1354;Симферополь;63 083 561,00;57 356 413,00;5 727 148,00;9,99
92;0;БФГ-Кредит;3068;Москва и обл.;63 001 541,00;60 691 460,00;2 310 081,00;3,81
93;-4;Экспобанк;2998;Москва и обл.;62 672 090,00;64 794 349,00;-2 122 259,00;-3,28
94;0;Аверс;415;Татарстан;61 695 001,00;57 390 620,00;4 304 381,00;7,50
95;-12;Нота-Банк;2913;Москва и обл.;59 929 930,00;76 126 179,00;-16 196 249,00;-21,28
96;-3;Образование;1521;Москва и обл.;58 638 045,00;58 586 080,00;51 965,00;0,09
97;-6;Финпромбанк (ФПБ Банк);2157;Москва и обл.;56 857 531,00;60 760 012,00;-3 902 481,00;-6,42
98;-2;Росэнергобанк;2211;Москва и обл.;56 215 589,00;56 959 523,00;-743 934,00;-1,31
99;-1;Юниаструм Банк;2771;Москва и обл.;55 348 522,00;54 847 589,00;500 933,00;0,91
100;-1;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;53 761 679,00;53 780 932,00;-19 253,00;-0,04
101;5;Национальный Стандарт;3421;Москва и обл.;51 762 265,00;50 134 141,00;1 628 124,00;3,25
102;1;Первобанк;3461;Самарская обл.;51 225 906,00;51 038 593,00;187 313,00;0,37
103;2;Межтопэнергобанк;2956;Москва и обл.;50 356 742,00;50 298 569,00;58 173,00;0,12
104;0;Тойота Банк;3470;Москва и обл.;50 088 826,00;50 967 258,00;-878 432,00;-1,72
105;-4;Коммерцбанк (Евразия);3333;Москва и обл.;49 248 618,00;52 407 051,00;-3 158 433,00;-6,03
106;1;Фора-Банк;1885;Москва и обл.;47 961 138,00;48 606 950,00;-645 812,00;-1,33
107;3;РН Банк;170;Москва и обл.;45 813 455,00;44 947 529,00;865 926,00;1,93
108;0;СДМ-Банк;1637;Москва и обл.;45 311 413,00;46 653 872,00;-1 342 459,00;-2,88
109;0;МБА-Москва;3395;Москва и обл.;45 201 698,00;46 539 149,00;-1 337 451,00;-2,87
110;11;Банк РСБ 24 (Русславбанк);1073;Москва и обл.;45 011 567,00;39 511 983,00;5 499 584,00;13,92
111;0;Газэнергобанк;3252;Калужская обл.;44 994 451,00;44 424 421,00;570 030,00;1,28
112;-12;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;43 559 444,00;53 429 440,00;-9 869 996,00;-18,47
113;-1;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;43 206 706,00;42 851 057,00;355 649,00;0,83
114;15;БКС Банк;101;Новосибирская обл.;42 678 717,00;37 223 424,00;5 455 293,00;14,66
115;-2;ББР Банк;2929;Москва и обл.;42 554 582,00;42 222 499,00;332 083,00;0,79
116;-2;Челиндбанк;485;Челябинская обл.;41 593 908,00;41 605 623,00;-11 715,00;-0,03
117;3;Интерпрогрессбанк;600;Москва и обл.;41 270 725,00;39 758 523,00;1 512 202,00;3,80
118;-1;Челябинвестбанк;493;Челябинская обл.;40 477 120,00;41 071 724,00;-594 604,00;-1,45
119;0;Примсоцбанк;2733;Приморский край;40 446 556,00;40 544 289,00;-97 733,00;-0,24
120;-5;Крайинвестбанк;3360;Краснодарский край;39 762 217,00;41 244 481,00;-1 482 264,00;-3,59
121;5;Левобережный;1343;Новосибирская обл.;38 529 092,00;38 363 800,00;165 292,00;0,43
122;3;НС Банк;3124;Москва и обл.;37 467 011,00;38 731 348,00;-1 264 337,00;-3,26
123;1;Русский Международный Банк;3123;Москва и обл.;37 270 677,00;38 844 202,00;-1 573 525,00;-4,05
124;8;Росэксимбанк;2790;Москва и обл.;36 876 547,00;34 903 835,00;1 972 712,00;5,65
125;-2;ПЧРБ Банк;3291;Москва и обл.;36 725 130,00;39 070 788,00;-2 345 658,00;-6,00
126;-4;Фольксваген Банк Рус;3500;Москва и обл.;36 491 104,00;39 438 124,00;-2 947 020,00;-7,47
127;3;Саровбизнесбанк;2048;Нижегородская обл.;36 451 025,00;36 203 541,00;247 484,00;0,68
128;-1;Интерпромбанк;3266;Москва и обл.;35 491 459,00;38 170 075,00;-2 678 616,00;-7,02
129;4;Банк «Советский»;558;Санкт-Петербург и обл.;35 125 963,00;34 388 584,00;737 379,00;2,14
130;1;Еврофинанс Моснарбанк;2402;Москва и обл.;35 018 385,00;35 029 533,00;-11 148,00;-0,03
131;-13;Меткомбанк (Череповец);901;Вологодская обл.;34 973 360,00;41 045 732,00;-6 072 372,00;-14,79
132;-4;Кольцо Урала;65;Свердловская обл.;34 716 650,00;37 312 640,00;-2 595 990,00;-6,96
133;-17;Русстройбанк;3205;Москва и обл.;33 989 405,00;41 139 735,00;-7 150 330,00;-17,38
134;1;Собинбанк;1317;Москва и обл.;31 938 434,00;33 340 731,00;-1 402 297,00;-4,21
135;4;Кедр;1574;Красноярский край;31 912 307,00;31 894 825,00;17 482,00;0,05
136;1;М2М Прайвет Банк;1414;Москва и обл.;31 841 132,00;32 823 479,00;-982 347,00;-2,99
137;3;Держава;2738;Москва и обл.;31 653 795,00;31 816 475,00;-162 680,00;-0,51
138;0;Севергазбанк;2816;Вологодская обл.;31 332 172,00;32 471 045,00;-1 138 873,00;-3,51
139;2;Приморье;3001;Приморский край;30 429 956,00;31 193 647,00;-763 691,00;-2,45
140;18;Кредит Урал Банк;2584;Челябинская обл.;30 095 533,00;26 112 317,00;3 983 216,00;15,25
141;2;Интехбанк;2705;Татарстан;29 836 071,00;30 491 623,00;-655 552,00;-2,15
142;0;БыстроБанк;1745;Удмуртия;29 553 978,00;30 565 424,00;-1 011 446,00;-3,31
143;4;Мерседес-Бенц Банк Рус;3473;Москва и обл.;29 398 060,00;29 780 560,00;-382 500,00;-1,28
144;1;Дальневосточный Банк;843;Приморский край;29 155 250,00;30 022 882,00;-867 632,00;-2,89
145;8;Экспо Финанс;2594;Москва и обл.;28 515 440,00;27 214 524,00;1 300 916,00;4,78
146;-2;Тольяттихимбанк;2507;Самарская обл.;28 336 092,00;30 440 783,00;-2 104 691,00;-6,91
147;4;АйМаниБанк;1975;Москва и обл.;28 286 967,00;27 523 963,00;763 004,00;2,77
148;-14;Московское Ипотечное Агентство;3344;Москва и обл.;28 111 004,00;33 822 368,00;-5 711 364,00;-16,89
149;5;ОФК Банк;2270;Москва и обл.;27 738 062,00;27 163 971,00;574 091,00;2,11
150;-2;Связной Банк;1961;Москва и обл.;27 493 583,00;29 265 697,00;-1 772 114,00;-6,06
151;1;Газбанк;2316;Самарская обл.;27 391 553,00;27 399 518,00;-7 965,00;-0,03
152;-2;Модульбанк;1927;Костромская обл.;26 712 618,00;28 031 973,00;-1 319 355,00;-4,71
153;-7;Натиксис Банк;3390;Москва и обл.;26 692 015,00;29 905 059,00;-3 213 044,00;-10,74
154;1;Москоммерцбанк;3365;Москва и обл.;26 484 887,00;26 708 751,00;-223 864,00;-0,84
155;4;Липецккомбанк;1242;Липецкая обл.;26 140 013,00;26 004 263,00;135 750,00;0,52
156;0;Девон-Кредит;1972;Татарстан;26 068 902,00;26 666 792,00;-597 890,00;-2,24
157;0;Акибанк;2587;Татарстан;25 816 471,00;26 425 486,00;-609 015,00;-2,30
158;-9;Балтика;967;Москва и обл.;25 430 195,00;28 673 720,00;-3 243 525,00;-11,31
159;2;АктивКапитал Банк;3006;Самарская обл.;25 296 686,00;25 272 509,00;24 177,00;0,10
160;4;Объединенный Капитал;2611;Санкт-Петербург и обл.;25 213 995,00;24 848 805,00;365 190,00;1,47
161;1;Тимер Банк;1581;Татарстан;25 043 007,00;25 233 344,00;-190 337,00;-0,75
162;9;Квантмобайл Банк;1189;Москва и обл.;24 842 971,00;22 784 845,00;2 058 126,00;9,03
163;4;Легион;3117;Москва и обл.;24 474 786,00;24 176 233,00;298 553,00;1,23
164;-4;Генбанк;2490;Москва и обл.;24 115 978,00;25 398 367,00;-1 282 389,00;-5,05
165;0;Агропромкредит;2880;Москва и обл.;24 077 541,00;24 674 494,00;-596 953,00;-2,42
166;8;Платежный Центр;3166;Новосибирская обл.;23 849 115,00;22 276 247,00;1 572 868,00;7,06
167;3;Урал ФД;249;Пермская обл.;23 527 249,00;22 948 316,00;578 933,00;2,52
168;0;Алмазэргиэнбанк;2602;Саха (Якутия);23 068 713,00;23 300 394,00;-231 681,00;-0,99
169;-3;Ишбанк;2867;Москва и обл.;22 572 815,00;24 225 700,00;-1 652 885,00;-6,82
170;3;Солидарность;554;Самарская обл.;22 372 873,00;22 366 242,00;6 631,00;0,03
171;1;СтарБанк;548;Москва и обл.;22 144 298,00;22 384 801,00;-240 503,00;-1,07
172;-3;Спурт Банк;2207;Татарстан;21 799 679,00;22 968 004,00;-1 168 325,00;-5,09
173;2;Ланта-Банк;1920;Москва и обл.;21 625 333,00;22 038 944,00;-413 611,00;-1,88
174;10;СЭБ Банк;3235;Санкт-Петербург и обл.;21 444 025,00;20 350 276,00;1 093 749,00;5,37
175;1;Альта-Банк;2269;Москва и обл.;21 300 371,00;22 004 731,00;-704 360,00;-3,20
176;-13;Морской Банк;77;Москва и обл.;20 861 699,00;24 956 373,00;-4 094 674,00;-16,41
177;0;ФИА-Банк;2542;Самарская обл.;20 772 732,00;21 496 952,00;-724 220,00;-3,37
178;11;Социнвестбанк;1132;Башкортостан;20 374 153,00;19 175 458,00;1 198 695,00;6,25
179;2;Энергобанк;67;Татарстан;20 334 439,00;20 482 910,00;-148 471,00;-0,72
180;-1;Нацинвестпромбанк;3077;Москва и обл.;20 190 328,00;20 952 021,00;-761 693,00;-3,64
181;2;НБД-Банк;1966;Нижегородская обл.;20 033 871,00;20 397 837,00;-363 966,00;-1,78
182;3;Энерготрансбанк;1307;Калининградская обл.;19 966 921,00;20 282 746,00;-315 825,00;-1,56
183;-5;Банк Город;2644;Москва и обл.;19 813 656,00;21 016 716,00;-1 203 060,00;-5,72
184;4;БМВ Банк;3482;Москва и обл.;19 730 813,00;19 193 048,00;537 765,00;2,80
185;7;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;19 684 207,00;18 626 760,00;1 057 447,00;5,68
186;-6;Морган Стэнли Банк;3456;Москва и обл.;19 610 111,00;20 765 900,00;-1 155 789,00;-5,57
187;-5;Чайна Констракшн;3515;Москва и обл.;19 193 240,00;20 452 058,00;-1 258 818,00;-6,15
188;2;Курскпромбанк;735;Курская обл.;19 154 935,00;19 075 444,00;79 491,00;0,42
189;-53;Банк Кредит Свисс;2494;Москва и обл.;19 074 554,00;32 904 989,00;-13 830 435,00;-42,03
190;27;ВУЗ-Банк;1557;Свердловская обл.;19 055 362,00;14 922 434,00;4 132 928,00;27,70
191;36;Инвестиционный Республиканский Банк;2571;Москва и обл.;18 871 336,00;13 129 363,00;5 741 973,00;43,73
192;-6;Денизбанк Москва;3330;Москва и обл.;18 160 913,00;20 086 867,00;-1 925 954,00;-9,59
193;1;Рублев;3098;Москва и обл.;17 924 929,00;18 386 523,00;-461 594,00;-2,51
194;17;Национальный Резервный Банк;2170;Москва и обл.;17 914 040,00;15 406 492,00;2 507 548,00;16,28
195;-2;Алеф-Банк;2119;Москва и обл.;17 855 091,00;18 575 306,00;-720 215,00;-3,88
196;2;Хлынов;254;Кировская обл.;16 989 272,00;16 724 827,00;264 445,00;1,58
197;-1;Развитие-Столица;3013;Москва и обл.;16 681 973,00;17 099 357,00;-417 384,00;-2,44
198;-11;Ури Банк;3479;Москва и обл.;16 392 333,00;20 065 412,00;-3 673 079,00;-18,31
199;2;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;16 208 759,00;16 370 487,00;-161 728,00;-0,99
200;-1;Джей энд Ти Банк;3061;Москва и обл.;16 042 990,00;16 493 560,00;-450 570,00;-2,73
201;1;Уралтрансбанк;812;Свердловская обл.;15 990 305,00;15 887 855,00;102 450,00;0,64
202;-5;Данске Банк;3307;Санкт-Петербург и обл.;15 973 176,00;16 761 758,00;-788 582,00;-4,70
203;-12;Расчетно-Кредитный Банк;103;Москва и обл.;15 963 646,00;18 762 667,00;-2 799 021,00;-14,92
204;5;Форштадт;2208;Оренбургская обл.;15 639 135,00;15 457 366,00;181 769,00;1,18
205;0;Гарант-Инвест;2576;Москва и обл.;15 604 642,00;15 779 830,00;-175 188,00;-1,11
206;6;Центркомбанк;2983;Москва и обл.;15 481 765,00;15 347 802,00;133 963,00;0,87
207;-7;Русский Ипотечный Банк;1968;Москва и обл.;15 480 669,00;16 427 591,00;-946 922,00;-5,76
208;5;Норвик Банк;902;Кировская обл.;15 382 785,00;15 282 634,00;100 151,00;0,66
209;-1;РосДорБанк;1573;Москва и обл.;15 315 049,00;15 509 497,00;-194 448,00;-1,25
210;-3;Росавтобанк;2767;Москва и обл.;15 267 543,00;15 587 842,00;-320 299,00;-2,05
211;-5;Гранд Инвест Банк;3053;Москва и обл.;15 222 184,00;15 779 542,00;-557 358,00;-3,53
212;2;Тройка-Д Банк;3431;Москва и обл.;15 020 894,00;15 206 074,00;-185 180,00;-1,22
213;-18;Аресбанк;2914;Москва и обл.;14 977 922,00;17 113 776,00;-2 135 854,00;-12,48
214;-4;Темпбанк;55;Москва и обл.;14 931 260,00;15 435 164,00;-503 904,00;-3,26
215;0;ТЭМБР-Банк;2764;Москва и обл.;14 744 297,00;15 104 651,00;-360 354,00;-2,39
216;4;Бенифит-Банк;3229;Москва и обл.;14 623 273,00;14 623 273,00;0,00;0
217;-14;НК Банк;2755;Москва и обл.;14 622 339,00;15 821 231,00;-1 198 892,00;-7,58
218;0;Банк Акцепт;567;Новосибирская обл.;14 600 025,00;14 828 485,00;-228 460,00;-1,54
219;3;ГПБ-Ипотека;2403;Москва и обл.;13 957 944,00;14 107 436,00;-149 492,00;-1,06
220;1;БайкалБанк;2632;Бурятия;13 830 827,00;14 532 215,00;-701 388,00;-4,83
221;-5;Дил-Банк;3384;Москва и обл.;13 722 535,00;14 971 777,00;-1 249 242,00;-8,34
222;3;Пойдем!;2534;Москва и обл.;13 488 398,00;13 224 668,00;263 730,00;1,99
223;9;Нефтяной Альянс;2859;Москва и обл.;13 082 024,00;12 588 604,00;493 420,00;3,92
224;7;Финансовый Стандарт;1053;Москва и обл.;12 904 866,00;12 669 608,00;235 258,00;1,86
225;-1;Инбанк;1829;Москва и обл.;12 720 048,00;13 324 401,00;-604 353,00;-4,54
226;9;Татсоцбанк;480;Татарстан;12 631 391,00;12 358 936,00;272 455,00;2,20
227;6;Прио-Внешторгбанк;212;Рязанская обл.;12 617 363,00;12 567 147,00;50 216,00;0,40
228;1;Международный Акционерный Банк;1987;Москва и обл.;12 531 122,00;12 820 969,00;-289 847,00;-2,26
229;11;Агросоюз;1459;Москва и обл.;12 482 446,00;11 978 402,00;504 044,00;4,21
230;21;Русьуниверсалбанк;3293;Москва и обл.;12 459 788,00;10 834 159,00;1 625 629,00;15,00
231;7;Солидарность (Москва);1555;Москва и обл.;12 195 754,00;12 131 111,00;64 643,00;0,53
232;-4;ЕвроситиБанк;1869;Москва и обл.;12 024 520,00;13 107 801,00;-1 083 281,00;-8,26
233;8;Объединенный Кредитный Банк;1118;Ярославская обл.;11 985 534,00;11 615 544,00;369 990,00;3,19
234;2;Солид Банк;1329;Камчатская обл.;11 899 226,00;12 140 502,00;-241 276,00;-1,99
235;-1;Национальная Факторинговая Компания;3437;Москва и обл.;11 786 160,00;12 543 644,00;-757 484,00;-6,04
236;14;КС Банк;1752;Мордовия;11 565 364,00;10 939 875,00;625 489,00;5,72
237;-7;Автоторгбанк;2776;Москва и обл.;11 539 139,00;12 678 954,00;-1 139 815,00;-8,99
238;8;Банк на Гончарной (бывш. Япы Креди Банк Москва);2555;Москва и обл.;11 442 117,00;11 376 593,00;65 524,00;0,58
239;-2;Развитие;2729;Карачаево-Черкесия;11 368 946,00;12 135 344,00;-766 398,00;-6,32
240;4;Первомайский;518;Краснодарский край;11 322 284,00;11 407 007,00;-84 723,00;-0,74
241;-22;Стратегия;2801;Москва и обл.;11 309 841,00;14 789 482,00;-3 479 641,00;-23,53
242;7;Ренессанс;1939;Москва и обл.;11 245 486,00;11 066 945,00;178 541,00;1,61
243;15;Банк Жилищного Финансирования;3138;Москва и обл.;11 003 288,00;10 491 867,00;511 421,00;4,87
244;9;Арксбанк;1868;Москва и обл.;10 983 934,00;10 811 919,00;172 015,00;1,59
245;-6;Гаранти Банк — Москва;3275;Москва и обл.;10 857 164,00;12 088 368,00;-1 231 204,00;-10,19
246;-4;Унифин;2654;Москва и обл.;10 810 305,00;11 510 062,00;-699 757,00;-6,08
247;1;Хованский;2145;Москва и обл.;10 790 392,00;11 080 103,00;-289 711,00;-2,61
248;6;Нижневолжский Коммерческий Банк;931;Саратовская обл.;10 772 148,00;10 733 522,00;38 626,00;0,36
249;3;Русский Торговый Банк;2842;Москва и обл.;10 727 371,00;10 831 834,00;-104 463,00;-0,96
250;-24;Российская Финансовая Корпорация;3099;Москва и обл.;10 719 727,00;13 195 544,00;-2 475 817,00;-18,76
251;-6;Александровский;53;Санкт-Петербург и обл.;10 705 610,00;11 379 354,00;-673 744,00;-5,92
252;13;Киви Банк;2241;Москва и обл.;10 705 406,00;9 617 205,00;1 088 201,00;11,32
253;3;Промтрансбанк;2638;Башкортостан;10 594 146,00;10 575 464,00;18 682,00;0,18
254;1;Банк Оренбург;3269;Оренбургская обл.;10 586 356,00;10 596 709,00;-10 353,00;-0,10
255;6;НИКО-Банк;702;Оренбургская обл.;10 521 929,00;10 289 070,00;232 859,00;2,26
256;4;СИАБ;3245;Санкт-Петербург и обл.;10 442 638,00;10 305 069,00;137 569,00;1,33
