Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Январь, 2011, тыс. рублей;Декабрь, 2010, тыс. рублей;Изменение, тыс. рублей;Изменение, %
111;4;СДМ-Банк;1637;Москва и обл.;25 726 845,00;23 043 431,00;2 683 414,00;11,65
112;0;Далькомбанк;84;Хабаровский край;25 508 982,00;23 820 552,00;1 688 430,00;7,09
113;6;Интерпромбанк;3266;Москва и обл.;25 453 872,00;22 501 064,00;2 952 808,00;13,12
114;-3;Севергазбанк;2816;Вологодская обл.;25 045 288,00;23 935 468,00;1 109 820,00;4,64
115;-8;Акибанк;2587;Татарстан;24 397 845,00;25 446 249,00;-1 048 404,00;-4,12
116;-3;Крайинвестбанк;3360;Краснодарский край;24 335 850,00;23 703 228,00;632 622,00;2,67
117;0;Первый Республиканский Банк;1730;Москва и обл.;23 774 734,00;22 731 860,00;1 042 874,00;4,59
118;2;Экспресс-Волга;3085;Саратовская обл.;23 627 043,00;22 475 877,00;1 151 166,00;5,12
119;-5;Газбанк;2316;Самарская обл.;23 296 848,00;23 652 857,00;-356 009,00;-1,51
120;2;Русский Международный Банк;3123;Москва и обл.;23 011 805,00;21 715 612,00;1 296 193,00;5,97
121;3;Тройка-Д Банк;3431;Москва и обл.;22 695 149,00;20 495 858,00;2 199 291,00;10,73
122;-1;Приморье;3001;Приморский край;22 176 932,00;22 090 515,00;86 417,00;0,39
123;8;АМБ Банк;3036;Москва и обл.;21 906 686,00;18 924 658,00;2 982 028,00;15,76
124;3;Липецккомбанк;1242;Липецкая обл.;21 354 128,00;19 506 444,00;1 847 684,00;9,47
125;3;Межтопэнергобанк;2956;Москва и обл.;21 187 801,00;19 483 938,00;1 703 863,00;8,74
126;-1;Кредит Урал Банк;2584;Челябинская обл.;21 133 137,00;19 950 083,00;1 183 054,00;5,93
127;21;Банк Кредит Свисс;2494;Москва и обл.;21 065 035,00;16 571 341,00;4 493 694,00;27,12
128;-5;М2М Прайвет Банк;1414;Москва и обл.;21 050 425,00;20 726 037,00;324 388,00;1,57
129;1;Девон-Кредит;1972;Татарстан;20 787 871,00;19 326 191,00;1 461 680,00;7,56
130;-4;Банк АВБ;23;Самарская обл.;20 769 200,00;19 870 879,00;898 321,00;4,52
131;4;Агропромкредит;2880;Москва и обл.;20 555 662,00;18 524 799,00;2 030 863,00;10,96
132;18;Интеркоммерц Банк;1657;Москва и обл.;20 339 284,00;16 474 095,00;3 865 189,00;23,46
133;-24;Меткомбанк (Череповец);901;Вологодская обл.;20 048 608,00;24 169 764,00;-4 121 156,00;-17,05
134;29;Стройкредит;18;Москва и обл.;19 331 673,00;13 897 953,00;5 433 720,00;39,10
135;-25;Саровбизнесбанк;2048;Нижегородская обл.;19 306 420,00;23 941 400,00;-4 634 980,00;-19,36
136;-2;Фора-Банк;1885;Москва и обл.;19 103 638,00;18 562 364,00;541 274,00;2,92
137;-4;ГПБ-Ипотека;2403;Москва и обл.;18 876 251,00;18 831 603,00;44 648,00;0,24
138;-1;Примсоцбанк;2733;Приморский край;18 685 932,00;18 214 295,00;471 637,00;2,59
139;-1;Мой Банк;2939;Москва и обл.;18 560 710,00;18 183 855,00;376 855,00;2,07
140;-8;БФГ-Кредит;3068;Москва и обл.;18 481 522,00;18 881 351,00;-399 829,00;-2,12
141;-5;Альта-Банк;2269;Москва и обл.;18 395 987,00;18 323 261,00;72 726,00;0,40
142;1;Московский Областной Банк;1751;Москва и обл.;18 301 494,00;17 212 478,00;1 089 016,00;6,33
143;1;МБА-Москва;3395;Москва и обл.;18 242 020,00;17 163 141,00;1 078 879,00;6,29
144;-5;Кольцо Урала;65;Свердловская обл.;18 220 804,00;18 018 275,00;202 529,00;1,12
145;12;Росэнергобанк;2211;Москва и обл.;18 141 779,00;14 692 197,00;3 449 582,00;23,48
146;-6;Уралтрансбанк;812;Свердловская обл.;18 123 553,00;17 891 270,00;232 283,00;1,30
147;-18;Солидарность;554;Самарская обл.;18 089 516,00;19 357 190,00;-1 267 674,00;-6,55
148;-6;Урал ФД;249;Пермская обл.;17 790 223,00;17 366 515,00;423 708,00;2,44
149;-8;Народный Кредит;2401;Москва и обл.;17 349 229,00;17 416 795,00;-67 566,00;-0,39
150;-1;ФИА-Банк;2542;Самарская обл.;17 004 436,00;16 567 579,00;436 857,00;2,64
151;4;ПЧРБ Банк;3291;Москва и обл.;16 786 514,00;15 216 974,00;1 569 540,00;10,31
152;-7;Натиксис Банк;3390;Москва и обл.;16 486 584,00;17 105 312,00;-618 728,00;-3,62
153;-1;Банк Проектного Финансирования;1677;Москва и обл.;16 421 164,00;15 727 098,00;694 066,00;4,41
154;4;НОМОС-Региобанк;539;Хабаровский край;16 290 711,00;14 378 743,00;1 911 968,00;13,30
155;16;Банк БФА;3038;Санкт-Петербург и обл.;16 053 157,00;13 062 621,00;2 990 536,00;22,89
156;-10;Морской Банк;77;Москва и обл.;15 945 223,00;17 029 984,00;-1 084 761,00;-6,37
157;-6;Столичный Торговый Банк;2797;Москва и обл.;15 913 675,00;15 820 844,00;92 831,00;0,59
158;-2;Банк РСБ 24 (Русславбанк);1073;Москва и обл.;15 800 716,00;14 954 592,00;846 124,00;5,66
159;-5;Модульбанк;1927;Костромская обл.;15 691 016,00;15 392 128,00;298 888,00;1,94
160;0;Интерпрогрессбанк;600;Москва и обл.;15 362 459,00;13 989 791,00;1 372 668,00;9,81
161;8;Сетелем Банк;2168;Москва и обл.;14 770 811,00;13 208 439,00;1 562 372,00;11,83
162;-15;Соцгорбанк;1827;Москва и обл.;14 746 865,00;16 595 308,00;-1 848 443,00;-11,14
163;10;Мосстройэкономбанк (М Банк);948;Москва и обл.;14 687 680,00;12 856 026,00;1 831 654,00;14,25
164;3;Смоленский Банк;2029;Смоленская обл.;14 476 483,00;13 675 439,00;801 044,00;5,86
165;3;Левобережный;1343;Новосибирская обл.;14 452 373,00;13 591 755,00;860 618,00;6,33
166;-13;Спурт Банк;2207;Татарстан;14 383 829,00;15 567 807,00;-1 183 978,00;-7,61
167;-6;Энергобанк;67;Татарстан;14 320 136,00;13 970 574,00;349 562,00;2,50
168;-2;Тимер Банк;1581;Татарстан;14 204 207,00;13 681 944,00;522 263,00;3,82
169;-10;Российский Кредит;324;Москва и обл.;14 118 701,00;14 076 654,00;42 047,00;0,30
170;-8;Тинькофф Банк;2673;Москва и обл.;14 036 326,00;13 931 299,00;105 027,00;0,75
171;-7;НБД-Банк;1966;Нижегородская обл.;13 790 564,00;13 895 691,00;-105 127,00;-0,76
172;0;Центркомбанк;2983;Москва и обл.;13 624 793,00;12 915 414,00;709 379,00;5,49
173;-3;Инвесткапиталбанк;2377;Башкортостан;13 488 192,00;13 142 592,00;345 600,00;2,63
174;4;Тойота Банк;3470;Москва и обл.;13 323 793,00;12 233 934,00;1 089 859,00;8,91
175;4;Связной Банк;1961;Москва и обл.;13 219 557,00;12 131 466,00;1 088 091,00;8,97
176;-11;Ланта-Банк;1920;Москва и обл.;13 188 388,00;13 817 590,00;-629 202,00;-4,55
177;-1;Новокузнецкий Муниципальный Банк;2865;Кемеровская обл.;12 961 393,00;12 352 879,00;608 514,00;4,93
178;3;Курскпромбанк;735;Курская обл.;12 611 861,00;11 945 010,00;666 851,00;5,58
179;7;Держава;2738;Москва и обл.;12 577 394,00;10 995 308,00;1 582 086,00;14,39
180;-6;Рост Банк;2888;Татарстан;12 504 972,00;12 476 585,00;28 387,00;0,23
181;10;БыстроБанк;1745;Удмуртия;12 436 282,00;10 577 770,00;1 858 512,00;17,57
182;19;Образование;1521;Москва и обл.;12 380 872,00;9 743 497,00;2 637 375,00;27,07
183;12;Русстройбанк;3205;Москва и обл.;12 372 980,00;10 399 543,00;1 973 437,00;18,98
184;-4;Углеметбанк;2997;Челябинская обл.;12 359 055,00;12 026 126,00;332 929,00;2,77
185;2;Норвик Банк;902;Кировская обл.;12 140 232,00;10 924 997,00;1 215 235,00;11,12
186;25;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;12 031 081,00;9 276 645,00;2 754 436,00;29,69
187;9;Банк Финсервис;3388;Москва и обл.;11 784 569,00;10 308 160,00;1 476 409,00;14,32
188;-5;АБ Финанс;514;Москва и обл.;11 700 728,00;11 653 316,00;47 412,00;0,41
189;25;Аресбанк;2914;Москва и обл.;11 677 985,00;9 120 467,00;2 557 518,00;28,04
190;3;Развитие-Столица;3013;Москва и обл.;11 506 330,00;10 534 947,00;971 383,00;9,22
191;7;РосДорБанк;1573;Москва и обл.;11 372 850,00;10 008 166,00;1 364 684,00;13,64
192;-2;Эллипс Банк;1950;Нижегородская обл.;11 318 501,00;10 592 032,00;726 469,00;6,86
193;-8;Интехбанк;2705;Татарстан;11 294 788,00;11 087 527,00;207 261,00;1,87
194;60;Современный Коммерческий Инновационный Банк;3329;Калужская обл.;11 256 714,00;7 163 603,00;4 093 111,00;57,14
195;-7;Алмазэргиэнбанк;2602;Саха (Якутия);11 231 834,00;10 860 653,00;371 181,00;3,42
196;-14;Московское Ипотечное Агентство;3344;Москва и обл.;11 149 730,00;11 926 804,00;-777 074,00;-6,52
197;-20;Европейский Трастовый Банк;2968;Москва и обл.;11 038 598,00;12 334 805,00;-1 296 207,00;-10,51
198;-9;Форштадт;2208;Оренбургская обл.;10 903 662,00;10 697 869,00;205 793,00;1,92
199;-5;БМВ Банк;3482;Москва и обл.;10 777 167,00;10 521 768,00;255 399,00;2,43
200;-3;Нижегородпромстройбанк;1851;Нижегородская обл.;10 705 742,00;10 073 875,00;631 867,00;6,27
201;14;Эс-Би-Ай Банк;3185;Москва и обл.;10 666 536,00;9 116 831,00;1 549 705,00;17,00
202;1;Александровский;53;Санкт-Петербург и обл.;10 578 832,00;9 610 318,00;968 514,00;10,08
203;1;Хлынов;254;Кировская обл.;10 433 537,00;9 599 195,00;834 342,00;8,69
204;21;Нацинвестпромбанк;3077;Москва и обл.;10 251 978,00;8 595 848,00;1 656 130,00;19,27
205;12;ТЭМБР-Банк;2764;Москва и обл.;10 234 314,00;9 068 233,00;1 166 081,00;12,86
206;36;Фининвест;671;Москва и обл.;10 224 667,00;7 830 283,00;2 394 384,00;30,58
207;2;Роспромбанк;3204;Москва и обл.;10 199 570,00;9 312 055,00;887 515,00;9,53
208;-3;Гаранти Банк — Москва;3275;Москва и обл.;10 148 711,00;9 594 063,00;554 648,00;5,78
209;23;Экопромбанк;2011;Пермская обл.;10 027 743,00;8 343 786,00;1 683 957,00;20,18
210;-35;Энерготрансбанк;1307;Калининградская обл.;10 016 833,00;12 364 317,00;-2 347 484,00;-18,99
211;-11;Солидарность (Москва);1555;Москва и обл.;10 005 741,00;9 854 917,00;150 824,00;1,53
212;-4;Первомайский;518;Краснодарский край;9 951 364,00;9 325 231,00;626 133,00;6,71
213;15;Гута-Банк;256;Москва и обл.;9 837 645,00;8 530 243,00;1 307 402,00;15,33
214;-12;Тольяттихимбанк;2507;Самарская обл.;9 684 657,00;9 620 831,00;63 826,00;0,66
215;-9;Легион;3117;Москва и обл.;9 682 238,00;9 462 728,00;219 510,00;2,32
216;3;АйМаниБанк;1975;Республика Алтай;9 458 995,00;8 998 503,00;460 492,00;5,12
217;-10;Руснарбанк;3403;Москва и обл.;9 423 138,00;9 410 661,00;12 477,00;0,13
218;3;Снежинский;1376;Челябинская обл.;9 410 704,00;8 818 119,00;592 585,00;6,72
219;-6;Северо-Восточный Альянс;2768;Москва и обл.;9 401 758,00;9 139 057,00;262 701,00;2,87
220;-28;Банк24.ру;2227;Свердловская обл.;9 366 791,00;10 554 998,00;-1 188 207,00;-11,26
221;2;Гранд Инвест Банк;3053;Москва и обл.;9 325 565,00;8 667 973,00;657 592,00;7,59
222;-10;Юникорбанк;2586;Москва и обл.;9 240 064,00;9 159 336,00;80 728,00;0,88
223;-5;НК Банк;2755;Москва и обл.;9 151 422,00;9 064 328,00;87 094,00;0,96
224;0;Банк «Советский»;558;Санкт-Петербург и обл.;9 090 463,00;8 625 920,00;464 543,00;5,39
225;-3;Прио-Внешторгбанк;212;Рязанская обл.;9 064 268,00;8 729 834,00;334 434,00;3,83
226;-10;ВУЗ-Банк;1557;Свердловская обл.;9 050 646,00;9 076 769,00;-26 123,00;-0,29
227;-17;Банк Оренбург;3269;Оренбургская обл.;8 878 421,00;9 286 578,00;-408 157,00;-4,40
228;-44;Свенска Хандельсбанкен;3455;Москва и обл.;8 760 507,00;11 227 609,00;-2 467 102,00;-21,97
229;2;ББР Банк;2929;Москва и обл.;8 723 874,00;8 371 404,00;352 470,00;4,21
230;-10;Банк Жилищного Финансирования;3138;Москва и обл.;8 690 855,00;8 931 304,00;-240 449,00;-2,69
231;2;Интрастбанк;3144;Москва и обл.;8 687 811,00;8 305 488,00;382 323,00;4,60
232;5;Экономбанк;1319;Саратовская обл.;8 505 434,00;7 967 130,00;538 304,00;6,76
233;-3;Промсбербанк;1043;Москва и обл.;8 449 557,00;8 432 942,00;16 615,00;0,20
234;6;Екатеринбург;3161;Свердловская обл.;8 274 710,00;7 878 701,00;396 009,00;5,03
235;1;Газэнергобанк;3252;Калужская обл.;8 259 139,00;8 057 811,00;201 328,00;2,50
236;-2;Мерседес-Бенц Банк Рус;3473;Москва и обл.;8 230 807,00;8 222 878,00;7 929,00;0,10
237;89;Платина;2347;Москва и обл.;8 164 650,00;4 598 245,00;3 566 405,00;77,56
238;-12;Росэксимбанк;2790;Москва и обл.;8 148 750,00;8 591 299,00;-442 549,00;-5,15
239;-1;Международный Акционерный Банк;1987;Москва и обл.;8 053 988,00;7 914 251,00;139 737,00;1,77
240;12;Энергомашбанк;52;Санкт-Петербург и обл.;8 043 405,00;7 273 554,00;769 851,00;10,58
241;3;Алеф-Банк;2119;Москва и обл.;8 012 010,00;7 625 853,00;386 157,00;5,06
242;4;Национальная Факторинговая Компания;3437;Москва и обл.;8 007 687,00;7 585 742,00;421 945,00;5,56
243;-2;Тарханы;459;Пензенская обл.;7 941 111,00;7 854 871,00;86 240,00;1,10
244;135;Платежный Центр;3166;Новосибирская обл.;7 842 295,00;3 578 661,00;4 263 634,00;119,14
245;6;Расчетно-Кредитный Банк;103;Москва и обл.;7 841 349,00;7 307 751,00;533 598,00;7,30
246;14;Европейский;1616;Калининградская обл.;7 812 558,00;6 971 021,00;841 537,00;12,07
247;2;Замоскворецкий;1640;Москва и обл.;7 802 838,00;7 468 911,00;333 927,00;4,47
248;-9;Гарант-Инвест;2576;Москва и обл.;7 779 485,00;7 905 984,00;-126 499,00;-1,60
249;-6;Новосибирский Муниципальный Банк;2786;Новосибирская обл.;7 720 438,00;7 634 229,00;86 209,00;1,13
250;3;Ю Би Эс Банк;3463;Москва и обл.;7 641 253,00;7 262 361,00;378 892,00;5,22
251;12;Социнвестбанк;1132;Башкортостан;7 561 032,00;6 866 783,00;694 249,00;10,11
252;4;БКС Банк;101;Новосибирская обл.;7 506 782,00;7 047 208,00;459 574,00;6,52
253;-5;Нефтяной Альянс;2859;Москва и обл.;7 504 232,00;7 529 797,00;-25 565,00;-0,34
254;-7;Северная Казна;2083;Свердловская обл.;7 494 049,00;7 578 880,00;-84 831,00;-1,12
255;7;Ставропольпромстройбанк;1288;Ставропольский край;7 438 322,00;6 892 649,00;545 673,00;7,92
256;8;Квантмобайл Банк;1189;Омская обл.;7 386 816,00;6 840 925,00;545 891,00;7,98
257;-2;Банк Премьер Кредит;1663;Коми;7 335 366,00;7 107 305,00;228 061,00;3,21
258;-8;Национальный Банк Развития Бизнеса;2795;Москва и обл.;7 310 350,00;7 381 057,00;-70 707,00;-0,96
