Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июль, 2013, тыс. рублей;Июнь, 2013, тыс. рублей;Изменение, тыс. рублей;Изменение, %
75;-11;Всероссийский Банк Развития Регионов;3287;Москва и обл.;79 475 258,00;91 890 974,00;-12 415 716,00;-13,51
76;1;Локо-Банк;2707;Москва и обл.;78 955 690,00;76 229 269,00;2 726 421,00;3,58
77;1;Центр-инвест;2225;Ростовская обл.;75 071 017,00;72 133 518,00;2 937 499,00;4,07
78;-7;Еврофинанс Моснарбанк;2402;Москва и обл.;72 845 141,00;81 445 299,00;-8 600 158,00;-10,56
79;1;Банк БФА;3038;Санкт-Петербург и обл.;70 599 241,00;66 961 271,00;3 637 970,00;5,43
80;-1;Роскосмосбанк;2989;Москва и обл.;69 999 868,00;67 259 928,00;2 739 940,00;4,07
81;2;Инвестбанк;107;Москва и обл.;65 080 182,00;61 145 012,00;3 935 170,00;6,44
82;5;Металлинвестбанк;2440;Москва и обл.;61 119 918,00;56 368 312,00;4 751 606,00;8,43
83;-2;Балтинвестбанк;3176;Санкт-Петербург и обл.;61 036 039,00;65 056 262,00;-4 020 223,00;-6,18
84;0;Первобанк;3461;Самарская обл.;60 430 871,00;60 644 984,00;-214 113,00;-0,35
85;9;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;60 330 665,00;47 868 496,00;12 462 169,00;26,03
86;0;СБ Банк (Судостроительный банк);2999;Москва и обл.;60 057 850,00;56 906 092,00;3 151 758,00;5,54
87;2;Сургутнефтегазбанк;588;Тюменская обл.;59 970 625,00;55 275 125,00;4 695 500,00;8,49
88;-3;Собинбанк;1317;Москва и обл.;59 897 226,00;60 525 700,00;-628 474,00;-1,04
89;-7;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;59 694 465,00;61 301 170,00;-1 606 705,00;-2,62
90;-2;Бинбанк Диджитал;2827;Москва и обл.;58 404 716,00;55 761 420,00;2 643 296,00;4,74
91;-1;Международный Финансовый Клуб;2618;Москва и обл.;57 235 914,00;53 728 618,00;3 507 296,00;6,53
92;0;Московский Областной Банк;1751;Москва и обл.;54 593 134,00;49 912 088,00;4 681 046,00;9,38
93;-2;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;52 710 349,00;51 960 615,00;749 734,00;1,44
94;89;Рост Банк;2888;Москва и обл.;51 310 430,00;18 742 728,00;32 567 702,00;173,76
95;-2;Тойота Банк;3470;Москва и обл.;49 751 402,00;48 367 513,00;1 383 889,00;2,86
96;6;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;48 635 872,00;43 953 723,00;4 682 149,00;10,65
97;1;Интеркоммерц Банк;1657;Москва и обл.;48 022 464,00;45 165 706,00;2 856 758,00;6,33
98;-3;Таврический Банк;2304;Санкт-Петербург и обл.;47 672 579,00;47 398 105,00;274 474,00;0,58
99;-3;Национальный Стандарт;3421;Москва и обл.;47 059 952,00;46 100 530,00;959 422,00;2,08
100;7;Российский Кредит;324;Москва и обл.;46 150 270,00;38 501 083,00;7 649 187,00;19,87
101;-1;Экспресс-Волга;3085;Саратовская обл.;45 319 509,00;44 643 444,00;676 065,00;1,51
102;-3;Кубань Кредит;2518;Краснодарский край;43 829 549,00;45 156 243,00;-1 326 694,00;-2,94
103;0;Народный Кредит;2401;Москва и обл.;42 510 264,00;41 677 703,00;832 561,00;2,00
104;0;Межтопэнергобанк;2956;Москва и обл.;42 423 102,00;41 120 855,00;1 302 247,00;3,17
105;0;НС Банк;3124;Москва и обл.;41 247 398,00;38 972 274,00;2 275 124,00;5,84
106;0;Примсоцбанк;2733;Приморский край;39 370 513,00;38 873 593,00;496 920,00;1,28
107;5;Сетелем Банк;2168;Москва и обл.;38 550 468,00;35 654 812,00;2 895 656,00;8,12
108;1;Челябинвестбанк;493;Челябинская обл.;37 974 729,00;36 528 412,00;1 446 317,00;3,96
109;2;Смоленский Банк;2029;Смоленская обл.;37 772 427,00;35 805 713,00;1 966 714,00;5,49
110;-9;Экспо Финанс;2594;Москва и обл.;37 388 831,00;44 317 858,00;-6 929 027,00;-15,63
111;8;Фора-Банк;1885;Москва и обл.;36 991 674,00;34 341 958,00;2 649 716,00;7,72
112;-4;Левобережный;1343;Новосибирская обл.;36 878 722,00;36 644 684,00;234 038,00;0,64
113;0;Челиндбанк;485;Челябинская обл.;36 494 403,00;35 346 788,00;1 147 615,00;3,25
114;14;Коммерцбанк (Евразия);3333;Москва и обл.;35 996 067,00;31 000 508,00;4 995 559,00;16,11
115;-1;Экспобанк;2998;Москва и обл.;35 563 295,00;35 220 860,00;342 435,00;0,97
116;-1;Саровбизнесбанк;2048;Нижегородская обл.;35 463 716,00;34 742 611,00;721 105,00;2,08
117;-7;Кольцо Урала;65;Свердловская обл.;35 451 478,00;35 843 358,00;-391 880,00;-1,09
118;-1;Первый Республиканский Банк;1730;Москва и обл.;35 283 089,00;34 444 659,00;838 430,00;2,43
119;-1;СДМ-Банк;1637;Москва и обл.;35 124 441,00;34 420 006,00;704 435,00;2,05
120;3;Интерпромбанк;3266;Москва и обл.;34 558 566,00;31 838 239,00;2 720 327,00;8,54
121;-5;Крайинвестбанк;3360;Краснодарский край;34 305 978,00;34 492 636,00;-186 658,00;-0,54
122;-25;Банк Кредит Свисс;2494;Москва и обл.;34 160 198,00;45 505 056,00;-11 344 858,00;-24,93
123;-2;БФГ-Кредит;3068;Москва и обл.;34 087 782,00;33 384 125,00;703 657,00;2,11
124;-4;Меткомбанк (Череповец);901;Вологодская обл.;33 690 975,00;33 992 425,00;-301 450,00;-0,89
125;6;Банк «Советский»;558;Санкт-Петербург и обл.;33 390 563,00;29 510 003,00;3 880 560,00;13,15
126;-4;Русский Международный Банк;3123;Москва и обл.;32 054 398,00;32 493 223,00;-438 825,00;-1,35
127;-1;Росэнергобанк;2211;Москва и обл.;31 914 795,00;31 169 584,00;745 211,00;2,39
128;-3;Кедр;1574;Москва и обл.;31 554 287,00;31 218 948,00;335 339,00;1,07
129;5;РосинтерБанк;226;Москва и обл.;31 461 675,00;28 889 054,00;2 572 621,00;8,91
130;2;АМБ Банк;3036;Москва и обл.;31 407 700,00;29 469 540,00;1 938 160,00;6,58
131;-1;Банк АВБ;23;Самарская обл.;31 030 964,00;29 781 848,00;1 249 116,00;4,19
132;-3;Газбанк;2316;Самарская обл.;30 958 644,00;29 881 718,00;1 076 926,00;3,60
133;-6;Современный Коммерческий Банк (бывш. ДжиИ Мани Банк);3316;Москва и обл.;30 712 923,00;31 063 273,00;-350 350,00;-1,13
134;-1;Дальневосточный Банк;843;Приморский край;29 338 123,00;28 894 234,00;443 889,00;1,54
135;5;Интерпрогрессбанк;600;Москва и обл.;29 185 089,00;27 335 882,00;1 849 207,00;6,76
136;1;МБА-Москва;3395;Москва и обл.;29 175 040,00;27 961 910,00;1 213 130,00;4,34
137;-2;Пушкино;391;Москва и обл.;28 982 585,00;28 673 001,00;309 584,00;1,08
138;-2;Агропромкредит;2880;Москва и обл.;28 736 631,00;28 523 571,00;213 060,00;0,75
139;-1;Липецккомбанк;1242;Липецкая обл.;28 517 251,00;27 384 291,00;1 132 960,00;4,14
140;-1;Севергазбанк;2816;Вологодская обл.;28 175 021,00;27 353 837,00;821 184,00;3,00
141;0;Банк РСБ 24 (Русславбанк);1073;Москва и обл.;28 172 922,00;27 007 128,00;1 165 794,00;4,32
142;1;Банк Проектного Финансирования;1677;Москва и обл.;27 732 624,00;26 227 549,00;1 505 075,00;5,74
143;6;Югра;880;Тюменская обл.;27 308 316,00;25 488 574,00;1 819 742,00;7,14
144;0;Мой Банк;2939;Москва и обл.;26 973 480,00;26 068 941,00;904 539,00;3,47
145;-3;Кредит Урал Банк;2584;Челябинская обл.;26 442 072,00;26 563 488,00;-121 416,00;-0,46
146;2;БыстроБанк;1745;Удмуртия;26 349 650,00;25 605 159,00;744 491,00;2,91
147;-1;Акибанк;2587;Татарстан;26 293 335,00;25 982 559,00;310 776,00;1,20
148;24;Натиксис Банк;3390;Москва и обл.;26 291 781,00;20 684 902,00;5 606 879,00;27,11
149;-4;Образование;1521;Москва и обл.;26 170 354,00;26 001 604,00;168 750,00;0,65
150;-3;Национальный Резервный Банк;2170;Москва и обл.;25 873 269,00;25 813 233,00;60 036,00;0,23
151;4;Мосстройэкономбанк (М Банк);948;Москва и обл.;25 684 332,00;23 820 050,00;1 864 282,00;7,83
152;0;Солидарность;554;Самарская обл.;25 492 223,00;24 452 710,00;1 039 513,00;4,25
153;-3;Европейский Трастовый Банк;2968;Москва и обл.;25 246 656,00;25 144 203,00;102 453,00;0,41
154;11;Аверс;415;Татарстан;24 865 988,00;21 981 993,00;2 883 995,00;13,12
155;7;Стройкредит;18;Москва и обл.;24 857 190,00;22 431 991,00;2 425 199,00;10,81
156;-2;Русстройбанк;3205;Москва и обл.;24 840 185,00;23 915 157,00;925 028,00;3,87
157;7;Девон-Кредит;1972;Татарстан;24 771 309,00;22 174 062,00;2 597 247,00;11,71
158;-7;М2М Прайвет Банк;1414;Москва и обл.;24 725 287,00;24 570 401,00;154 886,00;0,63
159;-6;БМВ Банк;3482;Москва и обл.;24 431 091,00;24 301 672,00;129 419,00;0,53
160;-4;Приморье;3001;Приморский край;24 261 293,00;23 739 245,00;522 048,00;2,20
161;-2;ПЧРБ Банк;3291;Москва и обл.;23 874 215,00;22 832 565,00;1 041 650,00;4,56
162;4;Военно-Промышленный Банк;3065;Москва и обл.;23 423 927,00;21 926 073,00;1 497 854,00;6,83
163;-6;Финпромбанк (ФПБ Банк);2157;Москва и обл.;23 115 219,00;23 242 558,00;-127 339,00;-0,55
164;-1;ББР Банк;2929;Москва и обл.;22 893 173,00;22 383 143,00;510 030,00;2,28
165;-7;Модульбанк;1927;Костромская обл.;22 884 883,00;23 230 533,00;-345 650,00;-1,49
166;-6;Москоммерцбанк;3365;Москва и обл.;22 565 452,00;22 641 947,00;-76 495,00;-0,34
167;-6;ГПБ-Ипотека;2403;Москва и обл.;22 513 661,00;22 549 149,00;-35 488,00;-0,16
168;1;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;22 382 957,00;21 199 081,00;1 183 876,00;5,58
169;-2;Урал ФД;249;Пермская обл.;22 177 631,00;21 306 690,00;870 941,00;4,09
170;-2;Альта-Банк;2269;Москва и обл.;21 328 874,00;21 257 726,00;71 148,00;0,33
171;-1;ФИА-Банк;2542;Самарская обл.;20 852 157,00;21 133 375,00;-281 218,00;-1,33
172;-1;С банк;2581;Москва и обл.;20 752 472,00;20 914 702,00;-162 230,00;-0,78
173;6;Интехбанк;2705;Татарстан;20 617 048,00;19 485 546,00;1 131 502,00;5,81
174;1;Тимер Банк;1581;Татарстан;20 459 805,00;20 260 754,00;199 051,00;0,98
175;-1;Спурт Банк;2207;Татарстан;20 247 161,00;20 443 475,00;-196 314,00;-0,96
176;0;Огни Москвы;2328;Москва и обл.;20 223 800,00;20 163 966,00;59 834,00;0,30
177;0;Пойдем!;2534;Москва и обл.;20 140 217,00;19 834 086,00;306 131,00;1,54
178;4;МАСТ-Банк;3267;Москва и обл.;19 870 349,00;18 927 958,00;942 391,00;4,98
179;8;Западный;2598;Москва и обл.;19 829 342,00;18 416 992,00;1 412 350,00;7,67
180;-2;Легион;3117;Москва и обл.;19 590 151,00;19 652 494,00;-62 343,00;-0,32
181;3;Балтика;967;Санкт-Петербург и обл.;19 540 379,00;18 696 721,00;843 658,00;4,51
182;-2;НОМОС-Региобанк;539;Хабаровский край;19 412 082,00;19 142 286,00;269 796,00;1,41
183;-2;Фольксваген Банк Рус;3500;Москва и обл.;18 843 121,00;18 941 345,00;-98 224,00;-0,52
184;2;Мерседес-Бенц Банк Рус;3473;Москва и обл.;18 799 846,00;18 591 409,00;208 437,00;1,12
185;0;Алмазэргиэнбанк;2602;Саха (Якутия);18 679 759,00;18 626 453,00;53 306,00;0,29
186;17;Ланта-Банк;1920;Москва и обл.;18 583 402,00;15 972 009,00;2 611 393,00;16,35
187;3;АктивКапитал Банк;3006;Самарская обл.;18 529 478,00;17 660 185,00;869 293,00;4,92
188;0;Уралтрансбанк;812;Свердловская обл.;18 510 871,00;18 395 836,00;115 035,00;0,63
189;6;Энергобанк;67;Татарстан;17 986 309,00;16 998 736,00;987 573,00;5,81
190;-1;Фининвест;671;Санкт-Петербург и обл.;17 965 661,00;17 665 530,00;300 131,00;1,70
191;6;Развитие-Столица;3013;Москва и обл.;17 654 324,00;16 922 260,00;732 064,00;4,33
192;1;Первомайский;518;Краснодарский край;17 576 807,00;17 151 006,00;425 801,00;2,48
193;-1;Эллипс Банк;1950;Нижегородская обл.;17 515 935,00;17 204 977,00;310 958,00;1,81
194;-3;Норвик Банк;902;Кировская обл.;17 513 107,00;17 573 440,00;-60 333,00;-0,34
195;-1;Инвесткапиталбанк;2377;Башкортостан;17 473 498,00;17 118 497,00;355 001,00;2,07
196;6;Алеф-Банк;2119;Москва и обл.;17 400 256,00;16 103 052,00;1 297 204,00;8,06
197;-1;Форштадт;2208;Оренбургская обл.;17 333 244,00;16 961 097,00;372 147,00;2,19
198;1;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;17 332 372,00;16 703 440,00;628 932,00;3,77
199;-1;Газэнергобанк;3252;Калужская обл.;17 253 809,00;16 911 038,00;342 771,00;2,03
200;0;Тольяттихимбанк;2507;Самарская обл.;17 140 933,00;16 558 307,00;582 626,00;3,52
201;15;Транспортный;3174;Москва и обл.;17 124 628,00;14 412 353,00;2 712 275,00;18,82
202;3;Платежный Центр;3166;Новосибирская обл.;16 615 228,00;15 740 920,00;874 308,00;5,55
203;-30;БКС Банк;101;Новосибирская обл.;16 483 260,00;20 642 068,00;-4 158 808,00;-20,15
204;21;Национальная Факторинговая Компания;3437;Москва и обл.;16 414 974,00;13 598 522,00;2 816 452,00;20,71
205;-1;НБД-Банк;1966;Нижегородская обл.;16 336 854,00;15 925 898,00;410 956,00;2,58
206;2;Гута-Банк;256;Москва и обл.;16 323 653,00;15 541 198,00;782 455,00;5,03
207;3;Новокузнецкий Муниципальный Банк;2865;Кемеровская обл.;16 159 714,00;15 359 787,00;799 927,00;5,21
208;-1;Энерготрансбанк;1307;Калининградская обл.;16 147 584,00;15 555 535,00;592 049,00;3,81
209;-3;Курскпромбанк;735;Курская обл.;16 134 870,00;15 730 120,00;404 750,00;2,57
210;1;Морской Банк;77;Москва и обл.;16 133 103,00;15 346 053,00;787 050,00;5,13
211;17;Держава;2738;Москва и обл.;16 106 900,00;13 300 970,00;2 805 930,00;21,10
212;0;Энергомашбанк;52;Санкт-Петербург и обл.;15 896 680,00;15 230 342,00;666 338,00;4,38
213;2;СтарБанк;548;Москва и обл.;15 675 799,00;14 918 269,00;757 530,00;5,08
214;31;Банк Финсервис;3388;Москва и обл.;15 621 275,00;11 516 621,00;4 104 654,00;35,64
215;-6;ВУЗ-Банк;1557;Свердловская обл.;15 611 161,00;15 386 718,00;224 443,00;1,46
216;6;Аресбанк;2914;Москва и обл.;15 359 618,00;13 779 459,00;1 580 159,00;11,47
217;-4;Гаранти Банк — Москва;3275;Москва и обл.;14 899 407,00;15 158 599,00;-259 192,00;-1,71
218;-4;Расчетно-Кредитный Банк;103;Москва и обл.;14 885 447,00;14 921 502,00;-36 055,00;-0,24
219;-2;ТЭМБР-Банк;2764;Москва и обл.;14 598 508,00;14 212 166,00;386 342,00;2,72
220;-2;РосДорБанк;1573;Москва и обл.;14 547 295,00;14 124 348,00;422 947,00;2,99
221;13;Нацинвестпромбанк;3077;Москва и обл.;14 540 676,00;13 022 939,00;1 517 737,00;11,65
222;8;Транснациональный Банк;2108;Москва и обл.;14 507 083,00;13 225 277,00;1 281 806,00;9,69
223;-4;АйМаниБанк;1975;Москва и обл.;14 430 446,00;14 035 558,00;394 888,00;2,81
224;-3;Александровский;53;Санкт-Петербург и обл.;14 399 634,00;13 993 140,00;406 494,00;2,90
225;-5;Банк ПСА Финанс Рус;3481;Москва и обл.;14 241 699,00;14 026 783,00;214 916,00;1,53
226;3;Интрастбанк;3144;Москва и обл.;14 124 028,00;13 258 113,00;865 915,00;6,53
227;6;Московское Ипотечное Агентство;3344;Москва и обл.;14 114 771,00;13 039 738,00;1 075 033,00;8,24
228;-27;Сведбанк;3064;Москва и обл.;13 972 906,00;16 313 996,00;-2 341 090,00;-14,35
229;2;АйСиБиСи Банк;3475;Москва и обл.;13 949 209,00;13 050 493,00;898 716,00;6,89
230;5;Национальный Банк Развития Бизнеса;2795;Москва и обл.;13 917 309,00;12 899 195,00;1 018 114,00;7,89
231;-8;Хлынов;254;Кировская обл.;13 800 950,00;13 673 985,00;126 965,00;0,93
232;-5;Квантмобайл Банк;1189;Омская обл.;13 604 719,00;13 326 117,00;278 602,00;2,09
233;-1;Рублев;3098;Москва и обл.;13 454 825,00;13 049 362,00;405 463,00;3,11
234;-10;Гранд Инвест Банк;3053;Москва и обл.;13 440 136,00;13 647 155,00;-207 019,00;-1,52
235;-9;СИАБ;3245;Санкт-Петербург и обл.;13 356 903,00;13 374 501,00;-17 598,00;-0,13
236;0;Центркомбанк;2983;Москва и обл.;12 644 456,00;12 709 107,00;-64 651,00;-0,51
237;2;НК Банк;2755;Москва и обл.;12 546 051,00;12 439 834,00;106 217,00;0,85
238;4;Банк24.ру;2227;Свердловская обл.;12 513 414,00;11 834 306,00;679 108,00;5,74
239;-2;Банк Расчетов и Сбережений;2617;Москва и обл.;12 493 506,00;12 568 949,00;-75 443,00;-0,60
240;4;Денизбанк Москва;3330;Москва и обл.;12 424 124,00;11 536 794,00;887 330,00;7,69
241;54;Бэнк оф Чайна;2309;Москва и обл.;12 388 983,00;8 521 438,00;3 867 545,00;45,39
242;14;Экопромбанк;2011;Пермская обл.;12 133 871,00;10 745 008,00;1 388 863,00;12,93
243;-3;Банк Город;2644;Москва и обл.;12 117 464,00;12 291 928,00;-174 464,00;-1,42
244;-6;Миллениум Банк;3423;Москва и обл.;11 958 127,00;12 554 469,00;-596 342,00;-4,75
245;2;БайкалБанк;2632;Бурятия;11 792 437,00;11 338 203,00;454 234,00;4,01
246;3;Метробанк;2548;Москва и обл.;11 544 099,00;11 185 858,00;358 241,00;3,20
247;-1;Солидарность (Москва);1555;Москва и обл.;11 523 988,00;11 508 298,00;15 690,00;0,14
248;3;Русский Ипотечный Банк;1968;Москва и обл.;11 504 246,00;11 067 707,00;436 539,00;3,94
249;18;СЭБ Банк;3235;Санкт-Петербург и обл.;11 465 530,00;10 160 717,00;1 304 813,00;12,84
250;3;Прио-Внешторгбанк;212;Рязанская обл.;11 448 874,00;10 852 061,00;596 813,00;5,50
251;-3;Банк Акцепт;567;Новосибирская обл.;11 409 387,00;11 267 407,00;141 980,00;1,26
252;13;Адмиралтейский;3054;Москва и обл.;11 297 841,00;10 374 039,00;923 802,00;8,90
253;-12;Углеметбанк;2997;Челябинская обл.;11 239 971,00;12 000 692,00;-760 721,00;-6,34
254;-4;Экономбанк;1319;Саратовская обл.;11 230 350,00;11 159 369,00;70 981,00;0,64
255;3;Росэксимбанк;2790;Москва и обл.;11 206 850,00;10 652 047,00;554 803,00;5,21
256;4;Екатеринбург;3161;Свердловская обл.;11 166 980,00;10 593 932,00;573 048,00;5,41
257;4;РусЮгбанк;2093;Волгоградская обл.;11 135 060,00;10 555 344,00;579 716,00;5,49
258;6;Монолит;1967;Москва и обл.;11 086 609,00;10 387 428,00;699 181,00;6,73
259;-7;Международный Акционерный Банк;1987;Москва и обл.;11 034 575,00;10 889 640,00;144 935,00;1,33
260;2;Социнвестбанк;1132;Башкортостан;10 822 535,00;10 444 459,00;378 076,00;3,62
