iter	Passed	Remaining
918	42001	3701
919	42039	3655
920	42085	3609
921	42121	3563
922	42165	3517
923	42206	3471
924	42249	3425
925	42298	3380
926	42342	3334
927	42385	3288
928	42424	3242
929	42469	3196
930	42508	3150
931	42550	3104
932	42592	3058
933	42628	3012
934	42668	2966
935	42715	2920
936	42821	2879
937	42865	2833
938	42908	2787
939	42945	2741
940	42988	2695
941	43048	2650
942	43085	2604
943	43128	2558
944	43169	2512
945	43216	2466
946	43260	2421
947	43304	2375
948	43349	2329
949	43387	2283
950	43431	2237
951	43480	2192
952	43521	2146
953	43569	2100
954	43609	2054
955	43646	2008
956	43691	1963
957	43727	1917
958	43767	1871
959	43876	1828
960	43914	1782
961	43955	1736
962	43999	1690
963	44037	1644
964	44073	1598
965	44112	1552
966	44153	1506
967	44189	1460
968	44228	1414
969	44266	1369
970	44311	1323
971	44357	1277
972	44395	1231
973	44446	1186
974	44486	1140
975	44527	1094
976	44571	1049
977	44616	1003
978	44661	958
979	44702	912
980	44741	866
981	44784	820
982	44825	775
983	44864	729
984	45209	688
985	45253	642
986	45289	596
987	45333	550
988	45373	504
989	45412	458
990	45457	412
991	45498	366
992	45540	321
993	45585	275
994	45623	229
995	45671	183
996	45715	137
997	45756	91
998	45796	45
999	45844	0
